# c0 + a0 * ((av_B_0 / time) * (av_delta_M1_M2_subsurf^6)) + a1 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a2 * ((particle_diameter * total_metal_loading) * (av_E_def_subsurf^2)) + a3 * (exp(8.425280e+01*((av_E_b_C_subsurf-4.051876e+00) / (time+6.138996e+02)))) + a4 * ((av_BE_H_subsurf - av_d_band_center_surf) * (av_E_def_subsurf * std_dev))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.0892304352043857; Max AE: 0.530053021914298
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  1.004370730896278e+05, -8.743880312856168e-07, -1.164142216688460e+01,  2.444150912623865e+00, -4.523599096902373e-01, -1.644831361601951e+00, 
# 3   ,  7.742139302310876e+04, -8.010611328414471e-07, -1.714221768891709e+02,  3.767312657708810e+00, -2.239824612890058e-01, -2.973651203866783e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Gpa * min^-1;                                     10|0|div|15|sp|mult; ((av_B_0 / time) * (av_delta_M1_M2_subsurf^6)); $\left(\left(\frac{ av_{B, 0} }{ time } \right) \left(av_{delta, M1, M2, subsurf}^6\right)\right)$; ((av_B_0 ./ time) .* (av_delta_M1_M2_subsurf).^6); av_B_0,time,av_delta_M1_M2_subsurf
# 1;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 2;  2; eV^2 * nm;                                        2|1|mult|14|sq|mult; ((particle_diameter * total_metal_loading) * (av_E_def_subsurf^2)); $\left(\left(particle_{diameter} total_{metal, loading}\right) \left(av_{E, def, subsurf}^2\right)\right)$; ((particle_diameter .* total_metal_loading) .* (av_E_def_subsurf).^2); particle_diameter,total_metal_loading,av_E_def_subsurf
# 3;  2; Unitless;                                         13|0|div|exp:8.4252800206744e+01,0.0000000000000e+00,-4.0518764958653e+00,6.1389956476986e+02; (exp(8.425280e+01*((av_E_b_C_subsurf-4.051876e+00) / (time+6.138996e+02)))); $\left(\exp{ \left(8.425e+01\left(\frac{ av_{E, b, C, subsurf} -4.052e+00 }{ time+6.139e+02 } \right) \right)}\right)$; exp(8.425280e+01.*((av_E_b_C_subsurf-4.051876e+00) ./ (time+6.138996e+02))); av_E_b_C_subsurf,time
# 4;  2; eV^2 * nm;                                        19|18|sub|14|3|mult|mult; ((av_BE_H_subsurf - av_d_band_center_surf) * (av_E_def_subsurf * std_dev)); $\left(\left(av_{BE, H, subsurf} - av_{d, band, center, surf}\right) \left(av_{E, def, subsurf} std_{dev}\right)\right)$; ((av_BE_H_subsurf - av_d_band_center_surf) .* (av_E_def_subsurf .* std_dev)); av_BE_H_subsurf,av_d_band_center_surf,av_E_def_subsurf,std_dev
# Number of Samples Per Task
# Task, n_samples               
# 2   , 173                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.085685259387608e-01,  1.142657471764057e-06,  7.660313335186942e+01,  3.233623199999999e-03,  1.087571414703605e+00,  1.507302000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  3.227334947258591e-01,  3.808858239213522e-07,  2.298094000556082e+02,  3.233623199999999e-03,  1.083811027091071e+00,  1.507302000000000e+00
PdAg_1_9_100,  3.099375324862660e-01,  3.087969068532594e-01,  2.856643679410142e-07,  3.064125334074777e+02,  3.233623199999999e-03,  1.082049334450326e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  2.988630294585715e-01,  2.285314943528113e-07,  3.830156667593470e+02,  3.233623199999999e-03,  1.080360143365601e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.856868471553150e-01,  2.910083958205842e-01,  1.904429119606761e-07,  4.596188001112164e+02,  3.233623199999999e-03,  1.078739070370082e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  2.734491880050411e-01,  1.269619413071174e-07,  6.894282001668247e+02,  3.233623199999999e-03,  1.074245721665384e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.739275035497000e-01,  2.687194681556161e-01,  1.142657471764057e-07,  7.660313335186941e+02,  3.233623199999999e-03,  1.072859730975897e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  2.602632484388028e-01,  9.522145598033805e-08,  9.192376002224329e+02,  3.233623199999999e-03,  1.070237345798703e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.493558048675282e-01,  7.617716478427043e-08,  1.149047000278041e+03,  3.233623199999999e-03,  1.066639471350702e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  2.399426962561544e-01,  6.348097065355869e-08,  1.378856400333649e+03,  3.233623199999999e-03,  1.063392127905734e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.642144249687690e-01,  2.370635792119690e-01,  6.013986693495035e-08,  1.455459533685519e+03,  3.233623199999999e-03,  1.062378865799026e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.621887653386570e-01,  2.342959223501188e-01,  5.713287358820283e-08,  1.532062667037388e+03,  3.233623199999999e-03,  1.061397476975630e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  2.316313139060976e-01,  5.441226056019317e-08,  1.608665800389258e+03,  3.233623199999999e-03,  1.060446481208752e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.597681369110620e-01,  2.290624342812059e-01,  5.193897598927529e-08,  1.685268933741127e+03,  3.233623199999999e-03,  1.059524488508927e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.586590858830060e-01,  2.265828500112357e-01,  4.968075964191551e-08,  1.761872067092997e+03,  3.233623199999999e-03,  1.058630192352586e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.564021611090790e-01,  2.241868565733524e-01,  4.761072799016903e-08,  1.838475200444866e+03,  3.233623199999999e-03,  1.057762363511224e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.562832756759230e-01,  2.218693566178409e-01,  4.570629887056226e-08,  1.915078333796735e+03,  3.233623199999999e-03,  1.056919844419938e+00,  1.507302000000000e+00
