# c0 + a0 * ((av_delta_M1_M2_subsurf^6) / (total_metal_loading * time)) + a1 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a2 * ((particle_diameter * total_metal_loading) * (av_E_def_subsurf^2)) + a3 * (exp(8.425280e+01*((av_E_b_C_subsurf-4.051876e+00) / (time+6.138996e+02)))) + a4 * ((av_BE_H_subsurf - av_d_band_center_surf) * (av_E_def_subsurf * std_dev))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.0897707531842081; Max AE: 0.531254844366027
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  1.522944955042183e+05, -8.843525676824955e-07, -9.041376990833458e+00,  2.530112681666782e+00, -4.452585071514380e-01, -1.760595622512429e+00, 
# 3   ,  1.276196513465462e+05, -8.013409724452799e-07, -1.711400296678489e+02,  3.801415193703475e+00, -2.229413004847136e-01, -3.016570935562862e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; min^-1;                                           15|sp|1|0|mult|div; ((av_delta_M1_M2_subsurf^6) / (total_metal_loading * time)); $\left(\frac{ \left(av_{delta, M1, M2, subsurf}^6\right) }{ \left(total_{metal, loading} time\right) } \right)$; ((av_delta_M1_M2_subsurf).^6 ./ (total_metal_loading .* time)); av_delta_M1_M2_subsurf,total_metal_loading,time
# 1;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 2;  2; eV^2 * nm;                                        2|1|mult|14|sq|mult; ((particle_diameter * total_metal_loading) * (av_E_def_subsurf^2)); $\left(\left(particle_{diameter} total_{metal, loading}\right) \left(av_{E, def, subsurf}^2\right)\right)$; ((particle_diameter .* total_metal_loading) .* (av_E_def_subsurf).^2); particle_diameter,total_metal_loading,av_E_def_subsurf
# 3;  2; Unitless;                                         13|0|div|exp:8.4252800206744e+01,0.0000000000000e+00,-4.0518764958653e+00,6.1389956476986e+02; (exp(8.425280e+01*((av_E_b_C_subsurf-4.051876e+00) / (time+6.138996e+02)))); $\left(\exp{ \left(8.425e+01\left(\frac{ av_{E, b, C, subsurf} -4.052e+00 }{ time+6.139e+02 } \right) \right)}\right)$; exp(8.425280e+01.*((av_E_b_C_subsurf-4.051876e+00) ./ (time+6.138996e+02))); av_E_b_C_subsurf,time
# 4;  2; eV^2 * nm;                                        19|18|sub|14|3|mult|mult; ((av_BE_H_subsurf - av_d_band_center_surf) * (av_E_def_subsurf * std_dev)); $\left(\left(av_{BE, H, subsurf} - av_{d, band, center, surf}\right) \left(av_{E, def, subsurf} std_{dev}\right)\right)$; ((av_BE_H_subsurf - av_d_band_center_surf) .* (av_E_def_subsurf .* std_dev)); av_BE_H_subsurf,av_d_band_center_surf,av_E_def_subsurf,std_dev
# Number of Samples Per Task
# Task, n_samples               
# 2   , 173                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.177252741290559e-01,  8.344743950358039e-07,  7.660313335186942e+01,  3.233623199999999e-03,  1.087571414703605e+00,  1.507302000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  3.233516767184800e-01,  2.781581316786013e-07,  2.298094000556082e+02,  3.233623199999999e-03,  1.083811027091071e+00,  1.507302000000000e+00
PdAg_1_9_100,  3.099375324862660e-01,  3.082361635656623e-01,  2.086185987589510e-07,  3.064125334074777e+02,  3.233623199999999e-03,  1.082049334450326e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  2.975402827526101e-01,  1.668948790071608e-07,  3.830156667593470e+02,  3.233623199999999e-03,  1.080360143365601e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.856868471553150e-01,  2.891348459976302e-01,  1.390790658393006e-07,  4.596188001112164e+02,  3.233623199999999e-03,  1.078739070370082e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  2.705026095346408e-01,  9.271937722620042e-08,  6.894282001668247e+02,  3.233623199999999e-03,  1.074245721665384e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.739275035497000e-01,  2.655160876590132e-01,  8.344743950358038e-08,  7.660313335186941e+02,  3.233623199999999e-03,  1.072859730975897e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  2.566275716939158e-01,  6.953953291965032e-08,  9.192376002224329e+02,  3.233623199999999e-03,  1.070237345798703e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.452032137762458e-01,  5.563162633572026e-08,  1.149047000278041e+03,  3.233623199999999e-03,  1.066639471350702e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  2.353717713335748e-01,  4.635968861310021e-08,  1.378856400333649e+03,  3.233623199999999e-03,  1.063392127905734e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.642144249687690e-01,  2.323687637767597e-01,  4.391970500188441e-08,  1.455459533685519e+03,  3.233623199999999e-03,  1.062378865799026e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.621887653386570e-01,  2.294835588255704e-01,  4.172371975179019e-08,  1.532062667037388e+03,  3.233623199999999e-03,  1.061397476975630e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  2.267071028240914e-01,  3.973687595408590e-08,  1.608665800389258e+03,  3.233623199999999e-03,  1.060446481208752e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.597681369110620e-01,  2.240315356116273e-01,  3.793065431980926e-08,  1.685268933741127e+03,  3.233623199999999e-03,  1.059524488508927e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.586590858830060e-01,  2.214499635674673e-01,  3.628149543633930e-08,  1.761872067092997e+03,  3.233623199999999e-03,  1.058630192352586e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.564021611090790e-01,  2.189562866309306e-01,  3.476976645982516e-08,  1.838475200444866e+03,  3.233623199999999e-03,  1.057762363511224e+00,  1.507302000000000e+00
PdAg_1_9_100,  2.562832756759230e-01,  2.165450644541772e-01,  3.337897580143215e-08,  1.915078333796735e+03,  3.233623199999999e-03,  1.056919844419938e+00,  1.507302000000000e+00
