# c0 + a0 * ((std_dev + particle_diameter) * (av_E_def_subsurf * total_metal_loading)) + a1 * (exp(1.147280e-03*((time+4.772050e+02) / (av_BE_H_subsurf+1.342111e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.14405513981165; Max AE: 0.727233928821891
# Coefficients
# Task   a0                      a1                      c0
# 2   , -2.132464217131177e+01,  3.434990195773482e+00,  8.083981664000410e-01, 
# 3   , -3.061254075507888e+01,  3.444362199281604e+00,  8.354390259873050e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * nm;                                          3|2|add|14|1|mult|mult; ((std_dev + particle_diameter) * (av_E_def_subsurf * total_metal_loading)); $\left(\left(std_{dev} + particle_{diameter}\right) \left(av_{E, def, subsurf} total_{metal, loading}\right)\right)$; ((std_dev + particle_diameter) .* (av_E_def_subsurf .* total_metal_loading)); std_dev,particle_diameter,av_E_def_subsurf,total_metal_loading
# 1;  2; Unitless;                                         0|19|div|exp:1.1472797513754e-03,0.0000000000000e+00,4.7720501405414e+02,1.3421114681589e+00; (exp(1.147280e-03*((time+4.772050e+02) / (av_BE_H_subsurf+1.342111e+00)))); $\left(\exp{ \left(1.147e-03\left(\frac{ time +4.772e+02 }{ av_{BE, H, subsurf}+1.342e+00 } \right) \right)}\right)$; exp(1.147280e-03.*((time+4.772050e+02) ./ (av_BE_H_subsurf+1.342111e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.128375564974128e-01,  2.354580000000000e-02,  1.905434764471160e-03
PdAg_1_9_100,  6.062451827416920e-01,  3.118016039299420e-01,  2.354580000000000e-02,  1.603846547787030e-03
PdAg_1_9_100,  3.628741788873400e-01,  3.109296197612947e-01,  2.354580000000000e-02,  1.349993081270513e-03
PdAg_1_9_100,  2.919675286925200e-01,  3.095778540428938e-01,  2.354580000000000e-02,  9.564648202396320e-04
PdAg_1_9_100,  2.856868471553150e-01,  3.090578403406678e-01,  2.354580000000000e-02,  8.050775752728709e-04
PdAg_1_9_100,  2.773647395214370e-01,  3.082517056411603e-01,  2.354580000000000e-02,  5.703943146046585e-04
PdAg_1_9_100,  2.742250823045090e-01,  3.079415919255384e-01,  2.354580000000000e-02,  4.801134992464222e-04
PdAg_1_9_100,  2.739275035497000e-01,  3.076805623581684e-01,  2.354580000000000e-02,  4.041221419228390e-04
PdAg_1_9_100,  2.691444146104700e-01,  3.069892146602497e-01,  2.354580000000000e-02,  2.028558621036608e-04
PdAg_1_9_100,  2.679801391469650e-01,  3.068789253682250e-01,  2.354580000000000e-02,  1.707482618664285e-04
PdAg_1_9_100,  2.658907762370700e-01,  3.067860924339414e-01,  2.354580000000000e-02,  1.437225852290532e-04
PdAg_1_9_100,  2.637375021423530e-01,  3.066421811307148e-01,  2.354580000000000e-02,  1.018268897468046e-04
PdAg_1_9_100,  2.621887653386570e-01,  3.065402205350045e-01,  2.354580000000000e-02,  7.214395329017429e-05
PdAg_1_9_100,  2.609797547787540e-01,  3.065009970910788e-01,  2.354580000000000e-02,  6.072515973028796e-05
PdAg_1_9_100,  2.597681369110620e-01,  3.064679818515619e-01,  2.354580000000000e-02,  5.111370885702787e-05
PdAg_1_9_100,  2.586590858830060e-01,  3.064401921948858e-01,  2.354580000000000e-02,  4.302353826198195e-05
PdAg_1_9_100,  2.564021611090790e-01,  3.064168010267623e-01,  2.354580000000000e-02,  3.621386289454748e-05
