# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((av_delta_M1_M2_subsurf^6) / (total_metal_loading * time)) + a2 * (exp(4.497567e-03*((time+5.219495e+02) / (av_mu_C_critical_subsurf+3.834819e+00)))) + a3 * ((av_BE_H_surf^6) / cbrt(std_dev))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.103226352951306; Max AE: 0.646429188361632
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -6.827523543173613e-07,  1.635984781680420e+05,  2.352648805259010e+00,  4.046769771649262e-03, -8.677203986935086e-02, 
# 3   , -1.315013674308952e-06,  1.118308359812860e+05,  2.686022735188400e+00,  2.962851042077309e-03, -1.577625006274381e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; min^-1;                                           15|sp|1|0|mult|div; ((av_delta_M1_M2_subsurf^6) / (total_metal_loading * time)); $\left(\frac{ \left(av_{delta, M1, M2, subsurf}^6\right) }{ \left(total_{metal, loading} time\right) } \right)$; ((av_delta_M1_M2_subsurf).^6 ./ (total_metal_loading .* time)); av_delta_M1_M2_subsurf,total_metal_loading,time
# 2;  2; Unitless;                                         0|12|div|exp:4.4975669151730e-03,0.0000000000000e+00,5.2194951175725e+02,3.8348189665005e+00; (exp(4.497567e-03*((time+5.219495e+02) / (av_mu_C_critical_subsurf+3.834819e+00)))); $\left(\exp{ \left(4.498e-03\left(\frac{ time +5.219e+02 }{ av_{mu, C, critical, subsurf}+3.835e+00 } \right) \right)}\right)$; exp(4.497567e-03.*((time+5.219495e+02) ./ (av_mu_C_critical_subsurf+3.834819e+00))); time,av_mu_C_critical_subsurf
# 3;  2; eV^6 * nm^-0.333333;                              16|sp|3|cbrt|div; ((av_BE_H_surf^6) / cbrt(std_dev)); $\left(\frac{ \left(av_{BE, H, surf}^6\right) }{ \left(\sqrt[3]{ std_{dev} }\right) } \right)$; ((av_BE_H_surf).^6 ./ nthroot(std_dev, 3)); av_BE_H_surf,std_dev
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.880616924662537e-01,  7.660313335186942e+01,  8.344743950358039e-07,  2.269905585047794e-02,  7.041774097860819e+01
PdAg_1_9_100,  6.062451827416920e-01,  3.148889064297800e-01,  1.532062667037388e+02,  4.172371975179019e-07,  2.063282543523885e-02,  7.041774097860819e+01
PdAg_1_9_100,  3.628741788873400e-01,  2.876648608378234e-01,  2.298094000556082e+02,  2.781581316786013e-07,  1.875467809081036e-02,  7.041774097860819e+01
PdAg_1_9_100,  2.919675286925200e-01,  2.616905489231076e-01,  3.830156667593470e+02,  1.668948790071608e-07,  1.549570839451966e-02,  7.041774097860819e+01
PdAg_1_9_100,  2.856868471553150e-01,  2.537691410394629e-01,  4.596188001112164e+02,  1.390790658393006e-07,  1.408517818562739e-02,  7.041774097860819e+01
PdAg_1_9_100,  2.773647395214370e-01,  2.422180130043132e-01,  6.128250668149553e+02,  1.043092993794755e-07,  1.163761984036811e-02,  7.041774097860819e+01
PdAg_1_9_100,  2.742250823045090e-01,  2.377773648480128e-01,  6.894282001668247e+02,  9.271937722620042e-08,  1.057828044609756e-02,  7.041774097860819e+01
PdAg_1_9_100,  2.739275035497000e-01,  2.339427981615275e-01,  7.660313335186941e+02,  8.344743950358038e-08,  9.615369700266004e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.691444146104700e-01,  2.226542951020522e-01,  1.072443866926172e+03,  5.960531393112883e-08,  6.564015964465096e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.679801391469650e-01,  2.205461885672189e-01,  1.149047000278041e+03,  5.563162633572026e-08,  5.966512283200432e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.658907762370700e-01,  2.186473015416008e-01,  1.225650133629911e+03,  5.215464968973774e-08,  5.423397660563531e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.637375021423530e-01,  2.153774814316916e-01,  1.378856400333649e+03,  4.635968861310021e-08,  4.480982731278724e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.621887653386570e-01,  2.126825449200196e-01,  1.532062667037388e+03,  4.172371975179019e-08,  3.702329700811900e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.609797547787540e-01,  2.115123272032446e-01,  1.608665800389258e+03,  3.973687595408590e-08,  3.365317171063904e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.597681369110620e-01,  2.104438318892936e-01,  1.685268933741127e+03,  3.793065431980926e-08,  3.058981932207167e-03,  7.041774097860819e+01
PdAg_1_9_100,  2.586590858830060e-01,  2.094666350013008e-01,  1.761872067092997e+03,  3.628149543633930e-08,  2.780531517809853e-03,  7.041774097860819e+01
