# c0 + a0 * ((av_E_def_subsurf * std_dev) * (av_BE_H_surf * total_metal_loading)) + a1 * (exp(1.156194e-03*((time+3.706033e+02) / (av_BE_H_subsurf+1.386566e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.146248386211066; Max AE: 0.678374294781853
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  1.949142793971420e+01,  3.119491864075360e+00,  6.804617734188915e-01, 
# 3   ,  2.471289498100753e+01,  3.177387533604418e+00,  5.841567167536119e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2 * nm;                                        14|3|mult|16|1|mult|mult; ((av_E_def_subsurf * std_dev) * (av_BE_H_surf * total_metal_loading)); $\left(\left(av_{E, def, subsurf} std_{dev}\right) \left(av_{BE, H, surf} total_{metal, loading}\right)\right)$; ((av_E_def_subsurf .* std_dev) .* (av_BE_H_surf .* total_metal_loading)); av_E_def_subsurf,std_dev,av_BE_H_surf,total_metal_loading
# 1;  2; Unitless;                                         0|19|div|exp:1.1561942507667e-03,0.0000000000000e+00,3.7060334278341e+02,1.3865661607862e+00; (exp(1.156194e-03*((time+3.706033e+02) / (av_BE_H_subsurf+1.386566e+00)))); $\left(\exp{ \left(1.156e-03\left(\frac{ time +3.706e+02 }{ av_{BE, H, subsurf}+1.387e+00 } \right) \right)}\right)$; exp(1.156194e-03.*((time+3.706033e+02) ./ (av_BE_H_subsurf+1.386566e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.502014923100545e-01, -1.695297600000000e-02,  5.687751935197602e-05
PdAg_1_9_100,  6.062451827416920e-01,  3.501499049679568e-01, -1.695297600000000e-02,  4.034042153429527e-05
PdAg_1_9_100,  3.628741788873400e-01,  3.501133166084474e-01, -1.695297600000000e-02,  2.861147300560145e-05
PdAg_1_9_100,  3.099375324862660e-01,  3.500873662881332e-01, -1.695297600000000e-02,  2.029270782047519e-05
PdAg_1_9_100,  2.856868471553150e-01,  3.500559070443061e-01, -1.695297600000000e-02,  1.020797440941686e-05
PdAg_1_9_100,  2.773647395214370e-01,  3.500400818937757e-01, -1.695297600000000e-02,  5.134984570081342e-06
PdAg_1_9_100,  2.742250823045090e-01,  3.500354245140464e-01, -1.695297600000000e-02,  3.641991501902353e-06
PdAg_1_9_100,  2.710137208355010e-01,  3.500281167761788e-01, -1.695297600000000e-02,  1.299386300154989e-06
PdAg_1_9_100,  2.691444146104700e-01,  3.500261023722460e-01, -1.695297600000000e-02,  6.536388449128301e-07
PdAg_1_9_100,  2.658907762370700e-01,  3.500250890533740e-01, -1.695297600000000e-02,  3.288042513054184e-07
PdAg_1_9_100,  2.642144249687690e-01,  3.500244293002480e-01, -1.695297600000000e-02,  1.173104713055518e-07
PdAg_1_9_100,  2.597681369110620e-01,  3.500241939141487e-01, -1.695297600000000e-02,  4.185391953812587e-08
PdAg_1_9_100,  2.564021611090790e-01,  3.500241290291333e-01, -1.695297600000000e-02,  2.105405268526526e-08
PdAg_1_9_100,  2.562832756759230e-01,  3.500241099333177e-01, -1.695297600000000e-02,  1.493260201931358e-08
