# FEAT_ID     Feature Postfix Expression (RPN)
0             19|16|div
1             11|log:-1.0000000000000e+00,3.2987241003725e-01
2             19|18|sub
3             11|8|div
4             19|cb
5             11|18|div
6             8|18|div
7             11|cbrt
8             17|13|sub
9             19|9|mult
10            14|11|sub
11            13|5|mult
12            11|sp
13            18|11|sub
14            19|sq
15            17|12|add
16            19|inv
17            14|11|add
18            16|sp
19            19|exp:9.6173460837462e-01,0.0000000000000e+00
20            11
21            19
22            19|log:-1.0000000000000e+00,5.1278223786987e-03
23            19|cbrt
24            19|16|mult
25            19|14|sub
26            19|14|abd
27            12|5|mult
28            13|9|mult
29            19|16|add
30            16|11|add
31            16|exp:9.9149413781513e-01,0.0000000000000e+00
32            16|inv
33            13|11|sub
34            11|sq
35            16|cb
36            12|11|add
37            12|11|mult
38            16|log:-1.0000000000000e+00,1.8703004827903e-03
39            13|11|mult
40            16|cbrt
41            16|sq
42            19|11|add
43            16|abs
44            16
45            11|cb
46            12|9|mult
47            16|11|mult
48            17|11|sub
49            19|11|mult
#-----------------------------------------------------------------------
50            2|log:1.0000000000000e+00,-2.9998397537437e+00
51            16|3|mult
52            3|inv
53            18|0|mult
54            8|3|div
55            3|1|div
56            18|3|div
57            3|8|div
58            0|10|div
59            4|3|div
60            0|11|div
61            0|sq
62            1|3|div
63            0|13|div
64            0|19|div
65            0|12|div
66            15|3|mult
67            0|14|div
68            4|0|mult
69            14|3|mult
70            0|9|div
71            0|16|div
72            8|0|mult
73            6|0|mult
74            0|7|div
75            0|5|div
76            0
77            0|1|div
78            0|18|div
79            19|0|mult
80            0|15|div
81            12|0|mult
82            13|0|mult
83            11|0|mult
84            16|0|mult
85            7|0|mult
86            0|8|div
87            1|0|mult
88            5|0|mult
89            0|log:1.0000000000000e+00,3.2297250357682e+01
90            0|sqrt
91            0|cbrt
92            0|6|div
93            10|0|mult
94            9|0|mult
95            0|4|div
96            2|0|mult
97            15|0|mult
98            14|0|mult
99            3|0|mult
#-----------------------------------------------------------------------
100           6|sq
101           10|11|div
102           13|11|div
103           1|7|div
104           17|15|mult
105           12|11|div
106           6|4|div
107           10|19|div
108           17|14|mult
109           11|13|div
110           10|13|div
111           10|12|div
112           17|sq
113           11|12|div
114           12|11|abd
115           8|1|div
116           15|4|div
117           17|6|mult
118           6|exp:1.0935818999904e+00,0.0000000000000e+00
119           17|2|div
120           14|2|mult
121           6|cb
122           3|6|div
123           1|8|div
124           4|1|mult
125           17|sp
126           17|cb
127           6|17|div
128           6|sp
129           14|17|div
130           18|17|div
131           15|17|div
132           6|3|mult
133           17|3|div
134           1|17|div
135           4|17|div
136           17|inv
137           8|17|div
138           5|17|div
139           7|17|div
140           9|17|div
141           16|17|div
142           10|17|div
143           13|17|div
144           11|17|div
145           12|17|div
146           19|17|div
147           2|17|div
148           0|17|div
149           3|17|div
#-----------------------------------------------------------------------
150           14|sqrt
151           4|sq
152           15|1|add
153           5|14|div
154           7|15|div
155           4|15|div
156           4
157           5|1|mult
158           4|sqrt
159           4|cb
160           4|cbrt
161           5|4|mult
162           4|1|div
163           14
164           8|7|mult
165           8|5|mult
166           7|14|div
167           4|inv
168           14|8|div
169           14|exp:8.1994489775911e-01,0.0000000000000e+00
170           14|10|div
171           4|8|div
172           18|11|add
173           15|5|div
174           15|14|mult
175           14|16|div
176           7|5|div
177           8|4|mult
178           4|14|div
179           5|7|div
180           14|sq
181           7|4|mult
182           14|5|div
183           17|14|add
184           15|7|div
185           14|7|div
186           4|log:-1.0000000000000e+00,8.0313911500511e+01
187           14|9|div
188           19|12|div
189           19|13|div
190           12|19|div
191           13|19|div
192           9|1|mult
193           14|cb
194           3|17|div
195           1|4|div
196           14|sp
197           14|4|div
198           14|1|mult
199           15|1|mult
#-----------------------------------------------------------------------
200           12|14|div
201           19|14|div
202           15|5|mult
203           9|14|div
204           19|15|mult
205           14|11|mult
206           15|16|div
207           6|log:1.0000000000000e+00,-8.9898985771029e-01
208           15|2|div
209           15|12|mult
210           14|10|mult
211           15|11|mult
212           15|13|mult
213           6|2|div
214           8|14|div
215           16|14|mult
216           5|15|div
217           15|9|mult
218           14|4|mult
219           16|14|div
220           15|1|sub
221           14|inv
222           14|13|div
223           12|13|div
224           14|12|div
225           13|12|div
226           14|7|mult
227           15|inv
228           14|11|div
229           6|0|div
230           15|4|mult
231           17|0|div
232           15|log
233           14|19|div
234           15|cbrt
235           14|9|mult
236           8|15|div
237           15|sqrt
238           14|log:1.0000000000000e+00,6.2389180572997e-02
239           14|cbrt
240           16|15|mult
241           15|nexp
242           15
243           15|exp:9.6260466713258e-01,0.0000000000000e+00
244           15|exp
245           14|5|mult
246           15|sq
247           15|cb
248           14|8|mult
249           15|8|div
#-----------------------------------------------------------------------
