# c0 + a0 * (time / av_d_band_center_surf) + a1 * (av_delta_M1_M2_subsurf * std_dev) + a2 * (av_mu_C_critical_surf^3)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.170810441102104; Max AE: 0.551412562471518
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -3.212548644396259e-03,  2.801286560391101e+00,  1.150189875277989e-02,  4.706162066386405e-01, 
# 3   , -4.239557074233863e-03,  2.933191963332436e+00,  1.100440434305570e-02,  5.206068537135503e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^-1 * min;                                      0|18|div; (time / av_d_band_center_surf); $\left(\frac{ time }{ av_{d, band, center, surf} } \right)$; (time ./ av_d_band_center_surf); time,av_d_band_center_surf
# 1;  1; nm;                                               15|3|mult; (av_delta_M1_M2_subsurf * std_dev); $\left(av_{delta, M1, M2, subsurf} std_{dev}\right)$; (av_delta_M1_M2_subsurf .* std_dev); av_delta_M1_M2_subsurf,std_dev
# 2;  1; eV^3;                                             11|cb; (av_mu_C_critical_surf^3); $\left(av_{mu, C, critical, surf}^3\right)$; (av_mu_C_critical_surf).^3; av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 173                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.243819184799470e-01, -3.487470937742185e+00,  2.169600000000000e-01, -6.652858860799999e+01
PdAg_1_9_100,  4.889175556194310e-01,  3.467892585467771e-01, -1.046241281322656e+01,  2.169600000000000e-01, -6.652858860799999e+01
PdAg_1_9_100,  5.056601140297000e-01,  3.579929285801921e-01, -1.394988375096874e+01,  2.169600000000000e-01, -6.652858860799999e+01
PdAg_1_9_100,  5.190263630918930e-01,  3.691965986136072e-01, -1.743735468871093e+01,  2.169600000000000e-01, -6.652858860799999e+01
PdAg_1_9_100,  5.343009987338970e-01,  3.804002686470220e-01, -2.092482562645311e+01,  2.169600000000000e-01, -6.652858860799999e+01
PdAg_1_9_100,  5.250038067660980e-01,  4.140112787472671e-01, -3.138723843967967e+01,  2.169600000000000e-01, -6.652858860799999e+01
PdAg_1_9_100,  5.324653140763990e-01,  4.252149487806822e-01, -3.487470937742186e+01,  2.169600000000000e-01, -6.652858860799999e+01
PdAg_1_9_100,  5.301609565427799e-01,  4.476222888475120e-01, -4.184965125290623e+01,  2.169600000000000e-01, -6.652858860799999e+01
PdAg_1_9_100,  5.354507873556270e-01,  4.812332989477572e-01, -5.231206406613278e+01,  2.169600000000000e-01, -6.652858860799999e+01
PdAg_1_9_100,  5.338785022320920e-01,  5.148443090480022e-01, -6.277447687935934e+01,  2.169600000000000e-01, -6.652858860799999e+01
