# c0 + a0 * (time / av_W_change_H) + a1 * (av_B_0 * time) + a2 * (av_delta_M1_M2_subsurf * std_dev) + a3 * (av_BE_H_subsurf * av_mu_C_critical_surf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.145377758296477; Max AE: 0.602663686817341
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  2.768029795742167e-05,  6.901192858144127e-06,  2.385659569368508e+00, -2.333037615053500e-01,  1.092904608301980e+00, 
# 3   ,  6.794475020364093e-05,  7.419613806590589e-06,  3.084997648767986e+00, -2.184898980975768e-01,  9.666295815318316e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^-1 * min;                                      0|17|div; (time / av_W_change_H); $\left(\frac{ time }{ av_{W, change, H} } \right)$; (time ./ av_W_change_H); time,av_W_change_H
# 1;  1; Gpa * min;                                        10|0|mult; (av_B_0 * time); $\left(av_{B, 0} time\right)$; (av_B_0 .* time); av_B_0,time
# 2;  1; nm;                                               15|3|mult; (av_delta_M1_M2_subsurf * std_dev); $\left(av_{delta, M1, M2, subsurf} std_{dev}\right)$; (av_delta_M1_M2_subsurf .* std_dev); av_delta_M1_M2_subsurf,std_dev
# 3;  1; eV^2;                                             19|11|mult; (av_BE_H_subsurf * av_mu_C_critical_surf); $\left(av_{BE, H, subsurf} av_{mu, C, critical, surf}\right)$; (av_BE_H_subsurf .* av_mu_C_critical_surf); av_BE_H_subsurf,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 167                   
# 3   , 178                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  4.212956441336370e-01,  2.841069702852903e-01,  2.621359223300971e+02,  2.911140000000000e+03,  2.169600000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  4.889175556194310e-01,  2.977801397915394e-01,  3.932038834951456e+02,  4.366710000000000e+03,  2.169600000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.056601140297000e-01,  3.114533092977885e-01,  5.242718446601942e+02,  5.822280000000000e+03,  2.169600000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.190263630918930e-01,  3.251264788040376e-01,  6.553398058252427e+02,  7.277849999999999e+03,  2.169600000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.245052994310410e-01,  3.661459873227852e-01,  1.048543689320388e+03,  1.164456000000000e+04,  2.169600000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.250038067660980e-01,  3.798191568290346e-01,  1.179611650485437e+03,  1.310013000000000e+04,  2.169600000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.324653140763990e-01,  3.934923263352836e-01,  1.310679611650485e+03,  1.455570000000000e+04,  2.169600000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.301609565427799e-01,  4.208386653477820e-01,  1.572815533980583e+03,  1.746684000000000e+04,  2.169600000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.331594707700800e-01,  4.481850043602802e-01,  1.834951456310680e+03,  2.037798000000000e+04,  2.169600000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.354507873556270e-01,  4.618581738665293e-01,  1.966019417475728e+03,  2.183355000000000e+04,  2.169600000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.337303696543760e-01,  4.755313433727786e-01,  2.097087378640777e+03,  2.328912000000000e+04,  2.169600000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.338785022320920e-01,  5.028776823852767e-01,  2.359223300970874e+03,  2.620026000000000e+04,  2.169600000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.368098128623250e-01,  5.165508518915261e-01,  2.490291262135922e+03,  2.765583000000000e+04,  2.169600000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.372121836650180e-01,  5.302240213977751e-01,  2.621359223300971e+03,  2.911140000000000e+04,  2.169600000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.374193757726820e-01,  5.438971909040242e-01,  2.752427184466020e+03,  3.056697000000000e+04,  2.169600000000000e-01,  5.802464000000000e+00
