# c0 + a0 * (time / av_EA) + a1 * (av_E_def_subsurf * std_dev) + a2 * (av_BE_H_subsurf * av_mu_C_critical_surf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.176071110174744; Max AE: 0.582262095849364
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  1.358347313460430e-03,  5.761384252715318e-01, -2.569059099412842e-01,  1.453096077509362e+00, 
# 3   ,  1.815786140432499e-03,  8.561150916885819e-01, -2.450581472230354e-01,  1.297148524265325e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^-1 * min;                                      0|6|div; (time / av_EA); $\left(\frac{ time }{ av_{EA} } \right)$; (time ./ av_EA); time,av_EA
# 1;  1; eV * nm;                                          14|3|mult; (av_E_def_subsurf * std_dev); $\left(av_{E, def, subsurf} std_{dev}\right)$; (av_E_def_subsurf .* std_dev); av_E_def_subsurf,std_dev
# 2;  1; eV^2;                                             19|11|mult; (av_BE_H_subsurf * av_mu_C_critical_surf); $\left(av_{BE, H, subsurf} av_{mu, C, critical, surf}\right)$; (av_BE_H_subsurf .* av_mu_C_critical_surf); av_BE_H_subsurf,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.333734451028889e-01,  1.097739469832493e+01,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  4.212956441336370e-01,  3.482845597001534e-01,  2.195478939664986e+01,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  4.889175556194310e-01,  3.631956742974178e-01,  3.293218409497479e+01,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.190263630918930e-01,  3.930179034919465e-01,  5.488697349162465e+01,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.343009987338970e-01,  4.079290180892110e-01,  6.586436818994959e+01,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.245052994310410e-01,  4.377512472837399e-01,  8.781915758659945e+01,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.250038067660980e-01,  4.526623618810044e-01,  9.879655228492437e+01,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.324653140763990e-01,  4.675734764782689e-01,  1.097739469832493e+02,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.272179348673267e-01,  1.536835257765490e+02,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.354507873556270e-01,  5.421290494645910e-01,  1.646609204748740e+02,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.337303696543760e-01,  5.570401640618556e-01,  1.756383151731989e+02,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.338785022320920e-01,  5.868623932563846e-01,  1.975931045698487e+02,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.372121836650180e-01,  6.166846224509135e-01,  2.195478939664986e+02,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.374193757726820e-01,  6.315957370481777e-01,  2.305252886648235e+02,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.370904880212340e-01,  6.465068516454424e-01,  2.415026833631485e+02,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.357670351206070e-01,  6.614179662427067e-01,  2.524800780614734e+02,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.243066765750370e-01,  6.763290808399713e-01,  2.634574727597983e+02,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.397703104721880e-01,  6.912401954372356e-01,  2.744348674581233e+02,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_9_100,  5.484023401121820e-01,  7.508846538262934e-01,  3.183444462514230e+02,  6.180000000000000e-01,  5.802464000000000e+00
PdAg_1_5_100,  5.154914790070170e-01,  3.094838244220877e-01,  3.431234114656887e+01,  8.133333333333320e-01,  6.456888888888880e+00
PdAg_1_5_100,  5.367991849441260e-01,  3.250198498937476e-01,  4.574978819542515e+01,  8.133333333333320e-01,  6.456888888888880e+00
PdAg_1_5_100,  5.557853067401700e-01,  3.871639517803869e-01,  9.149957639085031e+01,  8.133333333333320e-01,  6.456888888888880e+00
PdAg_1_5_100,  5.582907011266131e-01,  4.026999772520468e-01,  1.029370234397066e+02,  8.133333333333320e-01,  6.456888888888880e+00
PdAg_1_5_100,  5.575686028510159e-01,  4.493080536670265e-01,  1.372493645862755e+02,  8.133333333333320e-01,  6.456888888888880e+00
PdAg_1_5_100,  5.581440247555720e-01,  4.803801046103462e-01,  1.601242586839880e+02,  8.133333333333320e-01,  6.456888888888880e+00
PdAg_1_5_100,  5.573180603724570e-01,  4.959161300820061e-01,  1.715617057328443e+02,  8.133333333333320e-01,  6.456888888888880e+00
PdAg_1_5_100,  5.579843483292020e-01,  5.114521555536660e-01,  1.829991527817006e+02,  8.133333333333320e-01,  6.456888888888880e+00
PdAg_1_5_100,  5.670953068021050e-01,  5.425242064969857e-01,  2.058740468794132e+02,  8.133333333333320e-01,  6.456888888888880e+00
