# c0 + a0 * (exp(1.666188e+02*((av_BE_H_surf+2.138753e+00) / (time+5.274657e+02))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.233931213505927; Max AE: 0.643571816527277
# Coefficients
# Task   a0                      c0
# 2   ,  1.613709832862278e+01, -1.546767474992949e+01, 
# 3   ,  1.536951641703224e+01, -1.451655004362818e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         16|0|div|exp:1.6661884631614e+02,0.0000000000000e+00,2.1387532801132e+00,5.2746574086535e+02; (exp(1.666188e+02*((av_BE_H_surf+2.138753e+00) / (time+5.274657e+02)))); $\left(\exp{ \left(1.666e+02\left(\frac{ av_{BE, H, surf} +2.139e+00 }{ time+5.275e+02 } \right) \right)}\right)$; exp(1.666188e+02.*((av_BE_H_surf+2.138753e+00) ./ (time+5.274657e+02))); av_BE_H_surf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 212                   
# 3   , 219                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.641664661656025e-01,  9.934773209914082e-01
PdAg_1_9_100,  4.212956441336370e-01,  5.667210685089727e-01,  9.936356271683520e-01
PdAg_1_9_100,  4.889175556194310e-01,  5.691546084623791e-01,  9.937864312288992e-01
PdAg_1_9_100,  5.056601140297000e-01,  5.714754925124212e-01,  9.939302541146980e-01
PdAg_1_9_100,  5.190263630918930e-01,  5.736913664351188e-01,  9.940675696269154e-01
PdAg_1_9_100,  5.343009987338970e-01,  5.758091994388571e-01,  9.941988096404922e-01
PdAg_1_9_100,  5.245052994310410e-01,  5.797756666752628e-01,  9.944446076864377e-01
PdAg_1_9_100,  5.250038067660980e-01,  5.816354702511106e-01,  9.945598578719403e-01
PdAg_1_9_100,  5.324653140763990e-01,  5.834196766805591e-01,  9.946704233771578e-01
PdAg_1_9_100,  5.301609565427799e-01,  5.867790151007273e-01,  9.948785982517082e-01
PdAg_1_9_100,  5.331594707700800e-01,  5.898857858757836e-01,  9.950711217594534e-01
PdAg_1_9_100,  5.354507873556270e-01,  5.913531952466877e-01,  9.951620556647331e-01
PdAg_1_9_100,  5.337303696543760e-01,  5.927674404719586e-01,  9.952496950405658e-01
PdAg_1_9_100,  5.338785022320920e-01,  5.954475912040428e-01,  9.954157813268054e-01
PdAg_1_9_100,  5.368098128623250e-01,  5.967185940275139e-01,  9.954945441128769e-01
PdAg_1_9_100,  5.372121836650180e-01,  5.979466597046244e-01,  9.955706461265166e-01
PdAg_1_9_100,  5.374193757726820e-01,  5.991339278520802e-01,  9.956442199576526e-01
PdAg_1_9_100,  5.370904880212340e-01,  6.002823982495338e-01,  9.957153895306493e-01
PdAg_1_9_100,  5.357670351206070e-01,  6.013939420799128e-01,  9.957842708008593e-01
PdAg_1_9_100,  5.243066765750370e-01,  6.024703121027025e-01,  9.958509723850518e-01
PdAg_1_9_100,  5.397703104721880e-01,  6.035131518764838e-01,  9.959155961329242e-01
PdAg_1_9_100,  5.484023401121820e-01,  6.073787059327909e-01,  9.961551406890512e-01
PdAg_1_9_100,  5.513618316460450e-01,  6.082752716217635e-01,  9.962106999767691e-01
PdAg_1_5_100,  5.154914790070170e-01,  3.201965529915934e-01,  9.783587471186027e-01
PdAg_1_5_100,  5.367991849441260e-01,  3.282182858316062e-01,  9.788558459573564e-01
PdAg_1_5_100,  5.500936576470050e-01,  3.432047933882079e-01,  9.797845449868480e-01
PdAg_1_5_100,  5.557853067401700e-01,  3.569302490541484e-01,  9.806350978797181e-01
PdAg_1_5_100,  5.582907011266131e-01,  3.633687962223204e-01,  9.810340882704969e-01
PdAg_1_5_100,  5.565493546496050e-01,  3.695473903099751e-01,  9.814169696263535e-01
PdAg_1_5_100,  5.575686028510159e-01,  3.811852465877971e-01,  9.821381560528611e-01
PdAg_1_5_100,  5.602593885180470e-01,  3.866718923381398e-01,  9.824781580556134e-01
PdAg_1_5_100,  5.581440247555720e-01,  3.919535673010910e-01,  9.828054582216900e-01
PdAg_1_5_100,  5.573180603724570e-01,  3.970415465718773e-01,  9.831207552575741e-01
PdAg_1_5_100,  5.579843483292020e-01,  4.019462931902803e-01,  9.834246975474779e-01
PdAg_1_5_100,  5.670953068021050e-01,  4.112443037396470e-01,  9.840008860517565e-01
PdAg_1_5_100,  5.619488591146869e-01,  4.156550432415033e-01,  9.842742152099505e-01
PdAg_1_5_100,  5.641858757894110e-01,  4.199176108785616e-01,  9.845383623044438e-01
PdAg_1_5_100,  5.688182680948790e-01,  4.318873634513206e-01,  9.852801160156130e-01
PdAg_1_5_100,  5.669074847793930e-01,  4.356260870435357e-01,  9.855118010135029e-01
PdAg_1_5_100,  5.726284043483260e-01,  4.427612393757639e-01,  9.859539593363268e-01
PdAg_1_5_100,  5.756184173897150e-01,  4.461679570916635e-01,  9.861650702589055e-01
PdAg_1_5_100,  5.748142709268410e-01,  4.494737873411835e-01,  9.863699292851195e-01
PdAg_1_5_100,  5.815291194929140e-01,  4.526831462285693e-01,  9.865688100765746e-01
PdAg_1_5_100,  5.845225345839020e-01,  4.558001958294460e-01,  9.867619705529750e-01
PdAg_1_1_100, -9.717271086694580e-01, -9.405729627363006e-01,  9.002301089921537e-01
PdAg_1_1_100, -9.805113751193140e-01, -9.033495069409782e-01,  9.025368096788130e-01
PdAg_1_1_100, -9.654552652811350e-01, -8.678069004049198e-01,  9.047393498017182e-01
PdAg_1_1_100, -9.271610956676301e-01, -8.338339059006163e-01,  9.068446226216802e-01
PdAg_1_1_100, -8.529977989918130e-01, -8.013288812068073e-01,  9.088589268064762e-01
PdAg_1_1_100, -7.530017323218090e-01, -7.701987673143418e-01,  9.107880291307304e-01
PdAg_1_1_100, -5.593859615030060e-01, -7.117287403939002e-01,  9.144113587857733e-01
PdAg_1_1_100, -4.916379417262000e-01, -6.842381696134366e-01,  9.161149222282605e-01
PdAg_1_1_100, -3.578780939481840e-01, -6.079588864743243e-01,  9.208418738515157e-01
PdAg_1_1_100, -3.303847196540950e-01, -5.844065510534413e-01,  9.223013887495013e-01
PdAg_1_1_100, -3.034303343562620e-01, -5.617065394253792e-01,  9.237080859862529e-01
PdAg_1_1_100, -2.964391635700440e-01, -5.398134323759357e-01,  9.250647801454879e-01
PdAg_1_1_100, -2.763484965311610e-01, -5.186849797221166e-01,  9.263740894291986e-01
PdAg_1_1_100, -2.576351643592600e-01, -4.982818288111325e-01,  9.276384524823006e-01
PdAg_1_1_100, -2.410399546736480e-01, -4.785672804461921e-01,  9.288601435176692e-01
PdAg_1_1_100, -2.257372496018260e-01, -4.595070690620698e-01,  9.300412859384423e-01
PdAg_1_1_100, -2.107963275440860e-01, -4.410691643868169e-01,  9.311838646288472e-01
PdAg_1_1_100, -1.990275787567010e-01, -4.232235921800646e-01,  9.322897370628708e-01
PdAg_1_1_100, -1.875776586949730e-01, -4.059422719421102e-01,  9.333606433612666e-01
PdAg_1_1_100, -1.764119820223890e-01, -3.891988697493906e-01,  9.343982154111946e-01
