# c0 + a0 * ((av_IP^3) / (av_E_def_subsurf * particle_diameter)) + a1 * (exp(8.626705e-04*((time+3.872705e+02) / (av_BE_H_subsurf+1.369274e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.155870969605082; Max AE: 0.588202439610642
# Coefficients
# Task   a0                      a1                      c0
# 2   , -2.010580935499801e-03, -2.865661645900579e+00,  1.324637820893223e+00, 
# 3   , -3.160655042112520e-03, -2.681974135177978e+00,  1.973176713003434e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2 * nm^-1;                                     5|cb|14|2|mult|div; ((av_IP^3) / (av_E_def_subsurf * particle_diameter)); $\left(\frac{ \left(av_{IP}^3\right) }{ \left(av_{E, def, subsurf} particle_{diameter}\right) } \right)$; ((av_IP).^3 ./ (av_E_def_subsurf .* particle_diameter)); av_IP,av_E_def_subsurf,particle_diameter
# 1;  2; Unitless;                                         0|19|div|exp:8.6267051709912e-04,0.0000000000000e+00,3.8727047954754e+02,1.3692737426690e+00; (exp(8.626705e-04*((time+3.872705e+02) / (av_BE_H_subsurf+1.369274e+00)))); $\left(\exp{ \left(8.627e-04\left(\frac{ time +3.873e+02 }{ av_{BE, H, subsurf}+1.369e+00 } \right) \right)}\right)$; exp(8.626705e-04.*((time+3.872705e+02) ./ (av_BE_H_subsurf+1.369274e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 212                   
# 3   , 219                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.842021001387123e-01,  3.625128786155024e+02,  4.038940938329184e-03
PdAg_1_9_100,  4.212956441336370e-01,  5.861633313030561e-01,  3.625128786155024e+02,  3.354550592682703e-03
PdAg_1_9_100,  4.889175556194310e-01,  5.877922358265916e-01,  3.625128786155024e+02,  2.786128802250566e-03
PdAg_1_9_100,  5.056601140297000e-01,  5.891451257842026e-01,  3.625128786155024e+02,  2.314024930690444e-03
PdAg_1_9_100,  5.190263630918930e-01,  5.902687712839597e-01,  3.625128786155024e+02,  1.921918102110537e-03
PdAg_1_9_100,  5.343009987338970e-01,  5.912020173340332e-01,  3.625128786155024e+02,  1.596252979918435e-03
PdAg_1_9_100,  5.245052994310410e-01,  5.926208954205395e-01,  3.625128786155024e+02,  1.101121920556931e-03
PdAg_1_9_100,  5.250038067660980e-01,  5.931555788089111e-01,  3.625128786155024e+02,  9.145390456608650e-04
PdAg_1_9_100,  5.324653140763990e-01,  5.935996611821733e-01,  3.625128786155024e+02,  7.595722602772781e-04
PdAg_1_9_100,  5.301609565427799e-01,  5.942748301239288e-01,  3.625128786155024e+02,  5.239656098126891e-04
PdAg_1_9_100,  5.331594707700800e-01,  5.947405729173325e-01,  3.625128786155024e+02,  3.614402139516842e-04
PdAg_1_9_100,  5.354507873556270e-01,  5.949160812554025e-01,  3.625128786155024e+02,  3.001949031798805e-04
PdAg_1_9_100,  5.337303696543760e-01,  5.950618500617513e-01,  3.625128786155024e+02,  2.493274860312700e-04
PdAg_1_9_100,  5.338785022320920e-01,  5.952834723927628e-01,  3.625128786155024e+02,  1.719902570082670e-04
PdAg_1_9_100,  5.368098128623250e-01,  5.953669875164446e-01,  3.625128786155024e+02,  1.428468569836042e-04
PdAg_1_9_100,  5.372121836650180e-01,  5.954363511718984e-01,  3.625128786155024e+02,  1.186417469514764e-04
PdAg_1_9_100,  5.374193757726820e-01,  5.954939612966976e-01,  3.625128786155024e+02,  9.853814369408080e-05
PdAg_1_9_100,  5.370904880212340e-01,  5.955418095027596e-01,  3.625128786155024e+02,  8.184105521175885e-05
PdAg_1_9_100,  5.357670351206070e-01,  5.955815499274043e-01,  3.625128786155024e+02,  6.797325448882511e-05
PdAg_1_9_100,  5.243066765750370e-01,  5.956145564177394e-01,  3.625128786155024e+02,  5.645532445601613e-05
PdAg_1_9_100,  5.397703104721880e-01,  5.956419700252685e-01,  3.625128786155024e+02,  4.688908429355891e-05
PdAg_1_9_100,  5.484023401121820e-01,  5.957123995410881e-01,  3.625128786155024e+02,  2.231203210722289e-05
PdAg_1_9_100,  5.513618316460450e-01,  5.957232338299220e-01,  3.625128786155024e+02,  1.853130354518195e-05
PdAg_1_5_100,  5.154914790070170e-01,  3.502606559349769e-01,  3.746206151347641e+02,  7.718011595663243e-02
PdAg_1_5_100,  5.367991849441260e-01,  3.674369926216738e-01,  3.746206151347641e+02,  7.118626922623836e-02
PdAg_1_5_100,  5.500936576470050e-01,  3.978914902161302e-01,  3.746206151347641e+02,  6.055888143325778e-02
PdAg_1_5_100,  5.557853067401700e-01,  4.237994402882256e-01,  3.746206151347641e+02,  5.151805482026333e-02
PdAg_1_5_100,  5.582907011266131e-01,  4.352647178933250e-01,  3.746206151347641e+02,  4.751713670018422e-02
PdAg_1_5_100,  5.565493546496050e-01,  4.458395962571872e-01,  3.746206151347641e+02,  4.382693189914294e-02
PdAg_1_5_100,  5.575686028510159e-01,  4.645893805428749e-01,  3.746206151347641e+02,  3.728401560178109e-02
PdAg_1_5_100,  5.602593885180470e-01,  4.728868908157034e-01,  3.746206151347641e+02,  3.438852014623826e-02
PdAg_1_5_100,  5.581440247555720e-01,  4.805400122559581e-01,  3.746206151347641e+02,  3.171789032809390e-02
PdAg_1_5_100,  5.573180603724570e-01,  4.875987884253693e-01,  3.746206151347641e+02,  2.925466296853839e-02
PdAg_1_5_100,  5.579843483292020e-01,  4.941093764774241e-01,  3.746206151347641e+02,  2.698273108803586e-02
PdAg_1_5_100,  5.670953068021050e-01,  5.056529722852176e-01,  3.746206151347641e+02,  2.295448308314427e-02
PdAg_1_5_100,  5.619488591146869e-01,  5.107614633132268e-01,  3.746206151347641e+02,  2.117182634998908e-02
PdAg_1_5_100,  5.641858757894110e-01,  5.154732263515724e-01,  3.746206151347641e+02,  1.952761163779999e-02
PdAg_1_5_100,  5.688182680948790e-01,  5.275244706688188e-01,  3.746206151347641e+02,  1.532221483720912e-02
PdAg_1_5_100,  5.669074847793930e-01,  5.309344101016344e-01,  3.746206151347641e+02,  1.413228390530944e-02
PdAg_1_5_100,  5.726284043483260e-01,  5.369804019885049e-01,  3.746206151347641e+02,  1.202247729379982e-02
PdAg_1_5_100,  5.756184173897150e-01,  5.396559890260071e-01,  3.746206151347641e+02,  1.108880564371873e-02
PdAg_1_5_100,  5.748142709268410e-01,  5.421237886247648e-01,  3.746206151347641e+02,  1.022764340487309e-02
PdAg_1_5_100,  5.815291194929140e-01,  5.443999376620673e-01,  3.746206151347641e+02,  9.433359459816812e-03
PdAg_1_5_100,  5.845225345839020e-01,  5.464993198171744e-01,  3.746206151347641e+02,  8.700760006524640e-03
PdAg_1_1_100, -9.717271086694580e-01, -7.972194697205076e-01,  2.945575039105995e+02,  5.337774580020114e-01
PdAg_1_1_100, -9.805113751193140e-01, -7.652125248196281e-01,  2.945575039105995e+02,  5.226083288947190e-01
PdAg_1_1_100, -9.654552652811350e-01, -7.338753153947766e-01,  2.945575039105995e+02,  5.116729103781330e-01
PdAg_1_1_100, -9.271610956676301e-01, -7.031938274371418e-01,  2.945575039105995e+02,  5.009663121300371e-01
PdAg_1_1_100, -8.529977989918130e-01, -6.731543401767365e-01,  2.945575039105995e+02,  4.904837461567032e-01
PdAg_1_1_100, -7.530017323218090e-01, -6.437434199464644e-01,  2.945575039105995e+02,  4.802205246516992e-01
PdAg_1_1_100, -5.593859615030060e-01, -5.867549455028578e-01,  2.945575039105995e+02,  4.603338522229669e-01
