# c0 + a0 * ((exp(8.203386e-01*av_E_b_C_subsurf)) * (time / std_dev)) + a1 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a2 * ((av_bulk_int_dist / total_metal_loading) / (av_E_def_subsurf * particle_diameter)) + a3 * (exp(8.626705e-04*((time+3.872705e+02) / (av_BE_H_subsurf+1.369274e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.107781655462979; Max AE: 0.551611001514186
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -5.229263330596214e-06,  3.972770705917448e-07, -3.411248509260949e-03, -2.888744402764514e+00,  1.160982159995977e+00, 
# 3   ,  1.348496893903927e-06,  8.989389828573749e-07, -6.780209892644401e-03, -2.916501694556447e+00,  1.911969751609326e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; min * nm^-1;                                      13|exp:8.2033856733150e-01,0.0000000000000e+00|0|3|div|mult; ((exp(8.203386e-01*av_E_b_C_subsurf)) * (time / std_dev)); $\left(\left(\exp{ \left(8.203e-01av_{E, b, C, subsurf} \right)}\right) \left(\frac{ time }{ std_{dev} } \right)\right)$; (exp(8.203386e-01.*av_E_b_C_subsurf) .* (time ./ std_dev)); av_E_b_C_subsurf,time,std_dev
# 1;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 2;  2; A * eV^-1 * nm^-1;                                8|1|div|14|2|mult|div; ((av_bulk_int_dist / total_metal_loading) / (av_E_def_subsurf * particle_diameter)); $\left(\frac{ \left(\frac{ av_{bulk, int, dist} }{ total_{metal, loading} } \right) }{ \left(av_{E, def, subsurf} particle_{diameter}\right) } \right)$; ((av_bulk_int_dist ./ total_metal_loading) ./ (av_E_def_subsurf .* particle_diameter)); av_bulk_int_dist,total_metal_loading,av_E_def_subsurf,particle_diameter
# 3;  2; Unitless;                                         0|19|div|exp:8.6267051709912e-04,0.0000000000000e+00,3.8727047954754e+02,1.3692737426690e+00; (exp(8.626705e-04*((time+3.872705e+02) / (av_BE_H_subsurf+1.369274e+00)))); $\left(\exp{ \left(8.627e-04\left(\frac{ time +3.873e+02 }{ av_{BE, H, subsurf}+1.369e+00 } \right) \right)}\right)$; exp(8.626705e-04.*((time+3.872705e+02) ./ (av_BE_H_subsurf+1.369274e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 212                   
# 3   , 219                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.233842272067901e-01,  2.086797700413453e+02,  7.660313335186942e+01,  1.831791657110822e+02,  4.038940938329184e-03
PdAg_1_9_100,  4.212956441336370e-01,  5.243004471861842e-01,  4.173595400826907e+02,  1.532062667037388e+02,  1.831791657110822e+02,  3.354550592682703e-03
PdAg_1_9_100,  4.889175556194310e-01,  5.248816636508062e-01,  6.260393101240360e+02,  2.298094000556082e+02,  1.831791657110822e+02,  2.786128802250566e-03
PdAg_1_9_100,  5.056601140297000e-01,  5.251846422664007e-01,  8.347190801653813e+02,  3.064125334074777e+02,  1.831791657110822e+02,  2.314024930690444e-03
PdAg_1_9_100,  5.190263630918930e-01,  5.252565298718483e-01,  1.043398850206727e+03,  3.830156667593470e+02,  1.831791657110822e+02,  1.921918102110537e-03
PdAg_1_9_100,  5.343009987338970e-01,  5.251364843698580e-01,  1.252078620248072e+03,  4.596188001112164e+02,  1.831791657110822e+02,  1.596252979918435e-03
PdAg_1_9_100,  5.245052994310410e-01,  5.244451738444269e-01,  1.669438160330763e+03,  6.128250668149553e+02,  1.831791657110822e+02,  1.101121920556931e-03
PdAg_1_9_100,  5.250038067660980e-01,  5.239233552790366e-01,  1.878117930372108e+03,  6.894282001668247e+02,  1.831791657110822e+02,  9.145390456608650e-04
PdAg_1_9_100,  5.324653140763990e-01,  5.233102059120295e-01,  2.086797700413453e+03,  7.660313335186941e+02,  1.831791657110822e+02,  7.595722602772781e-04
PdAg_1_9_100,  5.301609565427799e-01,  5.218691957030165e-01,  2.504157240496144e+03,  9.192376002224329e+02,  1.831791657110822e+02,  5.239656098126891e-04
PdAg_1_9_100,  5.331594707700800e-01,  5.202170724288204e-01,  2.921516780578835e+03,  1.072443866926172e+03,  1.831791657110822e+02,  3.614402139516842e-04
PdAg_1_9_100,  5.354507873556270e-01,  5.193331856766099e-01,  3.130196550620180e+03,  1.149047000278041e+03,  1.831791657110822e+02,  3.001949031798805e-04
PdAg_1_9_100,  5.337303696543760e-01,  5.184193198422827e-01,  3.338876320661525e+03,  1.225650133629911e+03,  1.831791657110822e+02,  2.493274860312700e-04
PdAg_1_9_100,  5.338785022320920e-01,  5.165211097279516e-01,  3.756235860744216e+03,  1.378856400333649e+03,  1.831791657110822e+02,  1.719902570082670e-04
PdAg_1_9_100,  5.368098128623250e-01,  5.155444887607521e-01,  3.964915630785561e+03,  1.455459533685519e+03,  1.831791657110822e+02,  1.428468569836042e-04
PdAg_1_9_100,  5.372121836650180e-01,  5.145536023359776e-01,  4.173595400826906e+03,  1.532062667037388e+03,  1.831791657110822e+02,  1.186417469514764e-04
PdAg_1_9_100,  5.374193757726820e-01,  5.135508677064645e-01,  4.382275170868252e+03,  1.608665800389258e+03,  1.831791657110822e+02,  9.853814369408080e-05
PdAg_1_9_100,  5.370904880212340e-01,  5.125382925264620e-01,  4.590954940909597e+03,  1.685268933741127e+03,  1.831791657110822e+02,  8.184105521175885e-05
PdAg_1_9_100,  5.357670351206070e-01,  5.115175442572807e-01,  4.799634710950942e+03,  1.761872067092997e+03,  1.831791657110822e+02,  6.797325448882511e-05
PdAg_1_9_100,  5.243066765750370e-01,  5.104900078122960e-01,  5.008314480992288e+03,  1.838475200444866e+03,  1.831791657110822e+02,  5.645532445601613e-05
PdAg_1_9_100,  5.397703104721880e-01,  5.094568334341225e-01,  5.216994251033633e+03,  1.915078333796735e+03,  1.831791657110822e+02,  4.688908429355891e-05
PdAg_1_9_100,  5.484023401121820e-01,  5.052845950524693e-01,  6.051713331199015e+03,  2.221490867204213e+03,  1.831791657110822e+02,  2.231203210722289e-05
PdAg_1_9_100,  5.513618316460450e-01,  5.042347078100429e-01,  6.260393101240360e+03,  2.298094000556082e+03,  1.831791657110822e+02,  1.853130354518195e-05
PdAg_1_5_100,  5.154914790070170e-01,  3.458622556812177e-01,  5.676487035082877e+02,  2.736640576609052e+02,  1.727539376406301e+02,  7.718011595663243e-02
