# c0 + a0 * ((time / av_d_band_center_surf) / (av_d_band_center_surf * surface_area)) + a1 * ((exp(6.860086e-01*av_d_band_center_surf)) * (time / surface_area)) + a2 * ((exp(6.860086e-01*av_d_band_center_surf)) * (time / av_W_change_H)) + a3 * (exp(1.011351e+00*((av_BE_H_subsurf-5.765534e-02) / (std_dev+2.035669e+01)))) + a4 * (exp(3.070622e-01*((std_dev+2.566729e+01) / (av_BE_H_subsurf-3.202031e-01))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.0929677363302399; Max AE: 0.51450808354333
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -1.679232101015489e+01,  1.547799488346868e+01,  4.036721305753368e-04,  2.507343524806902e+02,  2.555870079559903e+02, -2.361705532605161e+02, 
# 3   , -9.444856504544610e+00,  8.951809167414732e+00,  5.890900243653343e-04,  6.415186954802550e+01,  4.012744256173462e-01, -5.959738270581068e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * g * m^-2 * min;                           0|18|div|18|4|mult|div; ((time / av_d_band_center_surf) / (av_d_band_center_surf * surface_area)); $\left(\frac{ \left(\frac{ time }{ av_{d, band, center, surf} } \right) }{ \left(av_{d, band, center, surf} surface_{area}\right) } \right)$; ((time ./ av_d_band_center_surf) ./ (av_d_band_center_surf .* surface_area)); time,av_d_band_center_surf,av_d_band_center_surf,surface_area
# 1;  2; g * m^-2 * min;                                   18|exp:6.8600856500181e-01,0.0000000000000e+00|0|4|div|mult; ((exp(6.860086e-01*av_d_band_center_surf)) * (time / surface_area)); $\left(\left(\exp{ \left(6.860e-01av_{d, band, center, surf} \right)}\right) \left(\frac{ time }{ surface_{area} } \right)\right)$; (exp(6.860086e-01.*av_d_band_center_surf) .* (time ./ surface_area)); av_d_band_center_surf,time,surface_area
# 2;  2; eV^-1 * min;                                      18|exp:6.8600856500181e-01,0.0000000000000e+00|0|17|div|mult; ((exp(6.860086e-01*av_d_band_center_surf)) * (time / av_W_change_H)); $\left(\left(\exp{ \left(6.860e-01av_{d, band, center, surf} \right)}\right) \left(\frac{ time }{ av_{W, change, H} } \right)\right)$; (exp(6.860086e-01.*av_d_band_center_surf) .* (time ./ av_W_change_H)); av_d_band_center_surf,time,av_W_change_H
# 3;  2; Unitless;                                         19|3|div|exp:1.0113505503255e+00,0.0000000000000e+00,-5.7655339489371e-02,2.0356686572095e+01; (exp(1.011351e+00*((av_BE_H_subsurf-5.765534e-02) / (std_dev+2.035669e+01)))); $\left(\exp{ \left(1.011e+00\left(\frac{ av_{BE, H, subsurf} -5.766e-02 }{ std_{dev}+2.036e+01 } \right) \right)}\right)$; exp(1.011351e+00.*((av_BE_H_subsurf-5.765534e-02) ./ (std_dev+2.035669e+01))); av_BE_H_subsurf,std_dev
# 4;  2; Unitless;                                         3|19|div|exp:3.0706215631252e-01,0.0000000000000e+00,2.5667290734041e+01,-3.2020305995874e-01; (exp(3.070622e-01*((std_dev+2.566729e+01) / (av_BE_H_subsurf-3.202031e-01)))); $\left(\exp{ \left(3.071e-01\left(\frac{ std_{dev} +2.567e+01 }{ av_{BE, H, subsurf}-3.202e-01 } \right) \right)}\right)$; exp(3.070622e-01.*((std_dev+2.566729e+01) ./ (av_BE_H_subsurf-3.202031e-01))); std_dev,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 212                   
# 3   , 219                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.806716458898787e-01,  1.234140389811908e-02,  1.299346278324254e-02,  9.208959059968013e+00,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  4.212956441336370e-01,  5.782609805183651e-01,  2.468280779623817e-02,  2.598692556648507e-02,  1.841791811993603e+01,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  4.889175556194310e-01,  5.758503151468798e-01,  3.702421169435725e-02,  3.898038834972761e-02,  2.762687717990404e+01,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.056601140297000e-01,  5.734396497753661e-01,  4.936561559247633e-02,  5.197385113297014e-02,  3.683583623987205e+01,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.190263630918930e-01,  5.710289844038524e-01,  6.170701949059543e-02,  6.496731391621269e-02,  4.604479529984006e+01,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.343009987338970e-01,  5.686183190323387e-01,  7.404842338871451e-02,  7.796077669945523e-02,  5.525375435980807e+01,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.245052994310410e-01,  5.637969882893398e-01,  9.873123118495267e-02,  1.039477022659403e-01,  7.367167247974410e+01,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.250038067660980e-01,  5.613863229178261e-01,  1.110726350830718e-01,  1.169411650491828e-01,  8.288063153971211e+01,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.324653140763990e-01,  5.589756575463124e-01,  1.234140389811909e-01,  1.299346278324254e-01,  9.208959059968012e+01,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.301609565427799e-01,  5.541543268033134e-01,  1.480968467774290e-01,  1.559215533989105e-01,  1.105075087196161e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.331594707700800e-01,  5.493329960603145e-01,  1.727796545736672e-01,  1.819084789653955e-01,  1.289254268395522e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.354507873556270e-01,  5.469223306888292e-01,  1.851210584717863e-01,  1.949019417486381e-01,  1.381343858995202e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.337303696543760e-01,  5.445116653173155e-01,  1.974624623699053e-01,  2.078954045318806e-01,  1.473433449594882e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.338785022320920e-01,  5.396903345743166e-01,  2.221452701661435e-01,  2.338823300983657e-01,  1.657612630794242e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.368098128623250e-01,  5.372796692028029e-01,  2.344866740642626e-01,  2.468757928816082e-01,  1.749702221393922e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.372121836650180e-01,  5.348690038312892e-01,  2.468280779623817e-01,  2.598692556648508e-01,  1.841791811993602e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.374193757726820e-01,  5.324583384597755e-01,  2.591694818605008e-01,  2.728627184480933e-01,  1.933881402593283e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.370904880212340e-01,  5.300476730882618e-01,  2.715108857586199e-01,  2.858561812313358e-01,  2.025970993192963e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.357670351206070e-01,  5.276370077167766e-01,  2.838522896567389e-01,  2.988496440145784e-01,  2.118060583792643e+02,  9.375338076836518e-01,  6.579768615432501e-03
