# c0 + a0 * ((time / av_d_band_center_surf) / (av_d_band_center_surf * surface_area)) + a1 * ((exp(6.860086e-01*av_d_band_center_surf)) * (time / surface_area)) + a2 * ((time / av_W_change_H) * (av_d_band_center_surf + av_E_b_C_subsurf)) + a3 * (exp(1.011351e+00*((av_BE_H_subsurf-5.765534e-02) / (std_dev+2.035669e+01)))) + a4 * (exp(3.070622e-01*((std_dev+2.566729e+01) / (av_BE_H_subsurf-3.202031e-01))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.0943494602373021; Max AE: 0.517345177617189
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -1.605549245792653e+01,  1.480872430086099e+01,  1.886879776035846e-05,  2.524996041916274e+02,  2.575590933749946e+02, -2.378277142749380e+02, 
# 3   , -8.663836885152920e+00,  8.242960982867531e+00,  2.769133696478849e-05,  6.748645232652812e+01,  4.160720425866472e+00, -6.273144107761539e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * g * m^-2 * min;                           0|18|div|18|4|mult|div; ((time / av_d_band_center_surf) / (av_d_band_center_surf * surface_area)); $\left(\frac{ \left(\frac{ time }{ av_{d, band, center, surf} } \right) }{ \left(av_{d, band, center, surf} surface_{area}\right) } \right)$; ((time ./ av_d_band_center_surf) ./ (av_d_band_center_surf .* surface_area)); time,av_d_band_center_surf,av_d_band_center_surf,surface_area
# 1;  2; g * m^-2 * min;                                   18|exp:6.8600856500181e-01,0.0000000000000e+00|0|4|div|mult; ((exp(6.860086e-01*av_d_band_center_surf)) * (time / surface_area)); $\left(\left(\exp{ \left(6.860e-01av_{d, band, center, surf} \right)}\right) \left(\frac{ time }{ surface_{area} } \right)\right)$; (exp(6.860086e-01.*av_d_band_center_surf) .* (time ./ surface_area)); av_d_band_center_surf,time,surface_area
# 2;  2; min;                                              0|17|div|18|13|add|mult; ((time / av_W_change_H) * (av_d_band_center_surf + av_E_b_C_subsurf)); $\left(\left(\frac{ time }{ av_{W, change, H} } \right) \left(av_{d, band, center, surf} + av_{E, b, C, subsurf}\right)\right)$; ((time ./ av_W_change_H) .* (av_d_band_center_surf + av_E_b_C_subsurf)); time,av_W_change_H,av_d_band_center_surf,av_E_b_C_subsurf
# 3;  2; Unitless;                                         19|3|div|exp:1.0113505503255e+00,0.0000000000000e+00,-5.7655339489371e-02,2.0356686572095e+01; (exp(1.011351e+00*((av_BE_H_subsurf-5.765534e-02) / (std_dev+2.035669e+01)))); $\left(\exp{ \left(1.011e+00\left(\frac{ av_{BE, H, subsurf} -5.766e-02 }{ std_{dev}+2.036e+01 } \right) \right)}\right)$; exp(1.011351e+00.*((av_BE_H_subsurf-5.765534e-02) ./ (std_dev+2.035669e+01))); av_BE_H_subsurf,std_dev
# 4;  2; Unitless;                                         3|19|div|exp:3.0706215631252e-01,0.0000000000000e+00,2.5667290734041e+01,-3.2020305995874e-01; (exp(3.070622e-01*((std_dev+2.566729e+01) / (av_BE_H_subsurf-3.202031e-01)))); $\left(\exp{ \left(3.071e-01\left(\frac{ std_{dev} +2.567e+01 }{ av_{BE, H, subsurf}-3.202e-01 } \right) \right)}\right)$; exp(3.070622e-01.*((std_dev+2.566729e+01) ./ (av_BE_H_subsurf-3.202031e-01))); std_dev,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 212                   
# 3   , 219                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.901429259762641e-01,  1.234140389811908e-02,  1.299346278324254e-02,  1.056407766990291e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  4.212956441336370e-01,  5.864055312910896e-01,  2.468280779623817e-02,  2.598692556648507e-02,  2.112815533980582e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  4.889175556194310e-01,  5.826681366059436e-01,  3.702421169435725e-02,  3.898038834972761e-02,  3.169223300970872e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.056601140297000e-01,  5.789307419207692e-01,  4.936561559247633e-02,  5.197385113297014e-02,  4.225631067961164e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.190263630918930e-01,  5.751933472356516e-01,  6.170701949059543e-02,  6.496731391621269e-02,  5.282038834951454e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.343009987338970e-01,  5.714559525504488e-01,  7.404842338871451e-02,  7.796077669945523e-02,  6.338446601941745e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.245052994310410e-01,  5.639811631801568e-01,  9.873123118495267e-02,  1.039477022659403e-01,  8.451262135922327e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.250038067660980e-01,  5.602437684949824e-01,  1.110726350830718e-01,  1.169411650491828e-01,  9.507669902912617e+02,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.324653140763990e-01,  5.565063738098079e-01,  1.234140389811909e-01,  1.299346278324254e-01,  1.056407766990291e+03,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.301609565427799e-01,  5.490315844395159e-01,  1.480968467774290e-01,  1.559215533989105e-01,  1.267689320388349e+03,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.331594707700800e-01,  5.415567950691955e-01,  1.727796545736672e-01,  1.819084789653955e-01,  1.478970873786407e+03,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.354507873556270e-01,  5.378194003840495e-01,  1.851210584717863e-01,  1.949019417486381e-01,  1.584611650485436e+03,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.337303696543760e-01,  5.340820056988467e-01,  1.974624623699053e-01,  2.078954045318806e-01,  1.690252427184465e+03,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.338785022320920e-01,  5.266072163285547e-01,  2.221452701661435e-01,  2.338823300983657e-01,  1.901533980582523e+03,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.368098128623250e-01,  5.228698216434087e-01,  2.344866740642626e-01,  2.468757928816082e-01,  2.007174757281553e+03,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.372121836650180e-01,  5.191324269582342e-01,  2.468280779623817e-01,  2.598692556648508e-01,  2.112815533980582e+03,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.374193757726820e-01,  5.153950322730882e-01,  2.591694818605008e-01,  2.728627184480933e-01,  2.218456310679611e+03,  9.375338076836518e-01,  6.579768615432501e-03
PdAg_1_9_100,  5.370904880212340e-01,  5.116576375879422e-01,  2.715108857586199e-01,  2.858561812313358e-01,  2.324097087378640e+03,  9.375338076836518e-01,  6.579768615432501e-03
