# c0 + a0 * ((std_dev + particle_diameter) * (av_E_def_subsurf * total_metal_loading)) + a1 * (exp(8.867651e-04*((time+3.806286e+02) / (av_BE_H_subsurf+1.366300e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.148057135705018; Max AE: 0.582893221201223
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  2.626112656742894e+01, -3.008511747754049e+00, -1.257793390789838e-01, 
# 3   ,  4.241984860080039e+01, -2.824792928681848e+00, -3.351017067939415e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * nm;                                          3|2|add|14|1|mult|mult; ((std_dev + particle_diameter) * (av_E_def_subsurf * total_metal_loading)); $\left(\left(std_{dev} + particle_{diameter}\right) \left(av_{E, def, subsurf} total_{metal, loading}\right)\right)$; ((std_dev + particle_diameter) .* (av_E_def_subsurf .* total_metal_loading)); std_dev,particle_diameter,av_E_def_subsurf,total_metal_loading
# 1;  2; Unitless;                                         0|19|div|exp:8.8676512290789e-04,0.0000000000000e+00,3.8062855004864e+02,1.3662999682021e+00; (exp(8.867651e-04*((time+3.806286e+02) / (av_BE_H_subsurf+1.366300e+00)))); $\left(\exp{ \left(8.868e-04\left(\frac{ time +3.806e+02 }{ av_{BE, H, subsurf}+1.366e+00 } \right) \right)}\right)$; exp(8.867651e-04.*((time+3.806286e+02) ./ (av_BE_H_subsurf+1.366300e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 173                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.778344489662193e-01,  2.354580000000000e-02,  4.894594776689271e-03
PdAg_1_9_100,  4.889175556194310e-01,  4.823316482952106e-01,  2.354580000000000e-02,  3.399769525516975e-03
PdAg_1_9_100,  5.056601140297000e-01,  4.840354215387560e-01,  2.354580000000000e-02,  2.833451895274270e-03
PdAg_1_9_100,  5.190263630918930e-01,  4.854553882423246e-01,  2.354580000000000e-02,  2.361468794450864e-03
PdAg_1_9_100,  5.343009987338970e-01,  4.866388235655885e-01,  2.354580000000000e-02,  1.968106420464014e-03
PdAg_1_9_100,  5.250038067660980e-01,  4.891322217915772e-01,  2.354580000000000e-02,  1.139325137542279e-03
PdAg_1_9_100,  5.324653140763990e-01,  4.897031874615951e-01,  2.354580000000000e-02,  9.495417104228276e-04
PdAg_1_9_100,  5.301609565427799e-01,  4.905756352407861e-01,  2.354580000000000e-02,  6.595485668552893e-04
PdAg_1_9_100,  5.354507873556270e-01,  4.914112187282698e-01,  2.354580000000000e-02,  3.818087547679716e-04
PdAg_1_9_100,  5.338785022320920e-01,  4.918949330548462e-01,  2.354580000000000e-02,  2.210268243209662e-04
PdAg_1_9_100,  5.368098128623250e-01,  4.920056992660724e-01,  2.354580000000000e-02,  1.842092146477090e-04
PdAg_1_9_100,  5.372121836650180e-01,  4.920980145623817e-01,  2.354580000000000e-02,  1.535245093683716e-04
PdAg_1_9_100,  5.374193757726820e-01,  4.921749524104702e-01,  2.354580000000000e-02,  1.279511180907824e-04
PdAg_1_9_100,  5.370904880212340e-01,  4.922390743133959e-01,  2.354580000000000e-02,  1.066376221493017e-04
PdAg_1_9_100,  5.357670351206070e-01,  4.922925150910750e-01,  2.354580000000000e-02,  8.887442819834504e-05
PdAg_1_9_100,  5.243066765750370e-01,  4.923370539551548e-01,  2.354580000000000e-02,  7.407014361708119e-05
PdAg_1_9_100,  5.397703104721880e-01,  4.923741737445679e-01,  2.354580000000000e-02,  6.173188718818881e-05
PdAg_1_9_100,  5.484023401121820e-01,  4.924702909892275e-01,  2.354580000000000e-02,  2.978345131076898e-05
PdAg_1_9_100,  5.513618316460450e-01,  4.924852167796562e-01,  2.354580000000000e-02,  2.482226395963557e-05
PdAg_1_5_100,  5.154914790070170e-01,  3.631213247803279e-01,  2.765333333333329e-02,  7.887854285289489e-02
PdAg_1_5_100,  5.500936576470050e-01,  4.145490811751420e-01,  2.765333333333329e-02,  6.178445756863214e-02
PdAg_1_5_100,  5.557853067401700e-01,  4.424814175167293e-01,  2.765333333333329e-02,  5.250002104866852e-02
PdAg_1_5_100,  5.582907011266131e-01,  4.548317222826371e-01,  2.765333333333329e-02,  4.839490004486064e-02
PdAg_1_5_100,  5.565493546496050e-01,  4.662163227595704e-01,  2.765333333333329e-02,  4.461076974009046e-02
PdAg_1_5_100,  5.575686028510159e-01,  4.863845507229400e-01,  2.765333333333329e-02,  3.790704721734284e-02
PdAg_1_5_100,  5.602593885180470e-01,  4.953019487840921e-01,  2.765333333333329e-02,  3.494299096334640e-02
PdAg_1_5_100,  5.581440247555720e-01,  5.035220709708934e-01,  2.765333333333329e-02,  3.221070241804228e-02
PdAg_1_5_100,  5.573180603724570e-01,  5.110994392012415e-01,  2.765333333333329e-02,  2.969205902700190e-02
PdAg_1_5_100,  5.670953068021050e-01,  5.304582651033487e-01,  2.765333333333329e-02,  2.325737386529056e-02
PdAg_1_5_100,  5.619488591146869e-01,  5.359294182486917e-01,  2.765333333333329e-02,  2.143881585253644e-02
PdAg_1_5_100,  5.641858757894110e-01,  5.409727668857056e-01,  2.765333333333329e-02,  1.976245589124365e-02
PdAg_1_5_100,  5.688182680948790e-01,  5.538576241685482e-01,  2.765333333333329e-02,  1.547965483771224e-02
PdAg_1_5_100,  5.726284043483260e-01,  5.639501523679387e-01,  2.765333333333329e-02,  1.212499677233329e-02
PdAg_1_5_100,  5.756184173897150e-01,  5.668024827562474e-01,  2.765333333333329e-02,  1.117690993490010e-02
PdAg_1_5_100,  5.748142709268410e-01,  5.694317815885118e-01,  2.765333333333329e-02,  1.030295661421680e-02
PdAg_1_1_100, -9.717271086694580e-01, -7.985856220558059e-01,  3.532100000000001e-02,  5.319492389084776e-01
PdAg_1_1_100, -9.805113751193140e-01, -7.643559032471127e-01,  3.532100000000001e-02,  5.205716137972421e-01
PdAg_1_1_100, -9.271610956676301e-01, -6.980771791364531e-01,  3.532100000000001e-02,  4.985412115027725e-01
PdAg_1_1_100, -8.529977989918130e-01, -6.659971906035226e-01,  3.532100000000001e-02,  4.878781357953637e-01
PdAg_1_1_100, -7.530017323218090e-01, -6.346033466430506e-01,  3.532100000000001e-02,  4.774431278603245e-01
PdAg_1_1_100, -5.593859615030060e-01, -5.738157037687888e-01,  3.532100000000001e-02,  4.572379074819624e-01
PdAg_1_1_100, -4.916379417262000e-01, -5.443934885328054e-01,  3.532100000000001e-02,  4.474582497299367e-01
PdAg_1_1_100, -3.578780939481840e-01, -4.598490834236698e-01,  3.532100000000001e-02,  4.193565129917469e-01
PdAg_1_1_100, -2.576351643592600e-01, -3.305754043210351e-01,  3.532100000000001e-02,  3.763872012717107e-01
PdAg_1_1_100, -2.410399546736480e-01, -3.063557474057290e-01,  3.532100000000001e-02,  3.683368232290167e-01
PdAg_1_1_100, -2.257372496018260e-01, -2.826541139342960e-01,  3.532100000000001e-02,  3.604586311331650e-01
PdAg_1_1_100, -2.107963275440860e-01, -2.594594241342464e-01,  3.532100000000001e-02,  3.527489421757045e-01
PdAg_1_1_100, -1.990275787567010e-01, -2.367608352134045e-01,  3.532100000000001e-02,  3.452041523181321e-01
PdAg_1_1_100, -1.875776586949730e-01, -2.145477362912423e-01,  3.532100000000001e-02,  3.378207346071177e-01
PdAg_1_1_100, -1.764119820223890e-01, -1.928097434386250e-01,  3.532100000000001e-02,  3.305952375257633e-01
PdAg_1_1_100, -1.649059173329500e-01, -1.715366948236483e-01,  3.532100000000001e-02,  3.235242833801271e-01
PdAg_1_1_100, -1.507812993782130e-01, -1.507186459613002e-01,  3.532100000000001e-02,  3.166045667202572e-01
PdAg_1_1_100, -1.281630446115000e-01, -1.104088284959166e-01,  3.532100000000001e-02,  3.032059760398398e-01
PdAg_1_1_100, -1.127993153452220e-01, -7.180490791703703e-02,  3.532100000000001e-02,  2.903744088678988e-01
PdAu_1_9_100, -4.245180861522260e-01, -1.486611263171501e-01,  2.076660000000000e-02,  1.888761440395049e-01
PdAu_1_9_100, -9.100467303064901e-02, -1.171303115384328e-01,  2.076660000000000e-02,  1.783956083386700e-01
PdAu_1_9_100, -7.191156478202700e-02, -8.734910802822815e-02,  2.076660000000000e-02,  1.684966263810835e-01
PdAu_1_9_100, -1.007560701613500e-02, -3.265258565461460e-02,  2.076660000000000e-02,  1.503160351254747e-01
PdAu_1_9_100,  4.079877212234700e-02,  1.614224516744886e-02,  2.076660000000000e-02,  1.340971086551059e-01
PdAu_1_9_100,  5.806571622389000e-02,  3.852829670861831e-02,  2.076660000000000e-02,  1.266562031782098e-01
PdAu_1_9_100,  7.894321375694401e-02,  5.967217013581209e-02,  2.076660000000000e-02,  1.196281856067383e-01
PdAu_1_9_100,  9.683182273926901e-02,  7.964279258716397e-02,  2.076660000000000e-02,  1.129901452313731e-01
PdAu_1_9_100,  1.191551569766660e-01,  1.163210818762809e-01,  2.076660000000000e-02,  1.007986391431890e-01
PdAu_1_9_100,  1.313415091122350e-01,  1.331483166598643e-01,  2.076660000000000e-02,  9.520543020985332e-02
PdAu_1_9_100,  1.429267254119260e-01,  1.490418261400615e-01,  2.076660000000000e-02,  8.992258247224276e-02
PdAu_1_9_100,  1.597320334915230e-01,  1.640534217376676e-01,  2.076660000000000e-02,  8.493287431876366e-02
