# c0 + a0 * ((av_IP / total_metal_loading) / (av_E_def_subsurf * particle_diameter)) + a1 * (exp(8.867651e-04*((time+3.806286e+02) / (av_BE_H_subsurf+1.366300e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.153184329139914; Max AE: 0.576605117165474
# Coefficients
# Task   a0                      a1                      c0
# 2   , -1.309579027644825e-03, -2.998578317129820e+00,  1.214658013634122e+00, 
# 3   , -2.116415089801255e-03, -2.784722936787269e+00,  1.824700019700745e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; nm^-1;                                            5|1|div|14|2|mult|div; ((av_IP / total_metal_loading) / (av_E_def_subsurf * particle_diameter)); $\left(\frac{ \left(\frac{ av_{IP} }{ total_{metal, loading} } \right) }{ \left(av_{E, def, subsurf} particle_{diameter}\right) } \right)$; ((av_IP ./ total_metal_loading) ./ (av_E_def_subsurf .* particle_diameter)); av_IP,total_metal_loading,av_E_def_subsurf,particle_diameter
# 1;  2; Unitless;                                         0|19|div|exp:8.8676512290789e-04,0.0000000000000e+00,3.8062855004864e+02,1.3662999682021e+00; (exp(8.867651e-04*((time+3.806286e+02) / (av_BE_H_subsurf+1.366300e+00)))); $\left(\exp{ \left(8.868e-04\left(\frac{ time +3.806e+02 }{ av_{BE, H, subsurf}+1.366e+00 } \right) \right)}\right)$; exp(8.867651e-04.*((time+3.806286e+02) ./ (av_BE_H_subsurf+1.366300e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 173                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.615851887421325e-01,  4.874818438957266e+02,  4.894594776689271e-03
PdAg_1_9_100,  4.889175556194310e-01,  5.660675393281959e-01,  4.874818438957266e+02,  3.399769525516975e-03
PdAg_1_9_100,  5.056601140297000e-01,  5.677656870948500e-01,  4.874818438957266e+02,  2.833451895274270e-03
PdAg_1_9_100,  5.190263630918930e-01,  5.691809653870308e-01,  4.874818438957266e+02,  2.361468794450864e-03
PdAg_1_9_100,  5.343009987338970e-01,  5.703604932724424e-01,  4.874818438957266e+02,  1.968106420464014e-03
PdAg_1_9_100,  5.250038067660980e-01,  5.728456588570546e-01,  4.874818438957266e+02,  1.139325137542279e-03
PdAg_1_9_100,  5.324653140763990e-01,  5.734147393265656e-01,  4.874818438957266e+02,  9.495417104228276e-04
PdAg_1_9_100,  5.301609565427799e-01,  5.742843064789835e-01,  4.874818438957266e+02,  6.595485668552893e-04
PdAg_1_9_100,  5.354507873556270e-01,  5.751171310573122e-01,  4.874818438957266e+02,  3.818087547679716e-04
PdAg_1_9_100,  5.338785022320920e-01,  5.755992482677369e-01,  4.874818438957266e+02,  2.210268243209662e-04
PdAg_1_9_100,  5.368098128623250e-01,  5.757096487537917e-01,  4.874818438957266e+02,  1.842092146477090e-04
PdAg_1_9_100,  5.372121836650180e-01,  5.758016592457098e-01,  4.874818438957266e+02,  1.535245093683716e-04
PdAg_1_9_100,  5.374193757726820e-01,  5.758783430622904e-01,  4.874818438957266e+02,  1.279511180907824e-04
PdAg_1_9_100,  5.370904880212340e-01,  5.759422532490827e-01,  4.874818438957266e+02,  1.066376221493017e-04
PdAg_1_9_100,  5.357670351206070e-01,  5.759955175773069e-01,  4.874818438957266e+02,  8.887442819834504e-05
PdAg_1_9_100,  5.243066765750370e-01,  5.760399093840530e-01,  4.874818438957266e+02,  7.407014361708119e-05
PdAg_1_9_100,  5.397703104721880e-01,  5.760769066122519e-01,  4.874818438957266e+02,  6.173188718818881e-05
PdAg_1_9_100,  5.484023401121820e-01,  5.761727064993400e-01,  4.874818438957266e+02,  2.978345131076898e-05
PdAg_1_9_100,  5.513618316460450e-01,  5.761875830081584e-01,  4.874818438957266e+02,  2.482226395963557e-05
PdAg_1_5_100,  5.154914790070170e-01,  3.701626722401002e-01,  4.642498392799749e+02,  7.887854285289489e-02
PdAg_1_5_100,  5.500936576470050e-01,  4.214206257246584e-01,  4.642498392799749e+02,  6.178445756863214e-02
PdAg_1_5_100,  5.557853067401700e-01,  4.492607357601895e-01,  4.642498392799749e+02,  5.250002104866852e-02
PdAg_1_5_100,  5.582907011266131e-01,  4.615702625914020e-01,  4.642498392799749e+02,  4.839490004486064e-02
PdAg_1_5_100,  5.565493546496050e-01,  4.729172736724798e-01,  4.642498392799749e+02,  4.461076974009046e-02
PdAg_1_5_100,  5.575686028510159e-01,  4.930189106732456e-01,  4.642498392799749e+02,  3.790704721734284e-02
PdAg_1_5_100,  5.602593885180470e-01,  5.019068654872324e-01,  4.642498392799749e+02,  3.494299096334640e-02
PdAg_1_5_100,  5.581440247555720e-01,  5.100998466753235e-01,  4.642498392799749e+02,  3.221070241804228e-02
PdAg_1_5_100,  5.573180603724570e-01,  5.176521961362794e-01,  4.642498392799749e+02,  2.969205902700190e-02
PdAg_1_5_100,  5.670953068021050e-01,  5.369471035397441e-01,  4.642498392799749e+02,  2.325737386529056e-02
PdAg_1_5_100,  5.619488591146869e-01,  5.424001921652313e-01,  4.642498392799749e+02,  2.143881585253644e-02
PdAg_1_5_100,  5.641858757894110e-01,  5.474268887968684e-01,  4.642498392799749e+02,  1.976245589124365e-02
PdAg_1_5_100,  5.688182680948790e-01,  5.602692031725685e-01,  4.642498392799749e+02,  1.547965483771224e-02
PdAg_1_5_100,  5.726284043483260e-01,  5.703284081087985e-01,  4.642498392799749e+02,  1.212499677233329e-02
PdAg_1_5_100,  5.756184173897150e-01,  5.731713207422818e-01,  4.642498392799749e+02,  1.117690993490010e-02
PdAg_1_5_100,  5.748142709268410e-01,  5.757919382198664e-01,  4.642498392799749e+02,  1.030295661421680e-02
PdAg_1_1_100, -9.717271086694580e-01, -8.065433460538949e-01,  3.253792990635096e+02,  5.319492389084776e-01
PdAg_1_1_100, -9.805113751193140e-01, -7.724266460949126e-01,  3.253792990635096e+02,  5.205716137972421e-01
PdAg_1_1_100, -9.271610956676301e-01, -7.063667594570689e-01,  3.253792990635096e+02,  4.985412115027725e-01
PdAg_1_1_100, -8.529977989918130e-01, -6.743926918469190e-01,  3.253792990635096e+02,  4.878781357953637e-01
PdAg_1_1_100, -7.530017323218090e-01, -6.431025033138330e-01,  3.253792990635096e+02,  4.774431278603245e-01
PdAg_1_1_100, -5.593859615030060e-01, -5.825155675944469e-01,  3.253792990635096e+02,  4.572379074819624e-01
PdAg_1_1_100, -4.916379417262000e-01, -5.531904979102720e-01,  3.253792990635096e+02,  4.474582497299367e-01
PdAg_1_1_100, -3.578780939481840e-01, -4.689252394534455e-01,  3.253792990635096e+02,  4.193565129917469e-01
PdAg_1_1_100, -2.576351643592600e-01, -3.400783930277527e-01,  3.253792990635096e+02,  3.763872012717107e-01
PdAg_1_1_100, -2.410399546736480e-01, -3.159387039842325e-01,  3.253792990635096e+02,  3.683368232290167e-01
PdAg_1_1_100, -2.257372496018260e-01, -2.923153279874280e-01,  3.253792990635096e+02,  3.604586311331650e-01
PdAg_1_1_100, -2.107963275440860e-01, -2.691972218477717e-01,  3.253792990635096e+02,  3.527489421757045e-01
PdAg_1_1_100, -1.990275787567010e-01, -2.465735785735543e-01,  3.253792990635096e+02,  3.452041523181321e-01
PdAg_1_1_100, -1.875776586949730e-01, -2.244338223189942e-01,  3.253792990635096e+02,  3.378207346071177e-01
PdAg_1_1_100, -1.764119820223890e-01, -2.027676034403601e-01,  3.253792990635096e+02,  3.305952375257633e-01
PdAg_1_1_100, -1.649059173329500e-01, -1.815647936578362e-01,  3.253792990635096e+02,  3.235242833801271e-01
PdAg_1_1_100, -1.507812993782130e-01, -1.608154813208682e-01,  3.253792990635096e+02,  3.166045667202572e-01
PdAg_1_1_100, -1.281630446115000e-01, -1.206387578264710e-01,  3.253792990635096e+02,  3.032059760398398e-01
PdAg_1_1_100, -1.127993153452220e-01, -8.216229872989404e-02,  3.253792990635096e+02,  2.903744088678988e-01
PdAu_1_9_100, -4.245180861522260e-01, -2.160047578427947e-01,  6.599852648002079e+02,  1.888761440395049e-01
PdAu_1_9_100, -9.100467303064901e-02, -1.845780507383664e-01,  6.599852648002079e+02,  1.783956083386700e-01
PdAu_1_9_100, -7.191156478202700e-02, -1.548951780786880e-01,  6.599852648002079e+02,  1.684966263810835e-01
PdAu_1_9_100, -1.007560701613500e-02, -1.003792513470195e-01,  6.599852648002079e+02,  1.503160351254747e-01
PdAu_1_9_100,  4.079877212234700e-02, -5.174553010584891e-02,  6.599852648002079e+02,  1.340971086551059e-01
PdAu_1_9_100,  5.806571622389000e-02, -2.943339228301565e-02,  6.599852648002079e+02,  1.266562031782098e-01
PdAu_1_9_100,  7.894321375694401e-02, -8.359331180793942e-03,  6.599852648002079e+02,  1.196281856067383e-01
PdAu_1_9_100,  9.683182273926901e-02,  1.154535275700842e-02,  6.599852648002079e+02,  1.129901452313731e-01
PdAu_1_9_100,  1.191551569766660e-01,  4.810253856619351e-02,  6.599852648002079e+02,  1.007986391431890e-01
