# c0 + a0 * ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)) + a1 * ((av_bulk_int_dist / particle_diameter) / (av_E_def_subsurf * total_metal_loading)) + a2 * (exp(8.867651e-04*((time+3.806286e+02) / (av_BE_H_subsurf+1.366300e+00)))) + a3 * (exp(2.123005e-03*((time+1.178608e+03) / (av_BE_H_surf+1.610004e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.100308000484948; Max AE: 0.502951494072622
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -3.995632197497253e-07, -4.839045882553515e-03, -4.714461513074493e+00,  1.717619439305444e+01,  1.354387141579922e+00, 
# 3   , -8.467654320282056e-07, -6.287686370439196e-03, -2.536360470909456e+00, -3.383313147334504e+00,  1.836357821564125e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|sub|div; ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((time ./ av_W_change_H) ./ (av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; A * eV^-1 * nm^-1;                                8|2|div|14|1|mult|div; ((av_bulk_int_dist / particle_diameter) / (av_E_def_subsurf * total_metal_loading)); $\left(\frac{ \left(\frac{ av_{bulk, int, dist} }{ particle_{diameter} } \right) }{ \left(av_{E, def, subsurf} total_{metal, loading}\right) } \right)$; ((av_bulk_int_dist ./ particle_diameter) ./ (av_E_def_subsurf .* total_metal_loading)); av_bulk_int_dist,particle_diameter,av_E_def_subsurf,total_metal_loading
# 2;  2; Unitless;                                         0|19|div|exp:8.8676512290789e-04,0.0000000000000e+00,3.8062855004864e+02,1.3662999682021e+00; (exp(8.867651e-04*((time+3.806286e+02) / (av_BE_H_subsurf+1.366300e+00)))); $\left(\exp{ \left(8.868e-04\left(\frac{ time +3.806e+02 }{ av_{BE, H, subsurf}+1.366e+00 } \right) \right)}\right)$; exp(8.867651e-04.*((time+3.806286e+02) ./ (av_BE_H_subsurf+1.366300e+00))); time,av_BE_H_subsurf
# 3;  2; Unitless;                                         0|16|div|exp:2.1230046381385e-03,0.0000000000000e+00,1.1786082614100e+03,1.6100035183113e+00; (exp(2.123005e-03*((time+1.178608e+03) / (av_BE_H_surf+1.610004e+00)))); $\left(\exp{ \left(2.123e-03\left(\frac{ time +1.179e+03 }{ av_{BE, H, surf}+1.610e+00 } \right) \right)}\right)$; exp(2.123005e-03.*((time+1.178608e+03) ./ (av_BE_H_surf+1.610004e+00))); time,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 173                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.096363688024650e-01,  6.173101445864158e-01, -7.660313335186942e+01,  1.831791657110822e+02,  4.894594776689271e-03,  1.003599269825404e-02
PdAg_1_9_100,  4.889175556194310e-01,  6.073575442117708e-01, -2.298094000556082e+02,  1.831791657110822e+02,  3.399769525516975e-03,  9.042692803710610e-03
PdAg_1_9_100,  5.056601140297000e-01,  6.021715580297116e-01, -3.064125334074777e+02,  1.831791657110822e+02,  2.833451895274270e-03,  8.583541232172261e-03
PdAg_1_9_100,  5.190263630918930e-01,  5.969412789047484e-01, -3.830156667593470e+02,  1.831791657110822e+02,  2.361468794450864e-03,  8.147703530763346e-03
PdAg_1_9_100,  5.343009987338970e-01,  5.917204560406853e-01, -4.596188001112164e+02,  1.831791657110822e+02,  1.968106420464014e-03,  7.733995914925342e-03
PdAg_1_9_100,  5.250038067660980e-01,  5.764942788458596e-01, -6.894282001668247e+02,  1.831791657110822e+02,  1.139325137542279e-03,  6.614699195303567e-03
PdAg_1_9_100,  5.324653140763990e-01,  5.716506823142099e-01, -7.660313335186941e+02,  1.831791657110822e+02,  9.495417104228276e-04,  6.278831373991440e-03
PdAg_1_9_100,  5.301609565427799e-01,  5.624050933220546e-01, -9.192376002224329e+02,  1.831791657110822e+02,  6.595485668552893e-04,  5.657391848360187e-03
PdAg_1_9_100,  5.354507873556270e-01,  5.497430991418466e-01, -1.149047000278041e+03,  1.831791657110822e+02,  3.818087547679716e-04,  4.838630084436281e-03
PdAg_1_9_100,  5.338785022320920e-01,  5.385649991559068e-01, -1.378856400333649e+03,  1.831791657110822e+02,  2.210268243209662e-04,  4.138362998631249e-03
PdAg_1_9_100,  5.368098128623250e-01,  5.351599582361057e-01, -1.455459533685519e+03,  1.831791657110822e+02,  1.842092146477090e-04,  3.928233569747188e-03
PdAg_1_9_100,  5.372121836650180e-01,  5.319092658491141e-01, -1.532062667037388e+03,  1.831791657110822e+02,  1.535245093683716e-04,  3.728773668137014e-03
PdAg_1_9_100,  5.374193757726820e-01,  5.288084329425952e-01, -1.608665800389258e+03,  1.831791657110822e+02,  1.279511180907824e-04,  3.539441538117803e-03
PdAg_1_9_100,  5.370904880212340e-01,  5.258526406819113e-01, -1.685268933741127e+03,  1.831791657110822e+02,  1.066376221493017e-04,  3.359722932181299e-03
PdAg_1_9_100,  5.357670351206070e-01,  5.230368500972415e-01, -1.761872067092997e+03,  1.831791657110822e+02,  8.887442819834504e-05,  3.189129714239464e-03
PdAg_1_9_100,  5.243066765750370e-01,  5.203558906880634e-01, -1.838475200444866e+03,  1.831791657110822e+02,  7.407014361708119e-05,  3.027198533791550e-03
PdAg_1_9_100,  5.397703104721880e-01,  5.178045316312450e-01, -1.915078333796735e+03,  1.831791657110822e+02,  6.173188718818881e-05,  2.873489567411688e-03
PdAg_1_9_100,  5.484023401121820e-01,  5.087912391456045e-01, -2.221490867204213e+03,  1.831791657110822e+02,  2.978345131076898e-05,  2.332837597429187e-03
PdAg_1_9_100,  5.513618316460450e-01,  5.068106797873998e-01, -2.298094000556082e+03,  1.831791657110822e+02,  2.482226395963557e-05,  2.214385486730057e-03
