# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((std_dev * total_metal_loading) / (av_d_band_center_surf * av_E_b_C_subsurf)) + a2 * (exp(1.057597e-03*((time+6.818818e+02) / (av_BE_H_subsurf+1.202962e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.12719075709259; Max AE: 0.472805082019103
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  3.361545888597317e-07, -2.053042700107584e+02, -4.451625348641104e+00,  1.535796858875257e-01, 
# 3   ,  1.190011650565112e-06, -2.330797307605681e+02, -4.157892755714348e+00,  2.417205754832971e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; eV^-2 * nm;                                       3|1|mult|18|13|mult|div; ((std_dev * total_metal_loading) / (av_d_band_center_surf * av_E_b_C_subsurf)); $\left(\frac{ \left(std_{dev} total_{metal, loading}\right) }{ \left(av_{d, band, center, surf} av_{E, b, C, subsurf}\right) } \right)$; ((std_dev .* total_metal_loading) ./ (av_d_band_center_surf .* av_E_b_C_subsurf)); std_dev,total_metal_loading,av_d_band_center_surf,av_E_b_C_subsurf
# 2;  2; Unitless;                                         0|19|div|exp:1.0575968138366e-03,0.0000000000000e+00,6.8188182811270e+02,1.2029620902458e+00; (exp(1.057597e-03*((time+6.818818e+02) / (av_BE_H_subsurf+1.202962e+00)))); $\left(\exp{ \left(1.058e-03\left(\frac{ time +6.819e+02 }{ av_{BE, H, subsurf}+1.203e+00 } \right) \right)}\right)$; exp(1.057597e-03.*((time+6.818818e+02) ./ (av_BE_H_subsurf+1.202962e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 169                   
# 3   , 176                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.061753106397539e-01,  7.660313335186942e+01, -2.104429758360096e-03,  4.031753056810872e-02
PdAg_1_9_100,  4.212956441336370e-01,  4.170476467766221e-01,  1.532062667037388e+02, -2.104429758360096e-03,  3.788098553284827e-02
PdAg_1_9_100,  5.056601140297000e-01,  4.368654295903073e-01,  3.064125334074777e+02, -2.104429758360096e-03,  3.344074623235895e-02
PdAg_1_9_100,  5.190263630918930e-01,  4.458877111928644e-01,  3.830156667593470e+02, -2.104429758360096e-03,  3.141979199583364e-02
PdAg_1_9_100,  5.343009987338970e-01,  4.543662974624906e-01,  4.596188001112164e+02, -2.104429758360096e-03,  2.952097187670362e-02
PdAg_1_9_100,  5.245052994310410e-01,  4.698218287756885e-01,  6.128250668149553e+02, -2.104429758360096e-03,  2.606065589833728e-02
PdAg_1_9_100,  5.324653140763990e-01,  4.834717687119282e-01,  7.660313335186941e+02, -2.104429758360096e-03,  2.300594264606502e-02
PdAg_1_9_100,  5.301609565427799e-01,  4.955277605977974e-01,  9.192376002224329e+02, -2.104429758360096e-03,  2.030928918668550e-02
PdAg_1_9_100,  5.331594707700800e-01,  5.061766398779559e-01,  1.072443866926172e+03, -2.104429758360096e-03,  1.792872535648827e-02
PdAg_1_9_100,  5.354507873556270e-01,  5.110257377427964e-01,  1.149047000278041e+03, -2.104429758360096e-03,  1.684522281701345e-02
PdAg_1_9_100,  5.337303696543760e-01,  5.155833419838405e-01,  1.225650133629911e+03, -2.104429758360096e-03,  1.582720054619718e-02
PdAg_1_9_100,  5.338785022320920e-01,  5.238934693550336e-01,  1.378856400333649e+03, -2.104429758360096e-03,  1.397200705285444e-02
PdAg_1_9_100,  5.368098128623250e-01,  5.276780951816022e-01,  1.455459533685519e+03, -2.104429758360096e-03,  1.312762437520640e-02
PdAg_1_9_100,  5.372121836650180e-01,  5.312355575658982e-01,  1.532062667037388e+03, -2.104429758360096e-03,  1.233427102381156e-02
PdAg_1_9_100,  5.374193757726820e-01,  5.345795848774337e-01,  1.608665800389258e+03, -2.104429758360096e-03,  1.158886309819825e-02
PdAg_1_9_100,  5.357670351206070e-01,  5.406781496062003e-01,  1.761872067092997e+03, -2.104429758360096e-03,  1.023046851968368e-02
PdAg_1_9_100,  5.243066765750370e-01,  5.434561929967593e-01,  1.838475200444866e+03, -2.104429758360096e-03,  9.612201554202896e-03
PdAg_1_9_100,  5.484023401121820e-01,  5.550435808880385e-01,  2.221490867204213e+03, -2.104429758360096e-03,  7.038167461061881e-03
PdAg_1_9_100,  5.513618316460450e-01,  5.569628026608121e-01,  2.298094000556082e+03, -2.104429758360096e-03,  6.612823652972926e-03
PdAg_1_5_100,  5.154914790070170e-01,  3.858774545854920e-01,  2.736640576609052e+02, -2.980688081737583e-03,  8.530417223849354e-02
PdAg_1_5_100,  5.367991849441260e-01,  4.029811445960730e-01,  3.648854102145402e+02, -2.980688081737583e-03,  8.146893809428829e-02
PdAg_1_5_100,  5.500936576470050e-01,  4.349202505100681e-01,  5.473281153218104e+02, -2.980688081737583e-03,  7.430800821702441e-02
PdAg_1_5_100,  5.557853067401700e-01,  4.640573740881704e-01,  7.297708204290805e+02, -2.980688081737583e-03,  6.777650739464451e-02
PdAg_1_5_100,  5.582907011266131e-01,  4.776530261964625e-01,  8.209921729827156e+02, -2.980688081737583e-03,  6.472930854711120e-02
PdAg_1_5_100,  5.565493546496050e-01,  4.906388030505101e-01,  9.122135255363507e+02, -2.980688081737583e-03,  6.181911027947414e-02
PdAg_1_5_100,  5.602593885180470e-01,  5.262049705829459e-01,  1.185877583197256e+03, -2.980688081737583e-03,  5.385029634627196e-02
PdAg_1_5_100,  5.581440247555720e-01,  5.370133902430944e-01,  1.277098935750891e+03, -2.980688081737583e-03,  5.142921318230454e-02
PdAg_1_5_100,  5.573180603724570e-01,  5.473372472658661e-01,  1.368320288304526e+03, -2.980688081737583e-03,  4.911698074125898e-02
PdAg_1_5_100,  5.579843483292020e-01,  5.571983273520434e-01,  1.459541640858161e+03, -2.980688081737583e-03,  4.690870514751089e-02
PdAg_1_5_100,  5.619488591146869e-01,  5.842083331212972e-01,  1.733205698519066e+03, -2.980688081737583e-03,  4.086192217897514e-02
PdAg_1_5_100,  5.688182680948790e-01,  6.149031349253875e-01,  2.098091108733607e+03, -2.980688081737583e-03,  3.399428586533722e-02
PdAg_1_5_100,  5.669074847793930e-01,  6.217375148046574e-01,  2.189312461287242e+03, -2.980688081737583e-03,  3.246591928680564e-02
PdAg_1_5_100,  5.726284043483260e-01,  6.345023520891081e-01,  2.371755166394512e+03, -2.980688081737583e-03,  2.961224061058850e-02
PdAg_1_5_100,  5.756184173897150e-01,  6.404596966656064e-01,  2.462976518948147e+03, -2.980688081737583e-03,  2.828088865797086e-02
