# c0 + a0 * ((av_E_def_subsurf * particle_diameter) / (av_PE^2)) + a1 * (exp(1.057600e-03*((time+6.791384e+02) / (av_BE_H_subsurf+1.206794e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.155451330483558; Max AE: 0.651067727025576
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  2.282481158649730e+00, -4.560193434658657e+00, -8.680680338338986e-02, 
# 3   ,  4.555773597680989e+00, -4.422200505717964e+00, -5.701031716286690e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * nm;                                          14|2|mult|7|sq|div; ((av_E_def_subsurf * particle_diameter) / (av_PE^2)); $\left(\frac{ \left(av_{E, def, subsurf} particle_{diameter}\right) }{ \left(av_{PE}^2\right) } \right)$; ((av_E_def_subsurf .* particle_diameter) ./ (av_PE).^2); av_E_def_subsurf,particle_diameter,av_PE
# 1;  2; Unitless;                                         0|19|div|exp:1.0575996301281e-03,0.0000000000000e+00,6.7913836464704e+02,1.2067940106169e+00; (exp(1.057600e-03*((time+6.791384e+02) / (av_BE_H_subsurf+1.206794e+00)))); $\left(\exp{ \left(1.058e-03\left(\frac{ time +6.791e+02 }{ av_{BE, H, subsurf}+1.207e+00 } \right) \right)}\right)$; exp(1.057600e-03.*((time+6.791384e+02) ./ (av_BE_H_subsurf+1.206794e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.734780794294077e-01,  3.227281284457951e-01,  3.866853287205320e-02
PdAg_1_9_100,  4.212956441336370e-01,  4.843104154708466e-01,  3.227281284457951e-01,  3.629312134693886e-02
PdAg_1_9_100,  4.889175556194310e-01,  4.944773201145679e-01,  3.227281284457951e-01,  3.406363156993727e-02
PdAg_1_9_100,  5.190263630918930e-01,  5.129758341470125e-01,  3.227281284457951e-01,  3.000711197323525e-02
PdAg_1_9_100,  5.343009987338970e-01,  5.213818194892206e-01,  3.227281284457951e-01,  2.816377232928060e-02
PdAg_1_9_100,  5.245052994310410e-01,  5.366763701178029e-01,  3.227281284457951e-01,  2.480984648211373e-02
PdAg_1_9_100,  5.250038067660980e-01,  5.436264293589954e-01,  3.227281284457951e-01,  2.328577533452377e-02
PdAg_1_9_100,  5.324653140763990e-01,  5.501495458228038e-01,  3.227281284457951e-01,  2.185532801747991e-02
PdAg_1_9_100,  5.331594707700800e-01,  5.724735473090642e-01,  3.227281284457951e-01,  1.695992131902890e-02
PdAg_1_9_100,  5.354507873556270e-01,  5.772245826682789e-01,  3.227281284457951e-01,  1.591807179503598e-02
PdAg_1_9_100,  5.337303696543760e-01,  5.816837614891077e-01,  3.227281284457951e-01,  1.494022318297101e-02
PdAg_1_9_100,  5.338785022320920e-01,  5.897971632451893e-01,  3.227281284457951e-01,  1.316104388447511e-02
PdAg_1_9_100,  5.372121836650180e-01,  5.969443681601653e-01,  3.227281284457951e-01,  1.159374087038467e-02
PdAg_1_9_100,  5.374193757726820e-01,  6.001921587474347e-01,  3.227281284457951e-01,  1.088153630410786e-02
PdAg_1_9_100,  5.370904880212340e-01,  6.032404372606959e-01,  3.227281284457951e-01,  1.021308252973648e-02
PdAg_1_9_100,  5.357670351206070e-01,  6.061014597449756e-01,  3.227281284457951e-01,  9.585691932106287e-03
PdAg_1_9_100,  5.243066765750370e-01,  6.087867293553293e-01,  3.227281284457951e-01,  8.996841996499416e-03
PdAg_1_9_100,  5.397703104721880e-01,  6.113070426069408e-01,  3.227281284457951e-01,  8.444165166508723e-03
PdAg_1_9_100,  5.484023401121820e-01,  6.199322874706463e-01,  3.227281284457951e-01,  6.552744333753821e-03
PdAg_1_5_100,  5.154914790070170e-01,  2.462848866615173e-01,  3.127703893606789e-01,  8.350541180121805e-02
PdAg_1_5_100,  5.367991849441260e-01,  2.636146248908072e-01,  3.127703893606789e-01,  7.970519181546495e-02
PdAg_1_5_100,  5.557853067401700e-01,  3.253978582021415e-01,  3.127703893606789e-01,  6.615681186259594e-02
PdAg_1_5_100,  5.582907011266131e-01,  3.391272705472040e-01,  3.127703893606789e-01,  6.314610353590186e-02
PdAg_1_5_100,  5.575686028510159e-01,  3.766791066295209e-01,  3.127703893606789e-01,  5.491140107856458e-02
PdAg_1_5_100,  5.581440247555720e-01,  3.989518469929695e-01,  3.127703893606789e-01,  5.002723537757262e-02
PdAg_1_5_100,  5.573180603724570e-01,  4.093339153491161e-01,  3.127703893606789e-01,  4.775056257741458e-02
PdAg_1_5_100,  5.579843483292020e-01,  4.192435096127523e-01,  3.127703893606789e-01,  4.557749812178850e-02
PdAg_1_5_100,  5.670953068021050e-01,  4.377303040150614e-01,  3.127703893606789e-01,  4.152354851039598e-02
PdAg_1_5_100,  5.619488591146869e-01,  4.463476164803822e-01,  3.127703893606789e-01,  3.963386716490151e-02
PdAg_1_5_100,  5.641858757894110e-01,  4.545727665415209e-01,  3.127703893606789e-01,  3.783018269866256e-02
PdAg_1_5_100,  5.688182680948790e-01,  4.770696862264640e-01,  3.127703893606789e-01,  3.289685695112726e-02
PdAg_1_5_100,  5.669074847793930e-01,  4.838967158432572e-01,  3.127703893606789e-01,  3.139976483987907e-02
PdAg_1_5_100,  5.726284043483260e-01,  4.966328470658308e-01,  3.127703893606789e-01,  2.860687208103781e-02
PdAg_1_5_100,  5.756184173897150e-01,  5.025695833087858e-01,  3.127703893606789e-01,  2.730501146305739e-02
PdAg_1_5_100,  5.748142709268410e-01,  5.082361465984676e-01,  3.127703893606789e-01,  2.606239678653633e-02
PdAg_1_5_100,  5.815291194929140e-01,  5.136448321458632e-01,  3.127703893606789e-01,  2.487633184764838e-02
PdAg_1_5_100,  5.845225345839020e-01,  5.188073756232957e-01,  3.127703893606789e-01,  2.374424314320970e-02
PdAg_1_1_100, -9.717271086694580e-01, -8.042557946891846e-01,  4.010107346587012e-01,  3.580436797200867e-01
PdAg_1_1_100, -9.654552652811350e-01, -7.401755351928359e-01,  4.010107346587012e-01,  3.439915873221366e-01
PdAg_1_1_100, -9.271610956676301e-01, -7.090847730677373e-01,  4.010107346587012e-01,  3.371737269461270e-01
PdAg_1_1_100, -8.529977989918130e-01, -6.786102250681146e-01,  4.010107346587012e-01,  3.304909955146030e-01
PdAg_1_1_100, -7.530017323218090e-01, -6.487396779247363e-01,  4.010107346587012e-01,  3.239407147926594e-01
PdAg_1_1_100, -3.578780939481840e-01, -4.815463735842225e-01,  4.010107346587012e-01,  2.872770717397570e-01
PdAg_1_1_100, -3.303847196540950e-01, -4.555816016809740e-01,  4.010107346587012e-01,  2.815832843433915e-01
PdAg_1_1_100, -3.034303343562620e-01, -4.301314475650658e-01,  4.010107346587012e-01,  2.760023469378682e-01
PdAg_1_1_100, -2.964391635700440e-01, -4.051857115910689e-01,  4.010107346587012e-01,  2.705320228537180e-01
PdAg_1_1_100, -2.763484965311610e-01, -3.807343962689592e-01,  4.010107346587012e-01,  2.651701197519168e-01
PdAg_1_1_100, -2.576351643592600e-01, -3.567677022574277e-01,  4.010107346587012e-01,  2.599144887452629e-01
PdAg_1_1_100, -2.257372496018260e-01, -3.102499480586153e-01,  4.010107346587012e-01,  2.497136595775207e-01
PdAg_1_1_100, -2.107963275440860e-01, -2.876802449744468e-01,  4.010107346587012e-01,  2.447643732352720e-01
PdAg_1_1_100, -1.990275787567010e-01, -2.655578699355761e-01,  4.010107346587012e-01,  2.399131809874311e-01
PdAg_1_1_100, -1.875776586949730e-01, -2.438739569689178e-01,  4.010107346587012e-01,  2.351581386241281e-01
PdAg_1_1_100, -1.764119820223890e-01, -2.226198158236084e-01,  4.010107346587012e-01,  2.304973404694331e-01
PdAg_1_1_100, -1.649059173329500e-01, -2.017869284882218e-01,  4.010107346587012e-01,  2.259289186176206e-01
PdAg_1_1_100, -1.507812993782130e-01, -1.813669457770074e-01,  4.010107346587012e-01,  2.214510421845690e-01
PdAg_1_1_100, -1.405274874960350e-01, -1.613516839837943e-01,  4.010107346587012e-01,  2.170619165739991e-01
PdAg_1_1_100, -1.281630446115000e-01, -1.417331216022081e-01,  4.010107346587012e-01,  2.127597827582535e-01
PdAg_1_1_100, -1.127993153452220e-01, -1.036548008224801e-01,  4.010107346587012e-01,  2.044096280279031e-01
PdAu_1_9_100, -4.245180861522260e-01, -1.076306954891888e-01,  2.656035729731486e-01,  1.375071150099132e-01
PdAu_1_9_100, -9.100467303064901e-02, -8.384452658195102e-02,  2.656035729731486e-01,  1.322910711626376e-01
PdAu_1_9_100, -7.191156478202700e-02, -6.096063607659721e-02,  2.656035729731486e-01,  1.272728869927666e-01
PdAu_1_9_100, -1.007560701613500e-02, -1.776408441353412e-02,  2.656035729731486e-01,  1.178003608199166e-01
PdAu_1_9_100,  9.299946229292000e-03,  2.613183188903158e-03,  2.656035729731486e-01,  1.133318513379361e-01
PdAu_1_9_100,  4.079877212234700e-02,  2.221748190682623e-02,  2.656035729731486e-01,  1.090328453859242e-01
PdAu_1_9_100,  7.894321375694401e-02,  5.922334427051659e-02,  2.656035729731486e-01,  1.009178689284704e-01
PdAu_1_9_100,  9.683182273926901e-02,  7.668025532503227e-02,  2.656035729731486e-01,  9.708976134824399e-02
PdAu_1_9_100,  1.191551569766660e-01,  1.096326224090935e-01,  2.656035729731486e-01,  8.986367158774948e-02
PdAu_1_9_100,  1.313415091122350e-01,  1.251773632820050e-01,  2.656035729731486e-01,  8.645488178625389e-02
PdAu_1_9_100,  1.429267254119260e-01,  1.401324470307614e-01,  2.656035729731486e-01,  8.317539727248439e-02
PdAu_1_9_100,  1.597320334915230e-01,  1.545202410609635e-01,  2.656035729731486e-01,  8.002031312170010e-02
PdAu_1_9_100,  1.699090731693030e-01,  1.683622643176190e-01,  2.656035729731486e-01,  7.698491046718715e-02
PdAu_1_9_100,  1.835385422534630e-01,  1.816792194697149e-01,  2.656035729731486e-01,  7.406464944253771e-02
PdAu_1_9_100,  2.085112147402500e-01,  2.068168393638332e-01,  2.656035729731486e-01,  6.855224733628805e-02
PdAu_1_9_100,  2.229614152668760e-01,  2.186751009090205e-01,  2.656035729731486e-01,  6.595186169144644e-02
PdAu_1_9_100,  2.228328257008080e-01,  2.300835441872205e-01,  2.656035729731486e-01,  6.345011621909588e-02
PdAu_1_9_100,  2.440082744924090e-01,  2.410592321104418e-01,  2.656035729731486e-01,  6.104326921129065e-02
PdAu_1_9_100,  2.592868694966930e-01,  2.516185803449321e-01,  2.656035729731486e-01,  5.872772089392400e-02
PdAu_1_9_100,  2.857011488378830e-01,  2.715508305640421e-01,  2.656035729731486e-01,  5.435679880372938e-02
PdAu_1_9_100,  2.971222466409820e-01,  2.809535439982453e-01,  2.656035729731486e-01,  5.229488770962092e-02
PdAu_1_9_100,  3.090110205184420e-01,  2.899995852300494e-01,  2.656035729731486e-01,  5.031119088591784e-02
PdAu_1_9_100,  3.282848750136670e-01,  2.987024838709703e-01,  2.656035729731486e-01,  4.840274143840610e-02
PdAu_1_9_100,  3.423906872889970e-01,  3.070752563151037e-01,  2.656035729731486e-01,  4.656668501577759e-02
PdAu_1_5_100, -8.038512742030930e-01, -3.496793211032634e-01,  2.626908697806413e-01,  1.891278277777824e-01
PdAu_1_5_100, -2.650632524963940e-01, -2.696563242138249e-01,  2.626908697806413e-01,  1.715796693419488e-01
PdAu_1_5_100, -2.174925417142420e-01, -2.446673757617383e-01,  2.626908697806413e-01,  1.660998692391365e-01
PdAu_1_5_100, -1.699783647313870e-01, -2.204765081243664e-01,  2.626908697806413e-01,  1.607950794349332e-01
PdAu_1_5_100, -1.362761787390710e-01, -1.970582327147030e-01,  2.626908697806413e-01,  1.556597105640256e-01
PdAu_1_5_100, -9.689959266113200e-02, -1.524415484219941e-01,  2.626908697806413e-01,  1.458757650073283e-01
PdAu_1_5_100, -7.919011777646100e-02, -1.311961293921205e-01,  2.626908697806413e-01,  1.412168795161114e-01
PdAu_1_5_100, -7.525787289907200e-02, -1.106292327642931e-01,  2.626908697806413e-01,  1.367067864855146e-01
PdAu_1_5_100, -5.369294007029500e-02, -9.071918833048140e-02,  2.626908697806413e-01,  1.323407338785155e-01
PdAu_1_5_100, -2.593796229460700e-02, -5.278641355447740e-02,  2.626908697806413e-01,  1.240224957775382e-01
PdAu_1_5_100, -1.512413556708100e-02, -3.472371553337610e-02,  2.626908697806413e-01,  1.200615458134818e-01
PdAu_1_5_100,  2.416643494279400e-02, -1.723789223672628e-02,  2.626908697806413e-01,  1.162270980982264e-01
PdAu_1_5_100,  2.409704628662700e-02, -3.105198140417376e-04,  2.626908697806413e-01,  1.125151124850653e-01
PdAu_1_5_100,  7.309947033697700e-02,  4.729641673358405e-02,  2.626908697806413e-01,  1.020754376708786e-01
PdAu_1_5_100,  9.356113070450700e-02,  6.216273428719973e-02,  2.626908697806413e-01,  9.881541860225138e-02
PdAu_1_5_100,  1.369928787734220e-01,  9.048616055500779e-02,  2.626908697806413e-01,  9.260440438242845e-02
PdAu_1_5_100,  1.588196272209420e-01,  1.039731121059916e-01,  2.626908697806413e-01,  8.964686502708456e-02
PdAu_1_5_100,  2.045384443122770e-01,  1.296685593109982e-01,  2.626908697806413e-01,  8.401213755922880e-02
PdAu_1_5_100,  2.698969616536510e-01,  1.652154330924514e-01,  2.626908697806413e-01,  7.621710116641098e-02
PdAu_1_1_100, -9.528343749756660e-01, -1.336985916712902e+00,  2.456871227901512e-01,  3.971224835019416e-01
PdAu_1_1_100, -9.568121972548200e-01, -1.304680595908599e+00,  2.456871227901512e-01,  3.900382838364682e-01
PdAu_1_1_100, -9.568121972548200e-01, -1.272951564164581e+00,  2.456871227901512e-01,  3.830804579901192e-01
PdAu_1_1_100, -9.568121972548200e-01, -1.241788541159439e+00,  2.456871227901512e-01,  3.762467516020755e-01
PdAu_1_1_100, -9.568121972548200e-01, -1.211181429960653e+00,  2.456871227901512e-01,  3.695349505266730e-01
PdAu_1_1_100, -9.568121972548200e-01, -1.181120313753144e+00,  2.456871227901512e-01,  3.629428801160109e-01
PdAu_1_1_100, -9.535933252350800e-01, -1.122597280417666e+00,  2.456871227901512e-01,  3.501094259711302e-01
PdAu_1_1_100, -9.527045141986290e-01, -1.094116401614559e+00,  2.456871227901512e-01,  3.438638841512054e-01
PdAu_1_1_100, -9.506663607269330e-01, -1.038669777207392e+00,  2.456871227901512e-01,  3.317050524696898e-01
PdAu_1_1_100, -9.495458690001219e-01, -1.011686066695849e+00,  2.456871227901512e-01,  3.257878231025187e-01
PdAu_1_1_100, -9.482966843584680e-01, -9.851837139540638e-01,  2.456871227901512e-01,  3.199761501720766e-01
PdAu_1_1_100, -9.465978713907660e-01, -9.591541321235906e-01,  2.456871227901512e-01,  3.142681506752479e-01
PdAu_1_1_100, -9.438406491539700e-01, -9.084796969277057e-01,  2.456871227901512e-01,  3.031558073235940e-01
PdAu_1_1_100, -9.409292111285500e-01, -8.595970809850222e-01,  2.456871227901512e-01,  2.924363901227440e-01
PdAu_1_1_100, -9.371761903144160e-01, -8.124429265842255e-01,  2.456871227901512e-01,  2.820960054271271e-01
PdAu_1_1_100, -9.331182416744070e-01, -7.448194590485560e-01,  2.456871227901512e-01,  2.672669266819771e-01
PdAu_1_1_100, -9.309761215251300e-01, -7.230776938110329e-01,  2.456871227901512e-01,  2.624991979553227e-01
PdAu_1_1_100, -9.265071722522060e-01, -6.601519321924172e-01,  2.456871227901512e-01,  2.487002741771418e-01
PdAu_1_1_100, -9.240702334290249e-01, -6.200500449986003e-01,  2.456871227901512e-01,  2.399063737059398e-01
PdCu_1_9_100, -9.866203845893050e-01, -6.754113772393558e-01,  3.565196381110903e-01,  3.075207117037831e-01
PdCu_1_9_100, -9.156195277668751e-01, -6.124080320234594e-01,  3.565196381110903e-01,  2.937047747005291e-01
PdCu_1_9_100, -8.743534284765540e-01, -5.819758975655431e-01,  3.565196381110903e-01,  2.870313440897519e-01
PdCu_1_9_100, -8.289577796871100e-01, -5.522352286714735e-01,  3.565196381110903e-01,  2.805095442318703e-01
PdCu_1_9_100, -7.852647984540430e-01, -5.231703141650709e-01,  3.565196381110903e-01,  2.741359298396602e-01
PdCu_1_9_100, -7.406333925295950e-01, -4.947657998525852e-01,  3.565196381110903e-01,  2.679071339081973e-01
