# c0 + a0 * ((av_PE - total_metal_loading) * (av_delta_M1_M2_subsurf * total_metal_loading)) + a1 * ((exp(4.463263e-01*std_dev)) / (surface_area^3)) + a2 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a3 * (exp(2.300879e-03*((time+7.423001e+02) / (av_mu_C_critical_surf+4.051936e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.113652339315111; Max AE: 0.588705316974226
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -7.853564838901536e+02,  1.832066402401707e+04,  8.565502821652807e-07, -5.012008417940983e+00,  1.772784047125356e+00, 
# 3   , -5.193812326340159e+02,  2.260521133514779e+04,  1.655300060760901e-06, -4.702322611225370e+00,  1.369592543393396e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         7|1|sub|15|1|mult|mult; ((av_PE - total_metal_loading) * (av_delta_M1_M2_subsurf * total_metal_loading)); $\left(\left(av_{PE} - total_{metal, loading}\right) \left(av_{delta, M1, M2, subsurf} total_{metal, loading}\right)\right)$; ((av_PE - total_metal_loading) .* (av_delta_M1_M2_subsurf .* total_metal_loading)); av_PE,total_metal_loading,av_delta_M1_M2_subsurf,total_metal_loading
# 1;  2; g^3 * m^-6;                                       3|exp:4.4632632535234e-01,0.0000000000000e+00|4|cb|div; ((exp(4.463263e-01*std_dev)) / (surface_area^3)); $\left(\frac{ \left(\exp{ \left(4.463e-01std_{dev} \right)}\right) }{ \left(surface_{area}^3\right) } \right)$; (exp(4.463263e-01.*std_dev) ./ (surface_area).^3); std_dev,surface_area
# 2;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 3;  2; Unitless;                                         0|11|div|exp:2.3008794781640e-03,0.0000000000000e+00,7.4230011027975e+02,4.0519355730585e+00; (exp(2.300879e-03*((time+7.423001e+02) / (av_mu_C_critical_surf+4.051936e+00)))); $\left(\exp{ \left(2.301e-03\left(\frac{ time +7.423e+02 }{ av_{mu, C, critical, surf}+4.052e+00 } \right) \right)}\right)$; exp(2.300879e-03.*((time+7.423001e+02) ./ (av_mu_C_critical_surf+4.051936e+00))); time,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.096363688024650e-01,  5.500573728330035e-01,  1.785769555200000e-03,  9.807145087458438e-06,  7.660313335186942e+01,  0.000000000000000e+00
PdAg_1_9_100,  4.212956441336370e-01,  5.501229872684908e-01,  1.785769555200000e-03,  9.807145087458438e-06,  1.532062667037388e+02,  0.000000000000000e+00
PdAg_1_9_100,  4.889175556194310e-01,  5.501886017039781e-01,  1.785769555200000e-03,  9.807145087458438e-06,  2.298094000556082e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.190263630918930e-01,  5.503198305749527e-01,  1.785769555200000e-03,  9.807145087458438e-06,  3.830156667593470e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.343009987338970e-01,  5.503854450104400e-01,  1.785769555200000e-03,  9.807145087458438e-06,  4.596188001112164e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.245052994310410e-01,  5.505166738814146e-01,  1.785769555200000e-03,  9.807145087458438e-06,  6.128250668149553e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.250038067660980e-01,  5.505822883169018e-01,  1.785769555200000e-03,  9.807145087458438e-06,  6.894282001668247e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.324653140763990e-01,  5.506479027523892e-01,  1.785769555200000e-03,  9.807145087458438e-06,  7.660313335186941e+02,  0.000000000000000e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.509103604943383e-01,  1.785769555200000e-03,  9.807145087458438e-06,  1.072443866926172e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.354507873556270e-01,  5.509759749298255e-01,  1.785769555200000e-03,  9.807145087458438e-06,  1.149047000278041e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.337303696543760e-01,  5.510415893653129e-01,  1.785769555200000e-03,  9.807145087458438e-06,  1.225650133629911e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.338785022320920e-01,  5.511728182362874e-01,  1.785769555200000e-03,  9.807145087458438e-06,  1.378856400333649e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.372121836650180e-01,  5.513040471072620e-01,  1.785769555200000e-03,  9.807145087458438e-06,  1.532062667037388e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.374193757726820e-01,  5.513696615427492e-01,  1.785769555200000e-03,  9.807145087458438e-06,  1.608665800389258e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.370904880212340e-01,  5.514352759782366e-01,  1.785769555200000e-03,  9.807145087458438e-06,  1.685268933741127e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.357670351206070e-01,  5.515008904137239e-01,  1.785769555200000e-03,  9.807145087458438e-06,  1.761872067092997e+03,  0.000000000000000e+00
PdAg_1_9_100,  5.243066765750370e-01,  5.515665048492112e-01,  1.785769555200000e-03,  9.807145087458438e-06,  1.838475200444866e+03,  0.000000000000000e+00
