# c0 + a0 * ((time / av_W_change_H) / (av_bulk_int_dist^6)) + a1 * ((time / av_W_change_H) * (av_E_def_subsurf * av_E_coh)) + a2 * (exp(1.956335e-01*((std_dev+4.518451e+01) / (av_BE_H_surf+8.957595e-02))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.13008887832167; Max AE: 0.650674718413306
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  1.772269954919440e-01, -4.226076551249627e-04, -1.269415882025809e+02,  1.724371793861186e+00, 
# 3   ,  2.480188528276189e-01, -5.650008852100181e-04, -1.269154553175646e+02,  1.837854308531326e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; A^-6 * eV^-1 * min;                               0|17|div|8|sp|div; ((time / av_W_change_H) / (av_bulk_int_dist^6)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(av_{bulk, int, dist}^6\right) } \right)$; ((time ./ av_W_change_H) ./ (av_bulk_int_dist).^6); time,av_W_change_H,av_bulk_int_dist
# 1;  2; atom^-1 * eV * min;                               0|17|div|14|9|mult|mult; ((time / av_W_change_H) * (av_E_def_subsurf * av_E_coh)); $\left(\left(\frac{ time }{ av_{W, change, H} } \right) \left(av_{E, def, subsurf} av_{E, coh}\right)\right)$; ((time ./ av_W_change_H) .* (av_E_def_subsurf .* av_E_coh)); time,av_W_change_H,av_E_def_subsurf,av_E_coh
# 2;  2; Unitless;                                         3|16|div|exp:1.9563352699229e-01,0.0000000000000e+00,4.5184514210074e+01,8.9575950467747e-02; (exp(1.956335e-01*((std_dev+4.518451e+01) / (av_BE_H_surf+8.957595e-02)))); $\left(\exp{ \left(1.956e-01\left(\frac{ std_{dev} +4.518e+01 }{ av_{BE, H, surf}+8.958e-02 } \right) \right)}\right)$; exp(1.956335e-01.*((std_dev+4.518451e+01) ./ (av_BE_H_surf+8.957595e-02))); std_dev,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.933431268576683e-01,  2.319033024834493e-01,  8.197200000000001e+01,  1.053623337142258e-02
PdAg_1_9_100,  4.212956441336370e-01,  3.998006576955658e-01,  4.638066049668986e-01,  1.639440000000000e+02,  1.053623337142258e-02
PdAg_1_9_100,  4.889175556194310e-01,  4.062581885334638e-01,  6.957099074503479e-01,  2.459160000000000e+02,  1.053623337142258e-02
PdAg_1_9_100,  5.056601140297000e-01,  4.127157193713614e-01,  9.276132099337973e-01,  3.278880000000000e+02,  1.053623337142258e-02
PdAg_1_9_100,  5.343009987338970e-01,  4.256307810471568e-01,  1.391419814900696e+00,  4.918320000000000e+02,  1.053623337142258e-02
PdAg_1_9_100,  5.245052994310410e-01,  4.385458427229522e-01,  1.855226419867595e+00,  6.557760000000001e+02,  1.053623337142258e-02
PdAg_1_9_100,  5.250038067660980e-01,  4.450033735608502e-01,  2.087129722351044e+00,  7.377480000000000e+02,  1.053623337142258e-02
PdAg_1_9_100,  5.301609565427799e-01,  4.643759660745436e-01,  2.782839629801392e+00,  9.836640000000000e+02,  1.053623337142258e-02
PdAg_1_9_100,  5.331594707700800e-01,  4.772910277503389e-01,  3.246646234768290e+00,  1.147608000000000e+03,  1.053623337142258e-02
PdAg_1_9_100,  5.337303696543760e-01,  4.902060894261343e-01,  3.710452839735189e+00,  1.311552000000000e+03,  1.053623337142258e-02
PdAg_1_9_100,  5.368098128623250e-01,  5.095786819398277e-01,  4.406162747185537e+00,  1.557468000000000e+03,  1.053623337142258e-02
PdAg_1_9_100,  5.370904880212340e-01,  5.289512744535209e-01,  5.101872654635885e+00,  1.803384000000000e+03,  1.053623337142258e-02
PdAg_1_9_100,  5.243066765750370e-01,  5.418663361293162e-01,  5.565679259602783e+00,  1.967328000000000e+03,  1.053623337142258e-02
PdAg_1_9_100,  5.397703104721880e-01,  5.483238669672142e-01,  5.797582562086233e+00,  2.049300000000000e+03,  1.053623337142258e-02
PdAg_1_9_100,  5.484023401121820e-01,  5.741539903188054e-01,  6.725195772020030e+00,  2.377188000000000e+03,  1.053623337142258e-02
PdAg_1_9_100,  5.513618316460450e-01,  5.806115211567030e-01,  6.957099074503479e+00,  2.459160000000000e+03,  1.053623337142258e-02
PdAg_1_5_100,  5.154914790070170e-01,  3.787408202051172e-01,  7.426669484805765e-01,  2.596118644067801e+02,  1.077296781685514e-02
