# c0 + a0 * (surface_area / particle_diameter) + a1 * (av_EA / time) + a2 * (av_E_def_subsurf^2) + a3 * (ln(1.0*av_EA-8.443179e-01)) + a4 * (av_EA / av_IP)
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00756188884104316; Max AE: 0.0567333535742017
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -6.525443082492159e-03, -4.178350520058494e-01,  1.688577830176573e+00,  8.080718661248164e-02, -1.555941411856149e+00,  4.173957674386953e-01, 
# 3   , -7.083706662993728e-03, -2.613837877855725e-01,  1.628948997481725e+00,  5.784664847399195e-02, -9.601045792041574e-01,  3.055378622793883e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; g^-1 * m^2 * nm^-1;                               4|2|div; (surface_area / particle_diameter); $\left(\frac{ surface_{area} }{ particle_{diameter} } \right)$; (surface_area ./ particle_diameter); surface_area,particle_diameter
# 1;  1; eV * min^-1;                                      6|0|div; (av_EA / time); $\left(\frac{ av_{EA} }{ time } \right)$; (av_EA ./ time); av_EA,time
# 2;  1; eV^2;                                             14|sq; (av_E_def_subsurf^2); $\left(av_{E, def, subsurf}^2\right)$; (av_E_def_subsurf).^2; av_E_def_subsurf
# 3;  1; Unitless;                                         6|log:1.0000000000000e+00,-8.4431787005112e-01; (ln(1.0*av_EA-8.443179e-01)); $\left(\ln{ \left(1.0av_{EA}-8.443e-01 \right)}\right)$; log(1.0*av_EA-8.443179e-01); av_EA
# 4;  1; Unitless;                                         6|5|div; (av_EA / av_IP); $\left(\frac{ av_{EA} }{ av_{IP} } \right)$; (av_EA ./ av_IP); av_EA,av_IP
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  7.460314808079400e-02,  6.353580855876843e-02,  1.216666666666667e+01,  4.554814814814815e-02,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.106406789827700e-02,  7.305161498389427e-02,  1.216666666666667e+01,  2.277407407407408e-02,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.338282477917900e-02,  7.495477626891943e-02,  1.216666666666667e+01,  1.821925925925926e-02,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.484064918597000e-02,  7.780951819645714e-02,  1.216666666666667e+01,  1.138703703703704e-02,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.551852479397100e-02,  7.833817410896414e-02,  1.216666666666667e+01,  1.012181069958848e-02,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.624140955711101e-02,  7.876109883896974e-02,  1.216666666666667e+01,  9.109629629629629e-03,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.655976498278901e-02,  7.910712816351977e-02,  1.216666666666667e+01,  8.281481481481482e-03,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.670706670425401e-02,  7.939548593397815e-02,  1.216666666666667e+01,  7.591358024691358e-03,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.687977851198700e-02,  7.984861957326982e-02,  1.216666666666667e+01,  6.506878306878307e-03,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.687620918890400e-02,  8.002987302898650e-02,  1.216666666666667e+01,  6.073086419753087e-03,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.689679201728600e-02,  8.018846980273862e-02,  1.216666666666667e+01,  5.693518518518519e-03,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.677065317745700e-02,  8.032840813251989e-02,  1.216666666666667e+01,  5.358605664488017e-03,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.765536965325100e-02,  8.091249855247644e-02,  1.216666666666667e+01,  3.960708534621578e-03,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.697005438102600e-02,  8.098145367149910e-02,  1.216666666666667e+01,  3.795679012345679e-03,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.857665605556700e-02,  8.104489238099992e-02,  1.216666666666667e+01,  3.643851851851852e-03,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.907950298867700e-02,  8.110345118976996e-02,  1.216666666666667e+01,  3.503703703703704e-03,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.944109445923200e-02,  8.115767230900144e-02,  1.216666666666667e+01,  3.373936899862826e-03,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  7.992160875437500e-02,  8.120802049114494e-02,  1.216666666666667e+01,  3.253439153439154e-03,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_9_100,  8.016373252178199e-02,  8.125489638486476e-02,  1.216666666666667e+01,  3.141251596424010e-03,  4.243599999999999e-02, -9.532604425684237e-01,  1.607140523516420e-01
PdAg_1_5_100,  5.540968779262700e-02,  5.756146270957944e-02,  1.300000000000000e+01,  4.371604938271592e-02,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  6.050679933141600e-02,  6.365016196535193e-02,  1.300000000000000e+01,  2.914403292181061e-02,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  6.783442568252800e-02,  6.973886122112437e-02,  1.300000000000000e+01,  1.457201646090531e-02,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  6.978509288779200e-02,  7.060867540052045e-02,  1.300000000000000e+01,  1.249029982363312e-02,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  7.195603596803600e-02,  7.176842763971523e-02,  1.300000000000000e+01,  9.714677640603539e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  7.396647068078400e-02,  7.278321084901061e-02,  1.300000000000000e+01,  7.286008230452654e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  7.479978112520599e-02,  7.301739158961727e-02,  1.300000000000000e+01,  6.725546058879373e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  7.511084231693500e-02,  7.321811793870868e-02,  1.300000000000000e+01,  6.245149911816560e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  7.534057278525801e-02,  7.339208077458785e-02,  1.300000000000000e+01,  5.828806584362123e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  7.625246816708101e-02,  7.367860779838890e-02,  1.300000000000000e+01,  5.143064633260697e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  7.662152720325401e-02,  7.379799405830605e-02,  1.300000000000000e+01,  4.857338820301769e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  7.652448575173899e-02,  7.390481334349501e-02,  1.300000000000000e+01,  4.601689408706939e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  7.685288582387600e-02,  7.400095070016514e-02,  1.300000000000000e+01,  4.371604938271593e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  7.775128482761400e-02,  7.408793211810470e-02,  1.300000000000000e+01,  4.163433274544374e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  7.782656960335800e-02,  7.416700613441345e-02,  1.300000000000000e+01,  3.974186307519629e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  7.827570721293500e-02,  7.423920414930406e-02,  1.300000000000000e+01,  3.801395598497037e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  7.935891091470000e-02,  7.436627265551148e-02,  1.300000000000000e+01,  3.497283950617274e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  7.998374643776000e-02,  7.442247603325707e-02,  1.300000000000000e+01,  3.362773029439686e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  8.232400549504200e-02,  7.456782959639223e-02,  1.300000000000000e+01,  3.014899957428684e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_5_100,  8.311749789736000e-02,  7.460982062574238e-02,  1.300000000000000e+01,  2.914403292181061e-03,  4.134444444444431e-02, -1.090598098404647e+00,  1.532336586104676e-01
PdAg_1_1_100,  2.696882955527700e-02,  4.047427052211485e-02,  7.666666666666667e+00,  2.303703703703704e-02,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  3.559849175272900e-02,  4.597465998978974e-02,  7.666666666666667e+00,  9.873015873015874e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  3.871765226704800e-02,  4.689139156773561e-02,  7.666666666666667e+00,  7.679012345679013e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  4.054328665297000e-02,  4.721224762001660e-02,  7.666666666666667e+00,  6.911111111111112e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  4.233116079846100e-02,  4.747476620824655e-02,  7.666666666666667e+00,  6.282828282828283e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  4.412626246903200e-02,  4.769353169843817e-02,  7.666666666666667e+00,  5.759259259259260e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  4.739556882899600e-02,  4.803730604016784e-02,  7.666666666666667e+00,  4.936507936507937e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  5.016604379635700e-02,  4.829513679646510e-02,  7.666666666666667e+00,  4.319444444444444e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  5.226652898659100e-02,  4.840130240199927e-02,  7.666666666666667e+00,  4.065359477124183e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  5.366931621849900e-02,  4.849567182914074e-02,  7.666666666666667e+00,  3.839506172839507e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  5.627720349399800e-02,  4.865609985528126e-02,  7.666666666666667e+00,  3.455555555555556e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  5.749525020316200e-02,  4.872485472362722e-02,  7.666666666666667e+00,  3.291005291005291e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  5.823606117614900e-02,  4.878735914939621e-02,  7.666666666666667e+00,  3.141414141414142e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  5.917132330163300e-02,  4.884442840770711e-02,  7.666666666666667e+00,  3.004830917874396e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  5.998657222902100e-02,  4.889674189449202e-02,  7.666666666666667e+00,  2.879629629629630e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  6.081410115943100e-02,  4.894487030233421e-02,  7.666666666666667e+00,  2.764444444444445e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  6.113650339869900e-02,  4.898929652495772e-02,  7.666666666666667e+00,  2.658119658119658e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  6.142115169990100e-02,  4.903043191627584e-02,  7.666666666666667e+00,  2.559670781893004e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAg_1_1_100,  6.262771401804200e-02,  4.913738393370284e-02,  7.666666666666667e+00,  2.303703703703704e-03,  3.610000000000000e-02, -2.422696876154370e+00,  1.172626154716270e-01
PdAu_1_9_100,  1.085359410344180e-01,  9.912872134914101e-02,  1.116666666666667e+01,  7.904814814814815e-02,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.156652029512290e-01,  1.101384170466235e-01,  1.116666666666667e+01,  5.269876543209877e-02,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.203890869828740e-01,  1.156432648953648e-01,  1.116666666666667e+01,  3.952407407407407e-02,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.229121460533910e-01,  1.189461736046096e-01,  1.116666666666667e+01,  3.161925925925926e-02,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.246380314076640e-01,  1.211481127441061e-01,  1.116666666666667e+01,  2.634938271604938e-02,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.275390330420670e-01,  1.227209264151750e-01,  1.116666666666667e+01,  2.258518518518519e-02,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.297118745789040e-01,  1.248180113099336e-01,  1.116666666666667e+01,  1.756625514403292e-02,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.307721035144380e-01,  1.261525198793254e-01,  1.116666666666667e+01,  1.437239057239057e-02,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.314821753186720e-01,  1.274393674283818e-01,  1.116666666666667e+01,  1.129259259259259e-02,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.326679103374530e-01,  1.277539301625955e-01,  1.116666666666667e+01,  1.053975308641975e-02,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.316287818003920e-01,  1.280291725550326e-01,  1.116666666666667e+01,  9.881018518518518e-03,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.318767376725740e-01,  1.282720334895359e-01,  1.116666666666667e+01,  9.299782135076253e-03,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.327210086091440e-01,  1.284879098757611e-01,  1.116666666666667e+01,  8.783127572016462e-03,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.316156212923530e-01,  1.291551641604569e-01,  1.116666666666667e+01,  7.186195286195286e-03,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.314029698647050e-01,  1.294053845172179e-01,  1.116666666666667e+01,  6.587345679012346e-03,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.319510782308400e-01,  1.297112093977036e-01,  1.116666666666667e+01,  5.855418381344307e-03,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_9_100,  1.345740571566530e-01,  1.299558693020920e-01,  1.116666666666667e+01,  5.269876543209877e-03,  7.728400000000002e-02,  2.546283655248262e-01,  2.335861487780587e-01
PdAu_1_5_100,  7.009119403290200e-02,  9.073361446818703e-02,  8.333333333333334e+00,  1.494691358024689e-01,  7.290000000000001e-02,  1.600039132840863e-01,  2.222813813868945e-01
PdAu_1_5_100,  1.146800840881460e-01,  1.219603365338340e-01,  8.333333333333334e+00,  7.473456790123444e-02,  7.290000000000001e-02,  1.600039132840863e-01,  2.222813813868945e-01
