# c0 + a0 * (|(av_mu_C_critical_surf / av_EA) - ln(total_metal_loading)|) + a1 * ((av_d_band_center_surf * av_E_b_C_subsurf) / (av_E_def_subsurf * particle_diameter)) + a2 * ((ln(1.0*time+1.152355e+00)) / (av_B_0 * surface_area)) + a3 * ((av_B_0 / av_E_b_C_subsurf) / (av_BE_H_surf * av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00604785186149721; Max AE: 0.0256987191811603
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -2.671563392935367e-02,  9.282534424868049e-03,  6.531683810099817e+01,  3.054136845665390e-02,  4.638741024595719e-01, 
# 3   , -1.571629158095884e-02,  9.880968472921203e-03,  8.276999708293152e+01,  2.868503267923397e-02,  4.334574278293064e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         11|6|div|1|log|abd; (|(av_mu_C_critical_surf / av_EA) - ln(total_metal_loading)|); $\left(\left|\left(\frac{ av_{mu, C, critical, surf} }{ av_{EA} } \right) - \left(\ln{ total_{metal, loading} }\right)\right|\right)$; abs((av_mu_C_critical_surf ./ av_EA) - log(total_metal_loading)); av_mu_C_critical_surf,av_EA,total_metal_loading
# 1;  2; eV * nm^-1;                                       18|13|mult|14|2|mult|div; ((av_d_band_center_surf * av_E_b_C_subsurf) / (av_E_def_subsurf * particle_diameter)); $\left(\frac{ \left(av_{d, band, center, surf} av_{E, b, C, subsurf}\right) }{ \left(av_{E, def, subsurf} particle_{diameter}\right) } \right)$; ((av_d_band_center_surf .* av_E_b_C_subsurf) ./ (av_E_def_subsurf .* particle_diameter)); av_d_band_center_surf,av_E_b_C_subsurf,av_E_def_subsurf,particle_diameter
# 2;  2; Gpa^-1 * g * m^-2;                                0|log:1.0000000000000e+00,1.1523550120755e+00|10|4|mult|div; ((ln(1.0*time+1.152355e+00)) / (av_B_0 * surface_area)); $\left(\frac{ \left(\ln{ \left(1.0time+1.152e+00 \right)}\right) }{ \left(av_{B, 0} surface_{area}\right) } \right)$; (log(1.0*time+1.152355e+00) ./ (av_B_0 .* surface_area)); time,av_B_0,surface_area
# 3;  2; Gpa * eV^-3;                                      10|13|div|16|6|mult|div; ((av_B_0 / av_E_b_C_subsurf) / (av_BE_H_surf * av_EA)); $\left(\frac{ \left(\frac{ av_{B, 0} }{ av_{E, b, C, subsurf} } \right) }{ \left(av_{BE, H, surf} av_{EA}\right) } \right)$; ((av_B_0 ./ av_E_b_C_subsurf) ./ (av_BE_H_surf .* av_EA)); av_B_0,av_E_b_C_subsurf,av_BE_H_surf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 173                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  7.460314808079400e-02,  6.192966945543178e-02,  1.071308595324064e+00, -1.464778883495146e+01,  4.240490887254024e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.338282477917900e-02,  6.932721240456087e-02,  1.071308595324064e+00, -1.464778883495146e+01,  5.373053816538873e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.207955475368756e-02,  1.071308595324064e+00, -1.464778883495146e+01,  5.794437096738511e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.317516724957930e-02,  1.071308595324064e+00, -1.464778883495146e+01,  5.962175237123935e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.414285713510850e-02,  1.071308595324064e+00, -1.464778883495146e+01,  6.110328441360930e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.655976498278901e-02,  7.579394778908506e-02,  1.071308595324064e+00, -1.464778883495146e+01,  6.363110220451880e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.651069053046013e-02,  1.071308595324064e+00, -1.464778883495146e+01,  6.472843447321615e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.717042015188204e-02,  1.071308595324064e+00, -1.464778883495146e+01,  6.573847972433777e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.835073070695477e-02,  1.071308595324064e+00, -1.464778883495146e+01,  6.754553375418474e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.677065317745700e-02,  7.938387891550260e-02,  1.071308595324064e+00, -1.464778883495146e+01,  6.912728240979217e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.696036194524600e-02,  8.030252662513372e-02,  1.071308595324064e+00, -1.464778883495146e+01,  7.053373094027776e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.765536965325100e-02,  8.188155342070220e-02,  1.071308595324064e+00, -1.464778883495146e+01,  7.295121905127117e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.697005438102600e-02,  8.223345850040105e-02,  1.071308595324064e+00, -1.464778883495146e+01,  7.348998530195024e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.857665605556700e-02,  8.257104594505545e-02,  1.071308595324064e+00, -1.464778883495146e+01,  7.400683127072234e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.907950298867700e-02,  8.289543540545115e-02,  1.071308595324064e+00, -1.464778883495146e+01,  7.450347114158396e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.944109445923200e-02,  8.320762012313011e-02,  1.071308595324064e+00, -1.464778883495146e+01,  7.498142556613259e-04, -8.678481014653576e+00
PdAg_1_9_100,  7.992160875437500e-02,  8.350848527115175e-02,  1.071308595324064e+00, -1.464778883495146e+01,  7.544204974324962e-04, -8.678481014653576e+00
PdAg_1_9_100,  8.016373252178199e-02,  8.379882308462362e-02,  1.071308595324064e+00, -1.464778883495146e+01,  7.588655658392518e-04, -8.678481014653576e+00
PdAg_1_5_100,  5.737490641647600e-02,  5.538854954963882e-02,  6.828874066015969e-01, -1.495968806921676e+01,  3.023539896634107e-04, -8.877361550751781e+00
PdAg_1_5_100,  5.540968779262700e-02,  6.019245208619115e-02,  6.828874066015969e-01, -1.495968806921676e+01,  3.759016792978072e-04, -8.877361550751781e+00
PdAg_1_5_100,  6.603272598831700e-02,  6.675006272889665e-02,  6.828874066015969e-01, -1.495968806921676e+01,  4.762986187908917e-04, -8.877361550751781e+00
PdAg_1_5_100,  6.783442568252800e-02,  6.807067131970145e-02,  6.828874066015969e-01, -1.495968806921676e+01,  4.965171203166815e-04, -8.877361550751781e+00
PdAg_1_5_100,  6.978509288779200e-02,  6.918989844260852e-02,  6.828874066015969e-01, -1.495968806921676e+01,  5.136524740087331e-04, -8.877361550751781e+00
PdAg_1_5_100,  7.059051849144300e-02,  7.016111283267661e-02,  6.828874066015969e-01, -1.495968806921676e+01,  5.285217545542226e-04, -8.877361550751781e+00
