# c0 + a0 * ((ln(1.0*time-1.080758e+01)) / (av_BE_H_surf * surface_area)) + a1 * ((av_E_b_C_subsurf + av_mu_C_critical_surf) / (av_d_band_center_surf - av_BE_H_surf)) + a2 * ((av_bulk_int_dist / av_EA) * (av_E_def_subsurf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00906321776004397; Max AE: 0.0719933067793838
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -7.589607757300014e-01, -5.305778330155614e-04, -5.341322263472589e-01,  1.842797140963031e+00, 
# 3   , -1.112259955754475e+00, -4.027564496380944e-04, -4.979752949029069e-01,  1.713844353436990e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * g * m^-2;                                 0|log:1.0000000000000e+00,-1.0807579244583e+01|16|4|mult|div; ((ln(1.0*time-1.080758e+01)) / (av_BE_H_surf * surface_area)); $\left(\frac{ \left(\ln{ \left(1.0time-1.081e+01 \right)}\right) }{ \left(av_{BE, H, surf} surface_{area}\right) } \right)$; (log(1.0*time-1.080758e+01) ./ (av_BE_H_surf .* surface_area)); time,av_BE_H_surf,surface_area
# 1;  2; Unitless;                                         13|11|add|18|16|sub|div; ((av_E_b_C_subsurf + av_mu_C_critical_surf) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(av_{E, b, C, subsurf} + av_{mu, C, critical, surf}\right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((av_E_b_C_subsurf + av_mu_C_critical_surf) ./ (av_d_band_center_surf - av_BE_H_surf)); av_E_b_C_subsurf,av_mu_C_critical_surf,av_d_band_center_surf,av_BE_H_surf
# 2;  2; A;                                                8|6|div|14|6|add|mult; ((av_bulk_int_dist / av_EA) * (av_E_def_subsurf + av_EA)); $\left(\left(\frac{ av_{bulk, int, dist} }{ av_{EA} } \right) \left(av_{E, def, subsurf} + av_{EA}\right)\right)$; ((av_bulk_int_dist ./ av_EA) .* (av_E_def_subsurf + av_EA)); av_bulk_int_dist,av_EA,av_E_def_subsurf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 166                   
# 3   , 179                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  7.460314808079400e-02,  6.328553189773006e-02, -1.765945762402538e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.800796295550543e-02, -2.388169098415299e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.119187939486488e-02, -2.807679110154314e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.191168068142678e-02, -2.902519490524358e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.253771087403166e-02, -2.985004674558125e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.309160963328160e-02, -3.057985884781681e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.403848728769774e-02, -3.182745646378760e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.445015074316225e-02, -3.236986058878159e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.482936333963236e-02, -3.286950774921023e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.518086946896080e-02, -3.333264911378241e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.689679201728600e-02,  7.550844356509429e-02, -3.376425784325651e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.677065317745700e-02,  7.581513772034615e-02, -3.416835534744804e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.696036194524600e-02,  7.637547372627201e-02, -3.490664910892336e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.765536965325100e-02,  7.733176167115369e-02, -3.616664564031447e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.697005438102600e-02,  7.754384076404758e-02, -3.644607917584839e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.907950298867700e-02,  7.794186985135804e-02, -3.697051877804999e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  7.944109445923200e-02,  7.812918542651087e-02, -3.721732412180810e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_9_100,  8.016373252178199e-02,  7.848327127444826e-02, -3.768386450078463e-02, -3.652834599649328e-01,  3.357049373881932e+00
PdAg_1_5_100,  5.737490641647600e-02,  5.263447764514752e-02, -5.737029066353130e-03, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  5.540968779262700e-02,  6.052171980202383e-02, -1.612918951666083e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  6.050679933141600e-02,  6.318735209781015e-02, -1.964140303418076e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  6.603272598831700e-02,  6.603059179928386e-02, -2.338763049730504e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  6.783442568252800e-02,  6.696962028206069e-02, -2.462488611420251e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  6.978509288779200e-02,  6.774294821576479e-02, -2.564381615437517e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.059051849144300e-02,  6.840037561882942e-02, -2.651003668129527e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.342513693604499e-02,  6.993170396727269e-02, -2.852770135832750e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.396647068078400e-02,  7.034288526709623e-02, -2.906947019931671e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.479978112520599e-02,  7.071887631006238e-02, -2.956487266936451e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.511084231693500e-02,  7.106522850081423e-02, -3.002122325008965e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.625246816708101e-02,  7.196558128319921e-02, -3.120752010649685e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.652448575173899e-02,  7.247736175941791e-02, -3.188183753182950e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.685288582387600e-02,  7.271251602980280e-02, -3.219167471697092e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.775128482761400e-02,  7.293572792815287e-02, -3.248577673842970e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.782656960335800e-02,  7.314815204722905e-02, -3.276566487740747e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.935891091470000e-02,  7.373001055028741e-02, -3.353231649059359e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  7.998374643776000e-02,  7.390802290980927e-02, -3.376686399978529e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  8.073321891950801e-02,  7.407910678313015e-02, -3.399228259688781e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_5_100,  8.232400549504200e-02,  7.440250956639452e-02, -3.441839524144886e-02, -4.263565891472820e-01,  3.360110044243619e+00
PdAg_1_1_100,  2.696882955527700e-02,  4.501105548322297e-02, -1.981587084981862e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  2.796475357978000e-02,  4.667327012584492e-02, -2.200599014949300e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  3.371685647622500e-02,  4.882692025256034e-02, -2.484362049296350e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  3.871765226704800e-02,  5.084724541682910e-02, -2.750558304606856e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  4.054328665297000e-02,  5.135764020620807e-02, -2.817807470268674e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  4.233116079846100e-02,  5.181531510655162e-02, -2.878110310017328e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  4.412626246903200e-02,  5.223014878818748e-02, -2.932768428710863e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  4.829188170907200e-02,  5.328280670275969e-02, -3.071465703752460e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  5.016604379635700e-02,  5.358465267914074e-02, -3.111236662415081e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  5.366931621849900e-02,  5.413293110167376e-02, -3.183477342047794e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  5.627720349399800e-02,  5.462082816449458e-02, -3.247762227172658e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  5.749525020316200e-02,  5.484602277722932e-02, -3.277433670010808e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  5.998657222902100e-02,  5.546018698448744e-02, -3.358355402318709e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  6.081410115943100e-02,  5.564736073822345e-02, -3.383017250430147e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  6.142115169990100e-02,  5.599955787261994e-02, -3.429422433103495e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  6.205660167495200e-02,  5.616569519525065e-02, -3.451312539673343e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAg_1_1_100,  6.262771401804200e-02,  5.648039048259050e-02, -3.492776512174059e-02, -1.526315789473685e+00,  3.395480171489818e+00
PdAu_1_9_100,  1.125382678878030e-01,  1.172693870043956e-01, -6.466621603369000e-03, -4.484304932735431e-02,  3.239758571897109e+00
PdAu_1_9_100,  1.085359410344180e-01,  1.261596697505279e-01, -1.818037945545450e-02, -4.484304932735431e-02,  3.239758571897109e+00
PdAu_1_9_100,  1.229121460533910e-01,  1.323691189716597e-01, -2.636189478496452e-02, -4.484304932735431e-02,  3.239758571897109e+00
PdAu_1_9_100,  1.275390330420670e-01,  1.342992400966206e-01, -2.890500529433751e-02, -4.484304932735431e-02,  3.239758571897109e+00
PdAu_1_9_100,  1.314127475135620e-01,  1.376536245144234e-01, -3.332471251119130e-02, -4.484304932735431e-02,  3.239758571897109e+00
PdAu_1_9_100,  1.314821753186720e-01,  1.380440231917156e-01, -3.383909835269498e-02, -4.484304932735431e-02,  3.239758571897109e+00
PdAu_1_9_100,  1.326679103374530e-01,  1.384058981115553e-01, -3.431590154386343e-02, -4.484304932735431e-02,  3.239758571897109e+00
PdAu_1_9_100,  1.316287818003920e-01,  1.387431350468157e-01, -3.476024194463827e-02, -4.484304932735431e-02,  3.239758571897109e+00
PdAu_1_9_100,  1.318767376725740e-01,  1.390588761209729e-01, -3.517625958909917e-02, -4.484304932735431e-02,  3.239758571897109e+00
PdAu_1_9_100,  1.327210086091440e-01,  1.393556982391469e-01, -3.556734978462141e-02, -4.484304932735431e-02,  3.239758571897109e+00
PdAu_1_9_100,  1.306680795954190e-01,  1.401523987753182e-01, -3.661707535891732e-02, -4.484304932735431e-02,  3.239758571897109e+00
PdAu_1_9_100,  1.316156212923530e-01,  1.403918374083820e-01, -3.693255758240045e-02, -4.484304932735431e-02,  3.239758571897109e+00
PdAu_1_9_100,  1.314029698647050e-01,  1.408385727554569e-01, -3.752117212133411e-02, -4.484304932735431e-02,  3.239758571897109e+00
PdAu_1_9_100,  1.319510782308400e-01,  1.414411840191988e-01, -3.831516738829933e-02, -4.484304932735431e-02,  3.239758571897109e+00
PdAu_1_5_100,  7.009119403290200e-02,  1.185078137605196e-01, -8.501636892834358e-03, -1.339285714285703e-01,  3.240420087552656e+00
