# c0 + a0 * (cbrt(av_bulk_int_dist) / (av_E_def_subsurf * particle_diameter)) + a1 * ((ln(1.0*av_E_def_subsurf-7.648435e-02)) * (av_bulk_int_dist / particle_diameter)) + a2 * ((ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)) / (av_d_band_center_surf * time)) + a3 * ((ln(1.0*time-1.080758e+01)) / (av_IP * surface_area)) + a4 * ((av_B_0 / av_EA) / (av_BE_H_surf * av_E_b_C_subsurf))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00542637243368971; Max AE: 0.037098879272882
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  2.051452166580099e+00,  2.514480432314455e+00,  6.647576310544899e-02,  3.907062673326983e+00,  7.241932869345055e-02,  7.743249663887130e-01, 
# 3   ,  1.225670141335608e+00,  1.562841647619112e+00,  1.155755509551915e-01,  4.276534900688038e+00,  5.629486233622967e-02,  6.470847428478785e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; A^0.333333 * eV^-1 * nm^-1;                       8|cbrt|14|2|mult|div; (cbrt(av_bulk_int_dist) / (av_E_def_subsurf * particle_diameter)); $\left(\frac{ \left(\sqrt[3]{ av_{bulk, int, dist} }\right) }{ \left(av_{E, def, subsurf} particle_{diameter}\right) } \right)$; (nthroot(av_bulk_int_dist, 3) ./ (av_E_def_subsurf .* particle_diameter)); av_bulk_int_dist,av_E_def_subsurf,particle_diameter
# 1;  2; A * nm^-1;                                        14|log:1.0000000000000e+00,-7.6484346063900e-02|8|2|div|mult; ((ln(1.0*av_E_def_subsurf-7.648435e-02)) * (av_bulk_int_dist / particle_diameter)); $\left(\left(\ln{ \left(1.0av_{E, def, subsurf}-7.648e-02 \right)}\right) \left(\frac{ av_{bulk, int, dist} }{ particle_{diameter} } \right)\right)$; (log(1.0*av_E_def_subsurf-7.648435e-02) .* (av_bulk_int_dist ./ particle_diameter)); av_E_def_subsurf,av_bulk_int_dist,particle_diameter
# 2;  2; eV^-1 * min^-1;                                   12|log:1.0000000000000e+00,6.6650000001000e+00|18|0|mult|div; ((ln(1.0*av_mu_C_critical_subsurf+6.665000e+00)) / (av_d_band_center_surf * time)); $\left(\frac{ \left(\ln{ \left(1.0av_{mu, C, critical, subsurf}+6.665e+00 \right)}\right) }{ \left(av_{d, band, center, surf} time\right) } \right)$; (log(1.0*av_mu_C_critical_subsurf+6.665000e+00) ./ (av_d_band_center_surf .* time)); av_mu_C_critical_subsurf,av_d_band_center_surf,time
# 3;  2; eV^-1 * g * m^-2;                                 0|log:1.0000000000000e+00,-1.0807579244583e+01|5|4|mult|div; ((ln(1.0*time-1.080758e+01)) / (av_IP * surface_area)); $\left(\frac{ \left(\ln{ \left(1.0time-1.081e+01 \right)}\right) }{ \left(av_{IP} surface_{area}\right) } \right)$; (log(1.0*time-1.080758e+01) ./ (av_IP .* surface_area)); time,av_IP,surface_area
# 4;  2; Gpa * eV^-3;                                      10|6|div|16|13|mult|div; ((av_B_0 / av_EA) / (av_BE_H_surf * av_E_b_C_subsurf)); $\left(\frac{ \left(\frac{ av_{B, 0} }{ av_{EA} } \right) }{ \left(av_{BE, H, surf} av_{E, b, C, subsurf}\right) } \right)$; ((av_B_0 ./ av_EA) ./ (av_BE_H_surf .* av_E_b_C_subsurf)); av_B_0,av_EA,av_BE_H_surf,av_E_b_C_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 166                   
# 3   , 179                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  7.460314808079400e-02,  6.196572032919795e-02,  1.150484977030157e+00, -9.795306611235023e-01, -7.517689580629154e-03,  4.984831414630601e-03, -8.678481014653574e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.907789377656665e-02,  1.150484977030157e+00, -9.795306611235023e-01, -3.758844790314577e-03,  6.741215159991434e-03, -8.678481014653574e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.381162302020688e-02,  1.150484977030157e+00, -9.795306611235023e-01, -2.147911308751187e-03,  7.925388949351575e-03, -8.678481014653574e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.487543512665013e-02,  1.150484977030157e+00, -9.795306611235023e-01, -1.879422395157289e-03,  8.193100063423914e-03, -8.678481014653574e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.579901951663620e-02,  1.150484977030157e+00, -9.795306611235023e-01, -1.670597684584256e-03,  8.425935490970518e-03, -8.678481014653574e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.661501127488030e-02,  1.150484977030157e+00, -9.795306611235023e-01, -1.503537916125831e-03,  8.631943533315601e-03, -8.678481014653574e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.800760476247431e-02,  1.150484977030157e+00, -9.795306611235023e-01, -1.252948263438193e-03,  8.984109716519808e-03, -8.678481014653574e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.861221183116346e-02,  1.150484977030157e+00, -9.795306611235023e-01, -1.156567627789101e-03,  9.137217087043849e-03, -8.678481014653574e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.916874833426774e-02,  1.150484977030157e+00, -9.795306611235023e-01, -1.073955654375593e-03,  9.278255215992225e-03, -8.678481014653574e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.968429154149176e-02,  1.150484977030157e+00, -9.795306611235023e-01, -1.002358610750554e-03,  9.408988654848996e-03, -8.678481014653574e+00
PdAg_1_9_100,  7.689679201728600e-02,  8.016446348449274e-02,  1.150484977030157e+00, -9.795306611235023e-01, -9.397111975786443e-04,  9.530821204824043e-03, -8.678481014653574e+00
PdAg_1_9_100,  7.677065317745700e-02,  8.061380423529224e-02,  1.150484977030157e+00, -9.795306611235023e-01, -8.844340683093123e-04,  9.644888011197943e-03, -8.678481014653574e+00
PdAg_1_9_100,  7.696036194524600e-02,  8.143423349962980e-02,  1.150484977030157e+00, -9.795306611235023e-01, -7.913357453293847e-04,  9.853290217753880e-03, -8.678481014653574e+00
PdAg_1_9_100,  7.765536965325100e-02,  8.283299184886755e-02,  1.150484977030157e+00, -9.795306611235023e-01, -6.537121374460134e-04,  1.020895631043495e-02, -8.678481014653574e+00
PdAg_1_9_100,  7.697005438102600e-02,  8.314298078956922e-02,  1.150484977030157e+00, -9.795306611235023e-01, -6.264741317190963e-04,  1.028783353848388e-02, -8.678481014653574e+00
PdAg_1_9_100,  7.907950298867700e-02,  8.372457187477539e-02,  1.150484977030157e+00, -9.795306611235023e-01, -5.782838138945504e-04,  1.043586996518446e-02, -8.678481014653574e+00
PdAg_1_9_100,  7.944109445923200e-02,  8.399818933578290e-02,  1.150484977030157e+00, -9.795306611235023e-01, -5.568658948614188e-04,  1.050553705559330e-02, -8.678481014653574e+00
PdAg_1_9_100,  8.016373252178199e-02,  8.451527471013770e-02,  1.150484977030157e+00, -9.795306611235023e-01, -5.184613503882176e-04,  1.063722995278353e-02, -8.678481014653574e+00
PdAg_1_5_100,  5.737490641647600e-02,  4.534882314025125e-02,  1.164346925473393e+00, -9.863807689585428e-01, -1.340593601859549e-02,  1.648478828162137e-03, -8.877361550751781e+00
