# c0 + a0 * ((av_BE_H_subsurf - av_d_band_center_surf) / (av_d_band_center_surf * time)) + a1 * ((particle_diameter / av_PE) / (ln(1.0*av_E_def_subsurf-1.559046e-01))) + a2 * ((av_B_0 / av_EA) / (av_mu_C_critical_surf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00881829590720025; Max AE: 0.0525597511508025
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  2.005241398806895e+00, -1.086011983798975e-01,  1.598572341779488e-02,  4.749024652802632e-01, 
# 3   ,  1.438067871683855e+00, -1.289099956311774e-01,  1.479825038219013e-02,  4.155356530017005e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; min^-1;                                           19|18|sub|18|0|mult|div; ((av_BE_H_subsurf - av_d_band_center_surf) / (av_d_band_center_surf * time)); $\left(\frac{ \left(av_{BE, H, subsurf} - av_{d, band, center, surf}\right) }{ \left(av_{d, band, center, surf} time\right) } \right)$; ((av_BE_H_subsurf - av_d_band_center_surf) ./ (av_d_band_center_surf .* time)); av_BE_H_subsurf,av_d_band_center_surf,av_d_band_center_surf,time
# 1;  2; nm;                                               2|7|div|14|log:1.0000000000000e+00,-1.5590463004079e-01|div; ((particle_diameter / av_PE) / (ln(1.0*av_E_def_subsurf-1.559046e-01))); $\left(\frac{ \left(\frac{ particle_{diameter} }{ av_{PE} } \right) }{ \left(\ln{ \left(1.0av_{E, def, subsurf}-1.559e-01 \right)}\right) } \right)$; ((particle_diameter ./ av_PE) ./ log(1.0*av_E_def_subsurf-1.559046e-01)); particle_diameter,av_PE,av_E_def_subsurf
# 2;  2; Gpa * eV^-2;                                      10|6|div|11|6|add|div; ((av_B_0 / av_EA) / (av_mu_C_critical_surf + av_EA)); $\left(\frac{ \left(\frac{ av_{B, 0} }{ av_{EA} } \right) }{ \left(av_{mu, C, critical, surf} + av_{EA}\right) } \right)$; ((av_B_0 ./ av_EA) ./ (av_mu_C_critical_surf + av_EA)); av_B_0,av_EA,av_mu_C_critical_surf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  7.460314808079400e-02,  4.272159665811926e-02, -2.333591664513907e-02, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.106406789827700e-02,  6.611866972608917e-02, -1.166795832256953e-02, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.338282477917900e-02,  7.079808433968317e-02, -9.334366658055628e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.484064918597000e-02,  7.781720626007417e-02, -5.833979161284767e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.551852479397100e-02,  7.911704365273910e-02, -5.185759254475349e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.624140955711101e-02,  8.015691356687117e-02, -4.667183329027814e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.655976498278901e-02,  8.100771622388826e-02, -4.242893935479831e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.670706670425401e-02,  8.171671843806917e-02, -3.889319440856511e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.687977851198700e-02,  8.283086477463909e-02, -3.333702377877010e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.687620918890400e-02,  8.327652330926717e-02, -3.111455552685209e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.689679201728600e-02,  8.366647452706667e-02, -2.916989580642384e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.677065317745700e-02,  8.401054913100738e-02, -2.745401958251655e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.765536965325100e-02,  8.544668660832523e-02, -2.029210143055571e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.697005438102600e-02,  8.561623061606406e-02, -1.944659720428256e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.857665605556700e-02,  8.577221110318391e-02, -1.866873331611125e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.907950298867700e-02,  8.591619309129452e-02, -1.795070511164544e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.944109445923200e-02,  8.604950974695248e-02, -1.728586418158450e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  7.992160875437500e-02,  8.617330378434908e-02, -1.666851188938505e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_9_100,  8.016373252178199e-02,  8.628856030192535e-02, -1.609373561733729e-03, -1.024079726893496e+00, -3.106540724397814e+01
PdAg_1_5_100,  5.540968779262700e-02,  3.956454357728619e-02, -2.196324518153297e-02, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  6.050679933141600e-02,  5.424507974067146e-02, -1.464216345435531e-02, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  6.783442568252800e-02,  6.892561590405685e-02, -7.321081727177655e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  6.978509288779200e-02,  7.102283535596907e-02, -6.275212909009419e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  7.195603596803600e-02,  7.381912795851861e-02, -4.880721151451770e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  7.396647068078400e-02,  7.626588398574949e-02, -3.660540863588828e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  7.479978112520599e-02,  7.683051999203358e-02, -3.378960797158918e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  7.511084231693500e-02,  7.731449371170560e-02, -3.137606454504709e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  7.534057278525801e-02,  7.773393760208799e-02, -2.928432690871062e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  7.625246816708101e-02,  7.842478636271796e-02, -2.583911197827408e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  7.662152720325401e-02,  7.871264001298037e-02, -2.440360575725885e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  7.652448575173899e-02,  7.897019327900465e-02, -2.311920545424523e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  7.685288582387600e-02,  7.920199121842661e-02, -2.196324518153296e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  7.775128482761400e-02,  7.941171316361781e-02, -2.091737636336473e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  7.782656960335800e-02,  7.960236947742802e-02, -1.996658652866633e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  7.827570721293500e-02,  7.977644698134165e-02, -1.909847407089823e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  7.935891091470000e-02,  8.008282338822967e-02, -1.757059614522637e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  7.998374643776000e-02,  8.021833602973780e-02, -1.689480398579459e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  8.232400549504200e-02,  8.056879975777617e-02, -1.514706564243653e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_5_100,  8.311749789736000e-02,  8.067004483476511e-02, -1.464216345435531e-03, -9.965383304900675e-01, -3.124798028092309e+01
PdAg_1_1_100,  2.696882955527700e-02,  3.819599158428404e-02, -8.648242150780222e-03, -1.289990428211071e+00, -3.499742565843923e+01
PdAg_1_1_100,  3.559849175272900e-02,  4.810559912008477e-02, -3.706389493191524e-03, -1.289990428211071e+00, -3.499742565843923e+01
PdAg_1_1_100,  3.871765226704800e-02,  4.975720037605152e-02, -2.882747383593408e-03, -1.289990428211071e+00, -3.499742565843923e+01
PdAg_1_1_100,  4.054328665297000e-02,  5.033526081563993e-02, -2.594472645234067e-03, -1.289990428211071e+00, -3.499742565843923e+01
PdAg_1_1_100,  4.233116079846100e-02,  5.080821935712126e-02, -2.358611495667334e-03, -1.289990428211071e+00, -3.499742565843923e+01
PdAg_1_1_100,  4.412626246903200e-02,  5.120235147502244e-02, -2.162060537695056e-03, -1.289990428211071e+00, -3.499742565843923e+01
PdAg_1_1_100,  4.739556882899600e-02,  5.182170194601004e-02, -1.853194746595762e-03, -1.289990428211071e+00, -3.499742565843923e+01
PdAg_1_1_100,  5.016604379635700e-02,  5.228621479925071e-02, -1.621545403271292e-03, -1.289990428211071e+00, -3.499742565843923e+01
PdAg_1_1_100,  5.226652898659100e-02,  5.247748479764385e-02, -1.526160379549451e-03, -1.289990428211071e+00, -3.499742565843923e+01
