# c0 + a0 * (std_dev * time) + a1 * (av_BE_H_surf^3)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.189028453845568; Max AE: 0.716174682231087
# Coefficients
# Task   a0                      a1                      c0
# 2   , -4.303628281813686e-04, -1.717623135115869e-01, -1.249355057718578e+00, 
# 3   , -4.062582061204410e-04, -1.681023724932952e-01, -1.409186367111875e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; min * nm;                                         3|0|mult; (std_dev * time); $\left(std_{dev} time\right)$; (std_dev .* time); std_dev,time
# 1;  1; eV^3;                                             16|cb; (av_BE_H_surf^3); $\left(av_{BE, H, surf}^3\right)$; (av_BE_H_surf).^3; av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 211                   
# 3   , 220                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.062451827416920e-01,  4.467539330251962e-01,  8.100000000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  3.099375324862660e-01,  4.118945439425055e-01,  1.620000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.919675286925200e-01,  3.944648494011601e-01,  2.025000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.813651505179750e-01,  3.596054603184691e-01,  2.835000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.773647395214370e-01,  3.421757657771237e-01,  3.240000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.742250823045090e-01,  3.247460712357782e-01,  3.645000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.739275035497000e-01,  3.073163766944330e-01,  4.050000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.725813187048580e-01,  2.898866821530875e-01,  4.455000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.710137208355010e-01,  2.724569876117420e-01,  4.860000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.699577938430830e-01,  2.550272930703966e-01,  5.265000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.691444146104700e-01,  2.375975985290511e-01,  5.670000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.679801391469650e-01,  2.201679039877056e-01,  6.075000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.658907762370700e-01,  2.027382094463601e-01,  6.480000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.650229112638520e-01,  1.853085149050149e-01,  6.885000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.642144249687690e-01,  1.504491258223240e-01,  7.695000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.586590858830060e-01,  8.073034765694234e-02,  9.315000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.564021611090790e-01,  6.330065311559688e-02,  9.720000000000000e+02, -1.007769600000000e+01
PdAg_1_9_100,  2.562832756759230e-01,  4.587095857425141e-02,  1.012500000000000e+03, -1.007769600000000e+01
PdAg_1_9_100,  2.537741737812260e-01,  2.844126403290595e-02,  1.053000000000000e+03, -1.007769600000000e+01
PdAg_1_9_100,  2.518192543109310e-01,  1.101156949156049e-02,  1.093500000000000e+03, -1.007769600000000e+01
PdAg_1_9_100,  2.496764650829220e-01, -6.418125049784976e-03,  1.134000000000000e+03, -1.007769600000000e+01
PdAg_1_9_100,  2.479231710514490e-01, -2.384781959113044e-02,  1.174500000000000e+03, -1.007769600000000e+01
PdAg_1_5_100,  5.770639017232591e-01,  5.897855893149919e-01,  5.400000000000000e+01, -1.084277570370365e+01
PdAg_1_5_100,  3.293542674131830e-01,  5.665459965931980e-01,  1.080000000000000e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.565338589410230e-01,  5.433064038714042e-01,  1.620000000000000e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.303037511075600e-01,  4.968272184278161e-01,  2.700000000000000e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.261682956735730e-01,  4.735876257060223e-01,  3.240000000000000e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.236877838869310e-01,  4.503480329842284e-01,  3.780000000000000e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.195369868150280e-01,  4.271084402624345e-01,  4.320000000000000e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.164592134781930e-01,  4.038688475406406e-01,  4.860000000000000e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.121100061106850e-01,  3.573896620970529e-01,  5.940000000000000e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.099035907134980e-01,  3.341500693752588e-01,  6.480000000000000e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.074551680388040e-01,  3.109104766534649e-01,  7.020000000000000e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.050856479851930e-01,  2.876708839316710e-01,  7.560000000000000e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.038357874315140e-01,  2.644312912098771e-01,  8.100000000000000e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.013479605126910e-01,  2.179521057662894e-01,  9.180000000000000e+02, -1.084277570370365e+01
PdAg_1_5_100,  2.000269286823050e-01,  1.947125130444955e-01,  9.720000000000000e+02, -1.084277570370365e+01
PdAg_1_5_100,  1.973081438407180e-01,  1.714729203227016e-01,  1.026000000000000e+03, -1.084277570370365e+01
PdAg_1_5_100,  1.969854579108610e-01,  1.482333276009075e-01,  1.080000000000000e+03, -1.084277570370365e+01
PdAg_1_5_100,  1.963439311488950e-01,  1.249937348791137e-01,  1.134000000000000e+03, -1.084277570370365e+01
PdAg_1_5_100,  1.940684048443220e-01,  1.017541421573198e-01,  1.188000000000000e+03, -1.084277570370365e+01
PdAg_1_5_100,  1.926261364587620e-01,  7.851454943552590e-02,  1.242000000000000e+03, -1.084277570370365e+01
PdAg_1_5_100,  1.891192110734720e-01,  3.203536399193814e-02,  1.350000000000000e+03, -1.084277570370365e+01
PdAg_1_5_100,  1.877437449997070e-01,  8.795771270144264e-03,  1.404000000000000e+03, -1.084277570370365e+01
PdAg_1_5_100,  1.864446344370330e-01, -1.444382145164961e-02,  1.458000000000000e+03, -1.084277570370365e+01
PdAg_1_5_100,  1.846523109974680e-01, -6.092300689523759e-02,  1.566000000000000e+03, -1.084277570370365e+01
PdAg_1_5_100,  1.849359671980280e-01, -8.416259961703147e-02,  1.620000000000000e+03, -1.084277570370365e+01
PdAg_1_1_100,  1.476543275391880e+00,  1.300815358009767e+00,  1.620000000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  1.443594468047830e+00,  1.277575765287973e+00,  2.160000000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  1.289499794158380e+00,  1.231096579844385e+00,  3.240000000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  1.208605384312000e+00,  1.207856987122591e+00,  3.780000000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  1.055882869290930e+00,  1.161377801679003e+00,  4.860000000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  1.010936655602070e+00,  1.138138208957209e+00,  5.400000000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  9.741100506334990e-01,  1.114898616235416e+00,  5.940000000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  9.478991583993770e-01,  1.091659023513621e+00,  6.480000000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  8.995066396137220e-01,  1.045179838070034e+00,  7.560000000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  8.704807885278290e-01,  1.021940245348240e+00,  8.100000000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  8.640896201761730e-01,  9.987006526264459e-01,  8.640000000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  8.596665013433460e-01,  9.754610599046520e-01,  9.180000000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  8.441400331191570e-01,  9.522214671828582e-01,  9.720000000000000e+02, -1.525299200000000e+01
PdAg_1_1_100,  8.196082741920870e-01,  9.057422817392702e-01,  1.080000000000000e+03, -1.525299200000000e+01
PdAg_1_1_100,  8.088625391977590e-01,  8.825026890174763e-01,  1.134000000000000e+03, -1.525299200000000e+01
PdAg_1_1_100,  7.987791951287240e-01,  8.592630962956824e-01,  1.188000000000000e+03, -1.525299200000000e+01
PdAg_1_1_100,  7.909704423439380e-01,  8.360235035738885e-01,  1.242000000000000e+03, -1.525299200000000e+01
PdAg_1_1_100,  7.811341630508190e-01,  8.127839108520947e-01,  1.296000000000000e+03, -1.525299200000000e+01
PdAg_1_1_100,  7.748485070789100e-01,  7.895443181303008e-01,  1.350000000000000e+03, -1.525299200000000e+01
PdAg_1_1_100,  7.616541677031310e-01,  7.663047254085069e-01,  1.404000000000000e+03, -1.525299200000000e+01
PdAg_1_1_100,  7.507945291751720e-01,  7.430651326867130e-01,  1.458000000000000e+03, -1.525299200000000e+01
PdAg_1_1_100,  7.431020909817240e-01,  7.198255399649189e-01,  1.512000000000000e+03, -1.525299200000000e+01
PdAg_1_1_100,  7.318398412815810e-01,  6.733463545213312e-01,  1.620000000000000e+03, -1.525299200000000e+01
PdAu_1_9_100,  1.349591588597210e+00,  7.851169854565544e-01,  4.050000000000000e+01, -1.194616965600000e+01
PdAu_1_9_100,  8.319575347159480e-01,  7.676872909152089e-01,  8.100000000000000e+01, -1.194616965600000e+01
PdAu_1_9_100,  7.195733252458120e-01,  7.502575963738635e-01,  1.215000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  6.672603147247390e-01,  7.328279018325182e-01,  1.620000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  6.293690562214960e-01,  7.153982072911728e-01,  2.025000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  6.029841566832330e-01,  6.979685127498273e-01,  2.430000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  5.851248612511580e-01,  6.805388182084818e-01,  2.835000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  5.466387208639329e-01,  6.456794291257909e-01,  3.645000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  5.147793772808130e-01,  6.108200400431002e-01,  4.455000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  4.874891471204990e-01,  5.759606509604093e-01,  5.265000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  4.771739589239030e-01,  5.585309564190638e-01,  5.670000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  4.682731346453220e-01,  5.411012618777183e-01,  6.075000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  4.561741947393160e-01,  5.236715673363729e-01,  6.480000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  4.459077354116620e-01,  5.062418727950276e-01,  6.885000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  4.388938211152080e-01,  4.888121782536822e-01,  7.290000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  4.067073142923030e-01,  4.365230946296458e-01,  8.505000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  3.933072394218520e-01,  4.190934000883003e-01,  8.910000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  3.637516913038650e-01,  3.842340110056096e-01,  9.720000000000000e+02, -1.194616965600000e+01
PdAu_1_9_100,  3.286193649949370e-01,  3.319449273815732e-01,  1.093500000000000e+03, -1.194616965600000e+01
PdAu_1_9_100,  2.941179610415640e-01,  2.796558437575370e-01,  1.215000000000000e+03, -1.194616965600000e+01
PdAu_1_5_100,  1.440205434029630e+00,  9.058946352477923e-01,  4.050000000000000e+01, -1.264933700000000e+01
PdAu_1_5_100,  1.041393056856870e+00,  8.884649407064469e-01,  8.100000000000000e+01, -1.264933700000000e+01
PdAu_1_5_100,  9.021296624907440e-01,  8.710352461651014e-01,  1.215000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  8.214458953704740e-01,  8.536055516237562e-01,  1.620000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  7.623098336248439e-01,  8.361758570824107e-01,  2.025000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  6.711991315391230e-01,  8.013164679997198e-01,  2.835000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  6.133552581111910e-01,  7.664570789170289e-01,  3.645000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  6.015310235150830e-01,  7.490273843756836e-01,  4.050000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  5.995500295465030e-01,  7.315976898343381e-01,  4.455000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  5.747929780404710e-01,  6.967383007516472e-01,  5.265000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  5.698407267433280e-01,  6.793086062103018e-01,  5.670000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  5.553530080288080e-01,  6.618789116689563e-01,  6.075000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  5.468478698168980e-01,  6.444492171276108e-01,  6.480000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  5.246914166232191e-01,  6.270195225862656e-01,  6.885000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  5.112131353136540e-01,  6.095898280449201e-01,  7.290000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  4.983863753515150e-01,  5.921601335035747e-01,  7.695000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  4.802134373040580e-01,  5.747304389622292e-01,  8.100000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  4.660357846257690e-01,  5.573007444208837e-01,  8.505000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  4.482296865708400e-01,  5.398710498795383e-01,  8.910000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  4.310387834695980e-01,  5.224413553381930e-01,  9.315000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  4.109826285530590e-01,  5.050116607968476e-01,  9.720000000000000e+02, -1.264933700000000e+01
PdAu_1_5_100,  3.955175459846640e-01,  4.875819662555021e-01,  1.012500000000000e+03, -1.264933700000000e+01
PdAu_1_5_100,  3.751830563290950e-01,  4.701522717141566e-01,  1.053000000000000e+03, -1.264933700000000e+01
PdAu_1_5_100,  3.573866337301770e-01,  4.527225771728112e-01,  1.093500000000000e+03, -1.264933700000000e+01
PdAu_1_5_100,  3.395690908504690e-01,  4.352928826314657e-01,  1.134000000000000e+03, -1.264933700000000e+01
PdAu_1_5_100,  3.231105549079290e-01,  4.178631880901202e-01,  1.174500000000000e+03, -1.264933700000000e+01
PdAu_1_5_100,  2.988318144170860e-01,  4.004334935487750e-01,  1.215000000000000e+03, -1.264933700000000e+01
PdAu_1_1_100,  1.416502894523900e+00,  1.563840884401919e+00,  8.100000000000000e+01, -1.658137500000000e+01
PdAu_1_1_100,  1.384061759831940e+00,  1.528981495319229e+00,  1.620000000000000e+02, -1.658137500000000e+01
PdAu_1_1_100,  1.430117649198350e+00,  1.476692411695192e+00,  2.835000000000000e+02, -1.658137500000000e+01
PdAu_1_1_100,  1.371288822243210e+00,  1.441833022612501e+00,  3.645000000000000e+02, -1.658137500000000e+01
PdAu_1_1_100,  1.373744965692370e+00,  1.424403328071156e+00,  4.050000000000000e+02, -1.658137500000000e+01
PdAu_1_1_100,  1.371544871244550e+00,  1.406973633529811e+00,  4.455000000000000e+02, -1.658137500000000e+01
PdAu_1_1_100,  1.369386455710020e+00,  1.354684549905774e+00,  5.670000000000000e+02, -1.658137500000000e+01
PdAu_1_1_100,  1.373085783877660e+00,  1.337254855364429e+00,  6.075000000000000e+02, -1.658137500000000e+01
PdAu_1_1_100,  1.370840642297670e+00,  1.319825160823083e+00,  6.480000000000000e+02, -1.658137500000000e+01
PdAu_1_1_100,  1.360890842322620e+00,  1.302395466281738e+00,  6.885000000000000e+02, -1.658137500000000e+01
PdAu_1_1_100,  1.366356299567810e+00,  1.284965771740393e+00,  7.290000000000000e+02, -1.658137500000000e+01
PdAu_1_1_100,  1.366064850288740e+00,  1.267536077199047e+00,  7.695000000000000e+02, -1.658137500000000e+01
PdAu_1_1_100,  1.364108234956220e+00,  1.232676688116356e+00,  8.505000000000000e+02, -1.658137500000000e+01
PdAu_1_1_100,  1.358727647207180e+00,  1.215246993575011e+00,  8.910000000000000e+02, -1.658137500000000e+01
PdAu_1_1_100,  1.363894632464130e+00,  1.197817299033666e+00,  9.315000000000000e+02, -1.658137500000000e+01
PdAu_1_1_100,  1.353195823369020e+00,  1.128098520868284e+00,  1.093500000000000e+03, -1.658137500000000e+01
PdAu_1_1_100,  1.346591237171830e+00,  1.110668826326938e+00,  1.134000000000000e+03, -1.658137500000000e+01
PdAu_1_1_100,  1.343357644003000e+00,  1.093239131785593e+00,  1.174500000000000e+03, -1.658137500000000e+01
PdAu_1_1_100,  1.345888485126680e+00,  1.075809437244247e+00,  1.215000000000000e+03, -1.658137500000000e+01
PdCu_1_9_100,  1.764531540500330e+00,  1.225302720262385e+00,  4.050000000000000e+01, -1.450893051900000e+01
PdCu_1_9_100,  1.526024088055680e+00,  1.207873025721040e+00,  8.100000000000000e+01, -1.450893051900000e+01
PdCu_1_9_100,  1.387539764520710e+00,  1.190443331179694e+00,  1.215000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  1.326591972606740e+00,  1.173013636638349e+00,  1.620000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  1.278749702507060e+00,  1.155583942097004e+00,  2.025000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  1.188778743349170e+00,  1.120724553014313e+00,  2.835000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  1.135649484965300e+00,  1.103294858472967e+00,  3.240000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  1.093494624589200e+00,  1.085865163931622e+00,  3.645000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  1.073421118109670e+00,  1.068435469390276e+00,  4.050000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  1.037546191161890e+00,  1.051005774848931e+00,  4.455000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  1.034608588052540e+00,  1.033576080307586e+00,  4.860000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  9.563227208864350e-01,  1.016146385766240e+00,  5.265000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  9.120509110921540e-01,  9.987166912248946e-01,  5.670000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  8.737647381457020e-01,  9.812869966835491e-01,  6.075000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  8.221981367286130e-01,  9.464276076008584e-01,  6.885000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  7.883706033135830e-01,  9.289979130595130e-01,  7.290000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  7.149782381540920e-01,  8.941385239768220e-01,  8.100000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  6.865509411088950e-01,  8.767088294354766e-01,  8.505000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  6.506682856955510e-01,  8.592791348941311e-01,  8.910000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  6.254523345193600e-01,  8.418494403527859e-01,  9.315000000000000e+02, -1.450893051900000e+01
PdCu_1_9_100,  5.705418965872280e-01,  8.069900512700949e-01,  1.012500000000000e+03, -1.450893051900000e+01
PdCu_1_9_100,  5.105566510302340e-01,  7.721306621874040e-01,  1.093500000000000e+03, -1.450893051900000e+01
PdCu_1_9_100,  4.695228573556180e-01,  7.547009676460585e-01,  1.134000000000000e+03, -1.450893051900000e+01
PdCu_1_9_100,  4.432437834258890e-01,  7.372712731047131e-01,  1.174500000000000e+03, -1.450893051900000e+01
PdCu_1_9_100,  4.080474604689600e-01,  7.198415785633678e-01,  1.215000000000000e+03, -1.450893051900000e+01
PdCu_1_5_100,  2.017932446162990e+00,  1.338402709131662e+00,  1.350000000000000e+01, -1.509974808796302e+01
PdCu_1_5_100,  1.529672884791900e+00,  1.326782912770765e+00,  4.050000000000000e+01, -1.509974808796302e+01
PdCu_1_5_100,  1.535273536079320e+00,  1.320973014590317e+00,  5.400000000000000e+01, -1.509974808796302e+01
PdCu_1_5_100,  1.531124311289490e+00,  1.315163116409868e+00,  6.750000000000000e+01, -1.509974808796302e+01
PdCu_1_5_100,  1.528991870372660e+00,  1.309353218229420e+00,  8.100000000000000e+01, -1.509974808796302e+01
PdCu_1_5_100,  1.518431463559090e+00,  1.297733421868523e+00,  1.080000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.497039982385720e+00,  1.286113625507626e+00,  1.350000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.479286458597410e+00,  1.280303727327178e+00,  1.485000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.468717668285230e+00,  1.274493829146729e+00,  1.620000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.430195852054520e+00,  1.268683930966281e+00,  1.755000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.625373600052910e+00,  1.262874032785832e+00,  1.890000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.400185105821460e+00,  1.251254236424935e+00,  2.160000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.347682436730310e+00,  1.245444338244487e+00,  2.295000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.291671986827140e+00,  1.239634440064038e+00,  2.430000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.412891163026360e+00,  1.233824541883590e+00,  2.565000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.260087748519560e+00,  1.216394847342244e+00,  2.970000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.218636526098270e+00,  1.210584949161796e+00,  3.105000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.266946274423170e+00,  1.198965152800899e+00,  3.375000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.191168272738520e+00,  1.193155254620450e+00,  3.510000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.147149602097370e+00,  1.187345356440002e+00,  3.645000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.117742958629230e+00,  1.181535458259553e+00,  3.780000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.087367694809120e+00,  1.175725560079105e+00,  3.915000000000000e+02, -1.509974808796302e+01
PdCu_1_5_100,  1.185514481578880e+00,  1.169915661898657e+00,  4.050000000000000e+02, -1.509974808796302e+01
PdCu_1_1_100,  1.794822804643170e+00,  1.875675113365046e+00,  4.050000000000000e+01, -1.829539787500000e+01
PdCu_1_1_100,  1.600880339885360e+00,  1.858245418823700e+00,  8.100000000000000e+01, -1.829539787500000e+01
PdCu_1_1_100,  1.561076776971510e+00,  1.840815724282355e+00,  1.215000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.563647246165220e+00,  1.823386029741010e+00,  1.620000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.565962405444650e+00,  1.805956335199664e+00,  2.025000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.574175395800130e+00,  1.771096946116973e+00,  2.835000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.577401451695880e+00,  1.753667251575628e+00,  3.240000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.582347966937370e+00,  1.736237557034282e+00,  3.645000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.584461645872620e+00,  1.718807862492937e+00,  4.050000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.586524193181320e+00,  1.701378167951592e+00,  4.455000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.574859606498550e+00,  1.666518778868901e+00,  5.265000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.579328031442110e+00,  1.649089084327555e+00,  5.670000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.576101014169360e+00,  1.631659389786210e+00,  6.075000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.570809621111940e+00,  1.614229695244864e+00,  6.480000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.569381719797070e+00,  1.596800000703519e+00,  6.885000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.571197419728830e+00,  1.579370306162174e+00,  7.290000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.569372683626940e+00,  1.561940611620828e+00,  7.695000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.571012043582240e+00,  1.544510917079483e+00,  8.100000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.569171672846750e+00,  1.527081222538137e+00,  8.505000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.567080664913700e+00,  1.509651527996792e+00,  8.910000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.574772995010610e+00,  1.492221833455446e+00,  9.315000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.566088225835640e+00,  1.474792138914101e+00,  9.720000000000000e+02, -1.829539787500000e+01
PdCu_1_1_100,  1.572052900746600e+00,  1.457362444372756e+00,  1.012500000000000e+03, -1.829539787500000e+01
PdCu_1_1_100,  1.576295838057970e+00,  1.439932749831410e+00,  1.053000000000000e+03, -1.829539787500000e+01
PdCu_1_1_100,  1.625481882704000e+00,  1.422503055290065e+00,  1.093500000000000e+03, -1.829539787500000e+01
PdCu_1_1_100,  1.610723386974760e+00,  1.405073360748719e+00,  1.134000000000000e+03, -1.829539787500000e+01
PdCu_1_1_100,  1.610871683528830e+00,  1.387643666207374e+00,  1.174500000000000e+03, -1.829539787500000e+01
PdAg_1_9_150,  3.269560887842900e-01,  2.684447824064376e-01,  4.050000000000000e+01, -1.007769600000000e+01
