# c0 + a0 * (std_dev / surface_area) + a1 * (time / av_bulk_int_dist) + a2 * time + a3 * (particle_diameter / time) + a4 * (av_BE_H_surf^3)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.111204207709724; Max AE: 0.433293336995487
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -1.410833755872264e+01, -2.466583073490497e-02,  8.311424044741706e-03,  1.382286996047563e+00, -1.882379250467066e-01, -1.063336820122278e+00, 
# 3   , -1.895554552228380e+01, -6.159711573732399e-02,  2.141924977104949e-02,  1.195042881688481e+00, -2.070118617496823e-01, -1.258641096175128e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; g * m^-2 * nm;                                    3|4|div; (std_dev / surface_area); $\left(\frac{ std_{dev} }{ surface_{area} } \right)$; (std_dev ./ surface_area); std_dev,surface_area
# 1;  1; A^-1 * min;                                       0|8|div; (time / av_bulk_int_dist); $\left(\frac{ time }{ av_{bulk, int, dist} } \right)$; (time ./ av_bulk_int_dist); time,av_bulk_int_dist
# 2;  0; min;                                              0; time; $time$; time; time
# 3;  1; min^-1 * nm;                                      2|0|div; (particle_diameter / time); $\left(\frac{ particle_{diameter} }{ time } \right)$; (particle_diameter ./ time); particle_diameter,time
# 4;  1; eV^3;                                             16|cb; (av_BE_H_surf^3); $\left(av_{BE, H, surf}^3\right)$; (av_BE_H_surf).^3; av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 211                   
# 3   , 220                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.062451827416920e-01,  5.538443080623291e-01,  4.109589041095890e-02,  9.389997913333797e+00,  2.700000000000000e+01,  2.222222222222222e-01, -1.007769600000000e+01
PdAg_1_9_100,  3.099375324862660e-01,  3.930532141336681e-01,  4.109589041095890e-02,  1.877999582666759e+01,  5.400000000000000e+01,  1.111111111111111e-01, -1.007769600000000e+01
PdAg_1_9_100,  2.919675286925200e-01,  3.587339003709230e-01,  4.109589041095890e-02,  2.347499478333449e+01,  6.750000000000000e+01,  8.888888888888889e-02, -1.007769600000000e+01
PdAg_1_9_100,  2.813651505179750e-01,  3.164245489606244e-01,  4.109589041095890e-02,  3.286499269666829e+01,  9.450000000000000e+01,  6.349206349206349e-02, -1.007769600000000e+01
PdAg_1_9_100,  2.773647395214370e-01,  3.018521922842732e-01,  4.109589041095890e-02,  3.755999165333519e+01,  1.080000000000000e+02,  5.555555555555555e-02, -1.007769600000000e+01
PdAg_1_9_100,  2.742250823045090e-01,  2.897177315445135e-01,  4.109589041095890e-02,  4.225499061000209e+01,  1.215000000000000e+02,  4.938271604938271e-02, -1.007769600000000e+01
PdAg_1_9_100,  2.739275035497000e-01,  2.792897979603686e-01,  4.109589041095890e-02,  4.694998956666898e+01,  1.350000000000000e+02,  4.444444444444445e-02, -1.007769600000000e+01
PdAg_1_9_100,  2.725813187048580e-01,  2.701029750348521e-01,  4.109589041095890e-02,  5.164498852333588e+01,  1.485000000000000e+02,  4.040404040404041e-02, -1.007769600000000e+01
PdAg_1_9_100,  2.710137208355010e-01,  2.618469851033066e-01,  4.109589041095890e-02,  5.633998748000278e+01,  1.620000000000000e+02,  3.703703703703703e-02, -1.007769600000000e+01
PdAg_1_9_100,  2.699577938430830e-01,  2.543070205517391e-01,  4.109589041095890e-02,  6.103498643666968e+01,  1.755000000000000e+02,  3.418803418803419e-02, -1.007769600000000e+01
