# c0 + a0 * (av_BE_H_surf * av_E_b_C_subsurf)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.259668345170575; Max AE: 0.901273459776012
# Coefficients
# Task   a0                      c0
# 2   , -1.721681758339240e-01, -1.509331133261689e+00, 
# 3   , -1.670273426393341e-01, -1.629295595616537e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^2;                                             16|13|mult; (av_BE_H_surf * av_E_b_C_subsurf); $\left(av_{BE, H, surf} av_{E, b, C, subsurf}\right)$; (av_BE_H_surf .* av_E_b_C_subsurf); av_BE_H_surf,av_E_b_C_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 173                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  6.062451827416920e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.919675286925200e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.813651505179750e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.773647395214370e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.742250823045090e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.725813187048580e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.710137208355010e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.699577938430830e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.679801391469650e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.650229112638520e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.642144249687690e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.586590858830060e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.564021611090790e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.562832756759230e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.537741737812260e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.518192543109310e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.496764650829220e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_9_100,  2.479231710514490e-01,  2.299668728288786e-01, -1.010232000000000e+01
PdAg_1_5_100,  5.770639017232591e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  3.293542674131830e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  2.303037511075600e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  2.261682956735730e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  2.236877838869310e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  2.195369868150280e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  2.164592134781930e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  2.121100061106850e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  2.099035907134980e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  2.074551680388040e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  2.038357874315140e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  2.013479605126910e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  2.000269286823050e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  1.973081438407180e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  1.963439311488950e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  1.940684048443220e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  1.926261364587620e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  1.864446344370330e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  1.846523109974680e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_5_100,  1.849359671980280e-01,  3.610656694034276e-01, -1.086377777777775e+01
PdAg_1_1_100,  1.476543275391880e+00,  1.080284833091530e+00, -1.504120000000000e+01
PdAg_1_1_100,  1.443594468047830e+00,  1.080284833091530e+00, -1.504120000000000e+01
PdAg_1_1_100,  1.289499794158380e+00,  1.080284833091530e+00, -1.504120000000000e+01
PdAg_1_1_100,  1.208605384312000e+00,  1.080284833091530e+00, -1.504120000000000e+01
