# c0 + a0 * (av_delta_M1_M2_subsurf * std_dev) + a1 * (ln(1.0*time-1.225861e+01)) + a2 * (av_BE_H_subsurf * av_mu_C_critical_surf)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.14585699630135; Max AE: 0.496931434354803
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -2.511717077267148e+00, -1.456591013077058e-01,  1.869924741063068e-01,  4.539178385954901e-01, 
# 3   , -2.528196182289474e+00, -1.526620228867717e-01,  1.797806270476112e-01,  3.622446925367472e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; nm;                                               15|3|mult; (av_delta_M1_M2_subsurf * std_dev); $\left(av_{delta, M1, M2, subsurf} std_{dev}\right)$; (av_delta_M1_M2_subsurf .* std_dev); av_delta_M1_M2_subsurf,std_dev
# 1;  1; Unitless;                                         0|log:1.0000000000000e+00,-1.2258610241416e+01; (ln(1.0*time-1.225861e+01)); $\left(\ln{ \left(1.0time-1.226e+01 \right)}\right)$; log(1.0*time-1.225861e+01); time
# 2;  1; eV^2;                                             19|11|mult; (av_BE_H_subsurf * av_mu_C_critical_surf); $\left(av_{BE, H, subsurf} av_{mu, C, critical, surf}\right)$; (av_BE_H_subsurf .* av_mu_C_critical_surf); av_BE_H_subsurf,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 173                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.062451827416920e-01,  6.020738045705863e-01,  2.169600000000000e-01,  2.690659167159553e+00,  5.802464000000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  4.096503652551495e-01,  2.169600000000000e-01,  4.011712486779731e+00,  5.802464000000000e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.516858774133967e-01,  2.169600000000000e-01,  4.409658700379542e+00,  5.802464000000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  3.295468593682098e-01,  2.169600000000000e-01,  4.561650699825002e+00,  5.802464000000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  3.103330665425781e-01,  2.169600000000000e-01,  4.693560018591445e+00,  5.802464000000000e+00
PdAg_1_9_100,  2.725813187048580e-01,  2.781616003251351e-01,  2.169600000000000e-01,  4.914428237114093e+00,  5.802464000000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  2.643995098298717e-01,  2.169600000000000e-01,  5.008909737904015e+00,  5.802464000000000e+00
PdAg_1_9_100,  2.699577938430830e-01,  2.518261745190623e-01,  2.169600000000000e-01,  5.095230024092300e+00,  5.802464000000000e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.295310514783074e-01,  2.169600000000000e-01,  5.248293738206917e+00,  5.802464000000000e+00
PdAg_1_9_100,  2.650229112638520e-01,  2.101998467089133e-01,  2.169600000000000e-01,  5.381009130488220e+00,  5.802464000000000e+00
