# c0 + a0 * (std_dev / av_d_band_center_surf) + a1 * (ln(1.0*time+1.731176e+01)) + a2 * (av_BE_H_subsurf^3)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.150447502464434; Max AE: 0.559825084733416
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  5.591549012680532e-01, -2.365270393128944e-01, -2.431776844598078e-01,  1.277649031916545e+00, 
# 3   ,  5.206160139852573e-01, -2.362478546031630e-01, -2.334884669107957e-01,  1.083769649721208e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^-1 * nm;                                       3|18|div; (std_dev / av_d_band_center_surf); $\left(\frac{ std_{dev} }{ av_{d, band, center, surf} } \right)$; (std_dev ./ av_d_band_center_surf); std_dev,av_d_band_center_surf
# 1;  1; Unitless;                                         0|log:1.0000000000000e+00,1.7311762566081e+01; (ln(1.0*time+1.731176e+01)); $\left(\ln{ \left(1.0time+1.731e+01 \right)}\right)$; log(1.0*time+1.731176e+01); time
# 2;  1; eV^3;                                             19|cb; (av_BE_H_subsurf^3); $\left(av_{BE, H, subsurf}^3\right)$; (av_BE_H_subsurf).^3; av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 166                   
# 3   , 179                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.062451827416920e-01,  6.616641246825230e-01, -7.749935417204856e-01,  3.791250162485748e+00, -2.936493568000000e+00
PdAg_1_9_100,  3.099375324862660e-01,  5.491219282023428e-01, -7.749935417204856e-01,  4.267061286690036e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.813651505179750e-01,  4.427425962724182e-01, -7.749935417204856e-01,  4.716816765974579e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  4.157813599798520e-01, -7.749935417204856e-01,  4.830804732724122e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  3.915813191228273e-01, -7.749935417204856e-01,  4.933118789194475e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.739275035497000e-01,  3.696290788947239e-01, -7.749935417204856e-01,  5.025929489788682e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  3.310286959619734e-01, -7.749935417204856e-01,  5.189125981170317e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.699577938430830e-01,  3.138595746570813e-01, -7.749935417204856e-01,  5.261714389475634e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.691444146104700e-01,  2.978528329710406e-01, -7.749935417204856e-01,  5.329388435252979e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.679801391469650e-01,  2.828610112209656e-01, -7.749935417204856e-01,  5.392771555396984e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.658907762370700e-01,  2.687630439763328e-01, -7.749935417204856e-01,  5.452375595956521e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.650229112638520e-01,  2.554583139874815e-01, -7.749935417204856e-01,  5.508625951211891e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.642144249687690e-01,  2.309032780511451e-01, -7.749935417204856e-01,  5.612440872362844e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.586590858830060e-01,  1.883287239792989e-01, -7.749935417204856e-01,  5.792439549027991e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.564021611090790e-01,  1.787832565841885e-01, -7.749935417204856e-01,  5.832796319327233e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.537741737812260e-01,  1.607756391745812e-01, -7.749935417204856e-01,  5.908929760399844e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.518192543109310e-01,  1.522611486044355e-01, -7.749935417204856e-01,  5.944927719004831e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.479231710514490e-01,  1.360999436227741e-01, -7.749935417204856e-01,  6.013254811875943e+00, -2.936493568000000e+00
PdAg_1_5_100,  5.770639017232591e-01,  7.081532888890968e-01, -1.075750784401615e+00,  3.427896518569858e+00, -3.465802370370348e+00
PdAg_1_5_100,  3.293542674131830e-01,  6.222103272701196e-01, -1.075750784401615e+00,  3.791250162485748e+00, -3.465802370370348e+00
PdAg_1_5_100,  2.565338589410230e-01,  5.593078304163308e-01, -1.075750784401615e+00,  4.057192259577561e+00, -3.465802370370348e+00
