# c0 + a0 * (surface_area / av_E_def_subsurf) + a1 * (av_E_coh * std_dev) + a2 * (ln(1.0*time-1.236877e+01)) + a3 * (av_mu_C_critical_surf^3)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.133090782060083; Max AE: 0.495010842688165
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  1.434856244859505e-03, -5.982873459871008e-02, -1.394993162068153e-01, -1.033261959917140e-02,  3.346627869850768e-01, 
# 3   ,  2.434960776659457e-03, -5.838973653110204e-02, -1.465795426538887e-01, -1.087398441319505e-02, -2.005641787020906e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^-1 * g^-1 * m^2;                               4|14|div; (surface_area / av_E_def_subsurf); $\left(\frac{ surface_{area} }{ av_{E, def, subsurf} } \right)$; (surface_area ./ av_E_def_subsurf); surface_area,av_E_def_subsurf
# 1;  1; atom^-1 * eV * nm;                                9|3|mult; (av_E_coh * std_dev); $\left(av_{E, coh} std_{dev}\right)$; (av_E_coh .* std_dev); av_E_coh,std_dev
# 2;  1; Unitless;                                         0|log:1.0000000000000e+00,-1.2368765592609e+01; (ln(1.0*time-1.236877e+01)); $\left(\ln{ \left(1.0time-1.237e+01 \right)}\right)$; log(1.0*time-1.236877e+01); time
# 3;  1; eV^3;                                             11|cb; (av_mu_C_critical_surf^3); $\left(av_{mu, C, critical, surf}^3\right)$; (av_mu_C_critical_surf).^3; av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.062451827416920e-01,  6.113269578381151e-01,  3.543689320388350e+02,  9.108000000000001e+00,  2.683158586550634e+00, -6.652858860799999e+01
PdAg_1_9_100,  3.099375324862660e-01,  4.654536212860345e-01,  3.543689320388350e+02,  9.108000000000001e+00,  3.728850712638302e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.919675286925200e-01,  4.262730467170371e-01,  3.543689320388350e+02,  9.108000000000001e+00,  4.009716423197843e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.773647395214370e-01,  3.494391860166474e-01,  3.543689320388350e+02,  9.108000000000001e+00,  4.560499486438665e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.742250823045090e-01,  3.310180701653261e-01,  3.543689320388350e+02,  9.108000000000001e+00,  4.692551143408875e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.739275035497000e-01,  3.147481792039764e-01,  3.543689320388350e+02,  9.108000000000001e+00,  4.809181757835893e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.725813187048580e-01,  3.001792024178319e-01,  3.543689320388350e+02,  9.108000000000001e+00,  4.913619379340397e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.710137208355010e-01,  2.869889212213987e-01,  3.543689320388350e+02,  9.108000000000001e+00,  5.008173829893243e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.691444146104700e-01,  2.638473367023629e-01,  3.543689320388350e+02,  9.108000000000001e+00,  5.174064137805055e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.679801391469650e-01,  2.535731557988897e-01,  3.543689320388350e+02,  9.108000000000001e+00,  5.247714541139228e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.658907762370700e-01,  2.440040408373949e-01,  3.543689320388350e+02,  9.108000000000001e+00,  5.316310683555496e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.650229112638520e-01,  2.350494047921447e-01,  3.543689320388350e+02,  9.108000000000001e+00,  5.380501937597018e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.586590858830060e-01,  1.908236804703586e-01,  3.543689320388350e+02,  9.108000000000001e+00,  5.697533773482285e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.564021611090790e-01,  1.846457057409993e-01,  3.543689320388350e+02,  9.108000000000001e+00,  5.741820547764391e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.562832756759230e-01,  1.787297697419248e-01,  3.543689320388350e+02,  9.108000000000001e+00,  5.784228899001781e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.537741737812260e-01,  1.730545452611145e-01,  3.543689320388350e+02,  9.108000000000001e+00,  5.824911711184147e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.518192543109310e-01,  1.676012073086692e-01,  3.543689320388350e+02,  9.108000000000001e+00,  5.864003931137114e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.496764650829220e-01,  1.623530563725225e-01,  3.543689320388350e+02,  9.108000000000001e+00,  5.901625269211389e+00, -6.652858860799999e+01
PdAg_1_9_100,  2.479231710514490e-01,  1.572952100146138e-01,  3.543689320388350e+02,  9.108000000000001e+00,  5.937882410073715e+00, -6.652858860799999e+01
PdAg_1_5_100,  3.293542674131830e-01,  5.714662453080908e-01,  3.836065573770498e+02,  1.240000000000000e+01,  2.683158586550634e+00, -7.767229629629648e+01
PdAg_1_5_100,  2.565338589410230e-01,  4.802724848654309e-01,  3.836065573770498e+02,  1.240000000000000e+01,  3.336880503778243e+00, -7.767229629629648e+01
PdAg_1_5_100,  2.261682956735730e-01,  3.558576148230423e-01,  3.836065573770498e+02,  1.240000000000000e+01,  4.228747743169846e+00, -7.767229629629648e+01
PdAg_1_5_100,  2.236877838869310e-01,  3.308076327198128e-01,  3.836065573770498e+02,  1.240000000000000e+01,  4.408318387559898e+00, -7.767229629629648e+01
PdAg_1_5_100,  2.164592134781930e-01,  2.911573576353019e-01,  3.836065573770498e+02,  1.240000000000000e+01,  4.692551143408875e+00, -7.767229629629648e+01
PdAg_1_5_100,  2.099035907134980e-01,  2.471282086913745e-01,  3.836065573770498e+02,  1.240000000000000e+01,  5.008173829893243e+00, -7.767229629629648e+01
PdAg_1_5_100,  2.074551680388040e-01,  2.350780950952604e-01,  3.836065573770498e+02,  1.240000000000000e+01,  5.094554995936015e+00, -7.767229629629648e+01
PdAg_1_5_100,  2.050856479851930e-01,  2.239866241723387e-01,  3.836065573770498e+02,  1.240000000000000e+01,  5.174064137805055e+00, -7.767229629629648e+01
