# c0 + a0 * (surface_area / std_dev) + a1 * (av_delta_M1_M2_subsurf / time) + a2 * (av_E_def_subsurf * time) + a3 * (av_mu_C_critical_surf^6)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.133300829986688; Max AE: 0.703369404370998
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  9.602257727316795e-03,  8.343839366474704e+01, -2.768917682865571e-03,  3.344355645064587e-05, -4.213130060132020e-02, 
# 3   ,  9.392395784043257e-03,  6.291403947221249e+01, -4.360290456205457e-03,  3.353539944670072e-05, -1.409562154071674e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; g^-1 * m^2 * nm^-1;                               4|3|div; (surface_area / std_dev); $\left(\frac{ surface_{area} }{ std_{dev} } \right)$; (surface_area ./ std_dev); surface_area,std_dev
# 1;  1; min^-1;                                           15|0|div; (av_delta_M1_M2_subsurf / time); $\left(\frac{ av_{delta, M1, M2, subsurf} }{ time } \right)$; (av_delta_M1_M2_subsurf ./ time); av_delta_M1_M2_subsurf,time
# 2;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 3;  1; eV^6;                                             11|sp; (av_mu_C_critical_surf^6); $\left(av_{mu, C, critical, surf}^6\right)$; (av_mu_C_critical_surf).^6; av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 175                   
# 3   , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.062451827416920e-01,  5.476371566404824e-01,  2.433333333333333e+01,  2.678518518518518e-03,  5.561999999999999e+00,  4.426053102172505e+03
PdAg_1_9_100,  3.099375324862660e-01,  4.204907951951526e-01,  2.433333333333333e+01,  1.339259259259259e-03,  1.112400000000000e+01,  4.426053102172505e+03
PdAg_1_9_100,  2.919675286925200e-01,  3.904413068604571e-01,  2.433333333333333e+01,  1.071407407407407e-03,  1.390500000000000e+01,  4.426053102172505e+03
PdAg_1_9_100,  2.813651505179750e-01,  3.494987258413345e-01,  2.433333333333333e+01,  7.652910052910052e-04,  1.946700000000000e+01,  4.426053102172505e+03
PdAg_1_9_100,  2.742250823045090e-01,  3.199080829853337e-01,  2.433333333333333e+01,  5.952263374485597e-04,  2.502900000000000e+01,  4.426053102172505e+03
PdAg_1_9_100,  2.739275035497000e-01,  3.072412499629187e-01,  2.433333333333333e+01,  5.357037037037037e-04,  2.781000000000000e+01,  4.426053102172505e+03
PdAg_1_9_100,  2.725813187048580e-01,  2.954774120216611e-01,  2.433333333333333e+01,  4.870033670033669e-04,  3.059100000000000e+01,  4.426053102172505e+03
PdAg_1_9_100,  2.699577938430830e-01,  2.738251874615499e-01,  2.433333333333333e+01,  4.120797720797721e-04,  3.615300000000000e+01,  4.426053102172505e+03
PdAg_1_9_100,  2.691444146104700e-01,  2.636688792252099e-01,  2.433333333333333e+01,  3.826455026455026e-04,  3.893400000000000e+01,  4.426053102172505e+03
PdAg_1_9_100,  2.658907762370700e-01,  2.442772433126391e-01,  2.433333333333333e+01,  3.348148148148148e-04,  4.449600000000000e+01,  4.426053102172505e+03
PdAg_1_9_100,  2.642144249687690e-01,  2.167651509281798e-01,  2.433333333333333e+01,  2.819493177387914e-04,  5.283900000000000e+01,  4.426053102172505e+03
PdAg_1_9_100,  2.562832756759230e-01,  1.649168949118058e-01,  2.433333333333333e+01,  2.142814814814815e-04,  6.952499999999999e+01,  4.426053102172505e+03
PdAg_1_9_100,  2.518192543109310e-01,  1.481917819740100e-01,  2.433333333333333e+01,  1.984087791495199e-04,  7.508699999999999e+01,  4.426053102172505e+03
PdAg_1_9_100,  2.496764650829220e-01,  1.399001751186315e-01,  2.433333333333333e+01,  1.913227513227513e-04,  7.786799999999999e+01,  4.426053102172505e+03
PdAg_1_9_100,  2.479231710514490e-01,  1.316493439032068e-01,  2.433333333333333e+01,  1.847254150702426e-04,  8.064900000000000e+01,  4.426053102172505e+03
PdAg_1_5_100,  5.770639017232591e-01,  7.760404781287907e-01,  1.950000000000000e+01,  5.234567901234593e-03,  2.744999999999996e+00,  6.032985611939673e+03
