# c0 + a0 * (std_dev / surface_area) + a1 * (av_E_def_subsurf * time) + a2 * (particle_diameter / time) + a3 * (time / av_mu_C_critical_subsurf) + a4 * (av_BE_H_surf * av_mu_C_critical_surf)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.107453383798046; Max AE: 0.408101985879744
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -1.448677561322288e+01, -7.678251274622031e-03,  1.314783506693080e+00, -6.828269339771871e-03,  2.272527067655742e-01, -1.224027584087406e+00, 
# 3   , -1.901767051089033e+01, -1.681267959104313e-02,  1.202372088240533e+00, -1.887526522065218e-02,  2.519924269253691e-01, -1.512152806052214e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; g * m^-2 * nm;                                    3|4|div; (std_dev / surface_area); $\left(\frac{ std_{dev} }{ surface_{area} } \right)$; (std_dev ./ surface_area); std_dev,surface_area
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; min^-1 * nm;                                      2|0|div; (particle_diameter / time); $\left(\frac{ particle_{diameter} }{ time } \right)$; (particle_diameter ./ time); particle_diameter,time
# 3;  1; eV^-1 * min;                                      0|12|div; (time / av_mu_C_critical_subsurf); $\left(\frac{ time }{ av_{mu, C, critical, subsurf} } \right)$; (time ./ av_mu_C_critical_subsurf); time,av_mu_C_critical_subsurf
# 4;  1; eV^2;                                             16|11|mult; (av_BE_H_surf * av_mu_C_critical_surf); $\left(av_{BE, H, surf} av_{mu, C, critical, surf}\right)$; (av_BE_H_surf .* av_mu_C_critical_surf); av_BE_H_surf,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 175                   
# 3   , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.062451827416920e-01,  4.603169173839499e-01,  4.109589041095890e-02,  5.561999999999999e+00,  2.222222222222222e-01, -6.038917468127935e+00,  8.752319999999999e+00
PdAg_1_9_100,  3.099375324862660e-01,  3.127587824883020e-01,  4.109589041095890e-02,  1.112400000000000e+01,  1.111111111111111e-01, -1.207783493625587e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.919675286925200e-01,  2.828058319302473e-01,  4.109589041095890e-02,  1.390500000000000e+01,  8.888888888888889e-02, -1.509729367031984e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.813651505179750e-01,  2.479434261797202e-01,  4.109589041095890e-02,  1.946700000000000e+01,  6.349206349206349e-02, -2.113621113844777e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.742250823045090e-01,  2.279216102754644e-01,  4.109589041095890e-02,  2.502900000000000e+01,  4.938271604938271e-02, -2.717512860657571e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.739275035497000e-01,  2.206933129195121e-01,  4.109589041095890e-02,  2.781000000000000e+01,  4.444444444444445e-02, -3.019458734063968e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.725813187048580e-01,  2.146455170286041e-01,  4.109589041095890e-02,  3.059100000000000e+01,  4.040404040404041e-02, -3.321404607470365e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.699577938430830e-01,  2.050017359818810e-01,  4.109589041095890e-02,  3.615300000000000e+01,  3.418803418803419e-02, -3.925296354283158e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.691444146104700e-01,  2.010554921496235e-01,  4.109589041095890e-02,  3.893400000000000e+01,  3.174603174603174e-02, -4.227242227689555e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.658907762370700e-01,  1.943670186853767e-01,  4.109589041095890e-02,  4.449600000000000e+01,  2.777777777777778e-02, -4.831133974502348e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.642144249687690e-01,  1.863938064631500e-01,  4.109589041095890e-02,  5.283900000000000e+01,  2.339181286549707e-02, -5.736971594721539e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.562832756759230e-01,  1.745993299345698e-01,  4.109589041095890e-02,  6.952499999999999e+01,  1.777777777777778e-02, -7.548646835159920e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.518192543109310e-01,  1.713968491894209e-01,  4.109589041095890e-02,  7.508699999999999e+01,  1.646090534979424e-02, -8.152538581972713e+01,  8.752319999999999e+00
PdAg_1_9_100,  2.496764650829220e-01,  1.698883625033858e-01,  4.109589041095890e-02,  7.786799999999999e+01,  1.587301587301587e-02, -8.454484455379109e+01,  8.752319999999999e+00
