# c0 + a0 * (std_dev / surface_area) + a1 * (av_E_def_subsurf * time) + a2 * (particle_diameter / time) + a3 * (time / av_BE_H_subsurf) + a4 * (av_mu_C_critical_surf^3)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.108249030504457; Max AE: 0.465473591199738
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -1.470863677229562e+01, -7.422514382097161e-03,  1.272213761118069e+00, -2.068119736981328e-03, -1.058678556160222e-02,  1.198673998198539e-01, 
# 3   , -1.853889087420019e+01, -1.629828915602085e-02,  1.224546778024254e+00, -5.936103804688600e-03, -1.179227168482767e-02, -7.975420462581918e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; g * m^-2 * nm;                                    3|4|div; (std_dev / surface_area); $\left(\frac{ std_{dev} }{ surface_{area} } \right)$; (std_dev ./ surface_area); std_dev,surface_area
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; min^-1 * nm;                                      2|0|div; (particle_diameter / time); $\left(\frac{ particle_{diameter} }{ time } \right)$; (particle_diameter ./ time); particle_diameter,time
# 3;  1; eV^-1 * min;                                      0|19|div; (time / av_BE_H_subsurf); $\left(\frac{ time }{ av_{BE, H, subsurf} } \right)$; (time ./ av_BE_H_subsurf); time,av_BE_H_subsurf
# 4;  1; eV^3;                                             11|cb; (av_mu_C_critical_surf^3); $\left(av_{mu, C, critical, surf}^3\right)$; (av_mu_C_critical_surf).^3; av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 175                   
# 3   , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.062451827416920e-01,  5.001507981064789e-01,  4.109589041095890e-02,  5.561999999999999e+00,  2.222222222222222e-01, -1.885474860335196e+01, -6.652858860799999e+01
PdAg_1_9_100,  3.099375324862660e-01,  3.565035662669934e-01,  4.109589041095890e-02,  1.112400000000000e+01,  1.111111111111111e-01, -3.770949720670392e+01, -6.652858860799999e+01
PdAg_1_9_100,  2.919675286925200e-01,  3.270870757178531e-01,  4.109589041095890e-02,  1.390500000000000e+01,  8.888888888888889e-02, -4.713687150837989e+01, -6.652858860799999e+01
PdAg_1_9_100,  2.813651505179750e-01,  2.924867376884878e-01,  4.109589041095890e-02,  1.946700000000000e+01,  6.349206349206349e-02, -6.599162011173185e+01, -6.652858860799999e+01
PdAg_1_9_100,  2.742250823045090e-01,  2.722464844407022e-01,  4.109589041095890e-02,  2.502900000000000e+01,  4.938271604938271e-02, -8.484636871508380e+01, -6.652858860799999e+01
PdAg_1_9_100,  2.739275035497000e-01,  2.648188737133556e-01,  4.109589041095890e-02,  2.781000000000000e+01,  4.444444444444445e-02, -9.427374301675978e+01, -6.652858860799999e+01
PdAg_1_9_100,  2.725813187048580e-01,  2.585335424572711e-01,  4.109589041095890e-02,  3.059100000000000e+01,  4.040404040404041e-02, -1.037011173184358e+02, -6.652858860799999e+01
PdAg_1_9_100,  2.699577938430830e-01,  2.483353065392613e-01,  4.109589041095890e-02,  3.615300000000000e+01,  3.418803418803419e-02, -1.225558659217877e+02, -6.652858860799999e+01
PdAg_1_9_100,  2.691444146104700e-01,  2.440834837924563e-01,  4.109589041095890e-02,  3.893400000000000e+01,  3.174603174603174e-02, -1.319832402234637e+02, -6.652858860799999e+01
PdAg_1_9_100,  2.658907762370700e-01,  2.367448692156212e-01,  4.109589041095890e-02,  4.449600000000000e+01,  2.777777777777778e-02, -1.508379888268157e+02, -6.652858860799999e+01
PdAg_1_9_100,  2.642144249687690e-01,  2.277297633922200e-01,  4.109589041095890e-02,  5.283900000000000e+01,  2.339181286549707e-02, -1.791201117318436e+02, -6.652858860799999e+01
PdAg_1_9_100,  2.562832756759230e-01,  2.137170688857906e-01,  4.109589041095890e-02,  6.952499999999999e+01,  1.777777777777778e-02, -2.356843575418995e+02, -6.652858860799999e+01
PdAg_1_9_100,  2.518192543109310e-01,  2.097515783904619e-01,  4.109589041095890e-02,  7.508699999999999e+01,  1.646090534979424e-02, -2.545391061452514e+02, -6.652858860799999e+01
PdAg_1_9_100,  2.496764650829220e-01,  2.078585836726823e-01,  4.109589041095890e-02,  7.786799999999999e+01,  1.587301587301587e-02, -2.639664804469274e+02, -6.652858860799999e+01
PdAg_1_9_100,  2.479231710514490e-01,  2.060171697192043e-01,  4.109589041095890e-02,  8.064900000000000e+01,  1.532567049808429e-02, -2.733938547486034e+02, -6.652858860799999e+01
PdAg_1_5_100,  5.770639017232591e-01,  7.513809015953017e-01,  5.128205128205128e-02,  2.744999999999996e+00,  4.444444444444444e-01, -8.920704845814997e+00, -7.767229629629648e+01
PdAg_1_5_100,  3.293542674131830e-01,  4.667410162385113e-01,  5.128205128205128e-02,  5.489999999999991e+00,  2.222222222222222e-01, -1.784140969162999e+01, -7.767229629629648e+01
PdAg_1_5_100,  2.565338589410230e-01,  3.705772436399534e-01,  5.128205128205128e-02,  8.234999999999987e+00,  1.481481481481481e-01, -2.676211453744499e+01, -7.767229629629648e+01
PdAg_1_5_100,  2.303037511075600e-01,  2.913353660977770e-01,  5.128205128205128e-02,  1.372499999999998e+01,  8.888888888888889e-02, -4.460352422907498e+01, -7.767229629629648e+01
PdAg_1_5_100,  2.261682956735730e-01,  2.705620386025120e-01,  5.128205128205128e-02,  1.646999999999997e+01,  7.407407407407407e-02, -5.352422907488998e+01, -7.767229629629648e+01
PdAg_1_5_100,  2.236877838869310e-01,  2.551737429003395e-01,  5.128205128205128e-02,  1.921499999999997e+01,  6.349206349206349e-02, -6.244493392070498e+01, -7.767229629629648e+01
PdAg_1_5_100,  2.195369868150280e-01,  2.431510920688496e-01,  5.128205128205128e-02,  2.195999999999997e+01,  5.555555555555555e-02, -7.136563876651998e+01, -7.767229629629648e+01
PdAg_1_5_100,  2.164592134781930e-01,  2.333722044844816e-01,  5.128205128205128e-02,  2.470499999999996e+01,  4.938271604938271e-02, -8.028634361233497e+01, -7.767229629629648e+01
PdAg_1_5_100,  2.121100061106850e-01,  2.180979773329781e-01,  5.128205128205128e-02,  3.019499999999995e+01,  4.040404040404041e-02, -9.812775330396497e+01, -7.767229629629648e+01
PdAg_1_5_100,  2.074551680388040e-01,  2.063384562468960e-01,  5.128205128205128e-02,  3.568499999999995e+01,  3.418803418803419e-02, -1.159691629955950e+02, -7.767229629629648e+01
PdAg_1_5_100,  2.050856479851930e-01,  2.013059909160550e-01,  5.128205128205128e-02,  3.842999999999994e+01,  3.174603174603174e-02, -1.248898678414100e+02, -7.767229629629648e+01
