# c0 + a0 * ((av_W_change_H^2) / (std_dev * time)) + a1 * ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)) + a2 * (exp(3.873515e-03*((time+5.022066e+02) / (av_mu_C_critical_subsurf+3.937042e+00)))) + a3 * (ln(1.0*|av_d_band_center_surf - (2.625332e+00*av_BE_H_surf+4.448848e+00)|-2.621830e-01))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.100231046453838; Max AE: 0.560458595987595
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  1.903147709386925e+03,  7.628907148903406e-07,  2.118655308054354e+00, -1.447233955073639e-01,  3.228183221219409e-01, 
# 3   ,  1.501312274450640e+03,  1.407703671445310e-06,  2.559661267545909e+00, -8.939355429977824e-02,  1.110362962557102e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2 * min^-1 * nm^-1;                            17|sq|3|0|mult|div; ((av_W_change_H^2) / (std_dev * time)); $\left(\frac{ \left(av_{W, change, H}^2\right) }{ \left(std_{dev} time\right) } \right)$; ((av_W_change_H).^2 ./ (std_dev .* time)); av_W_change_H,std_dev,time
# 1;  2; eV^-2 * min;                                      0|17|div|18|16|sub|div; ((time / av_W_change_H) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((time ./ av_W_change_H) ./ (av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 2;  2; Unitless;                                         0|12|div|exp:3.8735151373886e-03,0.0000000000000e+00,5.0220656462828e+02,3.9370421824908e+00; (exp(3.873515e-03*((time+5.022066e+02) / (av_mu_C_critical_subsurf+3.937042e+00)))); $\left(\exp{ \left(3.874e-03\left(\frac{ time +5.022e+02 }{ av_{mu, C, critical, subsurf}+3.937e+00 } \right) \right)}\right)$; exp(3.873515e-03.*((time+5.022066e+02) ./ (av_mu_C_critical_subsurf+3.937042e+00))); time,av_mu_C_critical_subsurf
# 3;  2; Unitless;                                         18|16|abd|log:1.0000000000000e+00,-2.6218304868918e-01,2.6253316571154e+00,4.4488483619910e+00; (ln(1.0*|av_d_band_center_surf - (2.625332e+00*av_BE_H_surf+4.448848e+00)|-2.621830e-01)); $\left(\ln{ \left(1.0\left(\left|av_{d, band, center, surf} - \left(2.625e+00av_{BE, H, surf}+4.449e+00\right)\right|\right)-2.622e-01 \right)}\right)$; log(1.0*abs(av_d_band_center_surf - (2.625332e+00.*av_BE_H_surf+4.448848e+00))-2.621830e-01); av_d_band_center_surf,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 211                   
# 3   , 220                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.062451827416920e-01,  4.916360475776559e-01,  1.309753086419753e-04, -1.532062667037388e+02,  2.151407511184148e-02,  8.700159537187674e-01
PdAg_1_9_100,  3.099375324862660e-01,  3.587786144624771e-01,  6.548765432098764e-05, -3.064125334074777e+02,  1.768717881025154e-02,  8.700159537187674e-01
PdAg_1_9_100,  2.919675286925200e-01,  3.302977431270233e-01,  5.239012345679012e-05, -3.830156667593470e+02,  1.603712481601478e-02,  8.700159537187674e-01
PdAg_1_9_100,  2.813651505179750e-01,  2.956495835761271e-01,  3.742151675485009e-05, -5.362219334630859e+02,  1.318446146295419e-02,  8.700159537187674e-01
PdAg_1_9_100,  2.773647395214370e-01,  2.840828822541613e-01,  3.274382716049382e-05, -6.128250668149553e+02,  1.195447031896243e-02,  8.700159537187674e-01
PdAg_1_9_100,  2.742250823045090e-01,  2.747375869008125e-01,  2.910562414266118e-05, -6.894282001668247e+02,  1.083922623677134e-02,  8.700159537187674e-01
PdAg_1_9_100,  2.739275035497000e-01,  2.669975286495579e-01,  2.619506172839506e-05, -7.660313335186941e+02,  9.828024352157946e-03,  8.700159537187674e-01
PdAg_1_9_100,  2.725813187048580e-01,  2.604644686285894e-01,  2.381369248035914e-05, -8.426344668705635e+02,  8.911158468021853e-03,  8.700159537187674e-01
PdAg_1_9_100,  2.710137208355010e-01,  2.548679780048109e-01,  2.182921810699588e-05, -9.192376002224329e+02,  8.079827887764837e-03,  8.700159537187674e-01
PdAg_1_9_100,  2.699577938430830e-01,  2.500168391660633e-01,  2.015004748338082e-05, -9.958407335743022e+02,  7.326052940274367e-03,  8.700159537187674e-01
PdAg_1_9_100,  2.691444146104700e-01,  2.457712149618114e-01,  1.871075837742504e-05, -1.072443866926172e+03,  6.642598385663136e-03,  8.700159537187674e-01
PdAg_1_9_100,  2.679801391469650e-01,  2.420259004757842e-01,  1.746337448559671e-05, -1.149047000278041e+03,  6.022903966561021e-03,  8.700159537187674e-01
PdAg_1_9_100,  2.658907762370700e-01,  2.386998139338069e-01,  1.637191358024691e-05, -1.225650133629911e+03,  5.461021438344121e-03,  8.700159537187674e-01
PdAg_1_9_100,  2.650229112638520e-01,  2.357291620627303e-01,  1.540885984023239e-05, -1.302253266981780e+03,  4.951557473874593e-03,  8.700159537187674e-01
PdAg_1_9_100,  2.642144249687690e-01,  2.306593425985447e-01,  1.378687459389214e-05, -1.455459533685519e+03,  4.070780731887158e-03,  8.700159537187674e-01
PdAg_1_9_100,  2.586590858830060e-01,  2.230670030455257e-01,  1.138915727321524e-05, -1.761872067092997e+03,  2.751373068391400e-03,  8.700159537187674e-01
PdAg_1_9_100,  2.564021611090790e-01,  2.215616151301885e-01,  1.091460905349794e-05, -1.838475200444866e+03,  2.494694817448221e-03,  8.700159537187674e-01
