# FEAT_ID     Feature Postfix Expression (RPN)
0             12|11|div|exp:4.8713424828526e-01,0.0000000000000e+00,9.5087041110671e+00,4.0519861647506e+00
1             18|12|sub|0|cbrt|div
2             1|cbrt|19|17|sub|div
3             1|19|div|17|abs|mult
4             12|sp|6|16|div|mult
5             2|19|div|exp:1.5420667184317e-01,0.0000000000000e+00,4.8417388523161e+01,-1.1306554018281e-01
6             11|cb|19|4|mult|mult
7             3|exp:4.9564565996246e-01,0.0000000000000e+00|13|17|div|abd
8             11|4|mult|11|exp:5.1314939171806e-01,0.0000000000000e+00|div
9             12|sp|6|11|div|mult
10            12|sp|6|mult
11            11|4|mult|11|cb|mult
12            11|18|div|3|2|div|sub
13            2|3|div|19|sp|mult
14            11|sp|0|cbrt|div
15            1|13|div|17|abs|mult
16            12|sp|6|9|div|mult
17            1|12|div|17|abs|mult
18            2|16|div|exp:8.9947171131914e-02,0.0000000000000e+00,9.4157040050051e+01,3.7266422712384e-01
19            16|sp|2|cbrt|div
20            10|15|div|2|sqrt|div
21            3|2|div|12|18|div|sub
22            12|9|mult|exp:6.5138884510277e-01,0.0000000000000e+00,4.6000080366316e+00,-3.0320173867975e+00
23            19|sp|3|cbrt|div
24            19|18|sub|14|3|mult|mult
25            11|cb|14|2|mult|div
26            11|sp|2|3|div|mult
27            19|cb|2|cbrt|div
28            11|17|div|18|17|div|abd
29            3|11|div|exp:7.6952000148194e-01,0.0000000000000e+00,3.5814302573881e+01,-6.9586574627150e-01
30            11|sp|14|2|mult|div
31            13|11|mult|exp:7.6592449841823e-01,0.0000000000000e+00,-4.6161598085133e+00,4.8297441961014e+00
32            16|2|div|exp:3.6626828834827e-01,0.0000000000000e+00,2.4682609023146e+00,-2.9356759961654e+00
33            19|sp|3|sqrt|div
34            19|2|div|exp:1.0893143172536e+00,0.0000000000000e+00,1.8666520753816e+00,-2.8332341350303e+00
35            16|3|div|exp:1.0069381676287e+00,0.0000000000000e+00,6.4396586657573e-02,4.2249249278113e+01
36            11|sp|3|cbrt|div
37            11|sp|3|sqrt|div
38            18|16|abd|log:1.0000000000000e+00,-1.8813095532437e-01,4.2095310049521e+00,8.5631345623437e+00
39            16|sp|3|cbrt|div
40            19|cb|3|cbrt|div
41            3|16|div|exp:2.1364079631389e-01,0.0000000000000e+00,4.3371802562782e+01,6.9305509630049e-02
42            0|19|div|exp:4.3676791457514e-03,0.0000000000000e+00,1.9629399020059e+03,-1.9309487037854e-01
43            3|19|div|exp:3.5388326532054e-01,0.0000000000000e+00,1.9798062386924e+01,3.8300693088582e-02
44            13|0|div|exp:7.1587457891430e+01,0.0000000000000e+00,-4.0720718437244e+00,6.5096496898361e+02
45            12|0|div|exp:6.4286379324433e+01,0.0000000000000e+00,3.9205325412708e+00,5.3557822166400e+02
46            0|12|div|exp:4.0431221938284e-03,0.0000000000000e+00,4.5504370585399e+02,3.9566651846904e+00
47            16|0|div|exp:1.5443069691747e+02,0.0000000000000e+00,2.1400841654040e+00,4.4437101198581e+02
48            19|0|div|exp:5.4418019087560e+01,0.0000000000000e+00,1.3094059605282e+00,5.4170180931617e+02
49            0|11|div|exp:2.8474337231071e-03,0.0000000000000e+00,6.9643061474543e+02,4.0519871553158e+00
#-----------------------------------------------------------------------
50            4|11|div|15|3|mult|div
51            4|13|div|15|3|mult|div
52            14|4|div|16|3|mult|mult
53            5|log:-1.0000000000000e+00,9.1371000001000e+00|18|16|sub|div
54            3|2|add|4|3|div|mult
55            1|cb|14|3|mult|mult
56            4|14|div|15|3|mult|div
57            4|14|div|3|2|add|div
58            5|4|mult|14|3|mult|div
59            8|4|mult|3|sqrt|div
60            3|log:1.0000000000000e+00,-4.4041611476094e-01|15|4|div|mult
61            4|log:1.0000000000000e+00,-4.9999963058170e+01|3|sq|div
62            4|3|div|14|8|mult|div
63            3|4|div|2|sqrt|div
64            14|3|mult|8|4|mult|div
65            4|3|div|14|log:-1.0000000000000e+00,4.0497333482211e-01|div
66            8|4|mult|3|cbrt|div
67            1|16|div|14|3|mult|mult
68            7|sq|14|2|mult|div
69            4|3|div|14|7|mult|div
70            8|3|mult|14|4|div|mult
71            3|19|div|18|4|mult|div
72            4|3|div|16|14|mult|div
73            3|4|div|14|sqrt|mult
74            3|1|mult|14|7|mult|mult
75            4|3|div|14|9|mult|div
76            2|3|div|4|sq|mult
77            4|3|div|14|5|mult|div
78            4|3|div|13|12|add|div
79            3|9|div|14|1|mult|mult
80            3|1|mult|13|12|add|mult
81            0|17|div|18|16|abd|div
82            14|3|mult|9|4|mult|div
83            3|4|div|13|12|add|mult
84            8|4|mult|14|3|mult|div
85            14|log:-1.0000000000000e+00,4.0497333482211e-01|3|4|div|mult
86            14|3|mult|5|4|mult|div
87            1|4|div|14|3|mult|mult
88            3|log:1.0000000000000e+00,-4.4041611476094e-01|14|4|div|mult
89            4|sq|14|3|mult|div
90            3|8|div|14|1|mult|mult
91            14|log:-1.0000000000000e+00,4.0497333482211e-01|3|1|mult|mult
92            3|sqrt|15|1|mult|mult
93            3|1|mult|14|1|mult|mult
94            3|1|mult|14|5|div|mult
95            17|0|mult|18|16|sub|div
96            3|7|div|14|1|mult|mult
97            3|sqrt|14|1|mult|mult
98            3|cbrt|15|1|mult|mult
99            0|17|div|18|16|sub|div
#-----------------------------------------------------------------------
100           8|sq|2|1|mult|div
101           8|1|mult|3|1|mult|mult
102           1|14|div|13|3|mult|mult
103           1|sq|3|14|div|mult
104           3|sq|1|4|div|mult
105           3|1|mult|15|8|mult|div
106           10|3|mult|1|cb|mult
107           9|1|mult|3|14|div|mult
108           3|1|mult|15|1|add|div
109           3|2|mult|15|log:-1.0000000000000e+00,9.3470000100000e-02|div
110           3|2|add|1|sq|mult
111           0|log:1.0000000000000e+00,-1.2258610241416e+01|3|1|mult|mult
112           7|1|mult|3|15|div|mult
113           1|cb|5|3|mult|mult
114           3|sq|1|15|div|mult
115           3|2|add|1|8|div|mult
116           8|15|div|3|1|mult|mult
117           3|2|add|1|log:1.0000000000000e+00,-8.2999999999732e-03|div
118           3|exp:4.9564565996246e-01,0.0000000000000e+00|16|1|mult|mult
119           1|15|div|3|mult
120           1|sq|3|15|div|mult
121           3|14|div|16|1|mult|mult
122           3|1|mult|15|log:-1.0000000000000e+00,9.3470000100000e-02|div
123           3|cb|1|4|div|mult
124           9|1|mult|3|1|mult|mult
125           3|1|mult|5|15|div|mult
126           3|1|mult|15|1|sub|div
127           3|1|mult|14|4|mult|div
128           3|1|mult|5|4|mult|div
129           3|exp:4.9564565996246e-01,0.0000000000000e+00|1|15|div|mult
130           3|1|mult|7|4|mult|div
131           2|cbrt|5|1|mult|mult
132           7|3|mult|1|cb|mult
133           3|1|mult|5|1|mult|mult
134           7|1|mult|3|cbrt|mult
135           3|exp:4.9564565996246e-01,0.0000000000000e+00|15|log:-1.0000000000000e+00,9.3470000100000e-02|div
136           3|15|div|1|log:1.0000000000000e+00,-8.2999999999732e-03|div
137           3|sq|15|log:-1.0000000000000e+00,9.3470000100000e-02|div
138           3|14|div|1|log:1.0000000000000e+00,-8.2999999999732e-03|div
139           7|3|mult|1|sq|mult
140           3|cb|15|log:-1.0000000000000e+00,9.3470000100000e-02|div
141           3|sq|1|log:1.0000000000000e+00,-8.2999999999732e-03|div
142           3|exp:4.9564565996246e-01,0.0000000000000e+00|1|log:1.0000000000000e+00,-8.2999999999732e-03|div
143           3|1|mult|15|4|mult|div
144           3|cbrt|5|1|mult|mult
145           3|exp:4.9564565996246e-01,0.0000000000000e+00|1|4|div|mult
146           3|cb|1|log:1.0000000000000e+00,-8.2999999999732e-03|div
147           3|2|mult|1|log:1.0000000000000e+00,-8.2999999999732e-03|div
148           0|log:1.0000000000000e+00,-1.2258610241416e+01|2|1|mult|mult
149           3|4|div|1|sq|mult
#-----------------------------------------------------------------------
150           10|12|div|0|cb|div
151           7|1|div|0|cb|div
152           17|6|sub|0|cb|div
153           13|2|mult|0|cb|div
154           5|2|mult|0|sq|div
155           11|6|mult|0|cb|div
156           19|2|mult|0|cb|div
157           16|2|mult|0|cb|div
158           10|2|mult|0|log:1.0000000000000e+00,-1.2258610241416e+01|div
159           10|7|mult|0|cb|div
160           10|2|mult|0|sp|div
161           7|sq|0|cb|div
162           5|0|div|cb
163           6|4|div|0|cb|div
164           6|5|mult|0|cb|div
165           7|2|mult|0|sq|div
166           9|2|mult|0|sq|div
167           9|6|mult|0|cb|div
168           7|6|mult|0|cb|div
169           2|4|div|0|cb|div
170           7|exp|0|cb|div
171           5|sp|0|cb|div
172           1|log:1.0000000000000e+00,-8.2999999999732e-03|0|sp|div
173           10|6|mult|0|cb|div
174           15|log:-1.0000000000000e+00,9.3470000100000e-02|0|sp|div
175           2|0|div|1|0|mult|div
176           2|18|div|0|cb|div
177           7|0|div|cb
178           5|2|mult|0|cb|div
179           14|2|mult|0|sq|div
180           7|exp:1.3638324475433e+00,0.0000000000000e+00|0|cb|div
181           11|2|mult|0|cb|div
182           10|2|mult|0|sq|div
183           15|2|mult|0|sq|div
184           7|2|mult|0|cb|div
185           6|exp:8.3774419288252e-01,0.0000000000000e+00|0|cb|div
186           3|2|sub|0|sq|div
187           3|2|sub|0|cb|div
188           6|2|mult|0|sq|div
189           9|2|mult|0|cb|div
190           1|log:1.0000000000000e+00,-8.2999999999732e-03|0|sq|div
191           2|1|div|0|cb|div
192           0|log:1.0000000000000e+00,-1.2258610241416e+01|0|cbrt|div
193           6|2|mult|0|cb|div
194           15|log:-1.0000000000000e+00,9.3470000100000e-02|0|sq|div
195           15|2|mult|0|cb|div
196           14|2|mult|0|cb|div
197           10|2|mult|0|cb|div
198           15|log:-1.0000000000000e+00,9.3470000100000e-02|0|cb|div
199           1|log:1.0000000000000e+00,-8.2999999999732e-03|0|cb|div
#-----------------------------------------------------------------------
200           7|0|mult|18|sp|div
201           16|0|mult|12|exp:7.5699605715714e-01,0.0000000000000e+00|div
202           19|sp|14|0|mult|mult
203           19|sp|0|mult
204           0|6|div|18|cb|div
205           11|0|mult|18|sp|div
206           0|6|div|18|sp|div
207           1|0|mult|19|sp|mult
208           0|9|div|19|sp|mult
209           19|0|mult|18|sp|div
210           12|sp|0|10|div|mult
211           11|0|mult|12|exp:7.5699605715714e-01,0.0000000000000e+00|div
212           12|sp|1|0|mult|mult
213           10|0|mult|18|sp|div
214           0|10|div|19|sp|mult
215           19|sp|16|0|mult|mult
216           0|4|div|12|exp:7.5699605715714e-01,0.0000000000000e+00|div
217           0|4|div|19|sp|mult
218           0|8|div|19|sp|mult
219           11|0|mult|19|sp|mult
220           13|exp:8.5693816134169e-01,0.0000000000000e+00|16|0|mult|mult
221           13|0|mult|12|exp:7.5699605715714e-01,0.0000000000000e+00|div
222           0|5|div|19|sp|mult
223           19|0|mult|12|exp:7.5699605715714e-01,0.0000000000000e+00|div
224           12|0|mult|12|exp:7.5699605715714e-01,0.0000000000000e+00|div
225           19|sp|19|0|mult|mult
226           0|18|div|12|exp:7.5699605715714e-01,0.0000000000000e+00|div
227           0|17|div|17|6|mult|div
228           13|exp:8.5693816134169e-01,0.0000000000000e+00|11|0|mult|mult
229           13|exp:8.5693816134169e-01,0.0000000000000e+00|0|18|div|mult
230           0|7|div|19|sp|mult
231           0|4|div|18|sp|div
232           12|0|mult|19|sp|mult
233           0|15|div|18|sp|div
234           19|sp|13|0|mult|mult
235           13|exp:8.5693816134169e-01,0.0000000000000e+00|19|0|mult|mult
236           0|6|div|12|exp:7.5699605715714e-01,0.0000000000000e+00|div
237           13|exp:8.5693816134169e-01,0.0000000000000e+00|0|4|div|mult
238           13|exp:8.5693816134169e-01,0.0000000000000e+00|0|6|div|mult
239           0|6|div|19|sp|mult
240           0|14|div|18|sp|div
241           0|18|div|19|sp|mult
242           3|0|mult|18|sp|div
243           0|4|div|13|sp|mult
244           12|sp|0|4|div|mult
245           0|sq|6|sp|div
246           2|0|mult|18|sp|div
247           0|sq|19|6|add|mult
248           0|cb|18|sp|div
249           0|sq|18|sp|div
#-----------------------------------------------------------------------
