# c0 + a0 * ((total_metal_loading / surface_area) * (av_E_def_subsurf * time)) + a1 * (exp(1.923815e-01*((std_dev+3.414040e+01) / (av_BE_H_surf+8.647574e-01))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.147094589907923; Max AE: 0.708616115783258
# Coefficients
# Task   a0                      a1                      c0
# 2   , -2.535787647754373e+01,  1.057528223218277e+02,  3.685573045366482e-02, 
# 3   , -3.353326991678514e+01,  1.065187504533647e+02, -9.363203002619264e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * g * m^-2 * min;                              1|4|div|14|0|mult|mult; ((total_metal_loading / surface_area) * (av_E_def_subsurf * time)); $\left(\left(\frac{ total_{metal, loading} }{ surface_{area} } \right) \left(av_{E, def, subsurf} time\right)\right)$; ((total_metal_loading ./ surface_area) .* (av_E_def_subsurf .* time)); total_metal_loading,surface_area,av_E_def_subsurf,time
# 1;  2; Unitless;                                         3|16|div|exp:1.9238145961456e-01,0.0000000000000e+00,3.4140403060992e+01,8.6475735427964e-01; (exp(1.923815e-01*((std_dev+3.414040e+01) / (av_BE_H_surf+8.647574e-01)))); $\left(\exp{ \left(1.924e-01\left(\frac{ std_{dev} +3.414e+01 }{ av_{BE, H, surf}+8.648e-01 } \right) \right)}\right)$; exp(1.923815e-01.*((std_dev+3.414040e+01) ./ (av_BE_H_surf+8.647574e-01))); std_dev,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 164                   
# 3   , 181                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  3.099375324862660e-01,  4.129230091010985e-01,  1.935271232876712e-03,  4.020144693892624e-03
PdAg_1_9_100,  2.919675286925200e-01,  4.006544168826406e-01,  2.419089041095890e-03,  4.020144693892624e-03
PdAg_1_9_100,  2.813651505179750e-01,  3.761172324457249e-01,  3.386724657534246e-03,  4.020144693892624e-03
PdAg_1_9_100,  2.773647395214370e-01,  3.638486402272671e-01,  3.870542465753424e-03,  4.020144693892624e-03
PdAg_1_9_100,  2.739275035497000e-01,  3.393114557903514e-01,  4.838178082191781e-03,  4.020144693892624e-03
PdAg_1_9_100,  2.725813187048580e-01,  3.270428635718935e-01,  5.321995890410958e-03,  4.020144693892624e-03
PdAg_1_9_100,  2.710137208355010e-01,  3.147742713534357e-01,  5.805813698630136e-03,  4.020144693892624e-03
PdAg_1_9_100,  2.699577938430830e-01,  3.025056791349778e-01,  6.289631506849315e-03,  4.020144693892624e-03
PdAg_1_9_100,  2.691444146104700e-01,  2.902370869165199e-01,  6.773449315068492e-03,  4.020144693892624e-03
PdAg_1_9_100,  2.679801391469650e-01,  2.779684946980621e-01,  7.257267123287670e-03,  4.020144693892624e-03
PdAg_1_9_100,  2.658907762370700e-01,  2.656999024796042e-01,  7.741084931506848e-03,  4.020144693892624e-03
PdAg_1_9_100,  2.650229112638520e-01,  2.534313102611463e-01,  8.224902739726026e-03,  4.020144693892624e-03
PdAg_1_9_100,  2.642144249687690e-01,  2.288941258242306e-01,  9.192538356164383e-03,  4.020144693892624e-03
PdAg_1_9_100,  2.586590858830060e-01,  1.798197569503992e-01,  1.112780958904109e-02,  4.020144693892624e-03
PdAg_1_9_100,  2.564021611090790e-01,  1.675511647319413e-01,  1.161162739726027e-02,  4.020144693892624e-03
PdAg_1_9_100,  2.562832756759230e-01,  1.552825725134835e-01,  1.209544520547945e-02,  4.020144693892624e-03
PdAg_1_9_100,  2.537741737812260e-01,  1.430139802950256e-01,  1.257926301369863e-02,  4.020144693892624e-03
PdAg_1_9_100,  2.496764650829220e-01,  1.184767958581099e-01,  1.354689863013698e-02,  4.020144693892624e-03
