# c0 + a0 * ((ln(1.0*time-9.174576e+00)) / ln(av_delta_M1_M2_subsurf)) + a1 * (exp(1.923815e-01*((std_dev+3.414040e+01) / (av_BE_H_surf+8.647574e-01))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.148545665447167; Max AE: 0.458818183811198
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  3.687161270033345e-01,  1.015900596541598e+02,  5.737937830915540e-01, 
# 3   ,  3.879421472694305e-01,  1.009449607524161e+02,  4.268711239630924e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|log:1.0000000000000e+00,-9.1745762350400e+00|15|log|div; ((ln(1.0*time-9.174576e+00)) / ln(av_delta_M1_M2_subsurf)); $\left(\frac{ \left(\ln{ \left(1.0time-9.175e+00 \right)}\right) }{ \left(\ln{ av_{delta, M1, M2, subsurf} }\right) } \right)$; (log(1.0*time-9.174576e+00) ./ log(av_delta_M1_M2_subsurf)); time,av_delta_M1_M2_subsurf
# 1;  2; Unitless;                                         3|16|div|exp:1.9238145961456e-01,0.0000000000000e+00,3.4140403060992e+01,8.6475735427964e-01; (exp(1.923815e-01*((std_dev+3.414040e+01) / (av_BE_H_surf+8.647574e-01)))); $\left(\exp{ \left(1.924e-01\left(\frac{ std_{dev} +3.414e+01 }{ av_{BE, H, surf}+8.648e-01 } \right) \right)}\right)$; exp(1.923815e-01.*((std_dev+3.414040e+01) ./ (av_BE_H_surf+8.647574e-01))); std_dev,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 164                   
# 3   , 181                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  3.099375324862660e-01,  4.483866497083214e-01, -1.447763831196107e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.919675286925200e-01,  4.114312116360174e-01, -1.547991175122319e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.813651505179750e-01,  3.580278093224247e-01, -1.692827265552152e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.773647395214370e-01,  3.374092157425951e-01, -1.748747232349924e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.739275035497000e-01,  3.035030114253026e-01, -1.840704708126366e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.725813187048580e-01,  2.891964386253577e-01, -1.879505757910162e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.710137208355010e-01,  2.762140327041215e-01, -1.914715516774653e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.699577938430830e-01,  2.643313046492093e-01, -1.946942824409625e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.691444146104700e-01,  2.533764183838290e-01, -1.976653719765394e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.679801391469650e-01,  2.432149120915897e-01, -2.004212878554636e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.658907762370700e-01,  2.337395885522922e-01, -2.029911031809570e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.650229112638520e-01,  2.248636083252273e-01, -2.053983697953041e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.642144249687690e-01,  2.086363757885299e-01, -2.097993795012210e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.586590858830060e-01,  1.809143379846777e-01, -2.173179109061686e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.564021611090790e-01,  1.747620678584189e-01, -2.189864764165139e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.562832756759230e-01,  1.688681526341123e-01, -2.205849731441206e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.537741737812260e-01,  1.632117655480559e-01, -2.221190495437692e+00,  4.020144693892624e-03
PdAg_1_9_100,  2.496764650829220e-01,  1.525400128816637e-01, -2.250133500326371e+00,  4.020144693892624e-03
PdAg_1_5_100,  5.770639017232591e-01,  8.104466420619846e-01, -5.526909408721852e-01,  4.335452933269511e-03
PdAg_1_5_100,  2.565338589410230e-01,  5.349414885039425e-01, -1.299892197831446e+00,  4.335452933269511e-03
PdAg_1_5_100,  2.303037511075600e-01,  4.484449481773099e-01, -1.534480635906058e+00,  4.335452933269511e-03
PdAg_1_5_100,  2.195369868150280e-01,  3.750690005911753e-01, -1.733484536772784e+00,  4.335452933269511e-03
PdAg_1_5_100,  2.164592134781930e-01,  3.572515382841273e-01, -1.781807517521838e+00,  4.335452933269511e-03
PdAg_1_5_100,  2.121100061106850e-01,  3.272770143844002e-01, -1.863101829607775e+00,  4.335452933269511e-03
PdAg_1_5_100,  2.099035907134980e-01,  3.144079161532458e-01, -1.898004285151951e+00,  4.335452933269511e-03
PdAg_1_5_100,  2.050856479851930e-01,  2.917696236952733e-01, -1.959401904621326e+00,  4.335452933269511e-03
PdAg_1_5_100,  2.038357874315140e-01,  2.816968048784304e-01, -1.986720532907828e+00,  4.335452933269511e-03
PdAg_1_5_100,  2.000269286823050e-01,  2.552305587423204e-01, -2.058499997373375e+00,  4.335452933269511e-03
PdAg_1_5_100,  1.969854579108610e-01,  2.400247691302316e-01, -2.099739825247656e+00,  4.335452933269511e-03
PdAg_1_5_100,  1.963439311488950e-01,  2.330027533558713e-01, -2.118784329298591e+00,  4.335452933269511e-03
PdAg_1_5_100,  1.926261364587620e-01,  2.199399769912605e-01, -2.154212061930673e+00,  4.335452933269511e-03
PdAg_1_5_100,  1.891192110734720e-01,  2.079989281958646e-01, -2.186597542035501e+00,  4.335452933269511e-03
PdAg_1_5_100,  1.877437449997070e-01,  2.023919088586537e-01, -2.201804415091966e+00,  4.335452933269511e-03
PdAg_1_5_100,  1.864446344370330e-01,  1.970020995324213e-01, -2.216422189936904e+00,  4.335452933269511e-03
PdAg_1_5_100,  1.849359671980280e-01,  1.819823969242295e-01, -2.257157328728530e+00,  4.335452933269511e-03
PdAg_1_1_100,  1.476543275391880e+00,  1.197422453572449e+00, -1.241598457288066e+00,  1.064499862119320e-02
PdAg_1_1_100,  1.443594468047830e+00,  1.149794949956421e+00, -1.370769654661803e+00,  1.064499862119320e-02
PdAg_1_1_100,  1.289499794158380e+00,  1.087133047631182e+00, -1.540715848321708e+00,  1.064499862119320e-02
PdAg_1_1_100,  1.208605384312000e+00,  1.064241523518709e+00, -1.602800260789694e+00,  1.064499862119320e-02
PdAg_1_1_100,  1.055882869290930e+00,  1.027701019413088e+00, -1.701902256687178e+00,  1.064499862119320e-02
PdAg_1_1_100,  1.010936655602070e+00,  1.012616433311701e+00, -1.742813366879142e+00,  1.064499862119320e-02
PdAg_1_1_100,  9.741100506334990e-01,  9.990707047655109e-01, -1.779550920661451e+00,  1.064499862119320e-02
PdAg_1_1_100,  9.478991583993770e-01,  9.867787219863653e-01, -1.812888173574814e+00,  1.064499862119320e-02
PdAg_1_1_100,  8.995066396137220e-01,  9.651556450586436e-01, -1.871532413259850e+00,  1.064499862119320e-02
PdAg_1_1_100,  8.704807885278290e-01,  9.555345423822844e-01, -1.897625936086076e+00,  1.064499862119320e-02
PdAg_1_1_100,  8.596665013433460e-01,  9.381591875182058e-01, -1.944749871253472e+00,  1.064499862119320e-02
PdAg_1_1_100,  7.987791951287240e-01,  9.026393337666205e-01, -2.041083747507450e+00,  1.064499862119320e-02
PdAg_1_1_100,  7.909704423439380e-01,  8.965472030016558e-01, -2.057606297834926e+00,  1.064499862119320e-02
PdAg_1_1_100,  7.811341630508190e-01,  8.907221195076234e-01, -2.073404585643422e+00,  1.064499862119320e-02
PdAg_1_1_100,  7.748485070789100e-01,  8.851416512278252e-01, -2.088539449217609e+00,  1.064499862119320e-02
PdAg_1_1_100,  7.616541677031310e-01,  8.797860789960052e-01, -2.103064369175264e+00,  1.064499862119320e-02
PdAg_1_1_100,  7.507945291751720e-01,  8.746379759797006e-01, -2.117026609064647e+00,  1.064499862119320e-02
PdAg_1_1_100,  7.431020909817240e-01,  8.696818655863771e-01, -2.130468143161903e+00,  1.064499862119320e-02
PdAg_1_1_100,  7.318398412815810e-01,  8.602918328007764e-01, -2.155934978209006e+00,  1.064499862119320e-02
PdAu_1_9_100,  1.349591588597210e+00,  1.011983303456551e+00, -6.179068401869018e-01,  6.555973483969785e-03
PdAu_1_9_100,  8.319575347159480e-01,  7.916797640536186e-01, -1.215395052035418e+00,  6.555973483969785e-03
PdAu_1_9_100,  7.195733252458120e-01,  7.039693551518953e-01, -1.453275639506793e+00,  6.555973483969785e-03
