# c0 + a0 * (exp(6.135353e+01*((av_BE_H_subsurf+1.300547e+00) / (time+6.034612e+02))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.210194140587804; Max AE: 0.642173982338807
# Coefficients
# Task   a0                      c0
# 2   , -2.635138801464331e+01,  2.627517567623566e+01, 
# 3   , -2.653341531469199e+01,  2.626489033879153e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         19|0|div|exp:6.1353532484710e+01,0.0000000000000e+00,1.3005469669175e+00,6.0346123718806e+02; (exp(6.135353e+01*((av_BE_H_subsurf+1.300547e+00) / (time+6.034612e+02)))); $\left(\exp{ \left(6.135e+01\left(\frac{ av_{BE, H, subsurf} +1.301e+00 }{ time+6.035e+02 } \right) \right)}\right)$; exp(6.135353e+01.*((av_BE_H_subsurf+1.300547e+00) ./ (time+6.034612e+02))); av_BE_H_subsurf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  6.062451827416920e-01,  2.587379980097836e-01,  9.872890818414840e-01
PdAg_1_9_100,  3.099375324862660e-01,  2.450667765603856e-01,  9.878078864464559e-01
PdAg_1_9_100,  2.919675286925200e-01,  2.386412910156957e-01,  9.880517250458162e-01
PdAg_1_9_100,  2.773647395214370e-01,  2.208196249506350e-01,  9.887280334837306e-01
PdAg_1_9_100,  2.742250823045090e-01,  2.153191004116116e-01,  9.889367710476102e-01
PdAg_1_9_100,  2.739275035497000e-01,  2.100185905416425e-01,  9.891379183217889e-01
PdAg_1_9_100,  2.725813187048580e-01,  2.049073806048305e-01,  9.893318819161913e-01
PdAg_1_9_100,  2.710137208355010e-01,  1.999755077463510e-01,  9.895190399078591e-01
PdAg_1_9_100,  2.691444146104700e-01,  1.906132989562801e-01,  9.898743232342959e-01
PdAg_1_9_100,  2.679801391469650e-01,  1.861662455783879e-01,  9.900430829738368e-01
PdAg_1_9_100,  2.658907762370700e-01,  1.818649947376338e-01,  9.902063097017179e-01
PdAg_1_9_100,  2.650229112638520e-01,  1.777024916468385e-01,  9.903642711376954e-01
PdAg_1_9_100,  2.586590858830060e-01,  1.552983946695396e-01,  9.912144767118705e-01
PdAg_1_9_100,  2.564021611090790e-01,  1.519431867967264e-01,  9.913418023719438e-01
PdAg_1_9_100,  2.562832756759230e-01,  1.486838408492061e-01,  9.914654901999136e-01
PdAg_1_9_100,  2.537741737812260e-01,  1.455163063955950e-01,  9.915856939042441e-01
PdAg_1_9_100,  2.518192543109310e-01,  1.424367580231824e-01,  9.917025586542414e-01
PdAg_1_9_100,  2.496764650829220e-01,  1.394415799261499e-01,  9.918162216649097e-01
PdAg_1_9_100,  2.479231710514490e-01,  1.365273517433200e-01,  9.919268127343900e-01
PdAg_1_5_100,  3.293542674131830e-01,  4.638447712973178e-01,  9.795055535820406e-01
PdAg_1_5_100,  2.565338589410230e-01,  4.526374017782064e-01,  9.799308582951314e-01
PdAg_1_5_100,  2.261682956735730e-01,  4.216425722487984e-01,  9.811070707023178e-01
PdAg_1_5_100,  2.236877838869310e-01,  4.121028222686974e-01,  9.814690914799254e-01
PdAg_1_5_100,  2.164592134781930e-01,  3.940795995919111e-01,  9.821530487222070e-01
PdAg_1_5_100,  2.099035907134980e-01,  3.694084160594757e-01,  9.830892872049285e-01
PdAg_1_5_100,  2.074551680388040e-01,  3.617500038936091e-01,  9.833799137237901e-01
PdAg_1_5_100,  2.050856479851930e-01,  3.543503723784335e-01,  9.836607198623913e-01
PdAg_1_5_100,  2.038357874315140e-01,  3.471966232793594e-01,  9.839321950915177e-01
PdAg_1_5_100,  2.013479605126910e-01,  3.335793273276793e-01,  9.844489532958337e-01
PdAg_1_5_100,  2.000269286823050e-01,  3.270939350229488e-01,  9.846950652767710e-01
PdAg_1_5_100,  1.973081438407180e-01,  3.208106172658423e-01,  9.849335087983652e-01
PdAg_1_5_100,  1.969854579108610e-01,  3.147200746286309e-01,  9.851646367614852e-01
PdAg_1_5_100,  1.963439311488950e-01,  3.088135696625712e-01,  9.853887807406478e-01
PdAg_1_5_100,  1.940684048443220e-01,  3.030828850788915e-01,  9.856062525709930e-01
PdAg_1_5_100,  1.926261364587620e-01,  2.975202856092204e-01,  9.858173457956300e-01
PdAg_1_5_100,  1.891192110734720e-01,  2.868706050240210e-01,  9.862214869581100e-01
PdAg_1_5_100,  1.877437449997070e-01,  2.817701645773787e-01,  9.864150418647361e-01
PdAg_1_5_100,  1.846523109974680e-01,  2.672938495358624e-01,  9.869643986968495e-01
PdAg_1_5_100,  1.849359671980280e-01,  2.627251258317328e-01,  9.871377756628594e-01
PdAg_1_1_100,  1.476543275391880e+00,  1.434003596674279e+00,  9.426893211756926e-01
PdAg_1_1_100,  1.208605384312000e+00,  1.320315583963411e+00,  9.470036295016029e-01
PdAg_1_1_100,  1.055882869290930e+00,  1.269656046893679e+00,  9.489260913105058e-01
PdAg_1_1_100,  1.010936655602070e+00,  1.245679687150345e+00,  9.498359621579165e-01
PdAg_1_1_100,  9.741100506334990e-01,  1.222542459195967e+00,  9.507139890740517e-01
PdAg_1_1_100,  9.478991583993770e-01,  1.200201077752114e+00,  9.515618146774483e-01
PdAg_1_1_100,  8.995066396137220e-01,  1.157747100770091e+00,  9.531728864342162e-01
PdAg_1_1_100,  8.640896201761730e-01,  1.118025784707545e+00,  9.546802573567829e-01
PdAg_1_1_100,  8.596665013433460e-01,  1.099108744384594e+00,  9.553981337856237e-01
PdAg_1_1_100,  8.441400331191570e-01,  1.080781559128896e+00,  9.560936260020304e-01
PdAg_1_1_100,  8.196082741920870e-01,  1.045789754285281e+00,  9.574215182870277e-01
PdAg_1_1_100,  8.088625391977590e-01,  1.029075617744082e+00,  9.580557974578976e-01
PdAg_1_1_100,  7.987791951287240e-01,  1.012852068679700e+00,  9.586714594888831e-01
PdAg_1_1_100,  7.909704423439380e-01,  9.970978233730838e-01,  9.592693120687116e-01
PdAg_1_1_100,  7.811341630508190e-01,  9.817928115412201e-01,  9.598501168378326e-01
PdAg_1_1_100,  7.748485070789100e-01,  9.669180910888737e-01,  9.604145926234755e-01
PdAg_1_1_100,  7.616541677031310e-01,  9.524557699465144e-01,  9.609634184057957e-01
PdAg_1_1_100,  7.507945291751720e-01,  9.383889343166825e-01,  9.614972360408294e-01
PdAg_1_1_100,  7.318398412815810e-01,  8.984055280238175e-01,  9.630145529377855e-01
PdAu_1_9_100,  8.319575347159480e-01,  6.207742718131796e-01,  9.735502885148397e-01
PdAu_1_9_100,  7.195733252458120e-01,  6.063535598372705e-01,  9.740975352848351e-01
PdAu_1_9_100,  6.672603147247390e-01,  5.925174505749672e-01,  9.746225971622062e-01
PdAu_1_9_100,  6.293690562214960e-01,  5.792311032601825e-01,  9.751267963075189e-01
PdAu_1_9_100,  6.029841566832330e-01,  5.664623916110072e-01,  9.756113518702877e-01
PdAu_1_9_100,  5.851248612511580e-01,  5.541816445331310e-01,  9.760773898289353e-01
PdAu_1_9_100,  5.466387208639329e-01,  5.309762802641134e-01,  9.769580024272593e-01
PdAu_1_9_100,  5.147793772808130e-01,  5.094186103538809e-01,  9.777760872240925e-01
PdAu_1_9_100,  4.771739589239030e-01,  4.798070686170442e-01,  9.788998057060329e-01
PdAu_1_9_100,  4.682731346453220e-01,  4.705909506394087e-01,  9.792495450811471e-01
PdAu_1_9_100,  4.561741947393160e-01,  4.616753579597546e-01,  9.795878799223593e-01
PdAu_1_9_100,  4.459077354116620e-01,  4.530458273142450e-01,  9.799153590912256e-01
PdAu_1_9_100,  4.388938211152080e-01,  4.446888088446589e-01,  9.802324967867786e-01
PdAu_1_9_100,  3.933072394218520e-01,  4.137430308025083e-01,  9.814068477555000e-01
PdAu_1_9_100,  3.637516913038650e-01,  3.996091529140788e-01,  9.819432095547561e-01
PdAu_1_9_100,  3.286193649949370e-01,  3.798738473958149e-01,  9.826921380554976e-01
PdAu_1_9_100,  2.941179610415640e-01,  3.617104023970398e-01,  9.833814165477228e-01
PdAu_1_5_100,  1.440205434029630e+00,  8.153645193728484e-01,  9.661658483687823e-01
PdAu_1_5_100,  1.041393056856870e+00,  7.965930347481206e-01,  9.668782011531706e-01
PdAu_1_5_100,  9.021296624907440e-01,  7.785956189490140e-01,  9.675611790588925e-01
PdAu_1_5_100,  8.214458953704740e-01,  7.613253637085742e-01,  9.682165621920634e-01
PdAu_1_5_100,  6.711991315391230e-01,  7.134620783790359e-01,  9.700329099800031e-01
PdAu_1_5_100,  6.133552581111910e-01,  6.844806616736943e-01,  9.711327160581208e-01
