# c0 + a0 * (sqrt(std_dev) * (av_E_def_subsurf * total_metal_loading)) + a1 * (exp(4.090011e-03*((time+5.042691e+02) / (av_mu_C_critical_subsurf+3.922191e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.15152385910964; Max AE: 0.765391757347409
# Coefficients
# Task   a0                      a1                      c0
# 2   , -1.354779903071152e+02,  3.879325388377646e+00,  9.222721596138143e-01, 
# 3   , -1.903410797233674e+02,  3.918573295754993e+00,  9.942650990935987e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * nm^0.5;                                      3|sqrt|14|1|mult|mult; (sqrt(std_dev) * (av_E_def_subsurf * total_metal_loading)); $\left(\left(\sqrt{ std_{dev} }\right) \left(av_{E, def, subsurf} total_{metal, loading}\right)\right)$; (sqrt(std_dev) .* (av_E_def_subsurf .* total_metal_loading)); std_dev,av_E_def_subsurf,total_metal_loading
# 1;  2; Unitless;                                         0|12|div|exp:4.0900105944961e-03,0.0000000000000e+00,5.0426912635281e+02,3.9221908303785e+00; (exp(4.090011e-03*((time+5.042691e+02) / (av_mu_C_critical_subsurf+3.922191e+00)))); $\left(\exp{ \left(4.090e-03\left(\frac{ time +5.043e+02 }{ av_{mu, C, critical, subsurf}+3.922e+00 } \right) \right)}\right)$; exp(4.090011e-03.*((time+5.042691e+02) ./ (av_mu_C_critical_subsurf+3.922191e+00))); time,av_mu_C_critical_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.062451827416920e-01,  3.823726887605301e-01,  4.531391322761697e-03,  1.907659488200853e-02
PdAg_1_9_100,  3.099375324862660e-01,  3.688842281093476e-01,  4.531391322761697e-03,  1.559958295318361e-02
PdAg_1_9_100,  2.919675286925200e-01,  3.630920457971220e-01,  4.531391322761697e-03,  1.410649285829781e-02
PdAg_1_9_100,  2.773647395214370e-01,  3.488346663251063e-01,  4.531391322761697e-03,  1.043127151318189e-02
PdAg_1_9_100,  2.742250823045090e-01,  3.449614969888489e-01,  4.531391322761697e-03,  9.432858400463531e-03
PdAg_1_9_100,  2.739275035497000e-01,  3.414590420998389e-01,  4.531391322761697e-03,  8.530006863569202e-03
PdAg_1_9_100,  2.725813187048580e-01,  3.382918192948058e-01,  4.531391322761697e-03,  7.713570373213944e-03
PdAg_1_9_100,  2.710137208355010e-01,  3.354277423503180e-01,  4.531391322761697e-03,  6.975277846098663e-03
PdAg_1_9_100,  2.691444146104700e-01,  3.304957426228981e-01,  4.531391322761697e-03,  5.703922846542277e-03
PdAg_1_9_100,  2.679801391469650e-01,  3.283778551690351e-01,  4.531391322761697e-03,  5.157980642207447e-03
PdAg_1_9_100,  2.658907762370700e-01,  3.264626780561432e-01,  4.531391322761697e-03,  4.664292456465222e-03
PdAg_1_9_100,  2.650229112638520e-01,  3.247308091756440e-01,  4.531391322761697e-03,  4.217856876277003e-03
PdAg_1_9_100,  2.586590858830060e-01,  3.173155141808650e-01,  4.531391322761697e-03,  2.306366023513006e-03
PdAg_1_9_100,  2.564021611090790e-01,  3.164591520250943e-01,  4.531391322761697e-03,  2.085615746071414e-03
PdAg_1_9_100,  2.562832756759230e-01,  3.156847552562353e-01,  4.531391322761697e-03,  1.885994241987451e-03
PdAg_1_9_100,  2.537741737812260e-01,  3.149844786833177e-01,  4.531391322761697e-03,  1.705479203208903e-03
PdAg_1_9_100,  2.518192543109310e-01,  3.143512280057617e-01,  4.531391322761697e-03,  1.542241883789075e-03
PdAg_1_9_100,  2.496764650829220e-01,  3.137785879430584e-01,  4.531391322761697e-03,  1.394628573387496e-03
PdAg_1_9_100,  2.479231710514490e-01,  3.132607572434081e-01,  4.531391322761697e-03,  1.261143844006020e-03
PdAg_1_5_100,  3.293542674131830e-01,  4.146768634476468e-01,  5.530666666666658e-03,  6.230163358208480e-02
PdAg_1_5_100,  2.565338589410230e-01,  3.982167976276271e-01,  5.530666666666658e-03,  5.805861084691193e-02
PdAg_1_5_100,  2.261682956735730e-01,  3.552624467682370e-01,  5.530666666666658e-03,  4.698597667498086e-02
PdAg_1_5_100,  2.236877838869310e-01,  3.428487711674340e-01,  5.530666666666658e-03,  4.378601937364334e-02
PdAg_1_5_100,  2.164592134781930e-01,  3.205001247262932e-01,  5.530666666666658e-03,  3.802505729809878e-02
PdAg_1_5_100,  2.099035907134980e-01,  2.923674906724451e-01,  5.530666666666658e-03,  3.077311753090816e-02
PdAg_1_5_100,  2.074551680388040e-01,  2.842372457507196e-01,  5.530666666666658e-03,  2.867732918943943e-02
PdAg_1_5_100,  2.050856479851930e-01,  2.766607072418436e-01,  5.530666666666658e-03,  2.672427350311441e-02
PdAg_1_5_100,  2.038357874315140e-01,  2.696001652373726e-01,  5.530666666666658e-03,  2.490422973323004e-02
PdAg_1_5_100,  2.013479605126910e-01,  2.568888972765327e-01,  5.530666666666658e-03,  2.162756003212106e-02
PdAg_1_5_100,  2.000269286823050e-01,  2.511749048627366e-01,  5.530666666666658e-03,  2.015462547733607e-02
PdAg_1_5_100,  1.973081438407180e-01,  2.458500611490046e-01,  5.530666666666658e-03,  1.878200442067372e-02
PdAg_1_5_100,  1.969854579108610e-01,  2.408878633506295e-01,  5.530666666666658e-03,  1.750286505968026e-02
PdAg_1_5_100,  1.963439311488950e-01,  2.362636136422864e-01,  5.530666666666658e-03,  1.631084086851618e-02
PdAg_1_5_100,  1.940684048443220e-01,  2.319542962321431e-01,  5.530666666666658e-03,  1.519999891051651e-02
PdAg_1_5_100,  1.926261364587620e-01,  2.279384628077805e-01,  5.530666666666658e-03,  1.416481030880911e-02
PdAg_1_5_100,  1.891192110734720e-01,  2.207086588195249e-01,  5.530666666666658e-03,  1.230113473008198e-02
PdAg_1_5_100,  1.877437449997070e-01,  2.174587041124576e-01,  5.530666666666658e-03,  1.146337187657037e-02
PdAg_1_5_100,  1.846523109974680e-01,  2.089775901065399e-01,  5.530666666666658e-03,  9.277137633027182e-03
PdAg_1_5_100,  1.849359671980280e-01,  2.065265741815752e-01,  5.530666666666658e-03,  8.645322644702679e-03
PdAg_1_1_100,  1.476543275391880e+00,  1.425554526701509e+00,  5.434000000000000e-03,  3.195065229975234e-01
PdAg_1_1_100,  1.208605384312000e+00,  1.293008518418065e+00,  5.434000000000000e-03,  2.853392400259664e-01
PdAg_1_1_100,  1.055882869290930e+00,  1.232149574971229e+00,  5.434000000000000e-03,  2.696512176628083e-01
PdAg_1_1_100,  1.010936655602070e+00,  1.202986609862299e+00,  5.434000000000000e-03,  2.621336824758139e-01
PdAg_1_1_100,  9.741100506334990e-01,  1.174636671367022e+00,  5.434000000000000e-03,  2.548257266698344e-01
PdAg_1_1_100,  9.478991583993770e-01,  1.147077093330838e+00,  5.434000000000000e-03,  2.477215074365752e-01
PdAg_1_1_100,  8.995066396137220e-01,  1.094241495919576e+00,  5.434000000000000e-03,  2.341017173644261e-01
PdAg_1_1_100,  8.640896201761730e-01,  1.044310812790988e+00,  5.434000000000000e-03,  2.212307467368579e-01
PdAg_1_1_100,  8.596665013433460e-01,  1.020384554997570e+00,  5.434000000000000e-03,  2.150631130897551e-01
PdAg_1_1_100,  8.441400331191570e-01,  9.971253310355366e-01,  5.434000000000000e-03,  2.090674252746217e-01
PdAg_1_1_100,  8.196082741920870e-01,  9.525341187991618e-01,  5.434000000000000e-03,  1.975728462506582e-01
PdAg_1_1_100,  8.088625391977590e-01,  9.311664792549382e-01,  5.434000000000000e-03,  1.920647649723410e-01
PdAg_1_1_100,  7.987791951287240e-01,  9.103945424986679e-01,  5.434000000000000e-03,  1.867102420394355e-01
PdAg_1_1_100,  7.909704423439380e-01,  8.902017010894193e-01,  5.434000000000000e-03,  1.815049964393253e-01
PdAg_1_1_100,  7.811341630508190e-01,  8.705718105807272e-01,  5.434000000000000e-03,  1.764448665086155e-01
PdAg_1_1_100,  7.748485070789100e-01,  8.514891766128918e-01,  5.434000000000000e-03,  1.715258066058277e-01
PdAg_1_1_100,  7.616541677031310e-01,  8.329385423651284e-01,  5.434000000000000e-03,  1.667438838768551e-01
PdAg_1_1_100,  7.507945291751720e-01,  8.149050763575361e-01,  5.434000000000000e-03,  1.620952751105938e-01
PdAg_1_1_100,  7.318398412815810e-01,  7.637655063776078e-01,  5.434000000000000e-03,  1.489126815253429e-01
PdAu_1_9_100,  8.319575347159480e-01,  6.148399335525101e-01,  3.996534033384428e-03,  6.032238844328330e-02
PdAu_1_9_100,  7.195733252458120e-01,  5.987239557965451e-01,  3.996534033384428e-03,  5.616806362066131e-02
