# c0 + a0 * (|(ln(1.0*time-1.236877e+01)) - (av_PE^2)|) + a1 * ((std_dev * total_metal_loading) / sqrt(av_delta_M1_M2_subsurf)) + a2 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a3 * (exp(4.090011e-03*((time+5.042691e+02) / (av_mu_C_critical_subsurf+3.922191e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.0987756693188638; Max AE: 0.40846923565755
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  8.078917852352968e-02, -2.089007677892770e+00, -1.043018295852001e-06,  3.625529585312421e+00,  4.728994598180388e-01, 
# 3   ,  7.773981343913497e-02, -1.520702550794454e+00, -1.830524000459555e-06,  3.605649159201957e+00,  2.190347307216245e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|log:1.0000000000000e+00,-1.2368765592609e+01|7|sq|abd; (|(ln(1.0*time-1.236877e+01)) - (av_PE^2)|); $\left(\left|\left(\ln{ \left(1.0time-1.237e+01 \right)}\right) - \left(av_{PE}^2\right)\right|\right)$; abs(log(1.0*time-1.236877e+01) - (av_PE).^2); time,av_PE
# 1;  2; nm;                                               3|1|mult|15|sqrt|div; ((std_dev * total_metal_loading) / sqrt(av_delta_M1_M2_subsurf)); $\left(\frac{ \left(std_{dev} total_{metal, loading}\right) }{ \left(\sqrt{ av_{delta, M1, M2, subsurf} }\right) } \right)$; ((std_dev .* total_metal_loading) ./ sqrt(av_delta_M1_M2_subsurf)); std_dev,total_metal_loading,av_delta_M1_M2_subsurf
# 2;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 3;  2; Unitless;                                         0|12|div|exp:4.0900105944961e-03,0.0000000000000e+00,5.0426912635281e+02,3.9221908303785e+00; (exp(4.090011e-03*((time+5.042691e+02) / (av_mu_C_critical_subsurf+3.922191e+00)))); $\left(\exp{ \left(4.090e-03\left(\frac{ time +5.043e+02 }{ av_{mu, C, critical, subsurf}+3.922e+00 } \right) \right)}\right)$; exp(4.090011e-03.*((time+5.042691e+02) ./ (av_mu_C_critical_subsurf+3.922191e+00))); time,av_mu_C_critical_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 168                   
# 3   , 177                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.062451827416920e-01,  3.385807009851948e-01,  1.146690413449367e+00,  1.416758304341412e-01,  1.532062667037388e+02,  1.907659488200853e-02
PdAg_1_9_100,  3.099375324862660e-01,  2.413342865743987e-01,  1.009982873616986e-01,  1.416758304341412e-01,  3.064125334074777e+02,  1.559958295318361e-02
PdAg_1_9_100,  2.919675286925200e-01,  2.422129184873105e-01,  1.798674231978428e-01,  1.416758304341412e-01,  3.830156667593470e+02,  1.410649285829781e-02
PdAg_1_9_100,  2.773647395214370e-01,  2.731459105831036e-01,  7.306504864386643e-01,  1.416758304341412e-01,  6.128250668149553e+02,  1.043127151318189e-02
PdAg_1_9_100,  2.742250823045090e-01,  2.801145807242679e-01,  8.627021434088746e-01,  1.416758304341412e-01,  6.894282001668247e+02,  9.432858400463531e-03
PdAg_1_9_100,  2.739275035497000e-01,  2.861838588267605e-01,  9.793327578358930e-01,  1.416758304341412e-01,  7.660313335186941e+02,  8.530006863569202e-03
PdAg_1_9_100,  2.725813187048580e-01,  2.915813753551434e-01,  1.083770379340397e+00,  1.416758304341412e-01,  8.426344668705635e+02,  7.713570373213944e-03
PdAg_1_9_100,  2.710137208355010e-01,  2.964637518717745e-01,  1.178324829893243e+00,  1.416758304341412e-01,  9.192376002224329e+02,  6.975277846098663e-03
PdAg_1_9_100,  2.691444146104700e-01,  3.050967614694474e-01,  1.344215137805055e+00,  1.416758304341412e-01,  1.072443866926172e+03,  5.703922846542277e-03
PdAg_1_9_100,  2.679801391469650e-01,  3.089876889694496e-01,  1.417865541139228e+00,  1.416758304341412e-01,  1.149047000278041e+03,  5.157980642207447e-03
PdAg_1_9_100,  2.658907762370700e-01,  3.126597353722098e-01,  1.486461683555496e+00,  1.416758304341412e-01,  1.225650133629911e+03,  4.664292456465222e-03
PdAg_1_9_100,  2.650229112638520e-01,  3.161472301811054e-01,  1.550652937597017e+00,  1.416758304341412e-01,  1.302253266981780e+03,  4.217856876277003e-03
PdAg_1_9_100,  2.586590858830060e-01,  3.343504143116992e-01,  1.867684773482285e+00,  1.416758304341412e-01,  1.761872067092997e+03,  2.306366023513006e-03
PdAg_1_9_100,  2.564021611090790e-01,  3.370480712939715e-01,  1.911971547764391e+00,  1.416758304341412e-01,  1.838475200444866e+03,  2.085615746071414e-03
PdAg_1_9_100,  2.562832756759230e-01,  3.396705750144510e-01,  1.954379899001781e+00,  1.416758304341412e-01,  1.915078333796735e+03,  1.885994241987451e-03
PdAg_1_9_100,  2.537741737812260e-01,  3.422229449074004e-01,  1.995062711184147e+00,  1.416758304341412e-01,  1.991681467148604e+03,  1.705479203208903e-03
PdAg_1_9_100,  2.518192543109310e-01,  3.447094530434724e-01,  2.034154931137114e+00,  1.416758304341412e-01,  2.068284600500474e+03,  1.542241883789075e-03
PdAg_1_9_100,  2.496764650829220e-01,  3.471337751477966e-01,  2.071776269211389e+00,  1.416758304341412e-01,  2.144887733852343e+03,  1.394628573387496e-03
PdAg_1_9_100,  2.479231710514490e-01,  3.494991084685103e-01,  2.108033410073714e+00,  1.416758304341412e-01,  2.221490867204213e+03,  1.261143844006020e-03
PdAg_1_5_100,  3.293542674131830e-01,  3.694481120070614e-01,  1.217466413449367e+00,  2.046405039308113e-01,  1.824427051072701e+02,  6.230163358208480e-02
PdAg_1_5_100,  2.565338589410230e-01,  3.011561053342076e-01,  5.637444962217568e-01,  2.046405039308113e-01,  2.736640576609052e+02,  5.805861084691193e-02
PdAg_1_5_100,  2.261682956735730e-01,  2.416908180661350e-01,  3.281227431698457e-01,  2.046405039308113e-01,  5.473281153218104e+02,  4.698597667498086e-02
PdAg_1_5_100,  2.236877838869310e-01,  2.445014975059267e-01,  5.076933875598981e-01,  2.046405039308113e-01,  6.385494678754454e+02,  4.378601937364334e-02
PdAg_1_5_100,  2.164592134781930e-01,  2.463875988363232e-01,  7.919261434088747e-01,  2.046405039308113e-01,  8.209921729827156e+02,  3.802505729809878e-02
PdAg_1_5_100,  2.099035907134980e-01,  2.453089376048742e-01,  1.107548829893243e+00,  2.046405039308113e-01,  1.094656230643621e+03,  3.077311753090816e-02
PdAg_1_5_100,  2.074551680388040e-01,  2.445941128731408e-01,  1.193929995936015e+00,  2.046405039308113e-01,  1.185877583197256e+03,  2.867732918943943e-02
PdAg_1_5_100,  2.050856479851930e-01,  2.438415844176315e-01,  1.273439137805055e+00,  2.046405039308113e-01,  1.277098935750891e+03,  2.672427350311441e-02
