# c0 + a0 * (time / av_W_change_H) + a1 * (av_E_def_subsurf * time) + a2 * (std_dev / surface_area) + a3 * (av_BE_H_subsurf * av_mu_C_critical_surf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.142829966239487; Max AE: 0.727287628876749
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  2.503791933151908e-05,  3.922607310725801e-03,  1.298515368258876e+01, -2.415335137306312e-01,  1.154467440368175e+00, 
# 3   ,  5.697663216792262e-05,  5.030104715469068e-03,  1.418384435324151e+01, -2.335849881035658e-01,  1.167252619056683e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^-1 * min;                                      0|17|div; (time / av_W_change_H); $\left(\frac{ time }{ av_{W, change, H} } \right)$; (time ./ av_W_change_H); time,av_W_change_H
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; g * m^-2 * nm;                                    3|4|div; (std_dev / surface_area); $\left(\frac{ std_{dev} }{ surface_{area} } \right)$; (std_dev ./ surface_area); std_dev,surface_area
# 3;  1; eV^2;                                             19|11|mult; (av_BE_H_subsurf * av_mu_C_critical_surf); $\left(av_{BE, H, subsurf} av_{mu, C, critical, surf}\right)$; (av_BE_H_subsurf .* av_mu_C_critical_surf); av_BE_H_subsurf,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 211                   
# 3   , 220                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  4.212956441336370e-01,  3.149952548012607e-01,  2.621359223300971e+02,  5.561999999999999e+00,  4.109589041095890e-02,  5.802464000000000e+00
PdAg_1_9_100,  5.056601140297000e-01,  3.433761347407120e-01,  5.242718446601942e+02,  1.112400000000000e+01,  4.109589041095890e-02,  5.802464000000000e+00
PdAg_1_9_100,  5.190263630918930e-01,  3.575665747104375e-01,  6.553398058252427e+02,  1.390500000000000e+01,  4.109589041095890e-02,  5.802464000000000e+00
PdAg_1_9_100,  5.224295719363120e-01,  3.859474546498887e-01,  9.174757281553399e+02,  1.946700000000000e+01,  4.109589041095890e-02,  5.802464000000000e+00
PdAg_1_9_100,  5.245052994310410e-01,  4.001378946196146e-01,  1.048543689320388e+03,  2.224800000000000e+01,  4.109589041095890e-02,  5.802464000000000e+00
PdAg_1_9_100,  5.250038067660980e-01,  4.143283345893400e-01,  1.179611650485437e+03,  2.502900000000000e+01,  4.109589041095890e-02,  5.802464000000000e+00
PdAg_1_9_100,  5.324653140763990e-01,  4.285187745590657e-01,  1.310679611650485e+03,  2.781000000000000e+01,  4.109589041095890e-02,  5.802464000000000e+00
PdAg_1_9_100,  5.309811253181910e-01,  4.427092145287912e-01,  1.441747572815534e+03,  3.059100000000000e+01,  4.109589041095890e-02,  5.802464000000000e+00
PdAg_1_9_100,  5.301609565427799e-01,  4.568996544985169e-01,  1.572815533980583e+03,  3.337200000000000e+01,  4.109589041095890e-02,  5.802464000000000e+00
PdAg_1_9_100,  5.311850747278510e-01,  4.710900944682426e-01,  1.703883495145631e+03,  3.615300000000000e+01,  4.109589041095890e-02,  5.802464000000000e+00
PdAg_1_9_100,  5.331594707700800e-01,  4.852805344379683e-01,  1.834951456310680e+03,  3.893400000000000e+01,  4.109589041095890e-02,  5.802464000000000e+00
PdAg_1_9_100,  5.354507873556270e-01,  4.994709744076937e-01,  1.966019417475728e+03,  4.171500000000000e+01,  4.109589041095890e-02,  5.802464000000000e+00
PdAg_1_9_100,  5.337303696543760e-01,  5.136614143774192e-01,  2.097087378640777e+03,  4.449600000000000e+01,  4.109589041095890e-02,  5.802464000000000e+00
PdAg_1_9_100,  5.357515610659280e-01,  5.278518543471449e-01,  2.228155339805825e+03,  4.727699999999999e+01,  4.109589041095890e-02,  5.802464000000000e+00
