# c0 + a0 * (std_dev * time) + a1 * (av_mu_C_critical_surf^3)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.214572909208674; Max AE: 0.633819707723785
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  4.328695267671630e-04,  1.120670023432616e-02,  1.045466196762057e+00, 
# 3   ,  4.415638004182568e-04,  1.074677894580925e-02,  1.194973038844263e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; min * nm;                                         3|0|mult; (std_dev * time); $\left(std_{dev} time\right)$; (std_dev .* time); std_dev,time
# 1;  1; eV^3;                                             11|cb; (av_mu_C_critical_surf^3); $\left(av_{mu, C, critical, surf}^3\right)$; (av_mu_C_critical_surf).^3; av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 173                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  4.212956441336370e-01,  3.349626788875351e-01,  8.100000000000000e+01, -6.652858860799999e+01
PdAg_1_9_100,  5.190263630918930e-01,  3.875563263897453e-01,  2.025000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.224295719363120e-01,  4.226187580578856e-01,  2.835000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.245052994310410e-01,  4.401499738919557e-01,  3.240000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.250038067660980e-01,  4.576811897260258e-01,  3.645000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.309811253181910e-01,  4.927436213941659e-01,  4.455000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.301609565427799e-01,  5.102748372282360e-01,  4.860000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.311850747278510e-01,  5.278060530623061e-01,  5.265000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.354507873556270e-01,  5.628684847304464e-01,  6.075000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.357515610659280e-01,  5.979309163985866e-01,  6.885000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.368098128623250e-01,  6.329933480667267e-01,  7.695000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.357670351206070e-01,  7.031182114030072e-01,  9.315000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.243066765750370e-01,  7.206494272370774e-01,  9.720000000000000e+02, -6.652858860799999e+01
PdAg_1_9_100,  5.397703104721880e-01,  7.381806430711473e-01,  1.012500000000000e+03, -6.652858860799999e+01
PdAg_1_9_100,  5.406782826954460e-01,  7.557118589052174e-01,  1.053000000000000e+03, -6.652858860799999e+01
PdAg_1_9_100,  5.449528999218350e-01,  7.732430747392876e-01,  1.093500000000000e+03, -6.652858860799999e+01
PdAg_1_9_100,  5.492079417796780e-01,  7.907742905733577e-01,  1.134000000000000e+03, -6.652858860799999e+01
PdAg_1_9_100,  5.484023401121820e-01,  8.083055064074278e-01,  1.174500000000000e+03, -6.652858860799999e+01
PdAg_1_5_100,  2.374958845661730e-01,  1.983910101031270e-01,  5.400000000000000e+01, -7.767229629629648e+01
PdAg_1_5_100,  4.808701435604430e-01,  2.217659645485540e-01,  1.080000000000000e+02, -7.767229629629648e+01
PdAg_1_5_100,  5.423108450430540e-01,  2.918908278848343e-01,  2.700000000000000e+02, -7.767229629629648e+01
PdAg_1_5_100,  5.500936576470050e-01,  3.152657823302612e-01,  3.240000000000000e+02, -7.767229629629648e+01
PdAg_1_5_100,  5.645630120222940e-01,  3.386407367756879e-01,  3.780000000000000e+02, -7.767229629629648e+01
PdAg_1_5_100,  5.557853067401700e-01,  3.620156912211148e-01,  4.320000000000000e+02, -7.767229629629648e+01
PdAg_1_5_100,  5.582907011266131e-01,  3.853906456665415e-01,  4.860000000000000e+02, -7.767229629629648e+01
PdAg_1_5_100,  5.598480318312991e-01,  4.321405545573951e-01,  5.940000000000000e+02, -7.767229629629648e+01
PdAg_1_5_100,  5.575686028510159e-01,  4.555155090028221e-01,  6.480000000000000e+02, -7.767229629629648e+01
PdAg_1_5_100,  5.602593885180470e-01,  4.788904634482488e-01,  7.020000000000000e+02, -7.767229629629648e+01
PdAg_1_5_100,  5.573180603724570e-01,  5.256403723391023e-01,  8.100000000000000e+02, -7.767229629629648e+01
PdAg_1_5_100,  5.640054092902220e-01,  5.723902812299559e-01,  9.180000000000000e+02, -7.767229629629648e+01
PdAg_1_5_100,  5.670953068021050e-01,  5.957652356753829e-01,  9.720000000000000e+02, -7.767229629629648e+01
PdAg_1_5_100,  5.619488591146869e-01,  6.191401901208096e-01,  1.026000000000000e+03, -7.767229629629648e+01
PdAg_1_5_100,  5.722223250453750e-01,  6.658900990116632e-01,  1.134000000000000e+03, -7.767229629629648e+01
PdAg_1_5_100,  5.681292230354840e-01,  6.892650534570899e-01,  1.188000000000000e+03, -7.767229629629648e+01
PdAg_1_5_100,  5.688182680948790e-01,  7.126400079025168e-01,  1.242000000000000e+03, -7.767229629629648e+01
PdAg_1_5_100,  5.756184173897150e-01,  8.061398256842240e-01,  1.458000000000000e+03, -7.767229629629648e+01
PdAg_1_5_100,  5.815291194929140e-01,  8.528897345750777e-01,  1.566000000000000e+03, -7.767229629629648e+01
PdAg_1_5_100,  5.845225345839020e-01,  8.762646890205044e-01,  1.620000000000000e+03, -7.767229629629648e+01
PdAg_1_1_100, -9.654552652811350e-01, -5.908902115200813e-01,  1.620000000000000e+02, -1.522733040000000e+02
PdAg_1_1_100, -9.271610956676301e-01, -5.675152570746543e-01,  2.160000000000000e+02, -1.522733040000000e+02
PdAg_1_1_100, -7.530017323218090e-01, -5.207653481838007e-01,  3.240000000000000e+02, -1.522733040000000e+02
