# c0 + a0 * (particle_diameter * time) + a1 * (total_metal_loading * time) + a2 * (time / av_E_def_subsurf) + a3 * (av_BE_H_surf * std_dev) + a4 * (1.0 / av_BE_H_subsurf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.114299650335305; Max AE: 0.5683907592368
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  3.917365886073494e-04,  3.024873499922641e-01, -1.140046110294768e-03, -6.882863915740103e-02, -7.789919800114269e+00, -5.462857379473113e+00, 
# 3   ,  6.794261672384154e-04,  6.222737664130755e-01, -2.403201752667274e-03, -8.203164463820667e-02, -7.756303319981640e+00, -5.359431126174730e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; min * nm;                                         2|0|mult; (particle_diameter * time); $\left(particle_{diameter} time\right)$; (particle_diameter .* time); particle_diameter,time
# 1;  1; min;                                              1|0|mult; (total_metal_loading * time); $\left(total_{metal, loading} time\right)$; (total_metal_loading .* time); total_metal_loading,time
# 2;  1; eV^-1 * min;                                      0|14|div; (time / av_E_def_subsurf); $\left(\frac{ time }{ av_{E, def, subsurf} } \right)$; (time ./ av_E_def_subsurf); time,av_E_def_subsurf
# 3;  1; eV * nm;                                          16|3|mult; (av_BE_H_surf * std_dev); $\left(av_{BE, H, surf} std_{dev}\right)$; (av_BE_H_surf .* std_dev); av_BE_H_surf,std_dev
# 4;  1; eV^-1;                                            19|inv; (1.0 / av_BE_H_subsurf); $\left(\frac{1.0}{ av_{BE, H, subsurf} }\right)$; (av_BE_H_subsurf).^(-1); av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 166                   
# 3   , 179                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  4.212956441336370e-01,  4.408010511945216e-01,  1.620000000000000e+02,  3.429000000000000e-01,  1.310679611650486e+02, -6.480000000000000e+00, -6.983240223463687e-01
PdAg_1_9_100,  5.056601140297000e-01,  4.585617715507798e-01,  3.240000000000000e+02,  6.858000000000000e-01,  2.621359223300971e+02, -6.480000000000000e+00, -6.983240223463687e-01
PdAg_1_9_100,  5.224295719363120e-01,  4.852028520851676e-01,  5.670000000000000e+02,  1.200150000000000e+00,  4.587378640776699e+02, -6.480000000000000e+00, -6.983240223463687e-01
PdAg_1_9_100,  5.245052994310410e-01,  4.940832122632971e-01,  6.480000000000000e+02,  1.371600000000000e+00,  5.242718446601942e+02, -6.480000000000000e+00, -6.983240223463687e-01
PdAg_1_9_100,  5.250038067660980e-01,  5.029635724414258e-01,  7.290000000000000e+02,  1.543050000000000e+00,  5.898058252427185e+02, -6.480000000000000e+00, -6.983240223463687e-01
PdAg_1_9_100,  5.324653140763990e-01,  5.118439326195553e-01,  8.100000000000000e+02,  1.714500000000000e+00,  6.553398058252427e+02, -6.480000000000000e+00, -6.983240223463687e-01
PdAg_1_9_100,  5.301609565427799e-01,  5.296046529758144e-01,  9.720000000000000e+02,  2.057400000000000e+00,  7.864077669902913e+02, -6.480000000000000e+00, -6.983240223463687e-01
PdAg_1_9_100,  5.311850747278510e-01,  5.384850131539439e-01,  1.053000000000000e+03,  2.228850000000000e+00,  8.519417475728155e+02, -6.480000000000000e+00, -6.983240223463687e-01
PdAg_1_9_100,  5.331594707700800e-01,  5.473653733320735e-01,  1.134000000000000e+03,  2.400300000000000e+00,  9.174757281553399e+02, -6.480000000000000e+00, -6.983240223463687e-01
PdAg_1_9_100,  5.354507873556270e-01,  5.562457335102021e-01,  1.215000000000000e+03,  2.571750000000000e+00,  9.830097087378641e+02, -6.480000000000000e+00, -6.983240223463687e-01
