# c0 + a0 * (std_dev / av_EA) + a1 * (av_E_def_subsurf * time) + a2 * (av_BE_H_subsurf + av_BE_H_surf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.167235807921273; Max AE: 0.587805244854044
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  1.736009204758694e-01,  4.572907608061129e-03,  1.539187223385416e+00,  5.486048905905446e+00, 
# 3   ,  1.994183171390749e-01,  5.743292842054259e-03,  1.506576151640841e+00,  5.442131478936242e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^-1 * nm;                                       3|6|div; (std_dev / av_EA); $\left(\frac{ std_{dev} }{ av_{EA} } \right)$; (std_dev ./ av_EA); std_dev,av_EA
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; eV;                                               19|16|add; (av_BE_H_subsurf + av_BE_H_surf); $\left(av_{BE, H, subsurf} + av_{BE, H, surf}\right)$; (av_BE_H_subsurf + av_BE_H_surf); av_BE_H_subsurf,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 164                   
# 3   , 181                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  5.056601140297000e-01,  4.316431624162456e-01,  2.439421044072207e+00,  1.112400000000000e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.190263630918930e-01,  4.443604184742634e-01,  2.439421044072207e+00,  1.390500000000000e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.224295719363120e-01,  4.697949305902998e-01,  2.439421044072207e+00,  1.946700000000000e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.245052994310410e-01,  4.825121866483176e-01,  2.439421044072207e+00,  2.224800000000000e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.324653140763990e-01,  5.079466987643539e-01,  2.439421044072207e+00,  2.781000000000000e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.309811253181910e-01,  5.206639548223717e-01,  2.439421044072207e+00,  3.059100000000000e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.301609565427799e-01,  5.333812108803895e-01,  2.439421044072207e+00,  3.337200000000000e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.460984669384072e-01,  2.439421044072207e+00,  3.615300000000000e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.588157229964259e-01,  2.439421044072207e+00,  3.893400000000000e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.354507873556270e-01,  5.715329790544437e-01,  2.439421044072207e+00,  4.171500000000000e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.337303696543760e-01,  5.842502351124614e-01,  2.439421044072207e+00,  4.449600000000000e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.357515610659280e-01,  5.969674911704792e-01,  2.439421044072207e+00,  4.727699999999999e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.368098128623250e-01,  6.224020032865156e-01,  2.439421044072207e+00,  5.283900000000000e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.357670351206070e-01,  6.732710275185876e-01,  2.439421044072207e+00,  6.396299999999999e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.243066765750370e-01,  6.859882835766054e-01,  2.439421044072207e+00,  6.674400000000000e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.397703104721880e-01,  6.987055396346240e-01,  2.439421044072207e+00,  6.952499999999999e+01, -3.592000000000000e+00
PdAg_1_9_100,  5.406782826954460e-01,  7.114227956926418e-01,  2.439421044072207e+00,  7.230600000000000e+01, -3.592000000000000e+00
