# c0 + a0 * (av_delta_M1_M2_subsurf * std_dev) + a1 * (particle_diameter * time) + a2 * (total_metal_loading * time) + a3 * (time / av_E_def_subsurf) + a4 * (av_d_band_center_surf / av_BE_H_subsurf)
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.114834203335268; Max AE: 0.559605830888767
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  1.718518142502361e+00,  4.567815093676072e-04,  3.946970261377237e-01, -1.531332364345736e-03,  1.028820449741237e+00, -2.645520800641337e+00, 
# 3   ,  2.335547720098438e+00,  7.662720384180742e-04,  7.107122787600028e-01, -2.801282866390711e-03,  1.014717014441551e+00, -2.588397690789361e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; nm;                                               15|3|mult; (av_delta_M1_M2_subsurf * std_dev); $\left(av_{delta, M1, M2, subsurf} std_{dev}\right)$; (av_delta_M1_M2_subsurf .* std_dev); av_delta_M1_M2_subsurf,std_dev
# 1;  1; min * nm;                                         2|0|mult; (particle_diameter * time); $\left(particle_{diameter} time\right)$; (particle_diameter .* time); particle_diameter,time
# 2;  1; min;                                              1|0|mult; (total_metal_loading * time); $\left(total_{metal, loading} time\right)$; (total_metal_loading .* time); total_metal_loading,time
# 3;  1; eV^-1 * min;                                      0|14|div; (time / av_E_def_subsurf); $\left(\frac{ time }{ av_{E, def, subsurf} } \right)$; (time ./ av_E_def_subsurf); time,av_E_def_subsurf
# 4;  1; Unitless;                                         18|19|div; (av_d_band_center_surf / av_BE_H_subsurf); $\left(\frac{ av_{d, band, center, surf} }{ av_{BE, H, subsurf} } \right)$; (av_d_band_center_surf ./ av_BE_H_subsurf); av_d_band_center_surf,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 164                   
# 3   , 181                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  5.056601140297000e-01,  5.257121878557577e-01,  2.169600000000000e-01,  3.240000000000000e+02,  6.858000000000000e-01,  2.621359223300971e+02,  2.703212290502794e+00
PdAg_1_9_100,  5.190263630918930e-01,  5.300279898154218e-01,  2.169600000000000e-01,  4.050000000000000e+02,  8.572500000000000e-01,  3.276699029126214e+02,  2.703212290502794e+00
PdAg_1_9_100,  5.224295719363120e-01,  5.386595937347508e-01,  2.169600000000000e-01,  5.670000000000000e+02,  1.200150000000000e+00,  4.587378640776699e+02,  2.703212290502794e+00
PdAg_1_9_100,  5.245052994310410e-01,  5.429753956944149e-01,  2.169600000000000e-01,  6.480000000000000e+02,  1.371600000000000e+00,  5.242718446601942e+02,  2.703212290502794e+00
PdAg_1_9_100,  5.324653140763990e-01,  5.516069996137444e-01,  2.169600000000000e-01,  8.100000000000000e+02,  1.714500000000000e+00,  6.553398058252427e+02,  2.703212290502794e+00
PdAg_1_9_100,  5.309811253181910e-01,  5.559228015734085e-01,  2.169600000000000e-01,  8.910000000000000e+02,  1.885950000000000e+00,  7.208737864077671e+02,  2.703212290502794e+00
PdAg_1_9_100,  5.301609565427799e-01,  5.602386035330725e-01,  2.169600000000000e-01,  9.720000000000000e+02,  2.057400000000000e+00,  7.864077669902913e+02,  2.703212290502794e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.645544054927375e-01,  2.169600000000000e-01,  1.053000000000000e+03,  2.228850000000000e+00,  8.519417475728155e+02,  2.703212290502794e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.688702074524020e-01,  2.169600000000000e-01,  1.134000000000000e+03,  2.400300000000000e+00,  9.174757281553399e+02,  2.703212290502794e+00
PdAg_1_9_100,  5.354507873556270e-01,  5.731860094120661e-01,  2.169600000000000e-01,  1.215000000000000e+03,  2.571750000000000e+00,  9.830097087378641e+02,  2.703212290502794e+00
PdAg_1_9_100,  5.337303696543760e-01,  5.775018113717306e-01,  2.169600000000000e-01,  1.296000000000000e+03,  2.743200000000000e+00,  1.048543689320388e+03,  2.703212290502794e+00
PdAg_1_9_100,  5.357515610659280e-01,  5.818176133313951e-01,  2.169600000000000e-01,  1.377000000000000e+03,  2.914650000000000e+00,  1.114077669902913e+03,  2.703212290502794e+00
PdAg_1_9_100,  5.368098128623250e-01,  5.904492172507242e-01,  2.169600000000000e-01,  1.539000000000000e+03,  3.257550000000000e+00,  1.245145631067961e+03,  2.703212290502794e+00
PdAg_1_9_100,  5.357670351206070e-01,  6.077124250893818e-01,  2.169600000000000e-01,  1.863000000000000e+03,  3.943350000000000e+00,  1.507281553398058e+03,  2.703212290502794e+00
PdAg_1_9_100,  5.243066765750370e-01,  6.120282270490464e-01,  2.169600000000000e-01,  1.944000000000000e+03,  4.114800000000000e+00,  1.572815533980583e+03,  2.703212290502794e+00
PdAg_1_9_100,  5.397703104721880e-01,  6.163440290087109e-01,  2.169600000000000e-01,  2.025000000000000e+03,  4.286250000000000e+00,  1.638349514563107e+03,  2.703212290502794e+00
PdAg_1_9_100,  5.406782826954460e-01,  6.206598309683754e-01,  2.169600000000000e-01,  2.106000000000000e+03,  4.457700000000000e+00,  1.703883495145631e+03,  2.703212290502794e+00
PdAg_1_9_100,  5.492079417796780e-01,  6.292914348877040e-01,  2.169600000000000e-01,  2.268000000000000e+03,  4.800600000000000e+00,  1.834951456310680e+03,  2.703212290502794e+00
PdAg_1_5_100,  2.374958845661730e-01,  3.759039428444783e-01,  2.826666666666680e-01,  8.100000000000000e+01,  1.836000000000000e-01,  6.639344262295093e+01,  2.457048458149783e+00
PdAg_1_5_100,  5.154914790070170e-01,  3.914944404220898e-01,  2.826666666666680e-01,  2.430000000000000e+02,  5.508000000000000e-01,  1.991803278688528e+02,  2.457048458149783e+00
PdAg_1_5_100,  5.423108450430540e-01,  4.070849379997018e-01,  2.826666666666680e-01,  4.050000000000000e+02,  9.179999999999999e-01,  3.319672131147547e+02,  2.457048458149783e+00
PdAg_1_5_100,  5.557853067401700e-01,  4.304706843661191e-01,  2.826666666666680e-01,  6.480000000000000e+02,  1.468800000000000e+00,  5.311475409836074e+02,  2.457048458149783e+00
PdAg_1_5_100,  5.582907011266131e-01,  4.382659331549249e-01,  2.826666666666680e-01,  7.290000000000000e+02,  1.652400000000000e+00,  5.975409836065584e+02,  2.457048458149783e+00
PdAg_1_5_100,  5.598480318312991e-01,  4.538564307325369e-01,  2.826666666666680e-01,  8.910000000000000e+02,  2.019600000000000e+00,  7.303278688524601e+02,  2.457048458149783e+00
PdAg_1_5_100,  5.575686028510159e-01,  4.616516795213422e-01,  2.826666666666680e-01,  9.720000000000000e+02,  2.203200000000000e+00,  7.967213114754111e+02,  2.457048458149783e+00
PdAg_1_5_100,  5.581440247555720e-01,  4.772421770989542e-01,  2.826666666666680e-01,  1.134000000000000e+03,  2.570400000000000e+00,  9.295081967213130e+02,  2.457048458149783e+00
PdAg_1_5_100,  5.573180603724570e-01,  4.850374258877600e-01,  2.826666666666680e-01,  1.215000000000000e+03,  2.754000000000000e+00,  9.959016393442639e+02,  2.457048458149783e+00
PdAg_1_5_100,  5.670953068021050e-01,  5.084231722541773e-01,  2.826666666666680e-01,  1.458000000000000e+03,  3.304800000000000e+00,  1.195081967213117e+03,  2.457048458149783e+00
PdAg_1_5_100,  5.641858757894110e-01,  5.240136698317889e-01,  2.826666666666680e-01,  1.620000000000000e+03,  3.672000000000000e+00,  1.327868852459019e+03,  2.457048458149783e+00
PdAg_1_5_100,  5.722223250453750e-01,  5.318089186205949e-01,  2.826666666666680e-01,  1.701000000000000e+03,  3.855600000000000e+00,  1.394262295081970e+03,  2.457048458149783e+00
PdAg_1_5_100,  5.688182680948790e-01,  5.473994161982066e-01,  2.826666666666680e-01,  1.863000000000000e+03,  4.222799999999999e+00,  1.527049180327871e+03,  2.457048458149783e+00
PdAg_1_5_100,  5.713037334532890e-01,  5.629899137758184e-01,  2.826666666666680e-01,  2.025000000000000e+03,  4.590000000000000e+00,  1.659836065573773e+03,  2.457048458149783e+00
PdAg_1_5_100,  5.726284043483260e-01,  5.707851625646242e-01,  2.826666666666680e-01,  2.106000000000000e+03,  4.773600000000000e+00,  1.726229508196724e+03,  2.457048458149783e+00
PdAg_1_5_100,  5.756184173897150e-01,  5.785804113534297e-01,  2.826666666666680e-01,  2.187000000000000e+03,  4.957199999999999e+00,  1.792622950819675e+03,  2.457048458149783e+00
PdAg_1_5_100,  5.845225345839020e-01,  6.019661577198475e-01,  2.826666666666680e-01,  2.430000000000000e+03,  5.508000000000000e+00,  1.991803278688528e+03,  2.457048458149783e+00
PdAg_1_1_100, -9.654552652811350e-01, -5.644896389170471e-01,  2.496000000000000e-01,  3.645000000000000e+02,  5.791500000000001e-01,  2.131578947368421e+02,  1.539062500000000e+00
PdAg_1_1_100, -9.271610956676301e-01, -5.415996189417711e-01,  2.496000000000000e-01,  4.860000000000000e+02,  7.722000000000000e-01,  2.842105263157895e+02,  1.539062500000000e+00
PdAg_1_1_100, -7.530017323218090e-01, -4.958195789912197e-01,  2.496000000000000e-01,  7.290000000000000e+02,  1.158300000000000e+00,  4.263157894736842e+02,  1.539062500000000e+00
PdAg_1_1_100, -6.470710172478540e-01, -4.729295590159437e-01,  2.496000000000000e-01,  8.505000000000000e+02,  1.351350000000000e+00,  4.973684210526316e+02,  1.539062500000000e+00
PdAg_1_1_100, -4.916379417262000e-01, -4.271495190653918e-01,  2.496000000000000e-01,  1.093500000000000e+03,  1.737450000000000e+00,  6.394736842105264e+02,  1.539062500000000e+00
PdAg_1_1_100, -4.356272700356220e-01, -4.042594990901159e-01,  2.496000000000000e-01,  1.215000000000000e+03,  1.930500000000000e+00,  7.105263157894736e+02,  1.539062500000000e+00
PdAg_1_1_100, -3.942969479298420e-01, -3.813694791148404e-01,  2.496000000000000e-01,  1.336500000000000e+03,  2.123550000000000e+00,  7.815789473684210e+02,  1.539062500000000e+00
PdAg_1_1_100, -3.578780939481840e-01, -3.584794591395644e-01,  2.496000000000000e-01,  1.458000000000000e+03,  2.316600000000000e+00,  8.526315789473684e+02,  1.539062500000000e+00
PdAg_1_1_100, -3.034303343562620e-01, -3.126994191890125e-01,  2.496000000000000e-01,  1.701000000000000e+03,  2.702700000000000e+00,  9.947368421052631e+02,  1.539062500000000e+00
PdAg_1_1_100, -2.964391635700440e-01, -2.898093992137366e-01,  2.496000000000000e-01,  1.822500000000000e+03,  2.895750000000000e+00,  1.065789473684210e+03,  1.539062500000000e+00
PdAg_1_1_100, -2.576351643592600e-01, -2.440293592631851e-01,  2.496000000000000e-01,  2.065500000000000e+03,  3.281850000000000e+00,  1.207894736842105e+03,  1.539062500000000e+00
PdAg_1_1_100, -1.875776586949730e-01, -1.295792593868060e-01,  2.496000000000000e-01,  2.673000000000000e+03,  4.247100000000000e+00,  1.563157894736842e+03,  1.539062500000000e+00
