# c0 + a0 * (std_dev / av_mu_C_critical_subsurf) + a1 * (particle_diameter * time) + a2 * (total_metal_loading * time) + a3 * (time / av_E_def_subsurf) + a4 * (exp(9.600608e-01*av_BE_H_subsurf))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.110097435198819; Max AE: 0.598225014416896
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -1.001151087244157e+00,  3.806758506436686e-04,  3.135695492609963e-01, -1.169519784752354e-03,  1.151674623999915e+01, -3.201631927151213e+00, 
# 3   , -1.056328129290899e+00,  7.495942493242420e-04,  6.283821072290557e-01, -2.512739658376801e-03,  1.151611547011739e+01, -3.073423345624553e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^-1 * nm;                                       3|12|div; (std_dev / av_mu_C_critical_subsurf); $\left(\frac{ std_{dev} }{ av_{mu, C, critical, subsurf} } \right)$; (std_dev ./ av_mu_C_critical_subsurf); std_dev,av_mu_C_critical_subsurf
# 1;  1; min * nm;                                         2|0|mult; (particle_diameter * time); $\left(particle_{diameter} time\right)$; (particle_diameter .* time); particle_diameter,time
# 2;  1; min;                                              1|0|mult; (total_metal_loading * time); $\left(total_{metal, loading} time\right)$; (total_metal_loading .* time); total_metal_loading,time
# 3;  1; eV^-1 * min;                                      0|14|div; (time / av_E_def_subsurf); $\left(\frac{ time }{ av_{E, def, subsurf} } \right)$; (time ./ av_E_def_subsurf); time,av_E_def_subsurf
# 4;  1; Unitless;                                         19|exp:9.6006078236216e-01,0.0000000000000e+00; (exp(9.600608e-01*av_BE_H_subsurf)); $\left(\exp{ \left(9.601e-01av_{BE, H, subsurf} \right)}\right)$; exp(9.600608e-01.*av_BE_H_subsurf); av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 175                   
# 3   , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  4.212956441336370e-01,  3.984885798560072e-01, -6.709908297919929e-01,  1.620000000000000e+02,  3.429000000000000e-01,  1.310679611650486e+02,  2.528883883538733e-01
PdAg_1_9_100,  5.056601140297000e-01,  4.143944923721997e-01, -6.709908297919929e-01,  3.240000000000000e+02,  6.858000000000000e-01,  2.621359223300971e+02,  2.528883883538733e-01
PdAg_1_9_100,  5.190263630918930e-01,  4.223474486302959e-01, -6.709908297919929e-01,  4.050000000000000e+02,  8.572500000000000e-01,  3.276699029126214e+02,  2.528883883538733e-01
PdAg_1_9_100,  5.224295719363120e-01,  4.382533611464879e-01, -6.709908297919929e-01,  5.670000000000000e+02,  1.200150000000000e+00,  4.587378640776699e+02,  2.528883883538733e-01
PdAg_1_9_100,  5.250038067660980e-01,  4.541592736626808e-01, -6.709908297919929e-01,  7.290000000000000e+02,  1.543050000000000e+00,  5.898058252427185e+02,  2.528883883538733e-01
PdAg_1_9_100,  5.324653140763990e-01,  4.621122299207770e-01, -6.709908297919929e-01,  8.100000000000000e+02,  1.714500000000000e+00,  6.553398058252427e+02,  2.528883883538733e-01
PdAg_1_9_100,  5.309811253181910e-01,  4.700651861788732e-01, -6.709908297919929e-01,  8.910000000000000e+02,  1.885950000000000e+00,  7.208737864077671e+02,  2.528883883538733e-01
PdAg_1_9_100,  5.311850747278510e-01,  4.859710986950657e-01, -6.709908297919929e-01,  1.053000000000000e+03,  2.228850000000000e+00,  8.519417475728155e+02,  2.528883883538733e-01
PdAg_1_9_100,  5.331594707700800e-01,  4.939240549531619e-01, -6.709908297919929e-01,  1.134000000000000e+03,  2.400300000000000e+00,  9.174757281553399e+02,  2.528883883538733e-01
PdAg_1_9_100,  5.337303696543760e-01,  5.098299674693543e-01, -6.709908297919929e-01,  1.296000000000000e+03,  2.743200000000000e+00,  1.048543689320388e+03,  2.528883883538733e-01
