# c0 + a0 * ((av_BE_H_surf * time) / (std_dev - particle_diameter)) + a1 * (ln(1.0*|av_d_band_center_surf - (3.606695e+00*av_BE_H_surf+6.975361e+00)|-1.944001e-01))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.151657214777512; Max AE: 0.74848496462248
# Coefficients
# Task   a0                      a1                      c0
# 2   ,  8.793964528082300e-04,  5.469235182730334e-01, -2.693209599272460e-01, 
# 3   ,  1.308497512965907e-03,  5.392413646919545e-01, -1.385255553272395e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * min * nm^-1;                                 16|0|mult|3|2|sub|div; ((av_BE_H_surf * time) / (std_dev - particle_diameter)); $\left(\frac{ \left(av_{BE, H, surf} time\right) }{ \left(std_{dev} - particle_{diameter}\right) } \right)$; ((av_BE_H_surf .* time) ./ (std_dev - particle_diameter)); av_BE_H_surf,time,std_dev,particle_diameter
# 1;  2; Unitless;                                         18|16|abd|log:1.0000000000000e+00,-1.9440007399613e-01,3.6066950081674e+00,6.9753610995211e+00; (ln(1.0*|av_d_band_center_surf - (3.606695e+00*av_BE_H_surf+6.975361e+00)|-1.944001e-01)); $\left(\ln{ \left(1.0\left(\left|av_{d, band, center, surf} - \left(3.607e+00av_{BE, H, surf}+6.975e+00\right)\right|\right)-1.944e-01 \right)}\right)$; log(1.0*abs(av_d_band_center_surf - (3.606695e+00.*av_BE_H_surf+6.975361e+00))-1.944001e-01); av_d_band_center_surf,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 211                   
# 3   , 220                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  4.212956441336370e-01,  3.227803033291454e-01,  1.944000000000000e+01,  1.051345895728599e+00
PdAg_1_9_100,  5.056601140297000e-01,  3.398757703717373e-01,  3.888000000000000e+01,  1.051345895728599e+00
PdAg_1_9_100,  5.190263630918930e-01,  3.484235038930333e-01,  4.860000000000000e+01,  1.051345895728599e+00
PdAg_1_9_100,  5.224295719363120e-01,  3.655189709356253e-01,  6.804000000000001e+01,  1.051345895728599e+00
PdAg_1_9_100,  5.245052994310410e-01,  3.740667044569213e-01,  7.776000000000001e+01,  1.051345895728599e+00
PdAg_1_9_100,  5.250038067660980e-01,  3.826144379782173e-01,  8.748000000000000e+01,  1.051345895728599e+00
PdAg_1_9_100,  5.324653140763990e-01,  3.911621714995133e-01,  9.720000000000000e+01,  1.051345895728599e+00
PdAg_1_9_100,  5.309811253181910e-01,  3.997099050208093e-01,  1.069200000000000e+02,  1.051345895728599e+00
PdAg_1_9_100,  5.301609565427799e-01,  4.082576385421053e-01,  1.166400000000000e+02,  1.051345895728599e+00
PdAg_1_9_100,  5.311850747278510e-01,  4.168053720634013e-01,  1.263600000000000e+02,  1.051345895728599e+00
PdAg_1_9_100,  5.331594707700800e-01,  4.253531055846973e-01,  1.360800000000000e+02,  1.051345895728599e+00
PdAg_1_9_100,  5.354507873556270e-01,  4.339008391059933e-01,  1.458000000000000e+02,  1.051345895728599e+00
PdAg_1_9_100,  5.337303696543760e-01,  4.424485726272893e-01,  1.555200000000000e+02,  1.051345895728599e+00
PdAg_1_9_100,  5.357515610659280e-01,  4.509963061485853e-01,  1.652400000000000e+02,  1.051345895728599e+00
