# c0 + a0 * ((av_BE_H_subsurf * av_mu_C_critical_surf) / (ln(1.0*time+9.814756e+01)))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.227733549400857; Max AE: 0.744086859242924
# Coefficients
# Task   a0                      c0
# 2   , -1.345248778395407e+00,  1.942769699430652e+00, 
# 3   , -1.276597845458160e+00,  2.069033943913279e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2;                                             19|11|mult|0|log:1.0000000000000e+00,9.8147555251248e+01|div; ((av_BE_H_subsurf * av_mu_C_critical_surf) / (ln(1.0*time+9.814756e+01))); $\left(\frac{ \left(av_{BE, H, subsurf} av_{mu, C, critical, surf}\right) }{ \left(\ln{ \left(1.0time+9.815e+01 \right)}\right) } \right)$; ((av_BE_H_subsurf .* av_mu_C_critical_surf) ./ log(1.0*time+9.814756e+01)); av_BE_H_subsurf,av_mu_C_critical_surf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 166                   
# 3   , 179                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  4.212956441336370e-01,  3.265013195402638e-01,  1.201464298535360e+00
PdAg_1_9_100,  5.056601140297000e-01,  3.893389796668577e-01,  1.154753488508425e+00
PdAg_1_9_100,  5.224295719363120e-01,  4.590286238148405e-01,  1.102949208685100e+00
PdAg_1_9_100,  5.245052994310410e-01,  4.778879230253677e-01,  1.088930017949969e+00
PdAg_1_9_100,  5.250038067660980e-01,  4.951208647781489e-01,  1.076119791299299e+00
PdAg_1_9_100,  5.324653140763990e-01,  5.109597391204495e-01,  1.064345854317031e+00
PdAg_1_9_100,  5.301609565427799e-01,  5.391717628176834e-01,  1.043374251034191e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.518255101068191e-01,  1.033968000315102e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.636596588348052e-01,  1.025171003865046e+00
PdAg_1_9_100,  5.354507873556270e-01,  5.747638261251958e-01,  1.016916644174316e+00
PdAg_1_9_100,  5.337303696543760e-01,  5.852142439949654e-01,  1.009148253644919e+00
PdAg_1_9_100,  5.357515610659280e-01,  5.950762454512313e-01,  1.001817266533354e+00
PdAg_1_9_100,  5.368098128623250e-01,  6.132530769541873e-01,  9.883053928971355e-01
PdAg_1_9_100,  5.357670351206070e-01,  6.445910265247741e-01,  9.650101109583061e-01
PdAg_1_9_100,  5.243066765750370e-01,  6.515704689466438e-01,  9.598218940768199e-01
PdAg_1_9_100,  5.406782826954460e-01,  6.646776078058962e-01,  9.500786115927530e-01
PdAg_1_9_100,  5.449528999218350e-01,  6.708450729773665e-01,  9.454939836261499e-01
PdAg_1_9_100,  5.484023401121820e-01,  6.824930584258136e-01,  9.368353729397750e-01
PdAg_1_5_100,  2.374958845661730e-01,  1.006737222160426e-01,  1.369334807656792e+00
PdAg_1_5_100,  4.808701435604430e-01,  1.442121653250238e-01,  1.336970204314863e+00
PdAg_1_5_100,  5.154914790070170e-01,  1.815701612121545e-01,  1.309199879236635e+00
PdAg_1_5_100,  5.423108450430540e-01,  2.428957574612750e-01,  1.263613072369381e+00
PdAg_1_5_100,  5.500936576470050e-01,  2.685656426540779e-01,  1.244531185357061e+00
PdAg_1_5_100,  5.645630120222940e-01,  2.916864242682778e-01,  1.227344192151404e+00
PdAg_1_5_100,  5.557853067401700e-01,  3.126727499955351e-01,  1.211743861517921e+00
PdAg_1_5_100,  5.598480318312991e-01,  3.657572966057263e-01,  1.172283095998022e+00
PdAg_1_5_100,  5.575686028510159e-01,  3.808684241476625e-01,  1.161050134642012e+00
PdAg_1_5_100,  5.602593885180470e-01,  3.949493112111634e-01,  1.150583009683685e+00
PdAg_1_5_100,  5.581440247555720e-01,  4.081181621391813e-01,  1.140793853105728e+00
PdAg_1_5_100,  5.640054092902220e-01,  4.430780359187371e-01,  1.114806188711596e+00
PdAg_1_5_100,  5.619488591146869e-01,  4.633049225252964e-01,  1.099770392410272e+00
PdAg_1_5_100,  5.641858757894110e-01,  4.726595747377106e-01,  1.092816546874301e+00
PdAg_1_5_100,  5.722223250453750e-01,  4.815659873733189e-01,  1.086195903333386e+00
PdAg_1_5_100,  5.681292230354840e-01,  4.900610071245798e-01,  1.079881071543392e+00
PdAg_1_5_100,  5.713037334532890e-01,  5.133868129930041e-01,  1.062541672137844e+00
PdAg_1_5_100,  5.726284043483260e-01,  5.205293157955906e-01,  1.057232243192585e+00
PdAg_1_5_100,  5.756184173897150e-01,  5.273923721348068e-01,  1.052130542712022e+00
PdAg_1_5_100,  5.815291194929140e-01,  5.403540635507327e-01,  1.042495379592687e+00
