# c0 + a0 * ((av_mu_C_critical_subsurf * av_mu_C_critical_surf) / (ln(1.0*time+9.814756e+01)))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.23007776469028; Max AE: 0.755036558080103
# Coefficients
# Task   a0                      c0
# 2   , -4.310528883629814e-01,  1.924344844003640e+00, 
# 3   , -4.036605459735071e-01,  2.018243372798398e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2;                                             12|11|mult|0|log:1.0000000000000e+00,9.8147555251248e+01|div; ((av_mu_C_critical_subsurf * av_mu_C_critical_surf) / (ln(1.0*time+9.814756e+01))); $\left(\frac{ \left(av_{mu, C, critical, subsurf} av_{mu, C, critical, surf}\right) }{ \left(\ln{ \left(1.0time+9.815e+01 \right)}\right) } \right)$; ((av_mu_C_critical_subsurf .* av_mu_C_critical_surf) ./ log(1.0*time+9.814756e+01)); av_mu_C_critical_subsurf,av_mu_C_critical_surf,time
# Number of Samples Per Task
# Task, n_samples               
# 2   , 166                   
# 3   , 179                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
PdAg_1_9_100,  4.212956441336370e-01,  3.073706766567785e-01,  3.751219887396365e+00
PdAg_1_9_100,  5.056601140297000e-01,  3.702357765531923e-01,  3.605379083185174e+00
PdAg_1_9_100,  5.224295719363120e-01,  4.399558525757931e-01,  3.443635413429525e+00
PdAg_1_9_100,  5.245052994310410e-01,  4.588233872111954e-01,  3.399864602132898e+00
PdAg_1_9_100,  5.250038067660980e-01,  4.760638541957258e-01,  3.359868426605563e+00
PdAg_1_9_100,  5.324653140763990e-01,  4.919096450124029e-01,  3.323107761628105e+00
PdAg_1_9_100,  5.301609565427799e-01,  5.201339882555087e-01,  3.257630081266667e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.327932611468437e-01,  3.228261822212863e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.446325775770714e-01,  3.200795780922221e+00
PdAg_1_9_100,  5.354507873556270e-01,  5.557415938034963e-01,  3.175023963759335e+00
PdAg_1_9_100,  5.337303696543760e-01,  5.661965751318716e-01,  3.150769442769856e+00
PdAg_1_9_100,  5.357515610659280e-01,  5.760628830987454e-01,  3.127880585663845e+00
PdAg_1_9_100,  5.368098128623250e-01,  5.942476520085288e-01,  3.085693723214450e+00
PdAg_1_9_100,  5.357670351206070e-01,  6.255992861453632e-01,  3.012961037775549e+00
PdAg_1_9_100,  5.243066765750370e-01,  6.325817763302009e-01,  2.996762352246831e+00
PdAg_1_9_100,  5.406782826954460e-01,  6.456946387773873e-01,  2.966341810356982e+00
PdAg_1_9_100,  5.449528999218350e-01,  6.518647971399204e-01,  2.952027654184718e+00
PdAg_1_9_100,  5.484023401121820e-01,  6.635178689973609e-01,  2.924993681853166e+00
PdAg_1_5_100,  2.374958845661730e-01,  8.922159644256121e-02,  4.257304143188471e+00
PdAg_1_5_100,  4.808701435604430e-01,  1.325952371758301e-01,  4.156681593371000e+00
PdAg_1_5_100,  5.154914790070170e-01,  1.698118250098841e-01,  4.070342796349149e+00
PdAg_1_5_100,  5.423108450430540e-01,  2.309052906812412e-01,  3.928612008038292e+00
PdAg_1_5_100,  5.500936576470050e-01,  2.564780098349773e-01,  3.869285832888755e+00
PdAg_1_5_100,  5.645630120222940e-01,  2.795112743156684e-01,  3.815850941016983e+00
PdAg_1_5_100,  5.557853067401700e-01,  3.004181622842382e-01,  3.767349032010020e+00
PdAg_1_5_100,  5.598480318312991e-01,  3.533017724628474e-01,  3.644664295156855e+00
PdAg_1_5_100,  5.575686028510159e-01,  3.683557011354449e-01,  3.609740671910139e+00
PdAg_1_5_100,  5.602593885180470e-01,  3.823832890115038e-01,  3.577198057639923e+00
PdAg_1_5_100,  5.581440247555720e-01,  3.955022930051034e-01,  3.546763267970790e+00
PdAg_1_5_100,  5.640054092902220e-01,  4.303298361397842e-01,  3.465966817987713e+00
PdAg_1_5_100,  5.619488591146869e-01,  4.504801596281429e-01,  3.419220063627977e+00
