# c0 + a0 * ((av_mu_C_critical_subsurf * total_metal_loading) * (av_E_def_subsurf + av_EA)) + a1 * ((av_mu_C_critical_surf * particle_diameter) * (time / av_W_change_H)) + a2 * ((av_E_def_subsurf * std_dev) / (av_BE_H_surf * surface_area)) + a3 * (exp(2.395552e-03*((time+6.737662e+02) / (av_mu_C_critical_surf+4.051998e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.119988950082839; Max AE: 0.468779329419871
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   ,  8.493690438307505e+00, -1.403955565463118e-07, -9.596236227835986e+01, -4.309822024888706e+00,  8.262566323048830e-01, 
# 3   , -2.183990212494437e+00, -1.592013341424723e-06, -1.214405834985753e+02, -4.321579432549694e+00, -1.410287360090075e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2;                                             12|1|mult|14|6|add|mult; ((av_mu_C_critical_subsurf * total_metal_loading) * (av_E_def_subsurf + av_EA)); $\left(\left(av_{mu, C, critical, subsurf} total_{metal, loading}\right) \left(av_{E, def, subsurf} + av_{EA}\right)\right)$; ((av_mu_C_critical_subsurf .* total_metal_loading) .* (av_E_def_subsurf + av_EA)); av_mu_C_critical_subsurf,total_metal_loading,av_E_def_subsurf,av_EA
# 1;  2; min * nm;                                         11|2|mult|0|17|div|mult; ((av_mu_C_critical_surf * particle_diameter) * (time / av_W_change_H)); $\left(\left(av_{mu, C, critical, surf} particle_{diameter}\right) \left(\frac{ time }{ av_{W, change, H} } \right)\right)$; ((av_mu_C_critical_surf .* particle_diameter) .* (time ./ av_W_change_H)); av_mu_C_critical_surf,particle_diameter,time,av_W_change_H
# 2;  2; g * m^-2 * nm;                                    14|3|mult|16|4|mult|div; ((av_E_def_subsurf * std_dev) / (av_BE_H_surf * surface_area)); $\left(\frac{ \left(av_{E, def, subsurf} std_{dev}\right) }{ \left(av_{BE, H, surf} surface_{area}\right) } \right)$; ((av_E_def_subsurf .* std_dev) ./ (av_BE_H_surf .* surface_area)); av_E_def_subsurf,std_dev,av_BE_H_surf,surface_area
# 3;  2; Unitless;                                         0|11|div|exp:2.3955521616732e-03,0.0000000000000e+00,6.7376620610674e+02,4.0519975434389e+00; (exp(2.395552e-03*((time+6.737662e+02) / (av_mu_C_critical_surf+4.051998e+00)))); $\left(\exp{ \left(2.396e-03\left(\frac{ time +6.738e+02 }{ av_{mu, C, critical, surf}+4.052e+00 } \right) \right)}\right)$; exp(2.395552e-03.*((time+6.737662e+02) ./ (av_mu_C_critical_surf+4.051998e+00))); time,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 166                   
# 3   , 179                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  4.212956441336370e-01,  5.107930724684859e-01, -8.152716486000000e-02, -6.373048543689320e+03, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.056601140297000e-01,  5.116878201656738e-01, -8.152716486000000e-02, -1.274609708737864e+04, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.224295719363120e-01,  5.130299417114558e-01, -8.152716486000000e-02, -2.230566990291262e+04, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.245052994310410e-01,  5.134773155600497e-01, -8.152716486000000e-02, -2.549219417475728e+04, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.250038067660980e-01,  5.139246894086437e-01, -8.152716486000000e-02, -2.867871844660194e+04, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.324653140763990e-01,  5.143720632572376e-01, -8.152716486000000e-02, -3.186524271844660e+04, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.301609565427799e-01,  5.152668109544255e-01, -8.152716486000000e-02, -3.823829126213592e+04, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.157141848030194e-01, -8.152716486000000e-02, -4.142481553398058e+04, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.161615586516135e-01, -8.152716486000000e-02, -4.461133980582524e+04, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.354507873556270e-01,  5.166089325002075e-01, -8.152716486000000e-02, -4.779786407766990e+04, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.337303696543760e-01,  5.170563063488014e-01, -8.152716486000000e-02, -5.098438834951456e+04, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.357515610659280e-01,  5.175036801973953e-01, -8.152716486000000e-02, -5.417091262135922e+04, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.368098128623250e-01,  5.183984278945832e-01, -8.152716486000000e-02, -6.054396116504854e+04, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.357670351206070e-01,  5.201879232889591e-01, -8.152716486000000e-02, -7.329005825242719e+04, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.243066765750370e-01,  5.206352971375531e-01, -8.152716486000000e-02, -7.647658252427184e+04, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.406782826954460e-01,  5.215300448347410e-01, -8.152716486000000e-02, -8.284963106796116e+04, -3.919330289193303e-03,  0.000000000000000e+00
PdAg_1_9_100,  5.449528999218350e-01,  5.219774186833349e-01, -8.152716486000000e-02, -8.603615533980583e+04, -3.919330289193303e-03,  0.000000000000000e+00
