# c0 + a0 * (av_delta_M1_M2_subsurf / std_dev) + a1 * (av_mu_C_critical_subsurf / std_dev) + a2 * (av_EA / time) + a3 * (av_BE_H_subsurf * av_EA) + a4 * (av_E_coh * av_EA)
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00640614830297733; Max AE: 0.0366190922606769
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  1.659797876762888e+01,  2.487347948036880e-01, -3.874052469799928e-01, -4.116294277840963e-01, -1.603940313612451e-01, -7.114017134780069e-02, 
# 3   ,  1.208300720109339e+01,  1.832024879807113e-01, -3.078026566608755e-01, -3.100579092688120e-01, -1.136732597073419e-01, -5.918277443731525e-02, 
# Feature Rung, Units, and Expressions
# 0;  1; nm^-1;                                            15|3|div; (av_delta_M1_M2_subsurf / std_dev); $\left(\frac{ av_{delta, M1, M2, subsurf} }{ std_{dev} } \right)$; (av_delta_M1_M2_subsurf ./ std_dev); av_delta_M1_M2_subsurf,std_dev
# 1;  1; eV * nm^-1;                                       12|3|div; (av_mu_C_critical_subsurf / std_dev); $\left(\frac{ av_{mu, C, critical, subsurf} }{ std_{dev} } \right)$; (av_mu_C_critical_subsurf ./ std_dev); av_mu_C_critical_subsurf,std_dev
# 2;  1; eV * min^-1;                                      6|0|div; (av_EA / time); $\left(\frac{ av_{EA} }{ time } \right)$; (av_EA ./ time); av_EA,time
# 3;  1; eV^2;                                             19|6|mult; (av_BE_H_subsurf * av_EA); $\left(av_{BE, H, subsurf} av_{EA}\right)$; (av_BE_H_subsurf .* av_EA); av_BE_H_subsurf,av_EA
# 4;  1; atom^-1 * eV^2;                                   9|6|mult; (av_E_coh * av_EA); $\left(av_{E, coh} av_{EA}\right)$; (av_E_coh .* av_EA); av_E_coh,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 181                   
# 3   , 164                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.739314961236501e-02,  4.904371720029818e-02,  2.410666666666667e-02, -1.490333333333333e+00,  9.109629629629630e-02, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  7.460314808079400e-02,  6.668930878311283e-02,  2.410666666666667e-02, -1.490333333333333e+00,  4.554814814814815e-02, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  7.236301709318101e-02,  7.257117264405108e-02,  2.410666666666667e-02, -1.490333333333333e+00,  3.036543209876543e-02, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  7.338282477917900e-02,  7.727666373280159e-02,  2.410666666666667e-02, -1.490333333333333e+00,  1.821925925925926e-02, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.929330277083754e-02,  2.410666666666667e-02, -1.490333333333333e+00,  1.301375661375661e-02, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.992350247022381e-02,  2.410666666666667e-02, -1.490333333333333e+00,  1.138703703703704e-02, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  7.551852479397100e-02,  8.041365779196871e-02,  2.410666666666667e-02, -1.490333333333333e+00,  1.012181069958848e-02, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  7.670706670425401e-02,  8.139396843545840e-02,  2.410666666666667e-02, -1.490333333333333e+00,  7.591358024691358e-03, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  7.690934710656100e-02,  8.162019396857143e-02,  2.410666666666667e-02, -1.490333333333333e+00,  7.007407407407408e-03, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  7.689679201728600e-02,  8.212920141807564e-02,  2.410666666666667e-02, -1.490333333333333e+00,  5.693518518518519e-03, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  7.681367034897300e-02,  8.237427907894809e-02,  2.410666666666667e-02, -1.490333333333333e+00,  5.060905349794239e-03, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  7.746072776044501e-02,  8.265436783423083e-02,  2.410666666666667e-02, -1.490333333333333e+00,  4.337918871252205e-03, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  7.857665605556700e-02,  8.292325303930234e-02,  2.410666666666667e-02, -1.490333333333333e+00,  3.643851851851852e-03, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  7.907950298867700e-02,  8.297754716724945e-02,  2.410666666666667e-02, -1.490333333333333e+00,  3.503703703703704e-03, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  7.944109445923200e-02,  8.302781950794122e-02,  2.410666666666667e-02, -1.490333333333333e+00,  3.373936899862826e-03, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  7.992160875437500e-02,  8.307450096715505e-02,  2.410666666666667e-02, -1.490333333333333e+00,  3.253439153439154e-03, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_9_100,  8.064863733312801e-02,  8.315852759373984e-02,  2.410666666666667e-02, -1.490333333333333e+00,  3.036543209876543e-03, -1.761073600000000e+00,  3.733672800000000e+00
PdAg_1_5_100,  5.737490641647600e-02,  4.402575781076448e-02,  1.766666666666675e-02, -1.176250000000000e+00,  8.743209876543184e-02, -1.786237777777769e+00,  3.659033333333323e+00
PdAg_1_5_100,  5.540968779262700e-02,  6.096158471886506e-02,  1.766666666666675e-02, -1.176250000000000e+00,  4.371604938271592e-02, -1.786237777777769e+00,  3.659033333333323e+00
PdAg_1_5_100,  6.050679933141600e-02,  6.660686035489863e-02,  1.766666666666675e-02, -1.176250000000000e+00,  2.914403292181061e-02, -1.786237777777769e+00,  3.659033333333323e+00
PdAg_1_5_100,  6.369128751365800e-02,  6.942949817291535e-02,  1.766666666666675e-02, -1.176250000000000e+00,  2.185802469135796e-02, -1.786237777777769e+00,  3.659033333333323e+00
PdAg_1_5_100,  6.603272598831700e-02,  7.112308086372546e-02,  1.766666666666675e-02, -1.176250000000000e+00,  1.748641975308637e-02, -1.786237777777769e+00,  3.659033333333323e+00
PdAg_1_5_100,  6.783442568252800e-02,  7.225213599093219e-02,  1.766666666666675e-02, -1.176250000000000e+00,  1.457201646090531e-02, -1.786237777777769e+00,  3.659033333333323e+00
