# c0 + a0 * ((av_delta_M1_M2_subsurf / time) / (av_mu_C_critical_subsurf - av_mu_C_critical_surf)) + a1 * (|(ln(1.0*total_metal_loading+8.561726e-04)) - (av_mu_C_critical_surf / av_EA)|) + a2 * ((surface_area^3) / (ln(1.0*time-1.924690e-01))) + a3 * ((std_dev / av_EA) * (av_d_band_center_surf - av_mu_C_critical_surf)) + a4 * ((av_E_def_subsurf / particle_diameter) / (av_delta_M1_M2_subsurf^6))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00550067395466466; Max AE: 0.023949454372512
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -1.584657401359809e+00, -2.677703884386093e-02, -4.013173761201003e-07,  3.373329574932157e-03, -4.591122609686185e-07,  2.436124939348087e-01, 
# 3   , -5.688620955864704e-01, -1.734881333522088e-02, -4.672425253633832e-07,  3.106451299901685e-03, -4.273727094875185e-07,  2.316629644442280e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * min^-1;                                   15|0|div|12|11|sub|div; ((av_delta_M1_M2_subsurf / time) / (av_mu_C_critical_subsurf - av_mu_C_critical_surf)); $\left(\frac{ \left(\frac{ av_{delta, M1, M2, subsurf} }{ time } \right) }{ \left(av_{mu, C, critical, subsurf} - av_{mu, C, critical, surf}\right) } \right)$; ((av_delta_M1_M2_subsurf ./ time) ./ (av_mu_C_critical_subsurf - av_mu_C_critical_surf)); av_delta_M1_M2_subsurf,time,av_mu_C_critical_subsurf,av_mu_C_critical_surf
# 1;  2; Unitless;                                         1|log:1.0000000000000e+00,8.5617264010717e-04|11|6|div|abd; (|(ln(1.0*total_metal_loading+8.561726e-04)) - (av_mu_C_critical_surf / av_EA)|); $\left(\left|\left(\ln{ \left(1.0total_{metal, loading}+8.562e-04 \right)}\right) - \left(\frac{ av_{mu, C, critical, surf} }{ av_{EA} } \right)\right|\right)$; abs(log(1.0*total_metal_loading+8.561726e-04) - (av_mu_C_critical_surf ./ av_EA)); total_metal_loading,av_mu_C_critical_surf,av_EA
# 2;  2; g^-3 * m^6;                                       4|cb|0|log:1.0000000000000e+00,-1.9246896286735e-01|div; ((surface_area^3) / (ln(1.0*time-1.924690e-01))); $\left(\frac{ \left(surface_{area}^3\right) }{ \left(\ln{ \left(1.0time-1.925e-01 \right)}\right) } \right)$; ((surface_area).^3 ./ log(1.0*time-1.924690e-01)); surface_area,time
# 3;  2; nm;                                               3|6|div|18|11|sub|mult; ((std_dev / av_EA) * (av_d_band_center_surf - av_mu_C_critical_surf)); $\left(\left(\frac{ std_{dev} }{ av_{EA} } \right) \left(av_{d, band, center, surf} - av_{mu, C, critical, surf}\right)\right)$; ((std_dev ./ av_EA) .* (av_d_band_center_surf - av_mu_C_critical_surf)); std_dev,av_EA,av_d_band_center_surf,av_mu_C_critical_surf
# 4;  2; eV * nm^-1;                                       14|2|div|15|sp|div; ((av_E_def_subsurf / particle_diameter) / (av_delta_M1_M2_subsurf^6)); $\left(\frac{ \left(\frac{ av_{E, def, subsurf} }{ particle_{diameter} } \right) }{ \left(av_{delta, M1, M2, subsurf}^6\right) } \right)$; ((av_E_def_subsurf ./ particle_diameter) ./ (av_delta_M1_M2_subsurf).^6); av_E_def_subsurf,particle_diameter,av_delta_M1_M2_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 219                   
# 3   , 212                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.739314961236501e-02,  6.793077350800795e-02, -1.278529125784494e-02,  1.006068599796839e+00,  1.502965163677066e+05,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.460314808079400e-02,  7.064554951117664e-02, -6.392645628922471e-03,  1.006068599796839e+00,  1.182896061823199e+05,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.236301709318101e-02,  7.250659216231452e-02, -4.261763752614981e-03,  1.006068599796839e+00,  1.052381892751076e+05,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.338282477917900e-02,  7.494975480024803e-02, -2.557058251568988e-03,  1.006068599796839e+00,  9.241906622331808e+04,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.232835059269099e-02,  7.581807175404200e-02, -2.130881876307490e-03,  1.006068599796839e+00,  8.857258313290025e+04,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.403354012486200e-02,  7.654351708722885e-02, -1.826470179692134e-03,  1.006068599796839e+00,  8.556291135400526e+04,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.484064918597000e-02,  7.716326500420233e-02, -1.598161407230618e-03,  1.006068599796839e+00,  8.311711866857648e+04,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.551852479397100e-02,  7.770203814452896e-02, -1.420587917538327e-03,  1.006068599796839e+00,  8.107343371034690e+04,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.655976498278901e-02,  7.860061365229500e-02, -1.162299205258631e-03,  1.006068599796839e+00,  7.781448031039163e+04,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.670706670425401e-02,  7.898200197224060e-02, -1.065440938153745e-03,  1.006068599796839e+00,  7.648168108059659e+04,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.690934710656100e-02,  7.932819004965698e-02, -9.834839429111494e-04,  1.006068599796839e+00,  7.529543332545749e+04,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.687977851198700e-02,  7.964461888662215e-02, -9.132350898460672e-04,  1.006068599796839e+00,  7.422957067568330e+04,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.689679201728600e-02,  8.020457889070375e-02, -7.990807036153089e-04,  1.006068599796839e+00,  7.238351156834437e+04,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.677065317745700e-02,  8.045439298475383e-02, -7.520759563438202e-04,  1.006068599796839e+00,  7.157542167737530e+04,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.681367034897300e-02,  8.068736409629813e-02, -7.102939587691634e-04,  1.006068599796839e+00,  7.082992377210881e+04,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.696036194524600e-02,  8.090543264993001e-02, -6.729100662023654e-04,  1.006068599796839e+00,  7.013892649120236e+04,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.735004744771500e-02,  8.111023218397366e-02, -6.392645628922471e-04,  1.006068599796839e+00,  6.949575441532086e+04,  4.415352089770685e-01,  2.399747042878562e+05
PdAg_1_9_100,  7.746072776044501e-02,  8.130314982332314e-02, -6.088233932307114e-04,  1.006068599796839e+00,  6.889484232302335e+04,  4.415352089770685e-01,  2.399747042878562e+05
