# c0 + a0 * (|(av_mu_C_critical_surf + av_EA) - (av_BE_H_surf - av_EA)|) + a1 * ((av_BE_H_subsurf * av_d_band_center_surf) / (av_E_def_subsurf * particle_diameter)) + a2 * ((av_EA / time) / (av_mu_C_critical_subsurf - av_mu_C_critical_surf)) + a3 * ((surface_area^3) / sqrt(time)) + a4 * ((av_EA / av_B_0) * (av_BE_H_surf - av_mu_C_critical_subsurf))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00562624530561552; Max AE: 0.0260781335915264
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -3.603817013088702e-02, -3.126351240428164e-02, -7.797316783023577e-02, -3.273560361900033e-07,  1.172794071378492e+01, -6.159059108872451e-02, 
# 3   , -2.363812607426753e-02, -3.084929209823425e-02, -3.210305843750230e-02, -5.103915893678836e-07,  1.057686595567317e+01, -3.734034852943112e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; eV;                                               11|6|add|16|6|sub|abd; (|(av_mu_C_critical_surf + av_EA) - (av_BE_H_surf - av_EA)|); $\left(\left|\left(av_{mu, C, critical, surf} + av_{EA}\right) - \left(av_{BE, H, surf} - av_{EA}\right)\right|\right)$; abs((av_mu_C_critical_surf + av_EA) - (av_BE_H_surf - av_EA)); av_mu_C_critical_surf,av_EA,av_BE_H_surf,av_EA
# 1;  2; eV * nm^-1;                                       19|18|mult|14|2|mult|div; ((av_BE_H_subsurf * av_d_band_center_surf) / (av_E_def_subsurf * particle_diameter)); $\left(\frac{ \left(av_{BE, H, subsurf} av_{d, band, center, surf}\right) }{ \left(av_{E, def, subsurf} particle_{diameter}\right) } \right)$; ((av_BE_H_subsurf .* av_d_band_center_surf) ./ (av_E_def_subsurf .* particle_diameter)); av_BE_H_subsurf,av_d_band_center_surf,av_E_def_subsurf,particle_diameter
# 2;  2; min^-1;                                           6|0|div|12|11|sub|div; ((av_EA / time) / (av_mu_C_critical_subsurf - av_mu_C_critical_surf)); $\left(\frac{ \left(\frac{ av_{EA} }{ time } \right) }{ \left(av_{mu, C, critical, subsurf} - av_{mu, C, critical, surf}\right) } \right)$; ((av_EA ./ time) ./ (av_mu_C_critical_subsurf - av_mu_C_critical_surf)); av_EA,time,av_mu_C_critical_subsurf,av_mu_C_critical_surf
# 3;  2; g^-3 * m^6 * min^-0.5;                            4|cb|0|sqrt|div; ((surface_area^3) / sqrt(time)); $\left(\frac{ \left(surface_{area}^3\right) }{ \left(\sqrt{ time }\right) } \right)$; ((surface_area).^3 ./ sqrt(time)); surface_area,time
# 4;  2; Gpa^-1 * eV^2;                                    6|10|div|16|12|sub|mult; ((av_EA / av_B_0) * (av_BE_H_surf - av_mu_C_critical_subsurf)); $\left(\left(\frac{ av_{EA} }{ av_{B, 0} } \right) \left(av_{BE, H, surf} - av_{mu, C, critical, subsurf}\right)\right)$; ((av_EA ./ av_B_0) .* (av_BE_H_surf - av_mu_C_critical_subsurf)); av_EA,av_B_0,av_BE_H_surf,av_mu_C_critical_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 176                   
# 3   , 168                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.739314961236501e-02,  6.917617778020556e-02,  5.676000000000005e-01,  4.484847896440129e+00, -2.174135949792272e-01,  1.058770168075871e+05,  2.635937488406604e-02
PdAg_1_9_100,  7.236301709318101e-02,  7.252338008296909e-02,  5.676000000000005e-01,  4.484847896440129e+00, -7.247119832640905e-02,  6.112812415485492e+04,  2.635937488406604e-02
PdAg_1_9_100,  7.338282477917900e-02,  7.477352602901995e-02,  5.676000000000005e-01,  4.484847896440129e+00, -4.348271899584544e-02,  4.734964136733049e+04,  2.635937488406604e-02
PdAg_1_9_100,  7.232835059269099e-02,  7.555896236988148e-02,  5.676000000000005e-01,  4.484847896440129e+00, -3.623559916320453e-02,  4.322411111111111e+04,  2.635937488406604e-02
PdAg_1_9_100,  7.403354012486200e-02,  7.620495454394709e-02,  5.676000000000005e-01,  4.484847896440129e+00, -3.105908499703246e-02,  4.001775086146874e+04,  2.635937488406604e-02
PdAg_1_9_100,  7.551852479397100e-02,  7.721367438413919e-02,  5.676000000000005e-01,  4.484847896440129e+00, -2.415706610880302e-02,  3.529233893586235e+04,  2.635937488406604e-02
PdAg_1_9_100,  7.655976498278901e-02,  7.797413471706956e-02,  5.676000000000005e-01,  4.484847896440129e+00, -1.976487227083884e-02,  3.192312169753805e+04,  2.635937488406604e-02
PdAg_1_9_100,  7.670706670425401e-02,  7.829060361202840e-02,  5.676000000000005e-01,  4.484847896440129e+00, -1.811779958160226e-02,  3.056406207742746e+04,  2.635937488406604e-02
PdAg_1_9_100,  7.687977851198700e-02,  7.883098340493526e-02,  5.676000000000005e-01,  4.484847896440129e+00, -1.552954249851623e-02,  2.829682300197835e+04,  2.635937488406604e-02
PdAg_1_9_100,  7.677065317745700e-02,  7.947427439081679e-02,  5.676000000000005e-01,  4.484847896440129e+00, -1.278903499877807e-02,  2.567894844841046e+04,  2.635937488406604e-02
PdAg_1_9_100,  7.681367034897300e-02,  7.965571517229468e-02,  5.676000000000005e-01,  4.484847896440129e+00, -1.207853305440151e-02,  2.495545218548229e+04,  2.635937488406604e-02
PdAg_1_9_100,  7.696036194524600e-02,  7.982403441687648e-02,  5.676000000000005e-01,  4.484847896440129e+00, -1.144282078838038e-02,  2.428985351093839e+04,  2.635937488406604e-02
PdAg_1_9_100,  7.735004744771500e-02,  7.998075747605017e-02,  5.676000000000005e-01,  4.484847896440129e+00, -1.087067974896136e-02,  2.367482068366525e+04,  2.635937488406604e-02
PdAg_1_9_100,  7.746072776044501e-02,  8.012717129040860e-02,  5.676000000000005e-01,  4.484847896440129e+00, -1.035302833234415e-02,  2.310425923223235e+04,  2.635937488406604e-02
PdAg_1_9_100,  7.767667904030801e-02,  8.026437036655994e-02,  5.676000000000005e-01,  4.484847896440129e+00, -9.882436135419418e-03,  2.257305582897257e+04,  2.635937488406604e-02
PdAg_1_9_100,  7.857665605556700e-02,  8.062943255611420e-02,  5.676000000000005e-01,  4.484847896440129e+00, -8.696543799169088e-03,  2.117540336151741e+04,  2.635937488406604e-02
PdAg_1_9_100,  7.907950298867700e-02,  8.073796463822712e-02,  5.676000000000005e-01,  4.484847896440129e+00, -8.362061345354893e-03,  2.076419133626453e+04,  2.635937488406604e-02
