# c0 + a0 * ((av_B_0 / time) / (av_mu_C_critical_subsurf - av_mu_C_critical_surf)) + a1 * ((ln(1.0*time-3.491248e+00)) * (av_PE * total_metal_loading)) + a2 * (|(ln(-1.0*surface_area+7.900000e+01)) - (ln(1.0*av_E_def_subsurf-1.859055e-01))|) + a3 * ((av_EA / av_BE_H_subsurf) * (av_mu_C_critical_subsurf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00666914971253623; Max AE: 0.0286243543450036
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -7.949970911043645e-04,  3.442695865286724e-01,  3.090846393511006e-03,  1.057512609119459e-01, -2.820617909013363e-01, 
# 3   , -3.019786799339334e-05,  3.128126401858905e-01,  2.450119578161299e-03,  9.899047397004551e-02, -2.528187018880394e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Gpa * eV^-1 * min^-1;                             10|0|div|12|11|sub|div; ((av_B_0 / time) / (av_mu_C_critical_subsurf - av_mu_C_critical_surf)); $\left(\frac{ \left(\frac{ av_{B, 0} }{ time } \right) }{ \left(av_{mu, C, critical, subsurf} - av_{mu, C, critical, surf}\right) } \right)$; ((av_B_0 ./ time) ./ (av_mu_C_critical_subsurf - av_mu_C_critical_surf)); av_B_0,time,av_mu_C_critical_subsurf,av_mu_C_critical_surf
# 1;  2; Unitless;                                         0|log:1.0000000000000e+00,-3.4912484688492e+00|7|1|mult|mult; ((ln(1.0*time-3.491248e+00)) * (av_PE * total_metal_loading)); $\left(\left(\ln{ \left(1.0time-3.491e+00 \right)}\right) \left(av_{PE} total_{metal, loading}\right)\right)$; (log(1.0*time-3.491248e+00) .* (av_PE .* total_metal_loading)); time,av_PE,total_metal_loading
# 2;  2; Unitless;                                         4|log:-1.0000000000000e+00,7.9000000000100e+01|14|log:1.0000000000000e+00,-1.8590549787052e-01|abd; (|(ln(-1.0*surface_area+7.900000e+01)) - (ln(1.0*av_E_def_subsurf-1.859055e-01))|); $\left(\left|\left(\ln{ \left(-1.0surface_{area}+7.900e+01 \right)}\right) - \left(\ln{ \left(1.0av_{E, def, subsurf}-1.859e-01 \right)}\right)\right|\right)$; abs(log(-1.0*surface_area+7.900000e+01) - log(1.0*av_E_def_subsurf-1.859055e-01)); surface_area,av_E_def_subsurf
# 3;  2; eV;                                               6|19|div|12|6|add|mult; ((av_EA / av_BE_H_subsurf) * (av_mu_C_critical_subsurf + av_EA)); $\left(\left(\frac{ av_{EA} }{ av_{BE, H, subsurf} } \right) \left(av_{mu, C, critical, subsurf} + av_{EA}\right)\right)$; ((av_EA ./ av_BE_H_subsurf) .* (av_mu_C_critical_subsurf + av_EA)); av_EA,av_BE_H_subsurf,av_mu_C_critical_subsurf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 173                   
# 3   , 172                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.739314961236501e-02,  6.477897122925907e-02, -1.906125696101827e+01,  5.724996109860728e-02,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.460314808079400e-02,  6.450860535623498e-02, -9.530628480509137e+00,  7.847302677527439e-02,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.586575440698192e-02, -6.353752320339425e+00,  8.975127065394867e-02,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.232835059269099e-02,  6.966538073639975e-02, -3.176876160169713e+00,  1.081241792205459e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.067844323898881e-02, -2.723036708716896e+00,  1.121148411903567e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.159132792973807e-02, -2.382657120127284e+00,  1.155525118991828e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.242036543070929e-02, -2.117917440113141e+00,  1.185719618220293e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.655976498278901e-02,  7.387716035565933e-02, -1.732841541910752e+00,  1.236927427822391e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.512624451708375e-02, -1.466250535462944e+00,  1.279365775362663e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.568947927097172e-02, -1.361518354358448e+00,  1.298144562641836e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.689679201728600e-02,  7.671683771817633e-02, -1.191328560063642e+00,  1.331916318385001e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.677065317745700e-02,  7.718812176139567e-02, -1.121250409471663e+00,  1.347223972319922e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.696036194524600e-02,  7.805988867025582e-02, -1.003224050579909e+00,  1.375271687210715e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.735004744771500e-02,  7.846480020108829e-02, -9.530628480509138e-01,  1.388191490711633e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.746072776044501e-02,  7.885152620167113e-02, -9.076789029056320e-01,  1.400472741263545e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.767667904030801e-02,  7.922161985000017e-02, -8.664207709553761e-01,  1.412175597367576e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.857665605556700e-02,  8.024496704757728e-02, -7.624502784407309e-01,  1.444301683433990e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.907950298867700e-02,  8.056068268640662e-02, -7.331252677314721e-01,  1.454149458268192e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_9_100,  7.944109445923200e-02,  8.086520242005849e-02, -7.059724800377138e-01,  1.463621864011958e-01,  5.699068496473365e+00,  2.783538938547486e+00
PdAg_1_5_100,  5.737490641647600e-02,  5.776776707086542e-02, -1.923672722151819e+01,  6.187093193054578e-02,  4.049686611839305e+00,  2.749084728340676e+00
PdAg_1_5_100,  5.540968779262700e-02,  5.801739775747360e-02, -9.618363610759095e+00,  8.480703226390506e-02,  4.049686611839305e+00,  2.749084728340676e+00
