# c0 + a0 * (std_dev / av_d_band_center_surf) + a1 * (ln(1.0*time-1.147256e+01)) + a2 * (av_BE_H_subsurf^3)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.148917520698057; Max AE: 0.777247623309036
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  5.732821148465580e-01, -1.277057096054407e-01, -2.472700836484622e-01,  6.549854959352096e-01, 
# 3   ,  5.204682334696940e-01, -1.852286847883984e-01, -2.300447949194086e-01,  7.899015964256191e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^-1 * nm;                                       3|18|div; (std_dev / av_d_band_center_surf); $\left(\frac{ std_{dev} }{ av_{d, band, center, surf} } \right)$; (std_dev ./ av_d_band_center_surf); std_dev,av_d_band_center_surf
# 1;  1; Unitless;                                         0|log:1.0000000000000e+00,-1.1472558718233e+01; (ln(1.0*time-1.147256e+01)); $\left(\ln{ \left(1.0time-1.147e+01 \right)}\right)$; log(1.0*time-1.147256e+01); time
# 2;  1; eV^3;                                             19|cb; (av_BE_H_subsurf^3); $\left(av_{BE, H, subsurf}^3\right)$; (av_BE_H_subsurf).^3; av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 176                   
# 3   , 168                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.929580134110400e-02,  8.465434246501404e-01, -7.749935417204856e-01,  7.067745456841421e-01, -2.936493568000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  5.066588815875653e-01, -7.749935417204856e-01,  3.368241633668552e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  4.226796120677750e-01, -7.749935417204856e-01,  4.025841593601843e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.856868471553150e-01,  3.951105137422127e-01, -7.749935417204856e-01,  4.241721513229084e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.724491792764187e-01, -7.749935417204856e-01,  4.419171171007178e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  3.364925346531297e-01, -7.749935417204856e-01,  4.700729800878783e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.725813187048580e-01,  3.084673370980870e-01, -7.749935417204856e-01,  4.920181207097261e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  2.964675729531557e-01, -7.749935417204856e-01,  5.014145401666211e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.691444146104700e-01,  2.753987112808075e-01, -7.749935417204856e-01,  5.179125195736832e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.650229112638520e-01,  2.491557324212868e-01, -7.749935417204856e-01,  5.384620932306489e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  2.414834963496549e-01, -7.749935417204856e-01,  5.444698403355638e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.642144249687690e-01,  2.342461831308163e-01, -7.749935417204856e-01,  5.501370209504313e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.621887653386570e-01,  2.273971171719525e-01, -7.749935417204856e-01,  5.555001844143240e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  2.208967555494171e-01, -7.749935417204856e-01,  5.605902948272560e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.597681369110620e-01,  2.147113048857983e-01, -7.749935417204856e-01,  5.654338141050779e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.562832756759230e-01,  1.977719837700044e-01, -7.749935417204856e-01,  5.786981553535074e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.537741737812260e-01,  1.925905520830346e-01, -7.749935417204856e-01,  5.827554772250026e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.518192543109310e-01,  1.876111763328899e-01, -7.749935417204856e-01,  5.866545791254024e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.496764650829220e-01,  1.828186873966141e-01, -7.749935417204856e-01,  5.904073392416749e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.453013105463630e-01,  1.737416963883754e-01, -7.749935417204856e-01,  5.975150801847251e+00, -2.936493568000000e+00
PdAg_1_5_100,  5.770639017232591e-01,  8.050069083484666e-01, -1.075750784401615e+00,  7.067745456841421e-01, -3.465802370370348e+00
PdAg_1_5_100,  2.565338589410230e-01,  4.651223652858916e-01, -1.075750784401615e+00,  3.368241633668552e+00, -3.465802370370348e+00
PdAg_1_5_100,  2.398208440226360e-01,  4.163505444923775e-01, -1.075750784401615e+00,  3.750149544788575e+00, -3.465802370370348e+00
PdAg_1_5_100,  2.303037511075600e-01,  3.811430957661013e-01, -1.075750784401615e+00,  4.025841593601843e+00, -3.465802370370348e+00
PdAg_1_5_100,  2.261682956735730e-01,  3.535739974405389e-01, -1.075750784401615e+00,  4.241721513229084e+00, -3.465802370370348e+00
PdAg_1_5_100,  2.236877838869310e-01,  3.309126629747448e-01, -1.075750784401615e+00,  4.419171171007178e+00, -3.465802370370348e+00
PdAg_1_5_100,  2.164592134781930e-01,  2.949560183514559e-01, -1.075750784401615e+00,  4.700729800878783e+00, -3.465802370370348e+00
PdAg_1_5_100,  2.141497061269980e-01,  2.801761861453616e-01, -1.075750784401615e+00,  4.816463327999521e+00, -3.465802370370348e+00
PdAg_1_5_100,  2.121100061106850e-01,  2.669308207964132e-01, -1.075750784401615e+00,  4.920181207097261e+00, -3.465802370370348e+00
PdAg_1_5_100,  2.074551680388040e-01,  2.439626256217359e-01, -1.075750784401615e+00,  5.100033738715775e+00, -3.465802370370348e+00
PdAg_1_5_100,  2.050856479851930e-01,  2.338621949791337e-01, -1.075750784401615e+00,  5.179125195736832e+00, -3.465802370370348e+00
PdAg_1_5_100,  2.038357874315140e-01,  2.245024016957705e-01, -1.075750784401615e+00,  5.252417089359139e+00, -3.465802370370348e+00
PdAg_1_5_100,  2.024470208367670e-01,  2.157820091015454e-01, -1.075750784401615e+00,  5.320702153677466e+00, -3.465802370370348e+00
PdAg_1_5_100,  2.000269286823050e-01,  1.999469800479811e-01, -1.075750784401615e+00,  5.444698403355638e+00, -3.465802370370348e+00
PdAg_1_5_100,  1.973081438407180e-01,  1.927096668291425e-01, -1.075750784401615e+00,  5.501370209504313e+00, -3.465802370370348e+00
PdAg_1_5_100,  1.969854579108610e-01,  1.858606008702787e-01, -1.075750784401615e+00,  5.555001844143240e+00, -3.465802370370348e+00
PdAg_1_5_100,  1.905512205622570e-01,  1.616360494829419e-01, -1.075750784401615e+00,  5.744692277422855e+00, -3.465802370370348e+00
PdAg_1_5_100,  1.891192110734720e-01,  1.562354674683306e-01, -1.075750784401615e+00,  5.786981553535074e+00, -3.465802370370348e+00
PdAg_1_5_100,  1.877437449997070e-01,  1.510540357813608e-01, -1.075750784401615e+00,  5.827554772250026e+00, -3.465802370370348e+00
PdAg_1_5_100,  1.846523109974680e-01,  1.366630464353226e-01, -1.075750784401615e+00,  5.940243464012521e+00, -3.465802370370348e+00
PdAg_1_1_100,  1.385113175840640e+00,  1.114996097164159e+00, -1.353637901861252e+00,  4.025841593601843e+00, -7.077888000000000e+00
PdAg_1_1_100,  1.289499794158380e+00,  1.087426998838597e+00, -1.353637901861252e+00,  4.241721513229084e+00, -7.077888000000000e+00
PdAg_1_1_100,  1.208605384312000e+00,  1.064765664372802e+00, -1.353637901861252e+00,  4.419171171007178e+00, -7.077888000000000e+00
PdAg_1_1_100,  1.124408621718650e+00,  1.045526012230771e+00, -1.353637901861252e+00,  4.569827333534871e+00, -7.077888000000000e+00
PdAg_1_1_100,  1.010936655602070e+00,  1.014029187543419e+00, -1.353637901861252e+00,  4.816463327999521e+00, -7.077888000000000e+00
PdAg_1_1_100,  9.741100506334990e-01,  1.000783822194471e+00, -1.353637901861252e+00,  4.920181207097261e+00, -7.077888000000000e+00
PdAg_1_1_100,  9.478991583993770e-01,  9.887840580495394e-01, -1.353637901861252e+00,  5.014145401666211e+00, -7.077888000000000e+00
PdAg_1_1_100,  9.217389182624810e-01,  9.778156270197934e-01, -1.353637901861252e+00,  5.100033738715775e+00, -7.077888000000000e+00
PdAg_1_1_100,  8.995066396137220e-01,  9.677151963771912e-01, -1.353637901861252e+00,  5.179125195736832e+00, -7.077888000000000e+00
PdAg_1_1_100,  8.640896201761730e-01,  9.496350104996029e-01, -1.353637901861252e+00,  5.320702153677466e+00, -7.077888000000000e+00
PdAg_1_1_100,  8.305147648333780e-01,  9.265626682272000e-01, -1.353637901861252e+00,  5.501370209504313e+00, -7.077888000000000e+00
PdAg_1_1_100,  8.088625391977590e-01,  9.132132406458008e-01, -1.353637901861252e+00,  5.605902948272560e+00, -7.077888000000000e+00
PdAg_1_1_100,  7.909704423439380e-01,  9.011281431370481e-01, -1.353637901861252e+00,  5.700535346041546e+00, -7.077888000000000e+00
PdAg_1_1_100,  7.811341630508190e-01,  8.954890508809994e-01, -1.353637901861252e+00,  5.744692277422855e+00, -7.077888000000000e+00
PdAg_1_1_100,  7.507945291751720e-01,  8.799276614292736e-01, -1.353637901861252e+00,  5.866545791254024e+00, -7.077888000000000e+00
PdAg_1_1_100,  7.431020909817240e-01,  8.751351724929978e-01, -1.353637901861252e+00,  5.904073392416749e+00, -7.077888000000000e+00
PdAg_1_1_100,  7.336770425315350e-01,  8.705160478333801e-01, -1.353637901861252e+00,  5.940243464012521e+00, -7.077888000000000e+00
PdAg_1_1_100,  7.318398412815810e-01,  8.660581814847591e-01, -1.353637901861252e+00,  5.975150801847251e+00, -7.077888000000000e+00
PdAu_1_9_100,  8.319575347159480e-01,  7.314878157668377e-01, -9.439899307740718e-01,  2.742608863880321e+00, -3.914430976000001e+00
PdAu_1_9_100,  7.195733252458120e-01,  6.515909389486143e-01, -9.439899307740718e-01,  3.368241633668552e+00, -3.914430976000001e+00
PdAu_1_9_100,  6.672603147247390e-01,  6.028191181551003e-01, -9.439899307740718e-01,  3.750149544788575e+00, -3.914430976000001e+00
PdAu_1_9_100,  6.293690562214960e-01,  5.676116694288239e-01, -9.439899307740718e-01,  4.025841593601843e+00, -3.914430976000001e+00
PdAu_1_9_100,  6.029841566832330e-01,  5.400425711032616e-01, -9.439899307740718e-01,  4.241721513229084e+00, -3.914430976000001e+00
PdAu_1_9_100,  5.621689151329150e-01,  4.981415844954359e-01, -9.439899307740718e-01,  4.569827333534871e+00, -3.914430976000001e+00
PdAu_1_9_100,  5.466387208639329e-01,  4.814245920141786e-01, -9.439899307740718e-01,  4.700729800878783e+00, -3.914430976000001e+00
PdAu_1_9_100,  5.301672649293200e-01,  4.666447598080843e-01, -9.439899307740718e-01,  4.816463327999521e+00, -3.914430976000001e+00
PdAu_1_9_100,  5.017990123442060e-01,  4.413996303142046e-01, -9.439899307740718e-01,  5.014145401666211e+00, -3.914430976000001e+00
PdAu_1_9_100,  4.874891471204990e-01,  4.304311992844587e-01, -9.439899307740718e-01,  5.100033738715775e+00, -3.914430976000001e+00
PdAu_1_9_100,  4.771739589239030e-01,  4.203307686418565e-01, -9.439899307740718e-01,  5.179125195736832e+00, -3.914430976000001e+00
PdAu_1_9_100,  4.682731346453220e-01,  4.109709753584933e-01, -9.439899307740718e-01,  5.252417089359139e+00, -3.914430976000001e+00
PdAu_1_9_100,  4.561741947393160e-01,  4.022505827642682e-01, -9.439899307740718e-01,  5.320702153677466e+00, -3.914430976000001e+00
PdAu_1_9_100,  4.388938211152080e-01,  3.864155537107038e-01, -9.439899307740718e-01,  5.444698403355638e+00, -3.914430976000001e+00
PdAu_1_9_100,  4.134486377523850e-01,  3.723291745330014e-01, -9.439899307740718e-01,  5.555001844143240e+00, -3.914430976000001e+00
PdAu_1_9_100,  4.067073142923030e-01,  3.658288129104661e-01, -9.439899307740718e-01,  5.605902948272560e+00, -3.914430976000001e+00
PdAu_1_9_100,  3.637516913038650e-01,  3.481046231456646e-01, -9.439899307740718e-01,  5.744692277422855e+00, -3.914430976000001e+00
PdAu_1_9_100,  3.428479548992100e-01,  3.375226094440836e-01, -9.439899307740718e-01,  5.827554772250026e+00, -3.914430976000001e+00
PdAu_1_9_100,  3.176443127662200e-01,  3.277507447576630e-01, -9.439899307740718e-01,  5.904073392416749e+00, -3.914430976000001e+00
PdAu_1_9_100,  3.044310521274540e-01,  3.231316200980453e-01, -9.439899307740718e-01,  5.940243464012521e+00, -3.914430976000001e+00
PdAu_1_5_100,  1.440205434029630e+00,  1.109779493196883e+00, -9.750812567713965e-01,  7.067745456841421e-01, -4.464954962962991e+00
PdAu_1_5_100,  1.041393056856870e+00,  8.497918269525312e-01, -9.750812567713965e-01,  2.742608863880321e+00, -4.464954962962991e+00
PdAu_1_5_100,  9.021296624907440e-01,  7.698949501343078e-01, -9.750812567713965e-01,  3.368241633668552e+00, -4.464954962962991e+00
PdAu_1_5_100,  8.214458953704740e-01,  7.211231293407937e-01, -9.750812567713965e-01,  3.750149544788575e+00, -4.464954962962991e+00
PdAu_1_5_100,  7.149799151621080e-01,  6.583465822889550e-01, -9.750812567713965e-01,  4.241721513229084e+00, -4.464954962962991e+00
PdAu_1_5_100,  6.711991315391230e-01,  6.356852478231610e-01, -9.750812567713965e-01,  4.419171171007178e+00, -4.464954962962991e+00
PdAu_1_5_100,  6.413841153309749e-01,  6.164455956811293e-01, -9.750812567713965e-01,  4.569827333534871e+00, -4.464954962962991e+00
PdAu_1_5_100,  6.133552581111910e-01,  5.997286031998721e-01, -9.750812567713965e-01,  4.700729800878783e+00, -4.464954962962991e+00
PdAu_1_5_100,  6.015310235150830e-01,  5.849487709937777e-01, -9.750812567713965e-01,  4.816463327999521e+00, -4.464954962962991e+00
PdAu_1_5_100,  5.995500295465030e-01,  5.717034056448295e-01, -9.750812567713965e-01,  4.920181207097261e+00, -4.464954962962991e+00
PdAu_1_5_100,  5.889516640212970e-01,  5.597036414998982e-01, -9.750812567713965e-01,  5.014145401666211e+00, -4.464954962962991e+00
PdAu_1_5_100,  5.747929780404710e-01,  5.487352104701522e-01, -9.750812567713965e-01,  5.100033738715775e+00, -4.464954962962991e+00
PdAu_1_5_100,  5.698407267433280e-01,  5.386347798275499e-01, -9.750812567713965e-01,  5.179125195736832e+00, -4.464954962962991e+00
PdAu_1_5_100,  5.246914166232191e-01,  5.123918009680292e-01, -9.750812567713965e-01,  5.384620932306489e+00, -4.464954962962991e+00
PdAu_1_5_100,  5.112131353136540e-01,  5.047195648963974e-01, -9.750812567713965e-01,  5.444698403355638e+00, -4.464954962962991e+00
PdAu_1_5_100,  4.660357846257690e-01,  4.841328240961595e-01, -9.750812567713965e-01,  5.605902948272560e+00, -4.464954962962991e+00
PdAu_1_5_100,  4.310387834695980e-01,  4.720477265874068e-01, -9.750812567713965e-01,  5.700535346041546e+00, -4.464954962962991e+00
PdAu_1_5_100,  3.955175459846640e-01,  4.610080523167467e-01, -9.750812567713965e-01,  5.786981553535074e+00, -4.464954962962991e+00
PdAu_1_5_100,  3.751830563290950e-01,  4.558266206297770e-01, -9.750812567713965e-01,  5.827554772250026e+00, -4.464954962962991e+00
PdAu_1_5_100,  3.573866337301770e-01,  4.508472448796323e-01, -9.750812567713965e-01,  5.866545791254024e+00, -4.464954962962991e+00
PdAu_1_5_100,  3.231105549079290e-01,  4.414356312837387e-01, -9.750812567713965e-01,  5.940243464012521e+00, -4.464954962962991e+00
PdAu_1_5_100,  2.988318144170860e-01,  4.369777649351177e-01, -9.750812567713965e-01,  5.975150801847251e+00, -4.464954962962991e+00
PdAu_1_1_100,  1.722754419500810e+00,  1.873686107963004e+00, -1.167315175097276e+00,  7.067745456841421e-01, -8.000000000000000e+00
PdAu_1_1_100,  1.368525440581490e+00,  1.533801564900429e+00, -1.167315175097276e+00,  3.368241633668552e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.379181702999720e+00,  1.449822295380639e+00, -1.167315175097276e+00,  4.025841593601843e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.430117649198350e+00,  1.399591862589283e+00, -1.167315175097276e+00,  4.419171171007178e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.371288822243210e+00,  1.363635217965994e+00, -1.167315175097276e+00,  4.700729800878783e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.371544871244550e+00,  1.335610020410951e+00, -1.167315175097276e+00,  4.920181207097261e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.376109380097450e+00,  1.323610256266020e+00, -1.167315175097276e+00,  5.014145401666211e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.371141469094290e+00,  1.312641825236274e+00, -1.167315175097276e+00,  5.100033738715775e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.369386455710020e+00,  1.302541394593671e+00, -1.167315175097276e+00,  5.179125195736832e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.373085783877660e+00,  1.293181601310308e+00, -1.167315175097276e+00,  5.252417089359139e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.370840642297670e+00,  1.284461208716083e+00, -1.167315175097276e+00,  5.320702153677466e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.360890842322620e+00,  1.276298415734151e+00, -1.167315175097276e+00,  5.384620932306489e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.366356299567810e+00,  1.268626179662519e+00, -1.167315175097276e+00,  5.444698403355638e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.366064850288740e+00,  1.261388866443680e+00, -1.167315175097276e+00,  5.501370209504313e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.363780387841460e+00,  1.254539800484817e+00, -1.167315175097276e+00,  5.555001844143240e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.364108234956220e+00,  1.248039438862281e+00, -1.167315175097276e+00,  5.605902948272560e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.358727647207180e+00,  1.241853988198662e+00, -1.167315175097276e+00,  5.654338141050779e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.359502100807820e+00,  1.230315249097480e+00, -1.167315175097276e+00,  5.744692277422855e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.358820758105880e+00,  1.224914667082868e+00, -1.167315175097276e+00,  5.786981553535074e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.349441548456390e+00,  1.219733235395899e+00, -1.167315175097276e+00,  5.827554772250026e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.353195823369020e+00,  1.214753859645754e+00, -1.167315175097276e+00,  5.866545791254024e+00, -8.000000000000000e+00
PdAu_1_1_100,  1.346591237171830e+00,  1.209961370709478e+00, -1.167315175097276e+00,  5.904073392416749e+00, -8.000000000000000e+00
PdCu_1_9_100,  1.764531540500330e+00,  1.372890037069281e+00, -1.224989791751735e+00,  7.067745456841421e-01, -6.108415552000000e+00
PdCu_1_9_100,  1.526024088055680e+00,  1.112902370824930e+00, -1.224989791751735e+00,  2.742608863880321e+00, -6.108415552000000e+00
PdCu_1_9_100,  1.387539764520710e+00,  1.033005494006706e+00, -1.224989791751735e+00,  3.368241633668552e+00, -6.108415552000000e+00
PdCu_1_9_100,  1.326591972606740e+00,  9.842336732131922e-01, -1.224989791751735e+00,  3.750149544788575e+00, -6.108415552000000e+00
PdCu_1_9_100,  1.278749702507060e+00,  9.490262244869160e-01, -1.224989791751735e+00,  4.025841593601843e+00, -6.108415552000000e+00
PdCu_1_9_100,  1.232564201921020e+00,  9.214571261613537e-01, -1.224989791751735e+00,  4.241721513229084e+00, -6.108415552000000e+00
PdCu_1_9_100,  1.073421118109670e+00,  8.480593148661763e-01, -1.224989791751735e+00,  4.816463327999521e+00, -6.108415552000000e+00
PdCu_1_9_100,  1.034608588052540e+00,  8.228141853722967e-01, -1.224989791751735e+00,  5.014145401666211e+00, -6.108415552000000e+00
PdCu_1_9_100,  8.449794825658240e-01,  7.836651378223601e-01, -1.224989791751735e+00,  5.320702153677466e+00, -6.108415552000000e+00
PdCu_1_9_100,  7.883706033135830e-01,  7.678301087687959e-01, -1.224989791751735e+00,  5.444698403355638e+00, -6.108415552000000e+00
PdCu_1_9_100,  7.493113795885260e-01,  7.605927955499573e-01, -1.224989791751735e+00,  5.501370209504313e+00, -6.108415552000000e+00
PdCu_1_9_100,  6.506682856955510e-01,  7.410579173049393e-01, -1.224989791751735e+00,  5.654338141050779e+00, -6.108415552000000e+00
PdCu_1_9_100,  6.254523345193600e-01,  7.351582704598054e-01, -1.224989791751735e+00,  5.700535346041546e+00, -6.108415552000000e+00
PdCu_1_9_100,  5.986417561598760e-01,  7.295191782037567e-01, -1.224989791751735e+00,  5.744692277422855e+00, -6.108415552000000e+00
PdCu_1_9_100,  5.705418965872280e-01,  7.241185961891453e-01, -1.224989791751735e+00,  5.786981553535074e+00, -6.108415552000000e+00
PdCu_1_9_100,  5.413662920900650e-01,  7.189371645021756e-01, -1.224989791751735e+00,  5.827554772250026e+00, -6.108415552000000e+00
PdCu_1_9_100,  5.105566510302340e-01,  7.139577887520309e-01, -1.224989791751735e+00,  5.866545791254024e+00, -6.108415552000000e+00
PdCu_1_9_100,  4.695228573556180e-01,  7.091652998157550e-01, -1.224989791751735e+00,  5.904073392416749e+00, -6.108415552000000e+00
PdCu_1_9_100,  4.432437834258890e-01,  7.045461751561374e-01, -1.224989791751735e+00,  5.940243464012521e+00, -6.108415552000000e+00
PdCu_1_5_100,  2.017932446162990e+00,  1.969053169578309e+00, -4.163775156141563e-01,  7.067745456841421e-01, -6.644671999999999e+00
PdCu_1_5_100,  1.529672884791900e+00,  1.629168626515733e+00, -4.163775156141563e-01,  3.368241633668552e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.535273536079320e+00,  1.580396805722220e+00, -4.163775156141563e-01,  3.750149544788575e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.531124311289490e+00,  1.545189356995943e+00, -4.163775156141563e-01,  4.025841593601843e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.528991870372660e+00,  1.517620258670381e+00, -4.163775156141563e-01,  4.241721513229084e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.519262692564060e+00,  1.494958924204587e+00, -4.163775156141563e-01,  4.419171171007178e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.518431463559090e+00,  1.475719272062555e+00, -4.163775156141563e-01,  4.569827333534871e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.503456919952650e+00,  1.459002279581298e+00, -4.163775156141563e-01,  4.700729800878783e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.479286458597410e+00,  1.430977082026255e+00, -4.163775156141563e-01,  4.920181207097261e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.430195852054520e+00,  1.408008886851578e+00, -4.163775156141563e-01,  5.100033738715775e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.625373600052910e+00,  1.397908456208976e+00, -4.163775156141563e-01,  5.179125195736832e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.505880424366450e+00,  1.388548662925613e+00, -4.163775156141563e-01,  5.252417089359139e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.400185105821460e+00,  1.379828270331387e+00, -4.163775156141563e-01,  5.320702153677466e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.291671986827140e+00,  1.363993241277823e+00, -4.163775156141563e-01,  5.444698403355638e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.290501288938110e+00,  1.343406500477585e+00, -4.163775156141563e-01,  5.605902948272560e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.260087748519560e+00,  1.337221049813967e+00, -4.163775156141563e-01,  5.654338141050779e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.192715145519880e+00,  1.325682310712784e+00, -4.163775156141563e-01,  5.744692277422855e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.191168272738520e+00,  1.315100297011203e+00, -4.163775156141563e-01,  5.827554772250026e+00, -6.644671999999999e+00
PdCu_1_5_100,  1.087367694809120e+00,  1.300709307665165e+00, -4.163775156141563e-01,  5.940243464012521e+00, -6.644671999999999e+00
