# c0 + a0 * (std_dev / time) + a1 * (std_dev * total_metal_loading) + a2 * (av_E_def_subsurf * time) + a3 * (time / av_BE_H_surf) + a4 * (av_BE_H_subsurf + av_mu_C_critical_subsurf)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.107307573253422; Max AE: 0.519697664058128
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  1.400277096104821e+00, -1.604146070402101e+01, -1.121463246765230e-02, -4.719944129089638e-03, -5.122621519614204e-01, -2.133194810743396e+00, 
# 3   ,  3.872494690486942e+00, -1.958046127461141e+01, -1.843453035504711e-02, -9.897971295147731e-03, -5.299807931541689e-01, -2.462638002698030e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; min^-1 * nm;                                      3|0|div; (std_dev / time); $\left(\frac{ std_{dev} }{ time } \right)$; (std_dev ./ time); std_dev,time
# 1;  1; nm;                                               3|1|mult; (std_dev * total_metal_loading); $\left(std_{dev} total_{metal, loading}\right)$; (std_dev .* total_metal_loading); std_dev,total_metal_loading
# 2;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 3;  1; eV^-1 * min;                                      0|16|div; (time / av_BE_H_surf); $\left(\frac{ time }{ av_{BE, H, surf} } \right)$; (time ./ av_BE_H_surf); time,av_BE_H_surf
# 4;  1; eV;                                               19|12|add; (av_BE_H_subsurf + av_mu_C_critical_subsurf); $\left(av_{BE, H, subsurf} + av_{mu, C, critical, subsurf}\right)$; (av_BE_H_subsurf + av_mu_C_critical_subsurf); av_BE_H_subsurf,av_mu_C_critical_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 176                   
# 3   , 168                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.929580134110400e-02,  5.889934653992320e-01,  2.222222222222222e-01,  3.809999999999999e-02,  2.781000000000000e+00, -6.250000000000000e+00, -5.903000000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  3.781685225455745e-01,  7.407407407407407e-02,  3.809999999999999e-02,  8.343000000000000e+00, -1.875000000000000e+01, -5.903000000000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  3.333023466376739e-01,  4.444444444444445e-02,  3.809999999999999e-02,  1.390500000000000e+01, -3.125000000000000e+01, -5.903000000000000e+00
PdAg_1_9_100,  2.856868471553150e-01,  3.212416816178335e-01,  3.703703703703703e-02,  3.809999999999999e-02,  1.668600000000000e+01, -3.750000000000000e+01, -5.903000000000000e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.121445660077380e-01,  3.174603174603174e-02,  3.809999999999999e-02,  1.946700000000000e+01, -4.375000000000000e+01, -5.903000000000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  2.988895838037907e-01,  2.469135802469136e-02,  3.809999999999999e-02,  2.502900000000000e+01, -5.624999999999999e+01, -5.903000000000000e+00
PdAg_1_9_100,  2.725813187048580e-01,  2.892267827025657e-01,  2.020202020202020e-02,  3.809999999999999e-02,  3.059100000000000e+01, -6.875000000000000e+01, -5.903000000000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  2.851811717681741e-01,  1.851851851851852e-02,  3.809999999999999e-02,  3.337200000000000e+01, -7.500000000000000e+01, -5.903000000000000e+00
PdAg_1_9_100,  2.691444146104700e-01,  2.781002508345299e-01,  1.587301587301587e-02,  3.809999999999999e-02,  3.893400000000000e+01, -8.750000000000000e+01, -5.903000000000000e+00
PdAg_1_9_100,  2.650229112638520e-01,  2.691131797703217e-01,  1.307189542483660e-02,  3.809999999999999e-02,  4.727699999999999e+01, -1.062500000000000e+02, -5.903000000000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  2.664080334753645e-01,  1.234567901234568e-02,  3.809999999999999e-02,  5.005800000000000e+01, -1.125000000000000e+02, -5.903000000000000e+00
PdAg_1_9_100,  2.642144249687690e-01,  2.638099297287462e-01,  1.169590643274854e-02,  3.809999999999999e-02,  5.283900000000000e+01, -1.187500000000000e+02, -5.903000000000000e+00
PdAg_1_9_100,  2.621887653386570e-01,  2.613028121482178e-01,  1.111111111111111e-02,  3.809999999999999e-02,  5.562000000000000e+01, -1.250000000000000e+02, -5.903000000000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  2.588736827100498e-01,  1.058201058201058e-02,  3.809999999999999e-02,  5.840100000000000e+01, -1.312500000000000e+02, -5.903000000000000e+00
PdAg_1_9_100,  2.597681369110620e-01,  2.565119066675595e-01,  1.010101010101010e-02,  3.809999999999999e-02,  6.118200000000000e+01, -1.375000000000000e+02, -5.903000000000000e+00
PdAg_1_9_100,  2.562832756759230e-01,  2.497498748393308e-01,  8.888888888888889e-03,  3.809999999999999e-02,  6.952499999999999e+01, -1.562500000000000e+02, -5.903000000000000e+00
PdAg_1_9_100,  2.537741737812260e-01,  2.475829055412558e-01,  8.547008547008548e-03,  3.809999999999999e-02,  7.230600000000000e+01, -1.625000000000000e+02, -5.903000000000000e+00
PdAg_1_9_100,  2.518192543109310e-01,  2.454513975181701e-01,  8.230452674897120e-03,  3.809999999999999e-02,  7.508699999999999e+01, -1.687500000000000e+02, -5.903000000000000e+00
PdAg_1_9_100,  2.496764650829220e-01,  2.433515513477525e-01,  7.936507936507936e-03,  3.809999999999999e-02,  7.786799999999999e+01, -1.750000000000000e+02, -5.903000000000000e+00
PdAg_1_9_100,  2.453013105463630e-01,  2.392341798238547e-01,  7.407407407407408e-03,  3.809999999999999e-02,  8.342999999999999e+01, -1.875000000000000e+02, -5.903000000000000e+00
PdAg_1_5_100,  5.770639017232591e-01,  5.924681089929213e-01,  2.962962962962963e-01,  5.440000000000000e-02,  2.744999999999996e+00, -6.099397590361455e+00, -6.218333333333330e+00
PdAg_1_5_100,  2.565338589410230e-01,  3.118794635311370e-01,  9.876543209876543e-02,  5.440000000000000e-02,  8.234999999999987e+00, -1.829819277108437e+01, -6.218333333333330e+00
PdAg_1_5_100,  2.398208440226360e-01,  2.753093701413418e-01,  7.407407407407407e-02,  5.440000000000000e-02,  1.097999999999998e+01, -2.439759036144582e+01, -6.218333333333330e+00
PdAg_1_5_100,  2.303037511075600e-01,  2.525691739970266e-01,  5.925925925925926e-02,  5.440000000000000e-02,  1.372499999999998e+01, -3.049698795180728e+01, -6.218333333333330e+00
PdAg_1_5_100,  2.261682956735730e-01,  2.367439264754513e-01,  4.938271604938271e-02,  5.440000000000000e-02,  1.646999999999997e+01, -3.659638554216873e+01, -6.218333333333330e+00
PdAg_1_5_100,  2.236877838869310e-01,  2.248700781668702e-01,  4.232804232804233e-02,  5.440000000000000e-02,  1.921499999999997e+01, -4.269578313253019e+01, -6.218333333333330e+00
PdAg_1_5_100,  2.164592134781930e-01,  2.077080469046987e-01,  3.292181069958848e-02,  5.440000000000000e-02,  2.470499999999996e+01, -5.489457831325310e+01, -6.218333333333330e+00
PdAg_1_5_100,  2.141497061269980e-01,  2.011027308801100e-01,  2.962962962962963e-02,  5.440000000000000e-02,  2.744999999999996e+01, -6.099397590361455e+01, -6.218333333333330e+00
PdAg_1_5_100,  2.121100061106850e-01,  1.953355904461562e-01,  2.693602693602693e-02,  5.440000000000000e-02,  3.019499999999995e+01, -6.709337349397602e+01, -6.218333333333330e+00
PdAg_1_5_100,  2.074551680388040e-01,  1.855421358049531e-01,  2.279202279202279e-02,  5.440000000000000e-02,  3.568499999999995e+01, -7.929216867469893e+01, -6.218333333333330e+00
PdAg_1_5_100,  2.050856479851930e-01,  1.812671321367458e-01,  2.116402116402116e-02,  5.440000000000000e-02,  3.842999999999994e+01, -8.539156626506038e+01, -6.218333333333330e+00
PdAg_1_5_100,  2.038357874315140e-01,  1.772960822541531e-01,  1.975308641975309e-02,  5.440000000000000e-02,  4.117499999999993e+01, -9.149096385542184e+01, -6.218333333333330e+00
PdAg_1_5_100,  2.024470208367670e-01,  1.735719948223726e-01,  1.851851851851852e-02,  5.440000000000000e-02,  4.391999999999993e+01, -9.759036144578329e+01, -6.218333333333330e+00
PdAg_1_5_100,  2.000269286823050e-01,  1.667000656773727e-01,  1.646090534979424e-02,  5.440000000000000e-02,  4.940999999999992e+01, -1.097891566265062e+02, -6.218333333333330e+00
PdAg_1_5_100,  1.973081438407180e-01,  1.634915665200951e-01,  1.559454191033138e-02,  5.440000000000000e-02,  5.215499999999992e+01, -1.158885542168677e+02, -6.218333333333330e+00
PdAg_1_5_100,  1.969854579108610e-01,  1.604043822509357e-01,  1.481481481481482e-02,  5.440000000000000e-02,  5.489999999999991e+01, -1.219879518072291e+02, -6.218333333333330e+00
PdAg_1_5_100,  1.905512205622570e-01,  1.489655068351838e-01,  1.234567901234568e-02,  5.440000000000000e-02,  6.587999999999990e+01, -1.463855421686749e+02, -6.218333333333330e+00
PdAg_1_5_100,  1.891192110734720e-01,  1.462786616968145e-01,  1.185185185185185e-02,  5.440000000000000e-02,  6.862499999999989e+01, -1.524849397590364e+02, -6.218333333333330e+00
PdAg_1_5_100,  1.877437449997070e-01,  1.436450084709275e-01,  1.139601139601140e-02,  5.440000000000000e-02,  7.136999999999989e+01, -1.585843373493979e+02, -6.218333333333330e+00
PdAg_1_5_100,  1.846523109974680e-01,  1.360081741518011e-01,  1.021711366538953e-02,  5.440000000000000e-02,  7.960499999999988e+01, -1.768825301204822e+02, -6.218333333333330e+00
PdAg_1_1_100,  1.385113175840640e+00,  1.009935054856577e+00,  5.925925925925926e-02,  5.720000000000000e-02,  1.282500000000000e+01, -2.721774193548387e+01, -7.795000000000000e+00
