# c0 + a0 * (std_dev * time) + a1 * (av_mu_C_critical_subsurf * av_mu_C_critical_surf)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.185375505819349; Max AE: 0.651113294619909
# Coefficients
# Task   a0                      a1                      c0
# 2   , -3.693585486156843e-04,  6.657173546878806e-02, -7.862264169489460e-01, 
# 3   , -3.765135558559321e-04,  5.939226109335585e-02, -7.848845845231973e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; min * nm;                                         3|0|mult; (std_dev * time); $\left(std_{dev} time\right)$; (std_dev .* time); std_dev,time
# 1;  1; eV^2;                                             12|11|mult; (av_mu_C_critical_subsurf * av_mu_C_critical_surf); $\left(av_{mu, C, critical, subsurf} av_{mu, C, critical, surf}\right)$; (av_mu_C_critical_subsurf .* av_mu_C_critical_surf); av_mu_C_critical_subsurf,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.048608748785337e-01,  4.050000000000000e+01,  1.811649200000000e+01
PdAg_1_9_100,  6.062451827416920e-01,  3.899018536595985e-01,  8.100000000000000e+01,  1.811649200000000e+01
PdAg_1_9_100,  2.919675286925200e-01,  3.450247900027928e-01,  2.025000000000000e+02,  1.811649200000000e+01
PdAg_1_9_100,  2.856868471553150e-01,  3.300657687838576e-01,  2.430000000000000e+02,  1.811649200000000e+01
PdAg_1_9_100,  2.813651505179750e-01,  3.151067475649224e-01,  2.835000000000000e+02,  1.811649200000000e+01
PdAg_1_9_100,  2.773647395214370e-01,  3.001477263459871e-01,  3.240000000000000e+02,  1.811649200000000e+01
PdAg_1_9_100,  2.725813187048580e-01,  2.552706626891816e-01,  4.455000000000000e+02,  1.811649200000000e+01
PdAg_1_9_100,  2.710137208355010e-01,  2.403116414702464e-01,  4.860000000000000e+02,  1.811649200000000e+01
PdAg_1_9_100,  2.699577938430830e-01,  2.253526202513111e-01,  5.265000000000000e+02,  1.811649200000000e+01
PdAg_1_9_100,  2.691444146104700e-01,  2.103935990323759e-01,  5.670000000000000e+02,  1.811649200000000e+01
PdAg_1_9_100,  2.658907762370700e-01,  1.804755565945055e-01,  6.480000000000000e+02,  1.811649200000000e+01
PdAg_1_9_100,  2.650229112638520e-01,  1.655165353755703e-01,  6.885000000000000e+02,  1.811649200000000e+01
PdAg_1_9_100,  2.637375021423530e-01,  1.505575141566350e-01,  7.290000000000000e+02,  1.811649200000000e+01
PdAg_1_9_100,  2.642144249687690e-01,  1.355984929376998e-01,  7.695000000000000e+02,  1.811649200000000e+01
PdAg_1_9_100,  2.621887653386570e-01,  1.206394717187646e-01,  8.100000000000000e+02,  1.811649200000000e+01
PdAg_1_9_100,  2.597681369110620e-01,  9.072142928089416e-02,  8.910000000000000e+02,  1.811649200000000e+01
PdAg_1_9_100,  2.562832756759230e-01,  4.584436562408850e-02,  1.012500000000000e+03,  1.811649200000000e+01
PdAg_1_9_100,  2.518192543109310e-01,  1.592632318621806e-02,  1.093500000000000e+03,  1.811649200000000e+01
PdAg_1_9_100,  2.496764650829220e-01,  9.673019672828407e-04,  1.134000000000000e+03,  1.811649200000000e+01
PdAg_1_9_100,  2.453013105463630e-01, -2.895074047058760e-02,  1.215000000000000e+03,  1.811649200000000e+01
PdAg_1_5_100,  5.770639017232591e-01,  5.302336203832387e-01,  5.400000000000000e+01,  2.007466666666668e+01
PdAg_1_5_100,  3.293542674131830e-01,  5.102882587579918e-01,  1.080000000000000e+02,  2.007466666666668e+01
PdAg_1_5_100,  2.565338589410230e-01,  4.903428971327449e-01,  1.620000000000000e+02,  2.007466666666668e+01
PdAg_1_5_100,  2.398208440226360e-01,  4.703975355074979e-01,  2.160000000000000e+02,  2.007466666666668e+01
PdAg_1_5_100,  2.303037511075600e-01,  4.504521738822510e-01,  2.700000000000000e+02,  2.007466666666668e+01
PdAg_1_5_100,  2.261682956735730e-01,  4.305068122570040e-01,  3.240000000000000e+02,  2.007466666666668e+01
PdAg_1_5_100,  2.164592134781930e-01,  3.706707273812632e-01,  4.860000000000000e+02,  2.007466666666668e+01
PdAg_1_5_100,  2.141497061269980e-01,  3.507253657560163e-01,  5.400000000000000e+02,  2.007466666666668e+01
PdAg_1_5_100,  2.121100061106850e-01,  3.307800041307693e-01,  5.940000000000000e+02,  2.007466666666668e+01
PdAg_1_5_100,  2.099035907134980e-01,  3.108346425055223e-01,  6.480000000000000e+02,  2.007466666666668e+01
PdAg_1_5_100,  2.050856479851930e-01,  2.709439192550284e-01,  7.560000000000000e+02,  2.007466666666668e+01
PdAg_1_5_100,  2.024470208367670e-01,  2.310531960045345e-01,  8.640000000000000e+02,  2.007466666666668e+01
PdAg_1_5_100,  2.013479605126910e-01,  2.111078343792875e-01,  9.180000000000000e+02,  2.007466666666668e+01
PdAg_1_5_100,  2.000269286823050e-01,  1.911624727540406e-01,  9.720000000000000e+02,  2.007466666666668e+01
PdAg_1_5_100,  1.973081438407180e-01,  1.712171111287936e-01,  1.026000000000000e+03,  2.007466666666668e+01
