# c0 + a0 * (std_dev / av_d_band_center_surf) + a1 * (av_E_def_subsurf * time) + a2 * (av_BE_H_surf^3)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.139541411030722; Max AE: 0.482659353628381
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  5.584334655380955e-01, -4.188198193516137e-03, -2.114456188081331e-01, -1.274897421281546e+00, 
# 3   ,  5.411164837382270e-01, -5.686735535045356e-03, -1.975814927611894e-01, -1.218497154219807e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^-1 * nm;                                       3|18|div; (std_dev / av_d_band_center_surf); $\left(\frac{ std_{dev} }{ av_{d, band, center, surf} } \right)$; (std_dev ./ av_d_band_center_surf); std_dev,av_d_band_center_surf
# 1;  1; eV * min;                                         14|0|mult; (av_E_def_subsurf * time); $\left(av_{E, def, subsurf} time\right)$; (av_E_def_subsurf .* time); av_E_def_subsurf,time
# 2;  1; eV^3;                                             16|cb; (av_BE_H_surf^3); $\left(av_{BE, H, surf}^3\right)$; (av_BE_H_surf).^3; av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.115575371499203e-01, -7.749935417204856e-01,  2.781000000000000e+00, -1.007769600000000e+01
PdAg_1_9_100,  6.062451827416920e-01,  3.999101579737518e-01, -7.749935417204856e-01,  5.561999999999999e+00, -1.007769600000000e+01
PdAg_1_9_100,  2.919675286925200e-01,  3.649680204452468e-01, -7.749935417204856e-01,  1.390500000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.856868471553150e-01,  3.533206412690784e-01, -7.749935417204856e-01,  1.668600000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.813651505179750e-01,  3.416732620929102e-01, -7.749935417204856e-01,  1.946700000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.773647395214370e-01,  3.300258829167417e-01, -7.749935417204856e-01,  2.224800000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.725813187048580e-01,  2.950837453882367e-01, -7.749935417204856e-01,  3.059100000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.710137208355010e-01,  2.834363662120682e-01, -7.749935417204856e-01,  3.337200000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.699577938430830e-01,  2.717889870358998e-01, -7.749935417204856e-01,  3.615300000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.691444146104700e-01,  2.601416078597314e-01, -7.749935417204856e-01,  3.893400000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.658907762370700e-01,  2.368468495073947e-01, -7.749935417204856e-01,  4.449600000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.650229112638520e-01,  2.251994703312263e-01, -7.749935417204856e-01,  4.727699999999999e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.637375021423530e-01,  2.135520911550579e-01, -7.749935417204856e-01,  5.005800000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.642144249687690e-01,  2.019047119788895e-01, -7.749935417204856e-01,  5.283900000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.621887653386570e-01,  1.902573328027213e-01, -7.749935417204856e-01,  5.562000000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.597681369110620e-01,  1.669625744503844e-01, -7.749935417204856e-01,  6.118200000000000e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.562832756759230e-01,  1.320204369218793e-01, -7.749935417204856e-01,  6.952499999999999e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.518192543109310e-01,  1.087256785695425e-01, -7.749935417204856e-01,  7.508699999999999e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.496764650829220e-01,  9.707829939337428e-02, -7.749935417204856e-01,  7.786799999999999e+01, -1.007769600000000e+01
PdAg_1_9_100,  2.453013105463630e-01,  7.378354104103743e-02, -7.749935417204856e-01,  8.342999999999999e+01, -1.007769600000000e+01
PdAg_1_5_100,  5.770639017232591e-01,  4.055281543559440e-01, -1.075750784401615e+00,  2.744999999999996e+00, -1.084277570370365e+01
PdAg_1_5_100,  3.293542674131830e-01,  3.940315503147421e-01, -1.075750784401615e+00,  5.489999999999991e+00, -1.084277570370365e+01
PdAg_1_5_100,  2.565338589410230e-01,  3.825349462735405e-01, -1.075750784401615e+00,  8.234999999999987e+00, -1.084277570370365e+01
PdAg_1_5_100,  2.398208440226360e-01,  3.710383422323386e-01, -1.075750784401615e+00,  1.097999999999998e+01, -1.084277570370365e+01
PdAg_1_5_100,  2.303037511075600e-01,  3.595417381911369e-01, -1.075750784401615e+00,  1.372499999999998e+01, -1.084277570370365e+01
PdAg_1_5_100,  2.261682956735730e-01,  3.480451341499350e-01, -1.075750784401615e+00,  1.646999999999997e+01, -1.084277570370365e+01
PdAg_1_5_100,  2.164592134781930e-01,  3.135553220263297e-01, -1.075750784401615e+00,  2.470499999999996e+01, -1.084277570370365e+01
PdAg_1_5_100,  2.141497061269980e-01,  3.020587179851278e-01, -1.075750784401615e+00,  2.744999999999996e+01, -1.084277570370365e+01
PdAg_1_5_100,  2.121100061106850e-01,  2.905621139439262e-01, -1.075750784401615e+00,  3.019499999999995e+01, -1.084277570370365e+01
PdAg_1_5_100,  2.099035907134980e-01,  2.790655099027245e-01, -1.075750784401615e+00,  3.293999999999995e+01, -1.084277570370365e+01
PdAg_1_5_100,  2.050856479851930e-01,  2.560723018203207e-01, -1.075750784401615e+00,  3.842999999999994e+01, -1.084277570370365e+01
PdAg_1_5_100,  2.024470208367670e-01,  2.330790937379174e-01, -1.075750784401615e+00,  4.391999999999993e+01, -1.084277570370365e+01
PdAg_1_5_100,  2.013479605126910e-01,  2.215824896967157e-01, -1.075750784401615e+00,  4.666499999999993e+01, -1.084277570370365e+01
PdAg_1_5_100,  2.000269286823050e-01,  2.100858856555136e-01, -1.075750784401615e+00,  4.940999999999992e+01, -1.084277570370365e+01
PdAg_1_5_100,  1.973081438407180e-01,  1.985892816143119e-01, -1.075750784401615e+00,  5.215499999999992e+01, -1.084277570370365e+01
PdAg_1_5_100,  1.963439311488950e-01,  1.755960735319086e-01, -1.075750784401615e+00,  5.764499999999990e+01, -1.084277570370365e+01
