# c0 + a0 * (std_dev / av_d_band_center_surf) + a1 * cbrt(time) + a2 * (av_BE_H_subsurf^3)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.153820576220192; Max AE: 0.62717039849966
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  5.171429558114014e-01, -1.113692294963142e-01, -2.397301793514942e-01,  6.412145562625448e-01, 
# 3   ,  4.520823311556963e-01, -1.329586998913082e-01, -2.302442968591349e-01,  5.663066689730408e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^-1 * nm;                                       3|18|div; (std_dev / av_d_band_center_surf); $\left(\frac{ std_{dev} }{ av_{d, band, center, surf} } \right)$; (std_dev ./ av_d_band_center_surf); std_dev,av_d_band_center_surf
# 1;  1; min^0.333333;                                     0|cbrt; cbrt(time); $\left(\sqrt[3]{ time }\right)$; nthroot(time, 3); time
# 2;  1; eV^3;                                             19|cb; (av_BE_H_subsurf^3); $\left(av_{BE, H, subsurf}^3\right)$; (av_BE_H_subsurf).^3; av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 172                   
# 3   , 173                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.062451827416920e-01,  6.102905465946727e-01, -7.749935417204856e-01,  3.000000000000000e+00, -2.936493568000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  5.619404055237509e-01, -7.749935417204856e-01,  3.434142727659996e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  4.909443373465209e-01, -7.749935417204856e-01,  4.071626424892360e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.856868471553150e-01,  4.625315649240365e-01, -7.749935417204856e-01,  4.326748710922225e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  4.140353389056043e-01, -7.749935417204856e-01,  4.762203155904599e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  3.927985947401967e-01, -7.749935417204856e-01,  4.952890873341941e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.725813187048580e-01,  3.546399741453267e-01, -7.749935417204856e-01,  5.295522502989095e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  3.372842741068121e-01, -7.749935417204856e-01,  5.451361778496420e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.699577938430830e-01,  3.208678976519154e-01, -7.749935417204856e-01,  5.598766735225873e+00, -2.936493568000000e+00
PdAg_1_9_100,  2.691444146104700e-01,  3.052732193691135e-01, -7.749935417204856e-01,  5.738793548317167e+00, -2.936493568000000e+00
