# c0 + a0 * (std_dev * time) + a1 * (av_BE_H_subsurf * av_BE_H_surf)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.188218323415711; Max AE: 0.720588021977538
# Coefficients
# Task   a0                      a1                      c0
# 2   , -4.534456156637890e-04,  5.578326633292411e-01, -1.232519471965236e+00, 
# 3   , -4.054849987298061e-04,  5.326554232604593e-01, -1.349485322536743e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; min * nm;                                         3|0|mult; (std_dev * time); $\left(std_{dev} time\right)$; (std_dev .* time); std_dev,time
# 1;  1; eV^2;                                             19|16|mult; (av_BE_H_subsurf * av_BE_H_surf); $\left(av_{BE, H, subsurf} av_{BE, H, surf}\right)$; (av_BE_H_subsurf .* av_BE_H_surf); av_BE_H_subsurf,av_BE_H_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 173                   
# 3   , 172                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.929580134110400e-02,  4.745593481973230e-01,  4.050000000000000e+01,  3.093120000000000e+00
PdAg_1_9_100,  6.062451827416920e-01,  4.561948007629396e-01,  8.100000000000000e+01,  3.093120000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  4.378302533285561e-01,  1.215000000000000e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.856868471553150e-01,  3.827366110254056e-01,  2.430000000000000e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.643720635910222e-01,  2.835000000000000e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  3.460075161566388e-01,  3.240000000000000e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  3.276429687222553e-01,  3.645000000000000e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.725813187048580e-01,  2.909138738534885e-01,  4.455000000000000e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.699577938430830e-01,  2.541847789847214e-01,  5.265000000000000e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.691444146104700e-01,  2.358202315503380e-01,  5.670000000000000e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.658907762370700e-01,  1.990911366815711e-01,  6.480000000000000e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.650229112638520e-01,  1.807265892471877e-01,  6.885000000000000e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.642144249687690e-01,  1.439974943784209e-01,  7.695000000000000e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.621887653386570e-01,  1.256329469440374e-01,  8.100000000000000e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.609797547787540e-01,  1.072683995096540e-01,  8.505000000000000e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.597681369110620e-01,  8.890385207527035e-02,  8.910000000000000e+02,  3.093120000000000e+00
PdAg_1_9_100,  2.562832756759230e-01,  3.381020977212007e-02,  1.012500000000000e+03,  3.093120000000000e+00
PdAg_1_9_100,  2.537741737812260e-01,  1.544566233773664e-02,  1.053000000000000e+03,  3.093120000000000e+00
PdAg_1_9_100,  2.518192543109310e-01, -2.918885096646783e-03,  1.093500000000000e+03,  3.093120000000000e+00
PdAg_1_5_100,  5.770639017232591e-01,  6.114611687509095e-01,  5.400000000000000e+01,  3.349511111111099e+00
PdAg_1_5_100,  3.293542674131830e-01,  5.869751055050649e-01,  1.080000000000000e+02,  3.349511111111099e+00
PdAg_1_5_100,  2.398208440226360e-01,  5.380029790133756e-01,  2.160000000000000e+02,  3.349511111111099e+00
PdAg_1_5_100,  2.303037511075600e-01,  5.135169157675310e-01,  2.700000000000000e+02,  3.349511111111099e+00
PdAg_1_5_100,  2.236877838869310e-01,  4.645447892758418e-01,  3.780000000000000e+02,  3.349511111111099e+00
