# c0 + a0 * (av_E_b_C_subsurf * std_dev) + a1 * (ln(1.0*time-2.826084e+00)) + a2 * (av_E_b_C_subsurf * av_bulk_int_dist)
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.153245986689271; Max AE: 0.664154416172337
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -3.523627790172407e-02, -1.823786142112577e-01,  3.148163201510989e-01, -2.574040194522871e+00, 
# 3   , -2.675830617654738e-02, -2.089563776033949e-01,  2.991759796511765e-01, -2.531461113749714e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * nm;                                          13|3|mult; (av_E_b_C_subsurf * std_dev); $\left(av_{E, b, C, subsurf} std_{dev}\right)$; (av_E_b_C_subsurf .* std_dev); av_E_b_C_subsurf,std_dev
# 1;  1; Unitless;                                         0|log:1.0000000000000e+00,-2.8260841995340e+00; (ln(1.0*time-2.826084e+00)); $\left(\ln{ \left(1.0time-2.826e+00 \right)}\right)$; log(1.0*time-2.826084e+00); time
# 2;  1; A * eV;                                           13|8|mult; (av_E_b_C_subsurf * av_bulk_int_dist); $\left(av_{E, b, C, subsurf} av_{bulk, int, dist}\right)$; (av_E_b_C_subsurf .* av_bulk_int_dist); av_E_b_C_subsurf,av_bulk_int_dist
# Number of Samples Per Task
# Task, n_samples               
# 2   , 173                   
# 3   , 172                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.929580134110400e-02,  7.334502175134411e-01,  1.403100000000000e+01,  2.367802989597523e+00,  1.344824580000000e+01
PdAg_1_9_100,  6.062451827416920e-01,  5.843609523942815e-01,  1.403100000000000e+01,  3.185274192369480e+00,  1.344824580000000e+01
PdAg_1_9_100,  3.628741788873400e-01,  5.034406967511932e-01,  1.403100000000000e+01,  3.628967966406794e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.856868471553150e-01,  3.703101320976351e-01,  1.403100000000000e+01,  4.358936034369778e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.813651505179750e-01,  3.412568809132238e-01,  1.403100000000000e+01,  4.518237887331317e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.773647395214370e-01,  3.162021749560743e-01,  1.403100000000000e+01,  4.655615320894485e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.742250823045090e-01,  2.941773661222308e-01,  1.403100000000000e+01,  4.776379528524286e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.725813187048580e-01,  2.567913657395630e-01,  1.403100000000000e+01,  4.981370670409824e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.699577938430830e-01,  2.257807519926486e-01,  1.403100000000000e+01,  5.151404936110477e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.691444146104700e-01,  2.120519588944158e-01,  1.403100000000000e+01,  5.226681268029147e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.658907762370700e-01,  1.873529574269585e-01,  1.403100000000000e+01,  5.362108338655128e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.650229112638520e-01,  1.761541533133683e-01,  1.403100000000000e+01,  5.423512490463290e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.642144249687690e-01,  1.556297828055217e-01,  1.403100000000000e+01,  5.536049646185248e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.621887653386570e-01,  1.461734206169500e-01,  1.403100000000000e+01,  5.587899816390061e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.609797547787540e-01,  1.371832971520194e-01,  1.403100000000000e+01,  5.637193553508366e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.597681369110620e-01,  1.286155895210405e-01,  1.403100000000000e+01,  5.684171142783470e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.562832756759230e-01,  1.050913874296470e-01,  1.403100000000000e+01,  5.813156672107339e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.537741737812260e-01,  9.787914472412909e-02,  1.403100000000000e+01,  5.852702112984328e+00,  1.344824580000000e+01
PdAg_1_9_100,  2.518192543109310e-01,  9.094129667455300e-02,  1.403100000000000e+01,  5.890743020793503e+00,  1.344824580000000e+01
PdAg_1_5_100,  5.770639017232591e-01,  7.314430360407791e-01,  1.963333333333332e+01,  2.367802989597523e+00,  1.406891944444442e+01
PdAg_1_5_100,  3.293542674131830e-01,  5.823537709216196e-01,  1.963333333333332e+01,  3.185274192369480e+00,  1.406891944444442e+01
PdAg_1_5_100,  2.398208440226360e-01,  4.455778799995358e-01,  1.963333333333332e+01,  3.935229945205992e+00,  1.406891944444442e+01
PdAg_1_5_100,  2.303037511075600e-01,  4.028779363620292e-01,  1.963333333333332e+01,  4.169357964119689e+00,  1.406891944444442e+01
PdAg_1_5_100,  2.236877838869310e-01,  3.392496994405623e-01,  1.963333333333332e+01,  4.518237887331317e+00,  1.406891944444442e+01
PdAg_1_5_100,  2.141497061269980e-01,  2.725208822196310e-01,  1.963333333333332e+01,  4.884118599329907e+00,  1.406891944444442e+01
PdAg_1_5_100,  2.121100061106850e-01,  2.547841842669005e-01,  1.963333333333332e+01,  4.981370670409824e+00,  1.406891944444442e+01
PdAg_1_5_100,  2.099035907134980e-01,  2.386205614955472e-01,  1.963333333333332e+01,  5.069997414511687e+00,  1.406891944444442e+01
PdAg_1_5_100,  2.074551680388040e-01,  2.237735705199866e-01,  1.963333333333332e+01,  5.151404936110477e+00,  1.406891944444442e+01
PdAg_1_5_100,  2.050856479851930e-01,  2.100447774217538e-01,  1.963333333333332e+01,  5.226681268029147e+00,  1.406891944444442e+01
PdAg_1_5_100,  2.038357874315140e-01,  1.972774816383576e-01,  1.963333333333332e+01,  5.296685614967582e+00,  1.406891944444442e+01
PdAg_1_5_100,  2.024470208367670e-01,  1.853457759542965e-01,  1.963333333333332e+01,  5.362108338655128e+00,  1.406891944444442e+01
PdAg_1_5_100,  2.013479605126910e-01,  1.741469718407063e-01,  1.963333333333332e+01,  5.423512490463290e+00,  1.406891944444442e+01
PdAg_1_5_100,  2.000269286823050e-01,  1.635962195281782e-01,  1.963333333333332e+01,  5.481363310079164e+00,  1.406891944444442e+01
PdAg_1_5_100,  1.973081438407180e-01,  1.536226013328597e-01,  1.963333333333332e+01,  5.536049646185248e+00,  1.406891944444442e+01
PdAg_1_5_100,  1.969854579108610e-01,  1.441662391442879e-01,  1.963333333333332e+01,  5.587899816390061e+00,  1.406891944444442e+01
PdAg_1_5_100,  1.963439311488950e-01,  1.351761156793574e-01,  1.963333333333332e+01,  5.637193553508366e+00,  1.406891944444442e+01
PdAg_1_5_100,  1.940684048443220e-01,  1.266084080483785e-01,  1.963333333333332e+01,  5.684171142783470e+00,  1.406891944444442e+01
