# c0 + a0 * ((ln(1.0*std_dev-2.793189e-01)) * (av_delta_M1_M2_subsurf / surface_area)) + a1 * (exp(2.966340e-03*((time+6.358991e+02) / (av_mu_C_critical_surf+4.051817e+00))))
# Property Label: $S_{ethane}$; Unit of the Property: Unitless
# RMSE: 0.143237150815162; Max AE: 0.713244328159893
# Coefficients
# Task   a0                      a1                      c0
# 2   , -2.457102917081510e+02,  4.589059022546576e+00,  5.582598529383541e-01, 
# 3   , -2.306136541163015e+02,  4.625444216501521e+00,  3.398690733138475e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; g * m^-2;                                         3|log:1.0000000000000e+00,-2.7931886040477e-01|15|4|div|mult; ((ln(1.0*std_dev-2.793189e-01)) * (av_delta_M1_M2_subsurf / surface_area)); $\left(\left(\ln{ \left(1.0std_{dev}-2.793e-01 \right)}\right) \left(\frac{ av_{delta, M1, M2, subsurf} }{ surface_{area} } \right)\right)$; (log(1.0*std_dev-2.793189e-01) .* (av_delta_M1_M2_subsurf ./ surface_area)); std_dev,av_delta_M1_M2_subsurf,surface_area
# 1;  2; Unitless;                                         0|11|div|exp:2.9663395757446e-03,0.0000000000000e+00,6.3589905197666e+02,4.0518173283197e+00; (exp(2.966340e-03*((time+6.358991e+02) / (av_mu_C_critical_surf+4.051817e+00)))); $\left(\exp{ \left(2.966e-03\left(\frac{ time +6.359e+02 }{ av_{mu, C, critical, surf}+4.052e+00 } \right) \right)}\right)$; exp(2.966340e-03.*((time+6.358991e+02) ./ (av_mu_C_critical_surf+4.051817e+00))); time,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 219                   
# 3   , 212                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
PdAg_1_9_100,  6.929580134110400e-02,  3.146236064592566e-01,  9.915589810478226e-04,  0.000000000000000e+00
PdAg_1_9_100,  6.062451827416920e-01,  3.146236064592566e-01,  9.915589810478226e-04,  0.000000000000000e+00
PdAg_1_9_100,  3.628741788873400e-01,  3.146236064592566e-01,  9.915589810478226e-04,  0.000000000000000e+00
PdAg_1_9_100,  2.919675286925200e-01,  3.146236064592566e-01,  9.915589810478226e-04,  0.000000000000000e+00
PdAg_1_9_100,  2.856868471553150e-01,  3.146236064592566e-01,  9.915589810478226e-04,  0.000000000000000e+00
PdAg_1_9_100,  2.813651505179750e-01,  3.146236064592566e-01,  9.915589810478226e-04,  0.000000000000000e+00
PdAg_1_9_100,  2.773647395214370e-01,  3.146236064592566e-01,  9.915589810478226e-04,  0.000000000000000e+00
PdAg_1_9_100,  2.742250823045090e-01,  3.146236064592566e-01,  9.915589810478226e-04,  0.000000000000000e+00
PdAg_1_9_100,  2.725813187048580e-01,  3.146236064592566e-01,  9.915589810478226e-04,  0.000000000000000e+00
PdAg_1_9_100,  2.710137208355010e-01,  3.146236064592566e-01,  9.915589810478226e-04,  0.000000000000000e+00
PdAg_1_9_100,  2.699577938430830e-01,  3.146236064592566e-01,  9.915589810478226e-04,  0.000000000000000e+00
PdAg_1_9_100,  2.691444146104700e-01,  3.146236064592566e-01,  9.915589810478226e-04,  0.000000000000000e+00
PdAg_1_9_100,  2.658907762370700e-01,  3.146236064592566e-01,  9.915589810478226e-04,  0.000000000000000e+00
PdAg_1_9_100,  2.650229112638520e-01,  3.146236064592566e-01,  9.915589810478226e-04,  0.000000000000000e+00
PdAg_1_9_100,  2.637375021423530e-01,  3.146236064592566e-01,  9.915589810478226e-04,  0.000000000000000e+00
